"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","61.07","61.89","62.40","60.75","7.16M","-1.23"
"Nov 29, 2017","61.83","61.56","62.66","61.42","4.09M","0.73"
"Nov 28, 2017","61.38","62.34","62.41","61.00","5.69M","-2.23"
"Nov 27, 2017","62.78","62.20","62.93","61.29","5.12M","1.78"
"Nov 24, 2017","61.68","60.81","62.09","60.75","2.13M","0.54"
"Nov 22, 2017","61.35","60.41","61.43","60.41","6.64M","1.56"
"Nov 21, 2017","60.41","61.10","61.25","60.23","5.17M","0.18"
"Nov 20, 2017","60.30","59.74","60.45","59.58","4.23M","0.47"
"Nov 17, 2017","60.02","59.55","60.07","58.96","7.15M","0.37"
"Nov 16, 2017","59.80","56.81","59.98","56.81","10.40M","5.49"
"Nov 15, 2017","56.69","56.80","56.99","56.18","3.71M","0.27"
"Nov 14, 2017","56.54","56.39","56.96","55.96","5.04M","0.18"
"Nov 13, 2017","56.44","56.80","56.89","55.91","4.43M","-0.63"
"Nov 10, 2017","56.80","55.69","57.04","55.54","5.76M","1.43"
"Nov 09, 2017","56.00","56.50","56.57","55.63","5.21M","-0.39"
"Nov 08, 2017","56.22","55.36","56.41","55.24","5.98M","1.55"
"Nov 07, 2017","55.36","55.78","56.03","54.60","8.79M","-0.32"
"Nov 06, 2017","55.54","56.20","56.50","54.93","16.99M","-5.72"
"Nov 03, 2017","58.91","59.01","59.44","58.58","4.10M","1.05"
"Nov 02, 2017","58.30","59.76","60.11","58.13","5.88M","-2.43"
"Nov 01, 2017","59.75","60.14","60.40","59.36","3.35M","-0.03"
"Oct 31, 2017","59.77","59.64","60.25","59.32","7.36M","0.32"
"Oct 30, 2017","59.58","62.67","63.08","59.21","14.27M","-5.35"
"Oct 27, 2017","62.95","61.47","63.00","61.47","3.08M","1.98"
"Oct 26, 2017","61.73","62.18","62.32","61.51","2.84M","-0.32"
"Oct 25, 2017","61.93","61.95","62.26","61.37","4.07M","-0.56"
"Oct 24, 2017","62.28","61.74","62.40","61.54","3.65M","1.32"
"Oct 23, 2017","61.47","61.10","62.00","60.30","6.76M","1.67"
"Oct 20, 2017","60.46","61.97","61.98","60.28","3.80M","-1.71"
"Oct 19, 2017","61.51","60.44","61.97","60.31","4.45M","1.37"
"Oct 18, 2017","60.68","60.87","60.91","60.25","3.12M","-0.43"
"Oct 17, 2017","60.94","60.93","61.04","60.56","1.32M","-0.05"
"Oct 16, 2017","60.97","61.52","61.65","60.90","1.49M","-0.68"
"Oct 13, 2017","61.39","61.29","61.55","60.74","2.39M","0.18"
"Oct 12, 2017","61.28","61.07","61.66","60.71","2.51M","0.16"
"Oct 11, 2017","61.18","61.15","61.74","59.42","4.41M","-0.08"
"Oct 10, 2017","61.23","61.69","61.78","61.11","3.25M","-0.54"
"Oct 09, 2017","61.56","62.31","62.61","61.18","3.15M","-1.36"
"Oct 06, 2017","62.41","61.63","62.63","61.60","4.12M","1.45"
"Oct 05, 2017","61.52","61.51","62.09","61.32","3.94M","0.03"
"Oct 04, 2017","61.50","61.42","62.25","61.28","5.70M","-0.29"
"Oct 03, 2017","61.68","61.56","61.99","61.40","3.97M","0.26"
"Oct 02, 2017","61.52","61.34","61.78","61.07","3.52M","-0.23"
"Sep 29, 2017","61.66","62.13","62.44","61.40","4.98M","-0.42"
"Sep 28, 2017","61.92","62.12","62.25","61.69","4.34M","-0.75"
"Sep 27, 2017","62.39","63.03","63.17","62.38","3.85M","-1.02"
"Sep 26, 2017","63.03","63.06","63.36","62.77","2.95M","0.22"
