Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,61.07,61.89,62.4,60.75,7.16M,-1.23,TMUS,0.097040272,0.880195599,3.581589958,30,11,2017
29-Nov-17,61.83,61.56,62.66,61.42,4.09M,0.73,TMUS,0.293255132,1.903658335,2.994813452,29,11,2017
28-Nov-17,61.38,62.34,62.41,61,5.69M,-2.23,TMUS,-0.700860147,3.383084577,4.632426989,28,11,2017
27-Nov-17,62.78,62.2,62.93,61.29,5.12M,1.78,TMUS,0.84306096,3.632122626,-1.191421763,27,11,2017
24-Nov-17,61.68,60.81,62.09,60.75,2.13M,0.54,TMUS,-0.880195599,1.688963211,-1.490361251,24,11,2017
22-Nov-17,61.35,60.41,61.43,60.41,6.64M,1.56,TMUS,0,6.562003881,-2.454383982,22,11,2017
21-Nov-17,60.41,61.1,61.25,60.23,5.17M,0.18,TMUS,1.326699834,8.065086664,-1.894669236,21,11,2017
20-Nov-17,60.3,59.74,60.45,59.58,4.23M,0.47,TMUS,-0.466511163,5.84691708,-2.814380999,20,11,2017
17-Nov-17,60.02,59.55,60.07,58.96,7.15M,0.37,TMUS,-0.418060201,4.841549296,-1.505127357,17,11,2017
16-Nov-17,59.8,56.81,59.98,56.81,10.40M,5.49,TMUS,0.211677545,1.446428571,-7.641033978,16,11,2017
15-Nov-17,56.69,56.8,56.99,56.18,3.71M,0.27,TMUS,0.459851433,1.03166133,-6.394199077,15,11,2017
14-Nov-17,56.54,56.39,56.96,55.96,5.04M,0.18,TMUS,-0.088589653,1.860549133,-7.466360354,14,11,2017
13-Nov-17,56.44,56.8,56.89,55.91,4.43M,-0.63,TMUS,0,2.268635218,-6.839429227,13,11,2017
10-Nov-17,56.8,55.69,57.04,55.54,5.76M,1.43,TMUS,-0.553571429,-5.465965031,-9.284899821,10,11,2017
9-Nov-17,56,56.5,56.57,55.63,5.21M,-0.39,TMUS,0.498043401,-3.087478559,-7.800261097,9,11,2017
8-Nov-17,56.22,55.36,56.41,55.24,5.98M,1.55,TMUS,0,-7.347280335,-9.512912717,8,11,2017
7-Nov-17,55.36,55.78,56.03,54.6,8.79M,-0.32,TMUS,0.432120994,-6.675589761,-8.900865589,7,11,2017
6-Nov-17,55.54,56.2,56.5,54.93,16.99M,-5.72,TMUS,-4.600237651,-5.673044646,-8.706952567,6,11,2017
3-Nov-17,58.91,59.01,59.44,58.58,4.10M,1.05,TMUS,1.217838765,-6.258935663,-5.447844897,3,11,2017
2-Nov-17,58.3,59.76,60.11,58.13,5.88M,-2.43,TMUS,0.016736402,-3.191317026,-2.860858257,2,11,2017
1-Nov-17,59.75,60.14,60.4,59.36,3.35M,-0.03,TMUS,0.619039652,-2.890360084,-2.211382114,1,11,2017
31-Oct-17,59.77,59.64,60.25,59.32,7.36M,0.32,TMUS,0.100704935,-4.238921002,-3.307392996,31,10,2017
30-Oct-17,59.58,62.67,63.08,59.21,14.27M,-5.35,TMUS,-0.444797458,1.952171791,1.869310793,30,10,2017
27-Oct-17,62.95,61.47,63,61.47,3.08M,1.98,TMUS,-0.421189049,1.670525968,-0.308141421,27,10,2017
26-Oct-17,61.73,62.18,62.32,61.51,2.84M,-0.32,TMUS,0.403681576,1.08925378,0.419896641,26,10,2017
25-Oct-17,61.93,61.95,62.26,61.37,4.07M,-0.56,TMUS,-0.529865125,2.092946605,-0.705241225,25,10,2017
24-Oct-17,62.28,61.74,62.4,61.54,3.65M,1.32,TMUS,0.439238653,1.312766656,-2.046644455,24,10,2017
23-Oct-17,61.47,61.1,62,60.3,6.76M,1.67,TMUS,1.058551108,0.213219616,-2.846239466,23,10,2017
20-Oct-17,60.46,61.97,61.98,60.28,3.80M,-1.71,TMUS,0.747845879,0.94477928,-3.262566344,20,10,2017
19-Oct-17,61.51,60.44,61.97,60.31,4.45M,1.37,TMUS,-0.395517469,-1.37075718,-4.653730872,19,10,2017
18-Oct-17,60.68,60.87,60.91,60.25,3.12M,-0.43,TMUS,-0.114867082,-0.506701536,-4.171914358,18,10,2017
17-Oct-17,60.94,60.93,61.04,60.56,1.32M,-0.05,TMUS,-0.065606036,-0.489955904,-6.863344543,17,10,2017
16-Oct-17,60.97,61.52,61.65,60.9,1.49M,-0.68,TMUS,0.211760873,-0.064977258,-0.453074434,16,10,2017
13-Oct-17,61.39,61.29,61.55,60.74,2.39M,0.18,TMUS,0.016318538,-1.794584201,0.196174595,13,10,2017
12-Oct-17,61.28,61.07,61.66,60.71,2.51M,0.16,TMUS,-0.179797319,-0.731469441,-0.163478829,12,10,2017
11-Oct-17,61.18,61.15,61.74,59.42,4.41M,-0.08,TMUS,-0.130654908,-0.569105691,-2.627388535,11,10,2017
10-Oct-17,61.23,61.69,61.78,61.11,3.25M,-0.54,TMUS,0.211176088,0.016212711,-2.048269292,10,10,2017
9-Oct-17,61.56,62.31,62.61,61.18,3.15M,-1.36,TMUS,-0.160230732,1.284135241,-1.142313184,9,10,2017
6-Oct-17,62.41,61.63,62.63,61.6,4.12M,1.45,TMUS,0.178803641,-0.048653909,-1.769206248,6,10,2017
5-Oct-17,61.52,61.51,62.09,61.32,3.94M,0.03,TMUS,0.016260163,-0.662144703,-2.889169561,5,10,2017
4-Oct-17,61.5,61.42,62.25,61.28,5.70M,-0.29,TMUS,-0.42153048,-1.554736336,-3.71531588,4,10,2017
3-Oct-17,61.68,61.56,61.99,61.4,3.97M,0.26,TMUS,0.065019506,-2.332222751,-3.268384664,3,10,2017
2-Oct-17,61.52,61.34,61.78,61.07,3.52M,-0.23,TMUS,-0.518975024,-2.464620766,-4.395261845,2,10,2017
29-Sep-17,61.66,62.13,62.44,61.4,4.98M,-0.42,TMUS,0.339147287,-3.0128005,-3.987019008,29,9,2017
28-Sep-17,61.92,62.12,62.25,61.69,4.34M,-0.75,TMUS,-0.432761661,-2.003470579,-3.315175097,28,9,2017
27-Sep-17,62.39,63.03,63.17,62.38,3.85M,-1.02,TMUS,0,-0.771410579,-0.693240901,27,9,2017
26-Sep-17,63.03,63.06,63.36,62.77,2.95M,0.22,TMUS,0.270313245,-3.607459493,-1.035781544,26,9,2017
25-Sep-17,62.89,64.11,64.47,62.8,5.99M,-1.83,TMUS,0.078051826,3.737864078,0.580483213,25,9,2017
