"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","68.24","69.58","70.61","68.22","2.49M","-1.61"
"Nov 29, 2017","69.36","67.72","69.96","67.50","3.24M","2.38"
"Nov 28, 2017","67.75","64.73","67.81","64.45","2.20M","4.68"
"Nov 27, 2017","64.72","64.57","65.05","64.00","1.58M","0.67"
"Nov 24, 2017","64.29","64.60","64.72","64.12","543.51K","-0.66"
"Nov 22, 2017","64.72","64.91","65.77","64.39","1.48M","-0.23"
"Nov 21, 2017","64.87","65.79","65.80","63.94","2.11M","-1.31"
"Nov 20, 2017","65.73","64.80","65.79","64.64","2.23M","1.91"
"Nov 17, 2017","64.50","63.43","64.60","63.13","1.96M","1.90"
"Nov 16, 2017","63.30","63.14","64.16","62.80","2.19M","0.73"
"Nov 15, 2017","62.84","61.70","63.24","61.11","2.06M","1.93"
"Nov 14, 2017","61.65","60.93","62.14","60.77","1.38M","0.52"
"Nov 13, 2017","61.33","62.45","62.96","61.29","1.44M","-2.14"
"Nov 10, 2017","62.67","61.66","63.36","61.56","3.02M","1.28"
"Nov 09, 2017","61.88","60.27","62.16","60.17","1.59M","2.04"
"Nov 08, 2017","60.64","59.16","60.83","59.06","1.93M","2.54"
"Nov 07, 2017","59.14","59.50","59.66","58.69","949.09K","-0.81"
"Nov 06, 2017","59.62","59.11","59.80","59.01","1.55M","1.10"
"Nov 03, 2017","58.97","57.90","60.20","57.90","1.87M","-1.16"
"Nov 02, 2017","59.66","59.34","59.92","58.49","1.96M","0.64"
"Nov 01, 2017","59.28","60.40","60.60","59.18","1.59M","-1.63"
"Oct 31, 2017","60.26","60.73","61.00","59.26","2.94M","-0.38"
"Oct 30, 2017","60.49","58.27","60.68","57.89","3.43M","3.83"
"Oct 27, 2017","58.26","57.10","58.49","56.27","3.59M","1.59"
"Oct 26, 2017","57.35","54.90","57.55","54.76","7.66M","-0.98"
"Oct 25, 2017","57.92","58.47","58.77","57.45","4.45M","-0.65"
"Oct 24, 2017","58.30","58.38","58.46","57.25","3.01M","-0.22"
"Oct 23, 2017","58.43","58.74","59.49","58.37","2.07M","-0.78"
"Oct 20, 2017","58.89","58.57","59.11","58.32","1.93M","0.79"
"Oct 19, 2017","58.43","58.56","58.88","58.05","1.72M","-0.43"
"Oct 18, 2017","58.68","59.10","60.02","58.38","1.60M","-0.71"
"Oct 17, 2017","59.10","58.57","59.50","58.56","2.12M","0.78"
"Oct 16, 2017","58.64","58.79","59.01","58.25","1.44M","-0.31"
"Oct 13, 2017","58.82","58.46","59.36","57.60","2.26M","1.07"
"Oct 12, 2017","58.20","60.40","60.40","57.59","3.09M","-2.07"
"Oct 11, 2017","59.43","60.20","60.74","59.35","2.06M","-1.44"
"Oct 10, 2017","60.30","60.32","60.98","60.15","1.28M","0.13"
"Oct 09, 2017","60.22","61.10","61.27","59.93","1.39M","-1.36"
"Oct 06, 2017","61.05","62.30","62.42","60.88","1.95M","-2.24"
"Oct 05, 2017","62.45","62.10","62.47","61.41","1.44M","0.42"
"Oct 04, 2017","62.19","63.14","63.48","62.09","1.01M","-1.58"
"Oct 03, 2017","63.19","63.18","63.46","62.87","930.98K","0.32"
"Oct 02, 2017","62.99","61.99","63.05","61.68","1.73M","-0.47"
"Sep 29, 2017","63.29","63.07","63.33","62.62","1.02M","0.29"
"Sep 28, 2017","63.11","62.93","63.40","62.57","1.19M","0.32"
