Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,68.24,69.58,70.61,68.22,2.49M,-1.61,TSCO,0.317185698,7.509270705,17.37516869,30,11,2017
29-Nov-17,69.36,67.72,69.96,67.5,3.24M,2.38,TSCO,-0.044280443,4.393402189,12.37968802,29,11,2017
28-Nov-17,67.75,64.73,67.81,64.45,2.20M,4.68,TSCO,0.015451174,-1.521375323,7.009423045,28,11,2017
27-Nov-17,64.72,64.57,65.05,64,1.58M,0.67,TSCO,0.43552652,0.108527132,10.83075867,27,11,2017
24-Nov-17,64.29,64.6,64.72,64.12,543.51K,-0.66,TSCO,-0.185414091,2.05371248,12.64167393,24,11,2017
22-Nov-17,64.72,64.91,65.77,64.39,1.48M,-0.23,TSCO,0.061661785,3.294080204,12.06837017,22,11,2017
21-Nov-17,64.87,65.79,65.8,63.94,2.11M,-1.31,TSCO,0.091282519,6.715328467,12.84734134,21,11,2017
20-Nov-17,65.73,64.8,65.79,64.64,2.23M,1.91,TSCO,0.465116279,5.657916191,10.90193394,20,11,2017
17-Nov-17,64.5,63.43,64.6,63.13,1.96M,1.9,TSCO,0.205371248,1.212701452,7.709288504,17,11,2017
16-Nov-17,63.3,63.14,64.16,62.8,2.19M,0.73,TSCO,0.477402928,2.036199095,8.060927606,16,11,2017
15-Nov-17,62.84,61.7,63.24,61.11,2.06M,1.93,TSCO,0.081103001,1.748021108,5.146557601,15,11,2017
14-Nov-17,61.65,60.93,62.14,60.77,1.38M,0.52,TSCO,-0.652209359,3.026716266,3.096446701,14,11,2017
13-Nov-17,61.33,62.45,62.96,61.29,1.44M,-2.14,TSCO,-0.351045157,4.746729285,6.497271487,13,11,2017
10-Nov-17,62.67,61.66,63.36,61.56,3.02M,1.28,TSCO,-0.355526826,4.561641513,4.828289697,10,11,2017
9-Nov-17,61.88,60.27,62.16,60.17,1.59M,2.04,TSCO,-0.610158311,1.02246061,3.556701031,9,11,2017
8-Nov-17,60.64,59.16,60.83,59.06,1.93M,2.54,TSCO,0.033818059,-0.20242915,-0.454316002,8,11,2017
7-Nov-17,59.14,59.5,59.66,58.69,949.09K,-0.81,TSCO,-0.20127474,-1.26120146,-1.326699834,7,11,2017
6-Nov-17,59.62,59.11,59.8,59.01,1.55M,1.1,TSCO,0.237408852,-2.281368821,-1.843241448,6,11,2017
3-Nov-17,58.97,57.9,60.2,57.9,1.87M,-1.16,TSCO,-2.950050285,-0.61791967,-5.15970516,3,11,2017
2-Nov-17,59.66,59.34,59.92,58.49,1.96M,0.64,TSCO,0.101214575,3.469921534,-4.979983987,2,11,2017
1-Nov-17,59.28,60.4,60.6,59.18,1.59M,-1.63,TSCO,0.232326585,4.281767956,-2.87827625,1,11,2017
31-Oct-17,60.26,60.73,61,59.26,2.94M,-0.38,TSCO,0.396759795,4.168096055,-3.893021048,31,10,2017
30-Oct-17,60.49,58.27,60.68,57.89,3.43M,3.83,TSCO,0.017164435,-0.273831936,-7.493252897,30,10,2017
27-Oct-17,58.26,57.1,58.49,56.27,3.59M,1.59,TSCO,-0.435919791,-3.039565291,-9.780376047,27,10,2017
26-Oct-17,57.35,54.9,57.55,54.76,7.66M,-0.98,TSCO,-5.214088398,-6.04141708,-13.00903185,26,10,2017
25-Oct-17,57.92,58.47,58.77,57.45,4.45M,-0.65,TSCO,0.291595197,-0.357873211,-7.057701478,25,10,2017
24-Oct-17,58.3,58.38,58.46,57.25,3.01M,-0.22,TSCO,-0.08557248,-1.218274112,-7.112171838,24,10,2017
23-Oct-17,58.43,58.74,59.49,58.37,2.07M,-0.78,TSCO,-0.254712175,0.17053206,-6.524506684,23,10,2017
20-Oct-17,58.89,58.57,59.11,58.32,1.93M,0.79,TSCO,0.239602944,-0.425025502,-4.172120419,20,10,2017
19-Oct-17,58.43,58.56,58.88,58.05,1.72M,-0.43,TSCO,-0.204498978,0.618556701,-3.604938272,19,10,2017
18-Oct-17,58.68,59.1,60.02,58.38,1.60M,-0.71,TSCO,0,-0.555275114,-2.491338063,18,10,2017
17-Oct-17,59.1,58.57,59.5,58.56,2.12M,0.78,TSCO,-0.119372442,-2.868988391,-4.375510204,17,10,2017
16-Oct-17,58.64,58.79,59.01,58.25,1.44M,-0.31,TSCO,-0.05100306,-2.37462637,-4.172779136,16,10,2017
13-Oct-17,58.82,58.46,59.36,57.6,2.26M,1.07,TSCO,0.446735395,-4.242424242,-7.441418619,13,10,2017
12-Oct-17,58.2,60.4,60.4,57.59,3.09M,-2.07,TSCO,1.632172304,-3.282626101,-3.36,12,10,2017
11-Oct-17,59.43,60.2,60.74,59.35,2.06M,-1.44,TSCO,-0.165837479,-3.199871362,-3.525641026,11,10,2017
10-Oct-17,60.3,60.32,60.98,60.15,1.28M,0.13,TSCO,0.166057788,-4.541857889,-2.236628849,10,10,2017
9-Oct-17,60.22,61.1,61.27,59.93,1.39M,-1.36,TSCO,0.081900082,-3.000476266,0.279008699,9,10,2017
6-Oct-17,61.05,62.3,62.42,60.88,1.95M,-2.24,TSCO,-0.240192154,-1.564228156,3.299618637,6,10,2017
5-Oct-17,62.45,62.1,62.47,61.41,1.44M,0.42,TSCO,-0.1447178,-1.600380288,1.903511651,5,10,2017
4-Oct-17,62.19,63.14,63.48,62.09,1.01M,-1.58,TSCO,-0.079126444,0.365601653,5.198267244,4,10,2017
3-Oct-17,63.19,63.18,63.46,62.87,930.98K,0.32,TSCO,0.30163518,0.525059666,6.399461098,3,10,2017
2-Oct-17,62.99,61.99,63.05,61.68,1.73M,-0.47,TSCO,-2.054036973,-1.35264163,4.114880752,2,10,2017
29-Sep-17,63.29,63.07,63.33,62.62,1.02M,0.29,TSCO,-0.063381398,3.190445026,5.982187868,29,9,2017
28-Sep-17,63.11,62.93,63.4,62.57,1.19M,0.32,TSCO,0.031791448,3.588477366,6.751484309,28,9,2017
27-Sep-17,62.91,63.06,63.28,62.12,1.33M,0.1,TSCO,0.334128878,4.042237255,7.317903336,27,9,2017
26-Sep-17,62.85,62.91,63.34,62.27,1.12M,0.02,TSCO,0.111394017,2.710204082,6.699457259,26,9,2017
25-Sep-17,62.84,61.18,63.1,61.09,2.12M,2.81,TSCO,0.098167539,-0.277098615,2.685464921,25,9,2017
22-Sep-17,61.12,60.66,61.66,60.51,2.07M,0.61,TSCO,-0.148148148,-3.958201393,5.148205928,22,9,2017
21-Sep-17,60.75,60.74,61.02,60.07,1.48M,0.23,TSCO,0.214486058,-2.816,6.486676017,21,9,2017
20-Sep-17,60.61,60.96,61.22,59.92,2.03M,-1.04,TSCO,-0.473469388,-2.307692308,8.527683817,20,9,2017
19-Sep-17,61.25,61.48,61.69,60.66,1.61M,-0.16,TSCO,0.211898941,-0.356564019,12.27173119,19,9,2017
18-Sep-17,61.35,63.21,63.38,61.26,2.37M,-2.87,TSCO,0.079164028,3.741999015,15.55758684,18,9,2017
15-Sep-17,63.16,62.75,63.19,62.3,2.12M,1.06,TSCO,0.4,4.045763555,14.25710124,15,9,2017
14-Sep-17,62.5,62.35,62.52,61.98,1.70M,0.16,TSCO,-0.080128205,2.313751231,16.04317886,14,9,2017
13-Sep-17,62.4,61.61,62.52,61.54,1.98M,1.13,TSCO,-0.145867099,2.649116961,17.15154972,13,9,2017
12-Sep-17,61.7,60.93,61.73,60.65,1.42M,1.26,TSCO,0,2.610306501,12.77068295,12,9,2017
11-Sep-17,60.93,60.57,60.96,60.32,2.33M,1.03,TSCO,0.431105953,1.729929459,13.2361189,11,9,2017
8-Sep-17,60.31,60.8,60.9,59.64,2.88M,-1.03,TSCO,-0.229734165,2.167702907,14.3072006,8,9,2017
7-Sep-17,60.94,60.4,60.99,60.08,2.09M,1.53,TSCO,0.633122293,2.45971162,8.848441161,7,9,2017
6-Sep-17,60.02,59.35,60.75,59.06,2.44M,1.08,TSCO,-0.050522061,1.004084411,6.495603804,6,9,2017
5-Sep-17,59.38,59.82,59.99,59,2.07M,-0.27,TSCO,0.470272086,1.458616011,5.670376259,5,9,2017
1-Sep-17,59.54,59.75,59.8,59.14,2.18M,0.05,TSCO,0.403293564,0.285330648,4.842954904,1,9,2017
31-Aug-17,59.51,59.48,60.15,59.25,2.29M,0.95,TSCO,0.899067006,3.102790778,7.151864529,31,8,2017
30-Aug-17,58.95,58.7,59.2,58.46,1.34M,0.32,TSCO,-0.102110279,2.910238429,5.423850575,30,8,2017
29-Aug-17,58.76,58.48,58.78,58.1,1.39M,-0.34,TSCO,-0.814111262,4.112515578,4.075458267,29,8,2017
28-Aug-17,58.96,59.71,59.8,58.79,2.06M,-1.04,TSCO,0.218194025,9.03944485,6.397006415,28,8,2017
25-Aug-17,59.58,57.86,60.03,57.81,3.49M,3.28,TSCO,0.294678454,5.776965265,2.190038856,25,8,2017
24-Aug-17,57.69,57.51,58.72,57.32,3.33M,1.14,TSCO,0.82398317,4.715950473,-0.034764471,24,8,2017
23-Aug-17,57.04,56,57.24,55.93,4.37M,1.55,TSCO,-0.302652662,4.224827843,4.868913858,23,8,2017
22-Aug-17,56.17,55.01,56.19,54.92,2.52M,2.57,TSCO,0.456537619,4.601635292,2.764804782,22,8,2017
21-Aug-17,54.76,54.66,55.24,54.2,1.71M,0.11,TSCO,-0.073126143,1.166018878,6.094720497,21,8,2017
18-Aug-17,54.7,54.5,54.86,53.92,3.05M,-0.4,TSCO,-0.764748725,1.888203403,3.592472914,18,8,2017
17-Aug-17,54.92,53.37,55.34,52.82,3.16M,2.21,TSCO,-0.67001675,0.338409475,2.575437248,17,8,2017
16-Aug-17,53.73,52.86,53.86,52.81,1.70M,2.17,TSCO,0.51340559,-4.739592719,1.967592593,16,8,2017
15-Aug-17,52.59,54.18,54.18,51.85,2.55M,-2.67,TSCO,0.277623542,-2.781266822,4.574406485,15,8,2017
14-Aug-17,54.03,53.8,54.45,53.27,1.69M,1.01,TSCO,0.579547579,-4.963787317,2.907421576,14,8,2017
11-Aug-17,53.49,53.21,53.76,52.63,1.61M,0.56,TSCO,0.037601053,-6.632742586,3.280279503,11,8,2017
10-Aug-17,53.19,55.27,55.27,53.08,2.42M,-4.14,TSCO,-0.396467832,-0.432354531,9.771598808,10,8,2017
9-Aug-17,55.49,55.46,55.64,54.72,1.75M,-0.43,TSCO,-0.484478737,-0.395114943,10.94218844,9,8,2017
8-Aug-17,55.73,56.52,56.96,55.47,1.59M,-1.55,TSCO,-0.158982512,0.587293113,12.92707293,8,8,2017
7-Aug-17,56.61,56.93,57.15,56.05,1.98M,-0.67,TSCO,-0.105281628,1.443335709,12.3766285,7,8,2017
4-Aug-17,56.99,55.7,57.19,55.53,1.75M,2.67,TSCO,0.34228067,-1.624867538,9.087348218,4,8,2017
3-Aug-17,55.51,55.33,56.12,54.99,1.91M,-0.31,TSCO,-0.628591954,-3.824091778,7.436893204,3,8,2017
