Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,308.85,308.56,310.7,304.54,4.35M,0.43,TSLA,0.331664174,-1.292386436,-3.899339728,30,11,2017
29-Nov-17,307.54,317.3,318,301.23,8.77M,-3.15,TSLA,-0.078727759,-0.160473239,-4.292220915,29,11,2017
28-Nov-17,317.55,316.36,320,313.92,4.95M,0.23,TSLA,-0.142040971,2.468096133,-1.162209448,28,11,2017
27-Nov-17,316.81,313.25,317.34,309.51,4.56M,0.4,TSLA,-0.728886072,-0.571337883,-2.37479353,27,11,2017
24-Nov-17,315.55,313.79,316.41,311,3.24M,0.94,TSLA,0.380678183,0.4128,-3.795566729,24,11,2017
22-Nov-17,312.6,316.77,317.42,311.84,4.92M,-1.64,TSLA,-0.327239546,1.757147446,-2.783574761,22,11,2017
21-Nov-17,317.81,310.86,318.23,308.71,7.26M,2.94,TSLA,0.686661916,0.699708455,-7.84964724,21,11,2017
20-Nov-17,308.74,313.79,315.5,304.75,8.25M,-2,TSLA,-0.399936518,-0.510462904,-6.892766008,20,11,2017
17-Nov-17,315.05,325.67,326.67,313.15,13.74M,0.82,TSLA,4.2144,7.485395558,-5.630252101,17,11,2017
16-Nov-17,312.5,313.99,318.14,311.3,5.82M,0.39,TSLA,0.864118214,3.630482854,-10.7501208,16,11,2017
15-Nov-17,311.3,306.01,312.49,301.5,5.98M,0.84,TSLA,-0.871396178,0.532211965,-14.91450021,15,11,2017
14-Nov-17,308.7,315,316.35,306.9,5.68M,-2.12,TSLA,-0.126823082,2.924358765,-11.45467323,14,11,2017
13-Nov-17,315.4,300.13,316.8,299.11,7.58M,4.1,TSLA,-0.943925542,-0.875222934,-14.3953223,13,11,2017
10-Nov-17,302.99,302.5,308.36,301.85,4.63M,0,TSLA,-0.161721509,-1.172857656,-14.92533116,10,11,2017
9-Nov-17,302.99,302.5,304.46,296.3,5.45M,-0.46,TSLA,-0.620913959,1.082670587,-14.95164193,9,11,2017
8-Nov-17,304.39,305.5,306.89,301.3,4.73M,-0.54,TSLA,-0.179709198,-4.85237324,-13.8465877,8,11,2017
7-Nov-17,306.05,301.02,306.5,300.03,5.29M,1.08,TSLA,-0.581280137,-9.202787078,-15.34632582,7,11,2017
6-Nov-17,302.78,307,307.5,299.01,6.49M,-1.08,TSLA,0.29729818,-4.08647838,-10.47996734,6,11,2017
3-Nov-17,306.09,299.5,306.25,295.13,8.89M,2.28,TSLA,0.080197821,-6.660018076,-16.07823358,3,11,2017
2-Nov-17,299.26,300.13,308.69,292.63,19.79M,-6.8,TSLA,-6.524853619,-7.983566852,-15.53485492,2,11,2017
1-Nov-17,321.08,332.25,332.61,320.26,8.46M,-3.15,TSLA,0.217174916,1.967223177,-6.411087012,1,11,2017
31-Oct-17,331.53,320.23,331.95,320.18,5.67M,3.58,TSLA,0.046863284,-5.07203415,-8.016889757,31,10,2017
30-Oct-17,320.08,319.18,323.78,317.25,4.25M,-0.25,TSLA,-0.526693053,-5.293454394,-6.544081047,30,10,2017
27-Oct-17,320.87,319.75,324.59,316.66,6.98M,-1.62,TSLA,-1.96829874,-7.345696899,-6.259161536,27,10,2017
26-Oct-17,326.17,327.78,330.23,323.2,5.02M,0.1,TSLA,0.595384238,-6.830391404,-3.480565371,26,10,2017
25-Oct-17,325.84,336.7,337.5,323.56,8.59M,-3.41,TSLA,-0.189719571,-6.381203948,-1.252309587,25,10,2017
24-Oct-17,337.34,338.8,342.8,336.16,4.49M,0.09,TSLA,0.528158566,-4.764581869,-1.868211441,24,10,2017
23-Oct-17,337.02,349.88,349.95,336.25,5.75M,-2.34,TSLA,1.385105766,-0.205362236,1.417432389,23,10,2017
