Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,97.29,97.38,98.47,96.7,7.53M,0.42,TXN,0.516102395,-0.7137031,1.069019201,30,11,2017
29-Nov-17,96.88,99.73,99.79,96.45,5.56M,-2.61,TXN,0.251306795,0.544409719,3.144068673,29,11,2017
28-Nov-17,99.48,99.09,99.73,98.62,3.04M,0.86,TXN,0.466389537,0.824175824,3.154278576,28,11,2017
27-Nov-17,98.63,98.95,99.25,98.61,3.17M,-0.67,TXN,-0.352467271,1.23797831,1.487179487,27,11,2017
24-Nov-17,99.3,98.2,99.33,98.19,1.29M,1.24,TXN,0.122349103,-0.122050448,2.132085283,24,11,2017
22-Nov-17,98.08,99.15,99.35,98.07,2.14M,-1.12,TXN,-0.040326646,2.459439909,3.475266124,22,11,2017
21-Nov-17,99.19,98.75,99.65,98.65,4.00M,0.93,TXN,0.478225478,1.846122112,2.395271672,21,11,2017
20-Nov-17,98.28,97.81,98.92,97.8,2.95M,0.55,TXN,0.07161858,0.80387509,1.663028791,20,11,2017
17-Nov-17,97.74,98.56,98.56,97.61,3.79M,-0.59,TXN,0.244100895,1.671136786,3.551166211,17,11,2017
16-Nov-17,98.32,97.07,98.63,97.05,3.56M,1.6,TXN,0.310013434,0.020607934,3.873729267,16,11,2017
15-Nov-17,96.77,96.62,98.03,96.28,3.36M,-0.2,TXN,-0.350660066,-1.848841934,3.414320882,15,11,2017
14-Nov-17,96.96,96.7,97.23,96.35,3.25M,-0.07,TXN,-0.340101,-1.727642276,2.577702344,14,11,2017
13-Nov-17,97.03,96.4,97.29,96.35,2.28M,0.09,TXN,-0.557045595,-2.171706921,2.302875942,13,11,2017
10-Nov-17,96.94,96.67,97.05,96.4,3.42M,-0.11,TXN,-0.391550747,-1.337007553,3.290949888,10,11,2017
9-Nov-17,97.05,97.6,98.03,95.63,4.24M,-1.41,TXN,-0.853311662,0.836863312,5.376808465,9,11,2017
8-Nov-17,98.44,98.31,98.76,97.89,3.27M,0.04,TXN,-0.091463415,2.03425013,5.857650479,8,11,2017
7-Nov-17,98.4,98.55,99.05,98.28,4.32M,-0.14,TXN,0.010148163,1.923673596,6.678934834,7,11,2017
6-Nov-17,98.54,97.82,98.67,97.67,4.39M,0.57,TXN,-0.163298632,1.832188216,6.813714785,6,11,2017
3-Nov-17,97.98,97,98,96.34,3.35M,1.23,TXN,0.216964562,-0.512820513,6.185002737,3,11,2017
2-Nov-17,96.79,96.25,96.88,95.6,3.29M,0.46,TXN,-0.103788272,0.10400416,5.606758833,2,11,2017
