"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","221.71","224.61","226.90","218.58","2.72M","-0.62"
"Nov 29, 2017","223.10","218.98","227.40","218.82","1.99M","2.78"
"Nov 28, 2017","217.07","208.30","217.27","206.64","1.82M","5.02"
"Nov 27, 2017","206.69","210.95","212.00","205.84","1.16M","-1.75"
"Nov 24, 2017","210.37","212.69","214.08","209.27","438.18K","-0.91"
"Nov 22, 2017","212.30","210.16","215.41","209.72","1.15M","1.11"
"Nov 21, 2017","209.96","207.06","211.90","203.09","1.64M","0.38"
"Nov 20, 2017","209.16","215.77","216.05","208.75","1.28M","-2.76"
"Nov 17, 2017","215.10","208.02","215.68","206.61","1.69M","4.44"
"Nov 16, 2017","205.96","200.82","207.61","198.60","1.05M","2.99"
"Nov 15, 2017","199.99","198.15","200.60","196.56","647.80K","0.47"
"Nov 14, 2017","199.05","197.82","201.24","197.82","594.11K","0.52"
"Nov 13, 2017","198.03","200.55","202.01","196.11","861.72K","-1.36"
"Nov 10, 2017","200.76","198.42","204.66","198.20","807.03K","0.79"
"Nov 09, 2017","199.19","194.07","201.28","191.80","956.99K","1.68"
"Nov 08, 2017","195.90","198.26","199.40","194.13","1.31M","-1.07"
"Nov 07, 2017","198.01","201.64","202.84","196.54","770.41K","-1.65"
"Nov 06, 2017","201.33","201.18","202.65","198.51","1.27M","-0.36"
"Nov 03, 2017","202.05","203.03","205.20","201.15","837.25K","-0.42"
"Nov 02, 2017","202.90","204.77","208.54","201.30","872.88K","-0.94"
"Nov 01, 2017","204.83","203.79","212.35","202.14","1.35M","1.51"
"Oct 31, 2017","201.79","202.18","203.88","200.29","724.55K","0.05"
"Oct 30, 2017","201.69","197.86","204.95","196.78","837.20K","1.39"
"Oct 27, 2017","198.93","200.00","200.36","196.01","953.25K","-0.79"
"Oct 26, 2017","200.51","201.23","202.26","199.40","688.34K","-0.39"
"Oct 25, 2017","201.29","202.60","203.43","199.56","785.38K","-0.99"
"Oct 24, 2017","203.31","201.96","203.77","201.27","670.19K","0.47"
"Oct 23, 2017","202.36","204.84","204.97","202.10","804.51K","-1.21"
"Oct 20, 2017","204.84","205.72","207.64","203.17","1.11M","0.11"
"Oct 19, 2017","204.62","198.06","208.69","197.12","2.74M","3.15"
"Oct 18, 2017","198.37","197.81","201.16","196.61","2.40M","-1.93"
"Oct 17, 2017","202.28","196.44","202.66","195.27","1.99M","4.43"
"Oct 16, 2017","193.70","196.12","197.40","192.10","2.31M","-2.46"
"Oct 13, 2017","198.58","191.98","200.90","187.96","3.79M","4.43"
"Oct 12, 2017","190.16","201.52","201.78","189.50","5.50M","-8.53"
"Oct 11, 2017","207.89","212.19","212.68","207.67","2.06M","-2.26"
"Oct 10, 2017","212.69","217.15","217.84","212.69","835.58K","-2.14"
"Oct 09, 2017","217.34","220.10","220.90","215.61","631.27K","-1.17"
"Oct 06, 2017","219.91","219.42","221.33","219.10","1.48M","-0.33"
"Oct 05, 2017","220.63","223.53","224.99","220.62","1.23M","-1.29"
"Oct 04, 2017","223.52","226.76","227.42","222.85","600.20K","-1.80"
"Oct 03, 2017","227.62","222.47","227.79","221.76","893.16K","1.71"
"Oct 02, 2017","223.80","226.93","226.99","218.33","1.06M","-1.00"
"Sep 29, 2017","226.06","226.30","227.91","224.62","562.09K","-0.37"
"Sep 28, 2017","226.89","227.44","228.59","226.03","549.87K","-0.34"
"Sep 27, 2017","227.66","219.28","228.80","219.28","1.17M","3.96"
