Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,221.71,224.61,226.9,218.58,2.72M,-0.62,ULTA,0.676826535,5.798398493,9.656788556,30,11,2017
29-Nov-17,223.1,218.98,227.4,218.82,1.99M,2.78,ULTA,0.879900493,4.296056392,8.518757124,29,11,2017
28-Nov-17,217.07,208.3,217.27,206.64,1.82M,5.02,ULTA,0.778944313,-0.411168483,3.277306758,28,11,2017
27-Nov-17,206.69,210.95,212,205.84,1.16M,-1.75,ULTA,0.275704711,-1.929335193,6.042326446,27,11,2017
24-Nov-17,210.37,212.69,214.08,209.27,438.18K,-0.91,ULTA,0.183702308,3.267624782,6.07451,24,11,2017
22-Nov-17,212.3,210.16,215.41,209.72,1.15M,1.11,ULTA,0.095256239,5.085254263,4.406577575,22,11,2017
21-Nov-17,209.96,207.06,211.9,203.09,1.64M,0.38,ULTA,-1.004016064,4.024114544,1.844473956,21,11,2017
20-Nov-17,209.16,215.77,216.05,208.75,1.28M,-2.76,ULTA,0.311483031,8.958238651,6.626803716,20,11,2017
17-Nov-17,215.1,208.02,215.68,206.61,1.69M,4.44,ULTA,1.000194212,3.616258219,1.552431166,17,11,2017
16-Nov-17,205.96,200.82,207.61,198.6,1.05M,2.99,ULTA,0.415020751,0.818314172,-1.857100968,16,11,2017
15-Nov-17,199.99,198.15,200.6,196.56,647.80K,0.47,ULTA,-0.452147702,1.148545176,-0.110903867,15,11,2017
14-Nov-17,199.05,197.82,201.24,197.82,594.11K,0.52,ULTA,-0.106044539,-0.09595475,-2.204864544,14,11,2017
13-Nov-17,198.03,200.55,202.01,196.11,861.72K,-1.36,ULTA,-0.10460251,-0.387423633,3.536396489,13,11,2017
10-Nov-17,200.76,198.42,204.66,198.2,807.03K,0.79,ULTA,-0.386565591,-1.796585004,-0.080572062,10,11,2017
9-Nov-17,199.19,194.07,201.28,191.8,956.99K,1.68,ULTA,-0.934150077,-4.351897486,2.056163231,9,11,2017
8-Nov-17,195.9,198.26,199.4,194.13,1.31M,-1.07,ULTA,0.12625625,-3.207537958,-4.632257444,8,11,2017
7-Nov-17,198.01,201.64,202.84,196.54,770.41K,-1.65,ULTA,0.153976059,-0.074334704,-5.195354742,7,11,2017
6-Nov-17,201.33,201.18,202.65,198.51,1.27M,-0.36,ULTA,-0.430586488,-0.252863305,-7.435354744,6,11,2017
3-Nov-17,202.05,203.03,205.2,201.15,837.25K,-0.42,ULTA,0.064070971,2.061026492,-7.6758674,3,11,2017
