Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,28.32,28.41,28.94,27.52,8.30M,-0.35,VIAB,-0.035186488,6.484257871,14.64891041,30,11,2017
29-Nov-17,28.42,27.11,28.56,27,7.19M,5.14,VIAB,0.295967444,-0.550256787,12.81731169,29,11,2017
28-Nov-17,27.03,26.54,27.1,26.09,5.90M,1.85,VIAB,0,1.413832633,9.533635988,28,11,2017
27-Nov-17,26.54,26.26,26.58,26.19,4.63M,0.95,VIAB,-0.11411183,0.420650096,6.488240065,27,11,2017
24-Nov-17,26.29,26.72,26.94,26.24,2.14M,-1.46,VIAB,0.149925037,12.79020684,5.612648221,24,11,2017
22-Nov-17,26.68,27.29,27.55,26.22,4.81M,-2.13,VIAB,0.110051357,10.88988216,7.103610675,22,11,2017
21-Nov-17,27.26,25.93,27.46,25.91,9.16M,4.17,VIAB,-0.917080627,5.664221679,1.091617934,21,11,2017
20-Nov-17,26.17,26.41,27.65,25.93,11.59M,0.08,VIAB,0.994263862,6.836569579,0.380083618,20,11,2017
17-Nov-17,26.15,23.94,26.35,23.91,14.76M,10.38,VIAB,1.055297594,-3.816793893,-10.33707865,17,11,2017
16-Nov-17,23.69,22.22,24.1,22.13,17.80M,-3.74,VIAB,-9.71149939,-10.33091203,-16.24575952,16,11,2017
15-Nov-17,24.61,25.15,25.15,23.79,6.55M,0.29,VIAB,2.485737571,3.497942387,-2.594887684,15,11,2017
14-Nov-17,24.54,24.62,24.63,24.05,3.85M,-0.73,VIAB,-0.404530744,-0.645682002,-7.339104253,14,11,2017
13-Nov-17,24.72,24.88,24.9,24.04,6.05M,-0.68,VIAB,-0.040176778,2.894954508,-5.255140899,13,11,2017
10-Nov-17,24.89,25.06,25.44,24.68,5.25M,0.44,VIAB,1.129943503,7.692307692,-3.615384615,10,11,2017
9-Nov-17,24.78,24.23,25.2,24.1,4.66M,1.98,VIAB,-0.288065844,3.547008547,-1.383801384,9,11,2017
8-Nov-17,24.3,24.61,24.96,24.18,4.64M,-1.94,VIAB,-0.686037127,-0.686037127,-2.380007933,8,11,2017
7-Nov-17,24.78,24.41,25.08,24.05,6.32M,2.48,VIAB,0.951199338,1.581356638,-4.499217527,7,11,2017
6-Nov-17,24.18,23.2,24.7,23.15,6.26M,3.91,VIAB,-0.300816502,-4.250928601,-8.733280881,6,11,2017
3-Nov-17,23.27,23.51,23.7,22.88,5.89M,-0.56,VIAB,0.47008547,-4.663422547,-13.40699816,3,11,2017
2-Nov-17,23.4,24.54,24.64,23.39,6.75M,-5.57,VIAB,-0.968523002,-3.003952569,-10.10989011,2,11,2017
1-Nov-17,24.78,24.27,24.95,24.17,5.22M,3.12,VIAB,0.998751561,-4.748822606,-13.75266525,1,11,2017
31-Oct-17,24.03,24.27,24.39,23.58,7.03M,-0.83,VIAB,0.165084606,-5.380116959,-11.90562613,31,10,2017
30-Oct-17,24.23,24.53,24.97,24.15,4.18M,-1.74,VIAB,-0.527169505,-6.765488407,-10.50711419,30,10,2017
27-Oct-17,24.66,25.15,25.18,24.08,8.99M,-2.53,VIAB,-0.592885375,-5.805243446,-9.662356322,27,10,2017
26-Oct-17,25.3,25.47,26.09,25.3,5.71M,-0.71,VIAB,-0.039246468,-3.995476819,-8.545780969,26,10,2017
25-Oct-17,25.48,25.4,25.65,25.2,2.66M,-0.66,VIAB,-0.974658869,-1.626646011,-9.058360186,25,10,2017
24-Oct-17,25.65,26.13,26.29,25.61,3.62M,-2.51,VIAB,-0.684150513,-1.656003011,-5.291772381,24,10,2017
23-Oct-17,26.31,26.6,26.69,26.09,4.18M,-1.46,VIAB,-0.374531835,1.294744859,-4.659498208,23,10,2017
20-Oct-17,26.7,26.64,26.88,26.36,3.81M,0.64,VIAB,0.414624953,2.461538462,-3.617945007,20,10,2017
19-Oct-17,26.53,25.83,26.56,25.8,4.57M,2.75,VIAB,0.038729667,5.128205128,-5.729927007,19,10,2017
18-Oct-17,25.82,26.68,26.99,25.74,9.56M,-2.82,VIAB,0.414000753,5.831019437,-3.751803752,18,10,2017
17-Oct-17,26.57,26.13,26.65,25.92,5.18M,1.18,VIAB,-0.495049505,2.230046948,-3.721444363,17,10,2017
16-Oct-17,26.26,26.09,26.68,25.81,7.62M,1,VIAB,0.346153846,2.635719906,-4.502196193,16,10,2017
13-Oct-17,26,24.74,26.32,24.58,9.49M,5.82,VIAB,0.691900692,-8.876611418,-10.58908565,13,10,2017
12-Oct-17,24.57,24.44,24.67,23.45,17.93M,-2.54,VIAB,-3.054343514,-10.47619048,-10.67251462,12,10,2017
11-Oct-17,25.21,25.54,25.57,25.13,6.36M,-1.37,VIAB,-0.078247261,-9.239516702,-8.491580079,11,10,2017
10-Oct-17,25.56,25.41,25.64,25.34,5.65M,0.55,VIAB,-0.039339103,-7.7676951,-6.270748801,10,10,2017
9-Oct-17,25.42,26.39,26.62,25.37,10.45M,-6.37,VIAB,-2.799263352,-3.72126961,-2.942258183,9,10,2017
6-Oct-17,27.15,27.28,27.48,27.04,3.63M,-0.55,VIAB,-0.073260073,-2.011494253,0.036670334,6,10,2017
5-Oct-17,27.3,28.15,28.33,27.27,5.12M,-2.99,VIAB,0.035536603,1.077199282,3.492647059,5,10,2017
4-Oct-17,28.14,27.6,28.39,27.55,5.37M,2.14,VIAB,0.181488203,-1.181525242,-2.197023388,4,10,2017
3-Oct-17,27.55,27.51,27.59,27.29,5.13M,0.51,VIAB,0.364830354,-0.28996013,0.291651476,3,10,2017
2-Oct-17,27.41,27.92,28,27.08,5.31M,-1.54,VIAB,0.287356322,0.071684588,-2.103786816,2,10,2017
