"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","30.78","30.81","30.92","30.70","3.59M","0.52"
"Nov 29, 2017","30.62","30.58","30.77","30.58","3.00M","0.20"
"Nov 28, 2017","30.56","30.32","30.58","30.29","2.70M","0.36"
"Nov 27, 2017","30.45","30.65","30.67","30.39","2.41M","-0.46"
"Nov 24, 2017","30.59","30.64","30.70","30.56","1.60M","0.63"
"Nov 22, 2017","30.40","30.23","30.45","30.16","3.10M","-1.49"
"Nov 21, 2017","30.86","30.93","30.98","30.83","3.88M","-0.23"
"Nov 20, 2017","30.93","30.83","31.00","30.82","3.29M","-0.10"
"Nov 17, 2017","30.96","30.65","31.03","30.60","6.86M","1.04"
"Nov 16, 2017","30.64","30.54","30.73","30.52","5.25M","-0.20"
"Nov 15, 2017","30.70","30.68","30.78","30.58","10.87M","0.72"
"Nov 14, 2017","30.48","30.00","30.61","29.97","9.63M","5.65"
"Nov 13, 2017","28.85","28.72","28.87","28.71","9.21M","-1.70"
"Nov 10, 2017","29.35","29.24","29.41","29.16","8.39M","-1.08"
"Nov 09, 2017","29.67","29.17","29.75","29.14","11.02M","2.99"
"Nov 08, 2017","28.81","28.74","28.87","28.64","2.47M","-0.45"
"Nov 07, 2017","28.94","29.11","29.15","28.86","2.03M","-0.92"
"Nov 06, 2017","29.21","29.18","29.22","29.07","2.00M","0.38"
"Nov 03, 2017","29.10","29.18","29.19","28.92","1.92M","-0.82"
"Nov 02, 2017","29.34","29.37","29.45","29.22","2.02M","0.07"
"Nov 01, 2017","29.32","29.39","29.52","29.30","3.11M","1.17"
"Oct 31, 2017","28.98","28.86","29.02","28.71","1.77M","0.69"
"Oct 30, 2017","28.78","28.82","28.96","28.74","2.62M","0.21"
"Oct 27, 2017","28.72","28.54","28.77","28.51","1.92M","0.14"
"Oct 26, 2017","28.68","28.70","28.80","28.57","2.48M","-0.24"
"Oct 25, 2017","28.75","29.01","29.04","28.64","3.32M","-0.10"
"Oct 24, 2017","28.78","28.81","28.90","28.74","1.39M","-0.28"
"Oct 23, 2017","28.86","29.04","29.05","28.80","1.68M","-0.41"
"Oct 20, 2017","28.98","29.11","29.11","28.84","1.90M","0.17"
"Oct 19, 2017","28.93","29.03","29.14","28.88","1.74M","-0.17"
"Oct 18, 2017","28.98","28.98","29.03","28.87","2.20M","-0.03"
"Oct 17, 2017","28.99","29.08","29.09","28.88","1.64M","-0.03"
"Oct 16, 2017","29.00","29.06","29.14","28.94","2.08M","-0.41"
"Oct 13, 2017","29.12","29.22","29.26","29.04","2.57M","0.21"
"Oct 12, 2017","29.06","28.80","29.09","28.70","4.93M","0.97"
"Oct 11, 2017","28.78","28.77","28.83","28.68","3.04M","0.66"
"Oct 10, 2017","28.59","28.37","28.66","28.36","3.44M","1.89"
"Oct 09, 2017","28.06","28.21","28.22","28.02","2.13M","-0.04"
"Oct 06, 2017","28.07","28.15","28.16","27.96","2.47M","-0.28"
"Oct 05, 2017","28.15","27.94","28.31","27.92","4.54M","-0.11"
"Oct 04, 2017","28.18","28.40","28.41","28.11","2.41M","-0.77"
"Oct 03, 2017","28.40","28.29","28.42","28.28","3.41M","0.11"
"Oct 02, 2017","28.37","28.41","28.46","28.27","2.62M","-0.32"
"Sep 29, 2017","28.46","28.30","28.48","28.21","2.25M","1.43"
"Sep 28, 2017","28.06","27.98","28.17","27.94","4.08M","-1.06"
"Sep 27, 2017","28.36","28.40","28.48","28.27","2.44M","-0.42"
"Sep 26, 2017","28.48","28.53","28.58","28.35","2.01M","-0.42"
"Sep 25, 2017","28.60","28.56","28.72","28.54","2.75M","-0.14"
"Sep 22, 2017","28.64","28.64","28.75","28.56","2.09M","0.07"
"Sep 21, 2017","28.62","28.51","28.72","28.50","1.62M","-0.83"
"Sep 20, 2017","28.86","28.99","29.04","28.69","2.42M","0.00"
"Sep 19, 2017","28.86","28.66","28.95","28.64","2.41M","0.84"
"Sep 18, 2017","28.62","28.66","28.84","28.52","2.70M","0.42"
"Sep 15, 2017","28.50","28.46","28.52","28.35","3.88M","-0.31"
"Sep 14, 2017","28.59","28.64","28.69","28.49","1.68M","-0.66"
"Sep 13, 2017","28.78","28.86","28.95","28.75","1.82M","-0.35"
