Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,30.78,30.81,30.92,30.7,3.59M,0.52,VOD,0.620509471,1.348684211,5.081855389,30,11,2017
29-Nov-17,30.62,30.58,30.77,30.58,3.00M,0.2,VOD,0.065445026,-0.907323396,5.521048999,29,11,2017
28-Nov-17,30.56,30.32,30.58,30.29,2.70M,0.36,VOD,-0.426929392,-1.97219528,5.350938151,28,11,2017
27-Nov-17,30.45,30.65,30.67,30.39,2.41M,-0.46,VOD,0.19614253,-1.00129199,6.72005571,27,11,2017
24-Nov-17,30.59,30.64,30.7,30.56,1.60M,0.63,VOD,0.789473684,0,6.834030683,24,11,2017
22-Nov-17,30.4,30.23,30.45,30.16,3.10M,-1.49,VOD,-2.041477641,-1.530944625,5.147826087,22,11,2017
21-Nov-17,30.86,30.93,30.98,30.83,3.88M,-0.23,VOD,0,1.476377953,7.470465601,21,11,2017
20-Nov-17,30.93,30.83,31,30.82,3.29M,-0.1,VOD,-0.419896641,6.863084922,6.826056826,20,11,2017
17-Nov-17,30.96,30.65,31.03,30.6,6.86M,1.04,VOD,0.032637076,4.429301533,5.762594893,17,11,2017
16-Nov-17,30.64,30.54,30.73,30.52,5.25M,-0.2,VOD,-0.521172638,2.932254803,5.565157276,16,11,2017
15-Nov-17,30.7,30.68,30.78,30.58,10.87M,0.72,VOD,0.656167979,6.490801805,5.866114562,15,11,2017
14-Nov-17,30.48,30,30.61,29.97,9.63M,5.65,VOD,3.986135182,3.662750518,3.483959986,14,11,2017
13-Nov-17,28.85,28.72,28.87,28.71,9.21M,-1.7,VOD,-2.146507666,-1.677507703,-0.965517241,13,11,2017
10-Nov-17,29.35,29.24,29.41,29.16,8.39M,-1.08,VOD,-1.449275362,0.481099656,0.412087912,10,11,2017
9-Nov-17,29.67,29.17,29.75,29.14,11.02M,2.99,VOD,1.249566123,-0.57941377,0.378527185,9,11,2017
8-Nov-17,28.81,28.74,28.87,28.64,2.47M,-0.45,VOD,-0.691085003,-1.978171896,-0.138985407,8,11,2017
7-Nov-17,28.94,29.11,29.15,28.86,2.03M,-0.92,VOD,-0.342348511,0.448585231,1.818817768,7,11,2017
6-Nov-17,29.21,29.18,29.22,29.07,2.00M,0.38,VOD,0.274914089,1.389854065,3.9914469,6,11,2017
3-Nov-17,29.1,29.18,29.19,28.92,1.92M,-0.82,VOD,-0.545330607,1.601671309,3.954399715,3,11,2017
2-Nov-17,29.34,29.37,29.45,29.22,2.02M,0.07,VOD,0.17053206,2.405857741,4.3339254,2,11,2017
1-Nov-17,29.32,29.39,29.52,29.3,3.11M,1.17,VOD,1.414768806,2.226086957,4.293825408,1,11,2017
31-Oct-17,28.98,28.86,29.02,28.71,1.77M,0.69,VOD,0.277970813,0.277970813,1.61971831,31,10,2017
30-Oct-17,28.78,28.82,28.96,28.74,2.62M,0.21,VOD,0.348189415,-0.138600139,1.586182587,30,10,2017
27-Oct-17,28.72,28.54,28.77,28.51,1.92M,0.14,VOD,-0.488145049,-1.518288475,0.281096275,27,10,2017
26-Oct-17,28.68,28.7,28.8,28.57,2.48M,-0.24,VOD,-0.173913043,-0.795022468,2.2808268,26,10,2017
25-Oct-17,28.75,29.01,29.04,28.64,3.32M,-0.1,VOD,0.799166088,0.103519669,2.291960508,25,10,2017
24-Oct-17,28.78,28.81,28.9,28.74,1.39M,-0.28,VOD,-0.173250173,-0.62090376,1.158707865,24,10,2017
23-Oct-17,28.86,29.04,29.05,28.8,1.68M,-0.41,VOD,0.207039337,0.137931034,1.538461538,23,10,2017
20-Oct-17,28.98,29.11,29.11,28.84,1.90M,0.17,VOD,0.622191497,-0.034340659,1.641061453,20,10,2017
19-Oct-17,28.93,29.03,29.14,28.88,1.74M,-0.17,VOD,0.172532781,-0.103234687,1.43256464,19,10,2017
18-Oct-17,28.98,28.98,29.03,28.87,2.20M,-0.03,VOD,-0.034494653,0.694927033,0.415800416,18,10,2017
17-Oct-17,28.99,29.08,29.09,28.88,1.64M,-0.03,VOD,0.275862069,1.713885974,0.762300762,17,10,2017
16-Oct-17,29,29.06,29.14,28.94,2.08M,-0.41,VOD,-0.206043956,3.563791875,1.537386443,16,10,2017
13-Oct-17,29.12,29.22,29.26,29.04,2.57M,0.21,VOD,0.550584997,4.096900606,2.526315789,13,10,2017
12-Oct-17,29.06,28.8,29.09,28.7,4.93M,0.97,VOD,0.069492703,2.309058615,0.73452256,12,10,2017
11-Oct-17,28.78,28.77,28.83,28.68,3.04M,0.66,VOD,0.629590766,2.093683463,-0.034746352,11,10,2017
10-Oct-17,28.59,28.37,28.66,28.36,3.44M,1.89,VOD,1.104775481,-0.105633803,-1.765927978,10,10,2017
9-Oct-17,28.06,28.21,28.22,28.02,2.13M,-0.04,VOD,0.498753117,-0.563976031,-2.455048409,9,10,2017
6-Oct-17,28.07,28.15,28.16,27.96,2.47M,-0.28,VOD,0,-1.089248067,-1.228070175,6,10,2017
5-Oct-17,28.15,27.94,28.31,27.92,4.54M,-0.11,VOD,-0.85166785,-0.427655025,-1.896067416,5,10,2017
4-Oct-17,28.18,28.4,28.41,28.11,2.41M,-0.77,VOD,0,0.141043724,-0.420757363,4,10,2017
3-Oct-17,28.4,28.29,28.42,28.28,3.41M,0.11,VOD,-0.281988016,-0.667134831,-0.352236703,3,10,2017
2-Oct-17,28.37,28.41,28.46,28.27,2.62M,-0.32,VOD,-0.175685172,-0.664335664,-1.525129983,2,10,2017
29-Sep-17,28.46,28.3,28.48,28.21,2.25M,1.43,VOD,0.85531005,-1.187150838,-2.514640028,29,9,2017
28-Sep-17,28.06,27.98,28.17,27.94,4.08M,-1.06,VOD,-1.339915374,-2.236198463,-2.576601671,28,9,2017
27-Sep-17,28.36,28.4,28.48,28.27,2.44M,-0.42,VOD,-0.280898876,-1.593901594,-0.210822207,27,9,2017
26-Sep-17,28.48,28.53,28.58,28.35,2.01M,-0.42,VOD,-0.244755245,-1.143451143,-0.626959248,26,9,2017
25-Sep-17,28.6,28.56,28.72,28.54,2.75M,-0.14,VOD,-0.279329609,-0.209643606,-0.52246604,25,9,2017
22-Sep-17,28.64,28.64,28.75,28.56,2.09M,0.07,VOD,0.069881202,0.49122807,0.245012251,22,9,2017
21-Sep-17,28.62,28.51,28.72,28.5,1.62M,-0.83,VOD,-1.212751213,-0.279818118,-0.419140761,21,9,2017
20-Sep-17,28.86,28.99,29.04,28.69,2.42M,0,VOD,0.45045045,0.729673384,0.624783061,20,9,2017
19-Sep-17,28.86,28.66,28.95,28.64,2.41M,0.84,VOD,0.139762404,-0.761772853,-0.139372822,19,9,2017
18-Sep-17,28.62,28.66,28.84,28.52,2.70M,0.42,VOD,0.561403509,-0.899031812,0.385288967,18,9,2017
15-Sep-17,28.5,28.46,28.52,28.35,3.88M,-0.31,VOD,-0.454704442,-0.140350877,-0.350140056,15,9,2017
14-Sep-17,28.59,28.64,28.69,28.49,1.68M,-0.66,VOD,-0.486448923,0.561797753,-1.275422268,14,9,2017
13-Sep-17,28.78,28.86,28.95,28.75,1.82M,-0.35,VOD,-0.069252078,1.192145863,-0.585601102,13,9,2017
12-Sep-17,28.88,28.76,28.96,28.75,1.81M,-0.14,VOD,-0.553250346,1.303275801,-1.809491294,12,9,2017
11-Sep-17,28.92,28.67,28.98,28.67,1.91M,1.47,VOD,0.596491228,-0.623916811,-1.137931034,11,9,2017
8-Sep-17,28.5,28.54,28.6,28.46,1.52M,0.07,VOD,0.210674157,-1.68790906,-2.527322404,8,9,2017
7-Sep-17,28.48,28.69,28.69,28.45,2.91M,-0.14,VOD,0.596072931,-0.104456825,-3.789403085,7,9,2017
6-Sep-17,28.52,28.6,28.66,28.49,2.81M,0.46,VOD,0.739697076,0.491918482,-3.443619176,6,9,2017
5-Sep-17,28.39,28.66,28.7,28.32,2.72M,-1.59,VOD,-0.658578856,-0.174155347,-4.147157191,5,9,2017
1-Sep-17,28.85,29.11,29.12,28.82,2.96M,-0.62,VOD,0.275576989,1.393242773,-2.3482053,1,9,2017
31-Aug-17,29.03,28.76,29.05,28.76,1.98M,1.08,VOD,0.139275766,0.665033252,-3.392677192,31,8,2017
30-Aug-17,28.72,28.65,28.77,28.59,3.27M,0.91,VOD,0.667603654,0.069856794,-3.437815976,30,8,2017
29-Aug-17,28.46,28.39,28.57,28.39,2.34M,-0.87,VOD,-1.114594218,-1.457827143,-4.217273954,29,8,2017
28-Aug-17,28.71,28.74,28.82,28.64,1.43M,0,VOD,0.104493208,0.139372822,-3.167115903,28,8,2017
25-Aug-17,28.71,28.64,28.8,28.61,2.00M,0.49,VOD,0.245012251,0.315236427,-2.717391304,25,8,2017
24-Aug-17,28.57,28.63,28.66,28.53,2.09M,-0.21,VOD,0,0.245098039,-3.014905149,24,8,2017
23-Aug-17,28.63,28.68,28.71,28.6,2.35M,-0.62,VOD,-0.451232211,-1.13753878,-1.679808022,23,8,2017
22-Aug-17,28.81,28.74,28.88,28.69,2.34M,0.38,VOD,0.139372822,-0.998966586,-1.237113402,22,8,2017
21-Aug-17,28.7,28.73,28.82,28.66,2.31M,0.53,VOD,0.630472855,-1.911915329,-1.945392491,21,8,2017
18-Aug-17,28.55,28.63,28.68,28.5,3.24M,-0.04,VOD,0.245098039,-1.275862069,-3.829358415,18,8,2017
17-Aug-17,28.56,28.99,29.03,28.56,3.51M,-1.55,VOD,-0.068941744,-0.990437158,-1.928281461,17,8,2017
16-Aug-17,29.01,28.97,29.06,28.94,2.48M,-0.07,VOD,-0.206682742,-2.850435949,-1.227412206,16,8,2017
15-Aug-17,29.03,29.01,29.08,28.87,2.68M,-0.89,VOD,-0.955957665,-2.059419311,-0.446122169,15,8,2017
14-Aug-17,29.29,29.09,29.36,29.06,2.86M,1,VOD,0.310344828,-2.7090301,-0.410818213,14,8,2017
11-Aug-17,29,29.1,29.14,28.88,5.56M,-0.96,VOD,-0.614754098,-2.38175109,0,11,8,2017
10-Aug-17,29.28,29.49,29.49,29.27,2.68M,-1.81,VOD,-1.106639839,-0.940544172,1.479697178,10,8,2017
9-Aug-17,29.82,29.81,29.98,29.73,3.63M,0.68,VOD,0.641458474,0.471857095,3.148788927,9,8,2017
8-Aug-17,29.62,29.63,29.77,29.57,2.00M,-0.94,VOD,-0.903010033,-0.033738192,4.441311244,8,8,2017
7-Aug-17,29.9,29.98,30,29.87,2.00M,0.3,VOD,0.57027843,1.010781671,4.38718663,7,8,2017
