"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","96.42","95.19","96.92","94.84","904.50K","1.52"
"Nov 29, 2017","94.98","95.29","95.92","94.81","681.70K","-0.26"
"Nov 28, 2017","95.23","94.41","95.25","94.13","759.52K","1.07"
"Nov 27, 2017","94.22","93.88","94.51","93.87","685.20K","0.36"
"Nov 24, 2017","93.88","93.80","94.13","93.52","223.85K","0.06"
"Nov 22, 2017","93.82","93.52","94.26","93.21","946.69K","0.26"
"Nov 21, 2017","93.58","92.72","94.10","92.65","1.27M","1.13"
"Nov 20, 2017","92.53","91.74","92.56","91.62","1.03M","0.73"
"Nov 17, 2017","91.86","90.88","92.21","90.68","1.88M","1.15"
"Nov 16, 2017","90.82","91.13","91.41","90.63","1.09M","-0.01"
"Nov 15, 2017","90.83","91.10","91.32","90.39","613.19K","-0.31"
"Nov 14, 2017","91.11","89.99","91.59","89.97","1.04M","1.10"
"Nov 13, 2017","90.12","90.03","90.43","89.65","888.92K","-0.10"
"Nov 10, 2017","90.21","90.72","90.72","89.95","889.57K","-0.67"
"Nov 09, 2017","90.82","92.16","92.78","90.67","751.52K","-1.89"
"Nov 08, 2017","92.57","92.14","92.86","91.85","980.81K","0.30"
"Nov 07, 2017","92.29","91.80","92.92","91.70","924.53K","1.31"
"Nov 06, 2017","91.10","90.94","91.73","90.31","797.59K","0.08"
"Nov 03, 2017","91.03","91.08","91.41","90.15","877.08K","0.01"
"Nov 02, 2017","91.02","90.30","91.31","89.93","1.60M","1.27"
"Nov 01, 2017","89.88","86.00","91.34","86.00","2.41M","5.68"
"Oct 31, 2017","85.05","84.81","85.42","84.66","1.24M","0.41"
"Oct 30, 2017","84.70","84.92","85.16","84.40","778.97K","-0.28"
"Oct 27, 2017","84.94","84.53","85.35","84.36","1.17M","0.13"
"Oct 26, 2017","84.83","84.48","85.16","84.29","777.15K","0.75"
"Oct 25, 2017","84.20","84.53","84.93","83.96","540.56K","-0.80"
