Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,96.42,95.19,96.92,94.84,904.50K,1.52,VRSK,0.221099179,1.460243019,5.90787717,30,11,2017
29-Nov-17,94.98,95.29,95.92,94.81,681.70K,-0.26,VRSK,0.063005355,1.827313529,12.03997648,29,11,2017
28-Nov-17,95.23,94.41,95.25,94.13,759.52K,1.07,VRSK,0.201655699,2.031773479,11.46399055,28,11,2017
27-Nov-17,94.22,93.88,94.51,93.87,685.20K,0.36,VRSK,0,2.198998476,10.52507652,27,11,2017
24-Nov-17,93.88,93.8,94.13,93.52,223.85K,0.06,VRSK,-0.021317416,3.281215591,10.57408936,24,11,2017
22-Nov-17,93.82,93.52,94.26,93.21,946.69K,0.26,VRSK,-0.064116264,2.961576572,11.06888361,22,11,2017
21-Nov-17,93.58,92.72,94.1,92.65,1.27M,1.13,VRSK,0.205338809,1.767094721,9.236569274,21,11,2017
20-Nov-17,92.53,91.74,92.56,91.62,1.03M,0.73,VRSK,-0.130633573,1.797603196,8.222248437,20,11,2017
17-Nov-17,91.86,90.88,92.21,90.68,1.88M,1.15,VRSK,0.066064743,0.742711451,7.10665881,17,11,2017
16-Nov-17,90.82,91.13,91.41,90.63,1.09M,-0.01,VRSK,0.33028735,0.341334508,7.325403368,16,11,2017
15-Nov-17,90.83,91.1,91.32,90.39,613.19K,-0.31,VRSK,-0.010975744,-1.587987469,7.429245283,15,11,2017
14-Nov-17,91.11,89.99,91.59,89.97,1.04M,1.1,VRSK,-0.144252108,-2.492144328,6.737041869,14,11,2017
13-Nov-17,90.12,90.03,90.43,89.65,888.92K,-0.1,VRSK,-0.19953442,-1.17453348,7.08933032,13,11,2017
10-Nov-17,90.21,90.72,90.72,89.95,889.57K,-0.67,VRSK,-0.110107906,-0.340547072,8,10,11,2017
9-Nov-17,90.82,92.16,92.78,90.67,751.52K,-1.89,VRSK,-0.44290807,1.252471984,9.949892627,9,11,2017
8-Nov-17,92.57,92.14,92.86,91.85,980.81K,0.3,VRSK,-0.162531152,2.514463729,10.53262956,8,11,2017
7-Nov-17,92.29,91.8,92.92,91.7,924.53K,1.31,VRSK,0.768386389,7.936507937,9.625029854,7,11,2017
6-Nov-17,91.1,90.94,91.73,90.31,797.59K,0.08,VRSK,-0.098868505,7.367178276,9.132365295,6,11,2017
