"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","144.29","144.19","146.10","143.94","1.74M","0.38"
"Nov 29, 2017","143.75","147.01","148.34","142.44","1.31M","-2.42"
"Nov 28, 2017","147.32","148.86","149.00","146.05","1.12M","-0.83"
"Nov 27, 2017","148.55","146.84","149.29","146.72","1.20M","1.36"
"Nov 24, 2017","146.55","146.08","147.90","146.04","660.99K","-0.33"
"Nov 22, 2017","147.04","145.42","147.39","144.81","906.99K","1.33"
"Nov 21, 2017","145.11","145.71","146.36","143.50","1.50M","0.32"
"Nov 20, 2017","144.64","146.92","147.46","143.43","1.45M","-1.88"
"Nov 17, 2017","147.41","147.70","148.79","146.65","903.60K","-0.36"
"Nov 16, 2017","147.94","148.77","150.33","147.75","1.52M","-0.48"
"Nov 15, 2017","148.66","147.29","151.75","146.30","1.09M","0.57"
"Nov 14, 2017","147.82","147.40","149.05","145.42","1.21M","-0.14"
"Nov 13, 2017","148.03","147.44","148.73","146.25","743.63K","-0.48"
"Nov 10, 2017","148.74","148.26","149.27","146.10","861.05K","0.38"
"Nov 09, 2017","148.17","146.26","148.50","144.32","1.13M","0.52"
"Nov 08, 2017","147.40","151.51","152.00","146.69","1.19M","-2.58"
"Nov 07, 2017","151.31","149.03","151.34","148.32","1.38M","1.56"
"Nov 06, 2017","148.98","148.17","150.59","146.83","1.61M","-0.66"
"Nov 03, 2017","149.97","143.05","150.08","142.99","1.88M","3.50"
"Nov 02, 2017","144.90","142.01","146.51","142.01","2.05M","1.59"
"Nov 01, 2017","142.63","147.35","147.35","142.39","2.41M","-2.46"
"Oct 31, 2017","146.23","149.34","149.34","141.82","2.46M","-2.21"
"Oct 30, 2017","149.53","149.71","152.80","148.87","1.75M","-0.39"
"Oct 27, 2017","150.11","141.41","150.15","141.02","2.75M","4.42"
"Oct 26, 2017","143.76","144.88","147.43","139.05","3.74M","-2.07"
"Oct 25, 2017","146.80","150.08","151.09","146.08","2.39M","-2.85"
"Oct 24, 2017","151.11","151.06","152.87","148.34","1.83M","0.03"
"Oct 23, 2017","151.06","155.32","155.35","150.68","1.55M","-2.31"
"Oct 20, 2017","154.63","154.97","155.85","152.60","1.32M","0.02"
"Oct 19, 2017","154.60","154.57","155.79","152.42","1.31M","-0.10"
"Oct 18, 2017","154.76","155.29","158.04","154.02","1.05M","-0.19"
"Oct 17, 2017","155.05","154.55","156.00","154.02","795.37K","0.23"
"Oct 16, 2017","154.70","153.11","157.78","153.10","2.33M","1.17"
"Oct 13, 2017","152.91","155.00","155.49","152.68","930.28K","-0.69"
"Oct 12, 2017","153.98","152.93","154.85","152.84","1.54M","-0.03"
"Oct 11, 2017","154.02","153.85","154.64","151.65","1.76M","-0.32"
"Oct 10, 2017","154.52","155.19","156.23","153.50","1.06M","-0.66"
"Oct 09, 2017","155.55","155.85","157.29","154.46","1.14M","0.29"
"Oct 06, 2017","155.10","152.43","156.46","152.31","1.55M","1.84"
"Oct 05, 2017","152.30","153.09","153.57","150.96","1.27M","-0.14"
"Oct 04, 2017","152.51","152.26","153.82","151.36","970.19K","0.00"
"Oct 03, 2017","152.51","152.21","152.99","150.18","995.01K","0.18"
"Oct 02, 2017","152.23","151.23","153.17","150.10","2.06M","0.12"
"Sep 29, 2017","152.04","151.21","152.34","149.18","1.50M","1.62"
"Sep 28, 2017","149.62","148.60","150.99","147.60","2.11M","0.37"
"Sep 27, 2017","149.07","148.86","150.98","147.30","2.11M","0.41"
"Sep 26, 2017","148.46","149.85","150.82","148.00","1.76M","-0.43"
"Sep 25, 2017","149.10","151.19","152.79","148.77","1.74M","-1.43"
"Sep 22, 2017","151.26","151.54","152.07","148.58","1.27M","-0.53"
"Sep 21, 2017","152.06","153.22","153.29","151.69","808.17K","-0.43"
"Sep 20, 2017","152.72","153.29","155.14","151.51","1.93M","-0.18"
"Sep 19, 2017","153.00","153.27","154.09","151.60","1.43M","-0.13"
"Sep 18, 2017","153.20","153.59","155.11","151.79","1.39M","-0.27"
"Sep 15, 2017","153.61","153.86","155.95","152.64","3.11M","0.15"
"Sep 14, 2017","153.38","156.05","156.56","152.88","1.46M","-2.18"
"Sep 13, 2017","156.80","156.79","157.95","155.70","995.08K","-0.01"
"Sep 12, 2017","156.82","156.65","157.79","155.40","800.81K","-0.63"
"Sep 11, 2017","157.81","161.05","161.46","155.33","1.52M","-0.64"
"Sep 08, 2017","158.83","159.61","161.44","157.38","1.06M","-0.36"
"Sep 07, 2017","159.41","157.08","159.68","155.52","1.24M","1.48"
"Sep 06, 2017","157.08","159.50","160.80","156.91","1.33M","-1.25"
"Sep 05, 2017","159.07","161.37","162.07","157.00","1.33M","-1.95"
"Sep 01, 2017","162.24","160.76","163.64","158.85","1.71M","1.06"
"Aug 31, 2017","160.54","156.57","160.85","154.03","3.33M","2.72"
"Aug 30, 2017","156.29","152.52","158.09","152.52","1.25M","2.22"
"Aug 29, 2017","152.89","151.86","154.16","151.77","888.42K","-0.33"
"Aug 28, 2017","153.40","154.64","154.91","151.05","1.19M","0.08"
"Aug 25, 2017","153.27","156.88","156.93","152.25","943.84K","-1.80"
"Aug 24, 2017","156.08","153.60","156.63","151.10","1.15M","1.85"
"Aug 23, 2017","153.25","154.46","154.90","152.05","989.44K","-1.43"
"Aug 22, 2017","155.48","149.19","155.92","149.19","1.66M","4.34"
"Aug 21, 2017","149.01","148.00","150.26","147.42","1.09M","0.59"
"Aug 18, 2017","148.13","147.65","150.11","147.18","887.14K","-0.28"
"Aug 17, 2017","148.54","150.93","152.41","148.52","1.02M","-1.87"
"Aug 16, 2017","151.37","152.79","153.26","150.31","913.41K","-0.88"
"Aug 15, 2017","152.72","154.45","155.28","152.55","734.86K","-1.15"
