Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,144.29,144.19,146.1,143.94,1.74M,0.38,VRTX,0.306086957,-1.938248096,1.093739045,30,11,2017
29-Nov-17,143.75,147.01,148.34,142.44,1.31M,-2.42,VRTX,-0.210426283,1.309351526,0.533406278,29,11,2017
28-Nov-17,147.32,148.86,149,146.05,1.12M,-0.83,VRTX,0.208683945,2.917588496,-0.448070621,28,11,2017
27-Nov-17,148.55,146.84,149.29,146.72,1.20M,1.36,VRTX,0.197884681,-0.386676616,-2.178402505,27,11,2017
24-Nov-17,146.55,146.08,147.9,146.04,660.99K,-0.33,VRTX,-0.652883569,-1.257266459,1.613800779,24,11,2017
22-Nov-17,147.04,145.42,147.39,144.81,906.99K,1.33,VRTX,0.213631039,-2.179469931,-0.940054496,22,11,2017
21-Nov-17,145.11,145.71,146.36,143.5,1.50M,0.32,VRTX,0.739767699,-1.427411717,-3.573555688,21,11,2017
20-Nov-17,144.64,146.92,147.46,143.43,1.45M,-1.88,VRTX,-0.332406214,-0.749848004,-2.740632861,20,11,2017
17-Nov-17,147.41,147.7,148.79,146.65,903.60K,-0.36,VRTX,-0.16222793,-0.699206669,-4.481665912,17,11,2017
16-Nov-17,147.94,148.77,150.33,147.75,1.52M,-0.48,VRTX,0.07399435,0.404940271,-3.771021992,16,11,2017
15-Nov-17,148.66,147.29,151.75,146.3,1.09M,0.57,VRTX,-0.358544175,-0.074626866,-4.826828638,15,11,2017
14-Nov-17,147.82,147.4,149.05,145.42,1.21M,-0.14,VRTX,-0.425589408,-2.58409887,-4.933892293,14,11,2017
13-Nov-17,148.03,147.44,148.73,146.25,743.63K,-0.48,VRTX,-0.874008337,-1.033695798,-4.692954105,13,11,2017
10-Nov-17,148.74,148.26,149.27,146.1,861.05K,0.38,VRTX,0.060741041,-1.140228046,-3.041004512,10,11,2017
9-Nov-17,148.17,146.26,148.5,144.32,1.13M,0.52,VRTX,-0.773405699,0.93857833,-5.013638135,9,11,2017
8-Nov-17,147.4,151.51,152,146.69,1.19M,-2.58,VRTX,0.13217897,6.22589918,-1.629658486,8,11,2017
7-Nov-17,151.31,149.03,151.34,148.32,1.38M,1.56,VRTX,0.033561552,1.914791766,-3.552938131,7,11,2017
6-Nov-17,148.98,148.17,150.59,146.83,1.61M,-0.66,VRTX,-1.200240048,-0.909516485,-4.744455159,6,11,2017
3-Nov-17,149.97,143.05,150.08,142.99,1.88M,3.5,VRTX,-1.276742581,-4.70321764,-7.769181173,3,11,2017
2-Nov-17,144.9,142.01,146.51,142.01,2.05M,1.59,VRTX,-0.434691159,-1.217306622,-6.756401838,2,11,2017
1-Nov-17,142.63,147.35,147.35,142.39,2.41M,-2.46,VRTX,0.765916707,0.374659401,-3.383384696,1,11,2017
31-Oct-17,146.23,149.34,149.34,141.82,2.46M,-2.21,VRTX,-0.127064803,-1.171332142,-2.078552226,31,10,2017
30-Oct-17,149.53,149.71,152.8,148.87,1.75M,-0.39,VRTX,-0.266471254,-0.893684629,-1.655389871,30,10,2017
27-Oct-17,150.11,141.41,150.15,141.02,2.75M,4.42,VRTX,-1.634668893,-8.5494406,-6.991581163,27,10,2017
26-Oct-17,143.76,144.88,147.43,139.05,3.74M,-2.07,VRTX,-1.307901907,-6.287192755,-3.168025665,26,10,2017
25-Oct-17,146.8,150.08,151.09,146.08,2.39M,-2.85,VRTX,-0.681622659,-3.024037219,0.677534044,25,10,2017
24-Oct-17,151.11,151.06,152.87,148.34,1.83M,0.03,VRTX,0,-2.573363431,1.751313485,24,10,2017
23-Oct-17,151.06,155.32,155.35,150.68,1.55M,-2.31,VRTX,0.446226476,0.400775695,4.171696848,23,10,2017
20-Oct-17,154.63,154.97,155.85,152.6,1.32M,0.02,VRTX,0.239327296,1.347197698,2.452730398,20,10,2017
19-Oct-17,154.6,154.57,155.79,152.42,1.31M,-0.1,VRTX,-0.122770742,0.383166645,1.650664211,19,10,2017
18-Oct-17,154.76,155.29,158.04,154.02,1.05M,-0.19,VRTX,0.154788778,0.824568238,1.682818229,18,10,2017
17-Oct-17,155.05,154.55,156,154.02,795.37K,0.23,VRTX,-0.096961862,0.019414962,1.013071895,17,10,2017
16-Oct-17,154.7,153.11,157.78,153.1,2.33M,1.17,VRTX,0.130795893,-1.568627451,-0.058746736,16,10,2017
13-Oct-17,152.91,155,155.49,152.68,930.28K,-0.69,VRTX,0.662423691,-0.064474533,0.904889005,13,10,2017
12-Oct-17,153.98,152.93,154.85,152.84,1.54M,-0.03,VRTX,-0.707700299,0.413657255,-0.293388969,12,10,2017
11-Oct-17,154.02,153.85,154.64,151.65,1.76M,-0.32,VRTX,-0.433600828,0.878630909,-1.881377551,11,10,2017
10-Oct-17,154.52,155.19,156.23,153.5,1.06M,-0.66,VRTX,-0.231436837,1.757261819,-1.039408239,10,10,2017
9-Oct-17,155.55,155.85,157.29,154.46,1.14M,0.29,VRTX,0.483558994,2.377980687,-1.241999873,9,10,2017
6-Oct-17,155.1,152.43,156.46,152.31,1.55M,1.84,VRTX,0.085357846,0.256511444,-4.029465466,6,10,2017
5-Oct-17,152.3,153.09,153.57,150.96,1.27M,-0.14,VRTX,0.380302931,2.319208662,-3.964619535,5,10,2017
4-Oct-17,152.51,152.26,153.82,151.36,970.19K,0,VRTX,-0.163923677,2.139934259,-3.068500127,4,10,2017
