"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","72.76","71.93","72.92","70.77","11.38M","1.17"
"Nov 29, 2017","71.92","72.35","73.36","71.77","6.24M","-0.44"
"Nov 28, 2017","72.24","69.43","72.47","69.02","7.59M","4.11"
"Nov 27, 2017","69.39","70.64","70.70","69.26","5.34M","-1.27"
"Nov 24, 2017","70.28","71.01","71.41","70.22","1.68M","-1.47"
"Nov 22, 2017","71.33","71.13","72.12","71.07","4.39M","0.24"
"Nov 21, 2017","71.16","70.66","71.26","70.39","8.05M","0.54"
"Nov 20, 2017","70.78","70.97","71.45","69.82","6.84M","-0.66"
"Nov 17, 2017","71.25","71.44","71.98","71.00","6.23M","-0.07"
"Nov 16, 2017","71.30","70.26","71.41","70.02","4.20M","1.57"
"Nov 15, 2017","70.20","70.61","70.88","69.92","4.42M","-0.55"
"Nov 14, 2017","70.59","70.16","70.93","69.57","5.27M","0.31"
"Nov 13, 2017","70.37","70.71","73.83","69.27","12.46M","-0.87"
"Nov 10, 2017","70.99","68.93","71.09","68.76","12.38M","2.09"
"Nov 09, 2017","69.54","68.91","69.93","68.36","7.91M","0.93"
"Nov 08, 2017","68.90","67.86","69.12","67.41","7.81M","1.44"
"Nov 07, 2017","67.92","65.76","68.46","65.75","9.46M","3.00"
"Nov 06, 2017","65.94","66.75","66.97","65.86","5.95M","-1.39"
"Nov 03, 2017","66.87","66.85","67.54","66.51","14.07M","0.13"
"Nov 02, 2017","66.78","67.37","68.05","66.30","8.04M","-0.34"
"Nov 01, 2017","67.01","65.34","67.80","65.17","9.70M","1.12"
"Oct 31, 2017","66.27","66.22","66.75","65.67","12.22M","0.02"
"Oct 30, 2017","66.26","64.45","66.48","64.25","12.61M","2.76"
"Oct 27, 2017","64.48","66.57","66.96","63.82","21.90M","-3.92"
"Oct 26, 2017","67.11","69.64","70.26","66.38","19.13M","-3.24"
"Oct 25, 2017","69.36","70.00","70.11","66.05","16.80M","3.08"
"Oct 24, 2017","67.29","67.68","68.09","67.23","8.08M","-0.33"
"Oct 23, 2017","67.51","68.11","68.45","67.47","6.71M","-0.81"
"Oct 20, 2017","68.06","67.21","68.31","67.06","8.82M","1.28"
"Oct 19, 2017","67.20","67.77","68.14","67.11","4.98M","-0.80"
"Oct 18, 2017","67.74","67.46","68.17","67.41","5.10M","0.50"
"Oct 17, 2017","67.40","67.31","67.74","66.92","5.93M","0.13"
"Oct 16, 2017","67.31","67.64","68.17","67.21","6.42M","-0.37"
"Oct 13, 2017","67.56","68.99","69.03","67.40","8.76M","-2.09"
"Oct 12, 2017","69.00","68.80","69.61","68.55","6.12M","0.12"
"Oct 11, 2017","68.92","69.87","70.03","68.80","7.58M","-1.33"
"Oct 10, 2017","69.85","70.80","70.99","69.28","12.13M","-1.44"
"Oct 09, 2017","70.87","73.36","73.37","70.21","12.53M","-3.18"
"Oct 06, 2017","73.20","75.95","76.24","72.77","11.63M","-4.87"
"Oct 05, 2017","76.95","76.43","77.07","75.80","4.62M","1.48"
"Oct 04, 2017","75.83","76.61","76.95","75.68","4.65M","-1.25"
