Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,72.76,71.93,72.92,70.77,11.38M,1.17,WBA,0.013904338,0.841160802,7.342187733,30,11,2017
29-Nov-17,71.92,72.35,73.36,71.77,6.24M,-0.44,WBA,0.15227021,1.672287802,9.174588803,29,11,2017
28-Nov-17,72.24,69.43,72.47,69.02,7.59M,4.11,WBA,0.057645194,-1.907318452,4.784183519,28,11,2017
27-Nov-17,69.39,70.64,70.7,69.26,5.34M,-1.27,WBA,0.512236767,-0.856140351,9.553349876,27,11,2017
24-Nov-17,70.28,71.01,71.41,70.22,1.68M,-1.47,WBA,-0.448619094,-0.406732118,5.811354493,24,11,2017
22-Nov-17,71.33,71.13,72.12,71.07,4.39M,0.24,WBA,-0.042158516,1.324786325,2.551903114,22,11,2017
21-Nov-17,71.16,70.66,71.26,70.39,8.05M,0.54,WBA,-0.169539418,0.099164188,5.008173577,21,11,2017
20-Nov-17,70.78,70.97,71.45,69.82,6.84M,-0.66,WBA,-0.392982456,0.852636067,5.125166642,20,11,2017
17-Nov-17,71.25,71.44,71.98,71,6.23M,-0.07,WBA,0.196353436,0.633892097,4.966206289,17,11,2017
16-Nov-17,71.3,70.26,71.41,70.02,4.20M,1.57,WBA,0.085470085,1.035375324,4.553571429,16,11,2017
15-Nov-17,70.2,70.61,70.88,69.92,4.42M,-0.55,WBA,0.028332625,2.481857765,4.236787718,15,11,2017
14-Nov-17,70.59,70.16,70.93,69.57,5.27M,0.31,WBA,-0.298422623,3.297997644,4.09495549,14,11,2017
13-Nov-17,70.37,70.71,73.83,69.27,12.46M,-0.87,WBA,-0.39442175,7.233848954,5.051255386,13,11,2017
10-Nov-17,70.99,68.93,71.09,68.76,12.38M,2.09,WBA,-0.877192982,3.080604157,2.027827117,10,11,2017
9-Nov-17,69.54,68.91,69.93,68.36,7.91M,0.93,WBA,0.014513788,3.189577718,-0.130434783,9,11,2017
8-Nov-17,68.9,67.86,69.12,67.41,7.81M,1.44,WBA,-0.088339223,1.268467393,-1.53801509,8,11,2017
7-Nov-17,67.92,65.76,68.46,65.75,9.46M,3,WBA,-0.272975432,-0.769578995,-5.855404438,7,11,2017
6-Nov-17,65.94,66.75,66.97,65.86,5.95M,-1.39,WBA,-0.179452669,0.739511017,-5.813461267,6,11,2017
3-Nov-17,66.87,66.85,67.54,66.51,14.07M,0.13,WBA,0.104821803,3.675558313,-8.674863388,3,11,2017
2-Nov-17,66.78,67.37,68.05,66.3,8.04M,-0.34,WBA,0.537233249,0.387423633,-12.44964263,2,11,2017
1-Nov-17,67.01,65.34,67.8,65.17,9.70M,1.12,WBA,-1.403349932,-5.795847751,-13.8335751,1,11,2017
31-Oct-17,66.27,66.22,66.75,65.67,12.22M,0.02,WBA,-0.060368246,-1.590132263,-13.76481313,31,10,2017
30-Oct-17,66.26,64.45,66.48,64.25,12.61M,2.76,WBA,-0.046526055,-4.532661828,-15.8616188,30,10,2017
27-Oct-17,64.48,66.57,66.96,63.82,21.90M,-3.92,WBA,-0.804649084,-2.189244784,-13.79176379,27,10,2017
26-Oct-17,67.11,69.64,70.26,66.38,19.13M,-3.24,WBA,0.403690888,3.630952381,-10.16511868,26,10,2017
25-Oct-17,69.36,70,70.11,66.05,16.80M,3.08,WBA,4.027344331,3.336285799,-10.42866283,25,10,2017
24-Oct-17,67.29,67.68,68.09,67.23,8.08M,-0.33,WBA,0.251814546,0.415430267,-14.41578149,24,10,2017
23-Oct-17,67.51,68.11,68.45,67.47,6.71M,-0.81,WBA,0.07346459,1.188530679,-13.74113475,23,10,2017
20-Oct-17,68.06,67.21,68.31,67.06,8.82M,1.28,WBA,0.014880952,-0.518058022,-14.28389236,20,10,2017
19-Oct-17,67.2,67.77,68.14,67.11,4.98M,-0.8,WBA,0.04428698,-1.782608696,-13.33759591,19,10,2017
18-Oct-17,67.74,67.46,68.17,67.41,5.10M,0.5,WBA,0.089020772,-2.118398143,-14.43429731,18,10,2017
17-Oct-17,67.4,67.31,67.74,66.92,5.93M,0.13,WBA,0,-3.636363636,-17.1161187,17,10,2017
16-Oct-17,67.31,67.64,68.17,67.21,6.42M,-0.37,WBA,0.118413262,-4.557640751,-18.11138015,16,10,2017
13-Oct-17,67.56,68.99,69.03,67.4,8.76M,-2.09,WBA,-0.014492754,-5.75136612,-16.37575758,13,10,2017
12-Oct-17,69,68.8,69.61,68.55,6.12M,0.12,WBA,-0.174114916,-10.59129305,-16.10779173,12,10,2017
11-Oct-17,68.92,69.87,70.03,68.8,7.58M,-1.33,WBA,0.028632785,-7.85968614,-15.54454249,11,10,2017
10-Oct-17,69.85,70.8,70.99,69.28,12.13M,-1.44,WBA,-0.0987724,-7.800494856,-14.43074692,10,10,2017
9-Oct-17,70.87,73.36,73.37,70.21,12.53M,-3.18,WBA,0.218579235,-4.229765013,-10.84103063,9,10,2017
6-Oct-17,73.2,75.95,76.24,72.77,11.63M,-4.87,WBA,-1.299545159,-1.644651645,-6.683867797,6,10,2017
5-Oct-17,76.95,76.43,77.07,75.8,4.62M,1.48,WBA,0.791243571,-1.406088751,-6.289847965,5,10,2017
