"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","78.86","81.92","82.10","78.60","7.17M","-2.64"
"Nov 29, 2017","81.00","86.34","86.49","80.60","7.15M","-6.78"
"Nov 28, 2017","86.89","87.10","87.45","85.94","4.45M","0.39"
"Nov 27, 2017","86.55","88.31","88.33","85.33","11.07M","-6.71"
"Nov 24, 2017","92.78","92.96","93.16","92.25","937.14K","-0.14"
"Nov 22, 2017","92.91","92.43","93.22","91.71","2.23M","0.61"
"Nov 21, 2017","92.35","91.59","93.31","91.26","3.08M","1.62"
"Nov 20, 2017","90.88","90.50","91.13","89.73","2.67M","-0.46"
"Nov 17, 2017","91.30","91.17","91.64","90.53","1.59M","0.10"
"Nov 16, 2017","91.21","90.59","91.72","90.43","2.35M","0.94"
"Nov 15, 2017","90.36","90.80","91.18","89.51","3.57M","-1.33"
"Nov 14, 2017","91.58","89.75","92.29","89.01","5.25M","3.55"
"Nov 13, 2017","88.44","88.13","89.09","88.13","2.14M","-0.54"
"Nov 10, 2017","88.92","88.25","89.37","87.60","3.23M","1.47"
"Nov 09, 2017","87.63","86.50","88.24","86.05","2.85M","0.59"
"Nov 08, 2017","87.12","86.26","87.42","85.53","2.78M","1.20"
"Nov 07, 2017","86.09","87.85","87.92","85.96","3.64M","-2.00"
"Nov 06, 2017","87.85","86.67","88.18","86.53","3.08M","0.97"
"Nov 03, 2017","87.01","89.08","89.14","86.51","2.94M","-1.79"
"Nov 02, 2017","88.60","89.10","89.16","87.71","2.61M","-0.72"
"Nov 01, 2017","89.24","90.01","91.23","88.90","3.78M","-0.03"
"Oct 31, 2017","89.27","86.25","90.16","85.78","5.66M","4.06"
"Oct 30, 2017","85.79","86.96","88.09","85.52","5.14M","-1.52"
"Oct 27, 2017","87.11","88.36","88.63","84.32","7.78M","-2.54"
"Oct 26, 2017","89.38","87.68","89.66","87.52","4.32M","2.39"
"Oct 25, 2017","87.29","87.50","88.19","86.52","2.81M","-0.68"
"Oct 24, 2017","87.89","88.33","89.30","87.60","2.58M","-0.11"
"Oct 23, 2017","87.99","90.00","90.33","87.95","4.80M","1.83"
"Oct 20, 2017","86.41","86.37","87.72","86.00","2.76M","1.09"
"Oct 19, 2017","85.48","85.56","85.71","84.21","2.10M","-0.02"
"Oct 18, 2017","85.50","85.71","86.28","84.75","3.46M","-0.33"
"Oct 17, 2017","85.78","86.47","86.91","85.23","2.99M","-1.21"
"Oct 16, 2017","86.83","87.74","87.82","86.53","2.69M","-1.10"
"Oct 13, 2017","87.80","86.57","88.25","86.10","5.33M","2.38"
"Oct 12, 2017","85.76","85.60","86.24","85.20","2.16M","0.16"
"Oct 11, 2017","85.62","85.99","86.98","85.51","2.92M","-0.45"
"Oct 10, 2017","86.01","85.60","86.78","85.00","3.80M","2.06"
"Oct 09, 2017","84.27","84.35","84.52","83.68","2.04M","0.50"
"Oct 06, 2017","83.85","83.48","85.67","83.01","3.49M","0.32"
"Oct 05, 2017","83.58","83.00","84.49","82.15","5.48M","-0.91"
"Oct 04, 2017","84.35","82.84","84.84","82.63","3.41M","1.63"
"Oct 03, 2017","83.00","83.22","83.60","82.32","4.58M","-0.47"
"Oct 02, 2017","83.39","84.84","85.00","82.55","7.50M","-3.48"
"Sep 29, 2017","86.40","86.50","87.02","85.80","3.73M","-0.36"
"Sep 28, 2017","86.71","87.25","87.83","85.31","4.76M","-2.27"
"Sep 27, 2017","88.72","86.99","89.21","86.65","3.98M","2.83"
"Sep 26, 2017","86.28","87.04","87.82","86.09","3.74M","0.22"
