Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,78.86,81.92,82.1,78.6,7.17M,-2.64,WDC,1.135802469,-11.82865138,-8.202599731,30,11,2017
29-Nov-17,81,86.34,86.49,80.6,7.15M,-6.78,WDC,-0.632984233,-6.507850568,-3.282177663,29,11,2017
28-Nov-17,86.89,87.1,87.45,85.94,4.45M,0.39,WDC,0.635470826,-4.159330986,1.526984497,28,11,2017
27-Nov-17,86.55,88.31,88.33,85.33,11.07M,-6.71,WDC,-4.817848674,-3.274917853,1.377568591,27,11,2017
24-Nov-17,92.78,92.96,93.16,92.25,937.14K,-0.14,WDC,0.05381552,1.918649271,4.005370329,24,11,2017
22-Nov-17,92.91,92.43,93.22,91.71,2.23M,0.61,WDC,0.086626963,2.290836653,5.888417917,22,11,2017
21-Nov-17,92.35,91.59,93.31,91.26,3.08M,1.62,WDC,0.78125,0.010919415,4.209807714,21,11,2017
20-Nov-17,90.88,90.5,91.13,89.73,2.67M,-0.46,WDC,-0.876232202,2.329262777,2.852596886,20,11,2017
17-Nov-17,91.3,91.17,91.64,90.53,1.59M,0.1,WDC,-0.04385484,2.530364372,5.508621687,17,11,2017
16-Nov-17,91.21,90.59,91.72,90.43,2.35M,0.94,WDC,0.254537406,3.37783864,5.978006551,16,11,2017
15-Nov-17,90.36,90.8,91.18,89.51,3.57M,-1.33,WDC,-0.851714348,4.22405877,6.198830409,15,11,2017
14-Nov-17,91.58,89.75,92.29,89.01,5.25M,3.55,WDC,1.481230213,4.251364851,4.628118443,14,11,2017
13-Nov-17,88.44,88.13,89.09,88.13,2.14M,-0.54,WDC,-0.888439046,0.3187251,1.497178395,13,11,2017
10-Nov-17,88.92,88.25,89.37,87.6,3.23M,1.47,WDC,0.707520256,1.425123549,0.512528474,10,11,2017
9-Nov-17,87.63,86.5,88.24,86.05,2.85M,0.59,WDC,-0.711662075,-2.37020316,0.862873134,9,11,2017
8-Nov-17,87.12,86.26,87.42,85.53,2.78M,1.2,WDC,0.197467766,-3.339309727,0.747488904,8,11,2017
7-Nov-17,86.09,87.85,87.92,85.96,3.64M,-2,WDC,0,-1.59067996,2.13928613,7,11,2017
6-Nov-17,87.85,86.67,88.18,86.53,3.08M,0.97,WDC,-0.390759683,1.025760578,2.847988608,6,11,2017
3-Nov-17,87.01,89.08,89.14,86.51,2.94M,-1.79,WDC,0.541760722,2.261508438,6.237328563,3,11,2017
2-Nov-17,88.6,89.1,89.16,87.71,2.61M,-0.72,WDC,-0.156880323,-0.313269188,6.604450826,2,11,2017
1-Nov-17,89.24,90.01,91.23,88.9,3.78M,-0.03,WDC,0.828945894,3.116049948,6.710136337,1,11,2017
31-Oct-17,89.27,86.25,90.16,85.78,5.66M,4.06,WDC,0.536193029,-1.865968825,3.915662651,31,10,2017
30-Oct-17,85.79,86.96,88.09,85.52,5.14M,-1.52,WDC,-0.172196074,-1.170587567,4.28108886,30,10,2017
27-Oct-17,87.11,88.36,88.63,84.32,7.78M,-2.54,WDC,-1.141194898,2.256683254,2.268518519,27,10,2017
26-Oct-17,89.38,87.68,89.66,87.52,4.32M,2.39,WDC,0.446786573,2.573701451,1.118671434,26,10,2017
25-Oct-17,87.29,87.5,88.19,86.52,2.81M,-0.68,WDC,-0.443736489,2.339181287,-1.375112714,25,10,2017
24-Oct-17,87.89,88.33,89.3,87.6,2.58M,-0.11,WDC,0.386407546,2.972720914,2.375985165,24,10,2017
23-Oct-17,87.99,90,90.33,87.95,4.80M,1.83,WDC,4.154611735,3.650811931,4.541758625,23,10,2017
20-Oct-17,86.41,86.37,87.72,86,2.76M,1.09,WDC,1.041179223,-1.628701595,-0.12719704,20,10,2017
19-Oct-17,85.48,85.56,85.71,84.21,2.10M,-0.02,WDC,0.070175439,-0.233208955,0.081880922,19,10,2017
18-Oct-17,85.5,85.71,86.28,84.75,3.46M,-0.33,WDC,-0.081604104,0.105115627,-0.76415422,18,10,2017
17-Oct-17,85.78,86.47,86.91,85.23,2.99M,-1.21,WDC,-0.414603248,0.534821532,-3.836743772,17,10,2017
16-Oct-17,86.83,87.74,87.82,86.53,2.69M,-1.1,WDC,-0.06833713,4.117716862,-1.614711819,16,10,2017
13-Oct-17,87.8,86.57,88.25,86.1,5.33M,2.38,WDC,0.944496269,3.243887895,-2.202892002,13,10,2017
12-Oct-17,85.76,85.6,86.24,85.2,2.16M,0.16,WDC,-0.023359028,2.416846135,-0.221471034,12,10,2017
11-Oct-17,85.62,85.99,86.98,85.51,2.92M,-0.45,WDC,-0.02325311,1.944279787,0.291579193,11,10,2017
10-Oct-17,86.01,85.6,86.78,85,3.80M,2.06,WDC,1.578260354,3.13253012,-3.581887813,10,10,2017
9-Oct-17,84.27,84.35,84.52,83.68,2.04M,0.5,WDC,0.596302922,1.151217172,-3.467612726,9,10,2017
6-Oct-17,83.85,83.48,85.67,83.01,3.49M,0.32,WDC,-0.119645848,-3.37962963,-4.045977011,6,10,2017
5-Oct-17,83.58,83,84.49,82.15,5.48M,-0.91,WDC,-1.600474215,-4.278629916,-6.129834879,5,10,2017
4-Oct-17,84.35,82.84,84.84,82.63,3.41M,1.63,WDC,-0.192771084,-6.627592426,-7.50334971,4,10,2017
3-Oct-17,83,83.22,83.6,82.32,4.58M,-0.47,WDC,-0.203861374,-3.54659249,-7.016759777,3,10,2017
2-Oct-17,83.39,84.84,85,82.55,7.50M,-3.48,WDC,-1.805555556,-1.45196887,-6.160822918,2,10,2017
29-Sep-17,86.4,86.5,87.02,85.8,3.73M,-0.36,WDC,-0.242186599,0.023126735,-2.005211284,29,9,2017
28-Sep-17,86.71,87.25,87.83,85.31,4.76M,-2.27,WDC,-1.656898106,2.058720318,-3.377630122,28,9,2017
27-Sep-17,88.72,86.99,89.21,86.65,3.98M,2.83,WDC,0.822902179,0.717841843,-3.419562562,27,9,2017
26-Sep-17,86.28,87.04,87.82,86.09,3.74M,0.22,WDC,1.103496341,-3.202846975,-3.886925795,26,9,2017
25-Sep-17,86.09,86.11,87.15,85.5,2.79M,-0.45,WDC,-0.427844588,-3.442475891,-4.587257618,25,9,2017
22-Sep-17,86.48,85.42,86.64,85.27,3.15M,1.16,WDC,-0.081880922,-3.502033439,-4.505310229,22,9,2017
21-Sep-17,85.49,86.14,86.3,84.16,4.31M,-1.02,WDC,-0.266296168,0.407972957,-2.457252859,21,9,2017
20-Sep-17,86.37,86.21,86.85,84.12,7.82M,-3.95,WDC,-4.12588968,0.548168883,-0.50778996,20,9,2017
19-Sep-17,89.92,88.7,90.95,86.7,7.99M,0.83,WDC,-0.538237273,-0.090110385,5.771523969,19,9,2017
18-Sep-17,89.18,89.01,89.36,87.68,3.12M,0.75,WDC,0.553547221,1.865415427,6.983173077,18,9,2017
15-Sep-17,88.52,86.09,89.08,86.09,6.02M,3.18,WDC,0.349691106,-1.045977011,4.376818623,15,9,2017
14-Sep-17,85.79,85.35,86.44,85.12,2.94M,0.06,WDC,-0.454863541,-3.472065144,-0.582411182,14,9,2017
13-Sep-17,85.74,86.5,86.5,83.32,8.72M,-3.42,WDC,-2.568145979,-3.416703886,3.197327607,13,9,2017
12-Sep-17,88.78,87.55,89.4,87.11,4.01M,1.6,WDC,0.194552529,-2.17877095,5.698418447,12,9,2017
11-Sep-17,87.38,87.69,88.3,86.82,3.27M,0.44,WDC,0.793103448,-3.008516757,9.749687109,11,9,2017
8-Sep-17,87,88.4,88.83,86.26,4.00M,-1.61,WDC,-0.022619317,0.147275405,11.63025635,8,9,2017
7-Sep-17,88.42,90,90,88.38,2.57M,-1.27,WDC,0.491290755,-0.332225914,11.12483023,7,9,2017
6-Sep-17,89.56,89.95,90.98,88.54,4.22M,0.07,WDC,0.502793296,-0.13322971,10.58519793,6,9,2017
5-Sep-17,89.5,90,91.17,88.37,3.54M,-1.01,WDC,-0.453489658,-0.618374558,11.15227862,5,9,2017
1-Sep-17,90.41,88.67,90.71,88.57,3.47M,2.42,WDC,0.453155092,-1.750692521,9.239866946,1,9,2017
31-Aug-17,88.27,90.3,90.46,87.48,4.60M,-2.25,WDC,0,0.950251537,6.851260206,31,8,2017
30-Aug-17,90.3,88.75,90.71,87.44,3.65M,0.26,WDC,-1.465526812,0.498244819,5.191418751,30,8,2017
29-Aug-17,90.07,89.43,90.37,88.08,3.63M,-0.54,WDC,-1.247791519,3.20830929,4.388934283,29,8,2017
28-Aug-17,90.56,91.03,92.14,90.06,4.31M,0.34,WDC,0.864265928,8.549964226,6.943139098,28,8,2017
25-Aug-17,90.25,89.15,90.71,88.6,3.26M,0.89,WDC,-0.335382895,7.151442308,4.919383312,25,8,2017
24-Aug-17,89.45,89,90.18,88.35,3.53M,1.29,WDC,0.781338467,7.904946654,-3.155603917,24,8,2017
23-Aug-17,88.31,86.42,89,86.06,4.82M,1.92,WDC,-0.265435661,0.663948748,-7.035283993,23,8,2017
22-Aug-17,86.65,84.48,86.99,84.24,4.42M,3.33,WDC,0.739327451,0.787401575,-9.888,22,8,2017
