Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,158.08,155.68,158.82,153.01,1.47M,1.29,WYNN,-0.249887871,-1.896779885,2.72517321,30,11,2017
29-Nov-17,156.07,158.02,158.25,153.67,1.63M,-0.91,WYNN,0.33015873,-0.346849972,7.139467083,29,11,2017
28-Nov-17,157.5,158.62,159.7,157.03,1.41M,-0.62,WYNN,0.082024102,1.057594292,12.32915516,28,11,2017
27-Nov-17,158.49,158.63,160,158.12,945.02K,-0.58,WYNN,-0.495546356,4.169950092,10.81383165,27,11,2017
24-Nov-17,159.42,158.58,159.99,158.4,436.99K,0.46,WYNN,-0.069317537,3.511749347,9.109673868,24,11,2017
22-Nov-17,158.69,158.53,159.55,157.72,962.29K,0.08,WYNN,-0.025225452,4.557446247,10.4661696,22,11,2017
21-Nov-17,158.57,156.96,158.73,156.69,916.92K,1.03,WYNN,0,2.1875,8.315506176,21,11,2017
20-Nov-17,156.96,153.75,157.81,153.59,1.77M,3.07,WYNN,0.965327029,-0.959804174,6.210279083,20,11,2017
17-Nov-17,152.28,152.9,153.69,151.98,849.58K,-0.6,WYNN,-0.195822454,-0.73362332,5.857103295,17,11,2017
16-Nov-17,153.2,152,154.3,151.81,1.27M,1.04,WYNN,0.250626566,-1.035223647,4.445818732,16,11,2017
15-Nov-17,151.62,152.5,152.5,150.01,1.19M,-1.29,WYNN,-0.716145833,-0.189802998,4.933599394,15,11,2017
14-Nov-17,153.6,154.54,155.27,152.28,1.10M,-1.06,WYNN,-0.450914713,1.544122478,5.56010929,14,11,2017
13-Nov-17,155.24,153.75,156.4,153.52,1.28M,0.79,WYNN,-0.18178277,1.558887641,4.72719842,13,11,2017
10-Nov-17,154.03,153.19,154.67,153.01,903.89K,0.29,WYNN,-0.260433622,2.06542741,7.630155273,10,11,2017
9-Nov-17,153.59,151.95,154.09,151.24,1.46M,0.52,WYNN,-0.5497742,1.266244585,7.94970162,9,11,2017
8-Nov-17,152.79,152.25,153,151.09,2.15M,0.39,WYNN,0.039424404,0.461893764,6.26788581,8,11,2017
7-Nov-17,152.19,152.85,153.42,150.74,1.29M,0.53,WYNN,0.964396592,3.634144688,7.233057387,7,11,2017
6-Nov-17,151.39,150.05,154.28,149.55,1.77M,0.87,WYNN,-0.026650676,6.260179874,4.659273209,6,11,2017
3-Nov-17,150.09,149.5,151.02,149.1,1.21M,0.03,WYNN,-0.366544485,4.435906392,3.862720578,3,11,2017
2-Nov-17,150.05,151.55,152.13,149.88,1.36M,-0.99,WYNN,0,4.272739783,3.123298857,2,11,2017
1-Nov-17,151.55,152.38,153.56,149.87,3.46M,2.75,WYNN,3.315479016,6.180753954,3.681023338,1,11,2017
31-Oct-17,147.49,143.88,149.65,143.88,3.94M,4.45,WYNN,1.890800935,-0.710786005,-2.182337344,31,10,2017
30-Oct-17,141.21,142.55,142.76,140.38,1.64M,-1.36,WYNN,-0.419140761,-1.526664825,-3.073366424,30,10,2017
27-Oct-17,143.15,142.66,146,141.05,3.04M,-1.51,WYNN,-1.843952112,-1.232345611,-4.203599248,27,10,2017
26-Oct-17,145.34,145.53,146.1,142.73,2.75M,1.28,WYNN,1.407567417,0,0.796509212,26,10,2017
25-Oct-17,143.51,144.6,146.55,143,1.71M,-0.97,WYNN,-0.213925885,-0.502305099,-0.468061674,25,10,2017
24-Oct-17,144.91,145.01,145.65,144.28,735.43K,0.1,WYNN,0.172699641,-0.949453552,0.269672245,24,10,2017
23-Oct-17,144.76,144.4,146.73,144.4,1.21M,0.22,WYNN,-0.02769316,-1.641577549,2.317012683,23,10,2017
20-Oct-17,144.44,146.8,146.82,144.22,1.06M,-0.75,WYNN,0.872672301,3.140588773,1.304257815,20,10,2017
19-Oct-17,145.53,144,145.63,143.39,785.18K,0.14,WYNN,-0.915158605,2.301790281,-0.962861073,19,10,2017
18-Oct-17,145.33,146.12,146.83,144.51,1.17M,-0.73,WYNN,-0.191256831,1.989251064,0.29514723,18,10,2017
17-Oct-17,146.4,146.56,147.32,145.8,1.01M,-0.28,WYNN,-0.170288128,2.820260979,-0.306101626,17,10,2017
16-Oct-17,146.81,143.93,148.14,143.79,2.83M,3.15,WYNN,1.124148107,0.390597754,0.062569522,16,10,2017
13-Oct-17,142.33,141.29,143.21,140.23,1.45M,1.12,WYNN,0.376527423,-1.84104488,-1.347577154,13,10,2017
12-Oct-17,140.76,143.56,145.9,140.11,2.44M,-1.75,WYNN,0.202415021,-2.313554709,-0.374739764,12,10,2017
11-Oct-17,143.27,142.03,144.19,142.01,870.21K,0.51,WYNN,-0.357794303,-3.361230183,-2.364748745,11,10,2017
10-Oct-17,142.54,144.28,145.28,141.95,1.50M,-0.58,WYNN,0.63472135,-1.910394996,-1.123903509,10,10,2017
9-Oct-17,143.37,142.4,144.21,139.2,2.59M,-0.4,WYNN,-1.069890232,-3.175358673,-2.398903358,9,10,2017
6-Oct-17,143.94,144.68,145.83,142.32,3.34M,-2.05,WYNN,-1.551442569,-2.847166264,0.173094233,6,10,2017
5-Oct-17,146.96,147.54,150.4,146.81,1.72M,-0.01,WYNN,0.387834252,2.188668791,1.22813036,5,10,2017
4-Oct-17,146.97,146.64,147.58,145.95,1.52M,-0.08,WYNN,-0.305935142,0.936123348,2.273678337,4,10,2017
3-Oct-17,147.09,147.67,148.23,146.36,1.71M,0.01,WYNN,0.407968994,2.108975245,3.628070175,3,10,2017
2-Oct-17,147.07,147.11,148.87,145.4,3.01M,-1.24,WYNN,-1.215417674,4.237228088,2.57286292,2,10,2017
29-Sep-17,148.92,147.11,150.15,146.47,3.21M,3.14,WYNN,1.890843607,1.5181837,5.842146917,29,9,2017
28-Sep-17,144.38,145.4,146.13,144.17,1.13M,-0.62,WYNN,0.082599119,0,6.833210874,28,9,2017
27-Sep-17,145.28,145,147.02,144.58,1.35M,0.46,WYNN,0.262757572,-0.473608346,7.208872458,27,9,2017
26-Sep-17,144.62,142.38,145,141.79,1.09M,2.47,WYNN,0.885708212,-3.149445616,6.333084391,26,9,2017
25-Sep-17,141.13,143.46,143.96,140.2,2.19M,-2.61,WYNN,-1.000621075,-0.264182425,6.542888971,25,9,2017
22-Sep-17,144.91,144.91,146.09,144.59,1.02M,-0.34,WYNN,-0.337001376,1.180002793,8.061148397,22,9,2017
21-Sep-17,145.4,145.14,145.8,142.7,1.36M,-0.2,WYNN,-0.377513899,0.721721027,7.710575139,21,9,2017
20-Sep-17,145.69,147.35,147.9,144.09,1.22M,-0.9,WYNN,0.231276784,1.292362686,8.22622108,20,9,2017
19-Sep-17,147.01,144.18,147.38,144,1.97M,2.2,WYNN,0.236373749,-1.192434211,6.296077853,19,9,2017
18-Sep-17,143.84,143.77,145.09,143.42,900.71K,0.43,WYNN,0.384024578,-1.459904044,6.575240919,18,9,2017
15-Sep-17,143.22,144.11,145.15,142.87,1.53M,-0.61,WYNN,0.006939625,-0.221560618,7.04947259,15,9,2017
14-Sep-17,144.1,145,145.13,143.95,1.07M,-0.94,WYNN,-0.323090672,-0.51457976,6.266031513,14,9,2017
13-Sep-17,145.47,146.4,146.49,144.56,933.39K,-0.31,WYNN,0.328947368,2.106290975,7.339247745,13,9,2017
12-Sep-17,145.92,145.5,146.26,143.91,992.34K,0.01,WYNN,-0.274160384,2.105263158,13.5122484,12,9,2017
11-Sep-17,145.9,146.17,146.21,144.21,1.52M,1.02,WYNN,1.204735858,1.917445266,16.34959803,11,9,2017
8-Sep-17,144.43,145.53,146.89,144.16,1.08M,-0.91,WYNN,-0.150943396,4.705374487,15.48166958,8,9,2017
7-Sep-17,145.75,144,147.5,143.82,1.86M,1.65,WYNN,0.432417352,5.804555474,10.89718906,7,9,2017
6-Sep-17,143.38,143.81,143.91,142.09,1.82M,0.62,WYNN,0.919298246,6.329020333,10.56354271,6,9,2017
5-Sep-17,142.5,142.58,143.92,140.84,1.84M,-0.64,WYNN,-0.585692372,6.482449589,9.483221992,5,9,2017
1-Sep-17,143.42,141.4,144.81,140.85,3.01M,3.19,WYNN,1.733937693,5.012996658,10.89326327,1,9,2017
31-Aug-17,138.99,137.11,139.94,136.36,2.63M,2.12,WYNN,0.742101396,2.244593587,8.524616115,31,8,2017
30-Aug-17,136.1,135.31,136.34,134.52,1.01M,0.63,WYNN,0.044362292,0.415584416,7.431520445,30,8,2017
29-Aug-17,135.25,133.45,135.49,132.63,1.14M,1.01,WYNN,-0.336071695,-1.983106867,4.2578125,29,8,2017
28-Aug-17,133.9,134.86,135.29,132.26,1.98M,-0.56,WYNN,0.155959896,-0.575051607,4.267821246,28,8,2017
25-Aug-17,134.65,133.85,135.29,132.82,1.13M,0.41,WYNN,-0.186428039,-0.778354337,4.082426128,25,8,2017
24-Aug-17,134.1,135.3,135.3,132.57,1.47M,-0.48,WYNN,0.408163265,0.505125539,5.686611467,24,8,2017
23-Aug-17,134.75,133.9,135.44,133.27,1.72M,-1.03,WYNN,-1.652589056,-1.868816416,1.439393939,23,8,2017
22-Aug-17,136.15,136.48,137.95,135.79,1.93M,0.38,WYNN,0.619286346,0.065987242,-1.798819974,22,8,2017
21-Aug-17,135.64,135.99,136.5,133.23,1.67M,0.55,WYNN,0.80800593,6.092994227,-1.833537862,21,8,2017
18-Aug-17,134.9,134.51,136.98,133.49,1.73M,0.21,WYNN,-0.081711484,7.068375388,0.275831221,18,8,2017
17-Aug-17,134.62,136,137.11,134.14,2.19M,-1.34,WYNN,-0.329791132,7.919377877,3.03030303,17,8,2017
16-Aug-17,136.45,136.65,136.96,135.41,2.13M,0.04,WYNN,0.190629812,5.236811706,2.613201171,16,8,2017
15-Aug-17,136.39,131.32,136.52,131.25,5.15M,6.41,WYNN,2.449680137,0.961020989,-1.669786597,15,8,2017
14-Aug-17,128.18,127.31,128.47,126.78,1.29M,2.03,WYNN,1.337260209,-2.2421869,-1.956103196,14,8,2017
11-Aug-17,125.63,125.57,126.37,124.11,1.24M,-0.31,WYNN,-0.357086177,-1.521449298,-3.718754792,11,8,2017
10-Aug-17,126.02,129,129.52,125.93,2.17M,-2.95,WYNN,-0.654601463,2.105429793,-4.430285968,10,8,2017
9-Aug-17,129.85,129.56,130.07,128.44,1.79M,-0.17,WYNN,-0.392096563,2.866216753,-4.221187255,9,8,2017
8-Aug-17,130.07,130.65,131.69,129.39,1.79M,-0.12,WYNN,0.322506335,2.0703125,-2.710551791,8,8,2017
7-Aug-17,130.23,128.32,130.45,128,1.71M,2.13,WYNN,0.635244295,-0.788619143,-4.912930715,7,8,2017
4-Aug-17,127.51,126.57,127.9,125.87,1.03M,0.93,WYNN,0.182048441,-1.578538103,-4.446625396,4,8,2017
3-Aug-17,126.34,126.2,127.19,125.2,1.24M,0.31,WYNN,0.198491465,-1.421652867,-3.597891681,3,8,2017
2-Aug-17,125.95,127.84,127.91,124.16,2.91M,-1.6,WYNN,-0.125,-3.151515152,-3.45869204,2,8,2017
1-Aug-17,128,130.13,130.36,127.42,2.42M,-1.04,WYNN,0.610793258,-6.367822708,-0.67170445,1,8,2017
31-Jul-17,129.34,129.56,131.33,128.55,2.48M,0.58,WYNN,0.746500778,-6.47513174,-3.399940352,31,7,2017
28-Jul-17,128.6,127.85,131.13,127.65,2.73M,0.45,WYNN,-0.132791751,-4.689130759,-3.698403133,28,7,2017
27-Jul-17,128.02,132.33,133.13,127.34,4.51M,-3.02,WYNN,0.25,0.25,-2.655583346,27,7,2017
26-Jul-17,132,132,133,128.44,8.65M,-5.02,WYNN,-5.022305368,-0.878576256,-2.676399027,26,7,2017
25-Jul-17,138.98,139.09,139.66,136.67,3.74M,0.32,WYNN,0.404244568,4.148259079,1.414509661,25,7,2017
24-Jul-17,138.53,136.23,139.45,135.54,2.81M,3.27,WYNN,1.558073654,4.913361571,-1.510989011,24,7,2017
21-Jul-17,134.14,132.19,135.6,132.18,1.65M,1.62,WYNN,0.143939394,1.357153811,-3.54615104,21,7,2017
20-Jul-17,132,133.26,133.43,131.7,1.01M,-0.88,WYNN,0.067582789,-1.274262854,-3.055434308,20,7,2017
19-Jul-17,133.17,134.29,135.18,131.9,1.36M,-0.28,WYNN,0.554099588,-0.724476972,-2.071027492,19,7,2017
18-Jul-17,133.55,129.96,133.71,129.93,1.74M,2.85,WYNN,0.084713131,-3.22436518,-6.11183355,18,7,2017
17-Jul-17,129.85,130,131.33,128.9,2.16M,-0.44,WYNN,-0.322036497,-3.668025195,-3.31697159,17,7,2017
14-Jul-17,130.42,129.53,131.84,127.01,4.48M,-3.38,WYNN,-4.037635205,-2.211988525,-3.364667264,14,7,2017
13-Jul-17,134.98,136.2,136.33,134.5,953.77K,-0.21,WYNN,0.687513861,4.04094416,2.030114615,13,7,2017
12-Jul-17,135.27,135.57,136.53,135.12,1.18M,0.73,WYNN,0.953161069,2.378794744,1.0509839,12,7,2017
11-Jul-17,134.29,134.99,135.9,133.02,1.39M,-0.49,WYNN,0.029640608,3.037936035,3.63915547,11,7,2017
