"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","67.01","67.35","67.96","66.30","2.63M","-1.97"
"Nov 29, 2017","68.36","68.42","68.51","67.67","1.86M","-0.32"
"Nov 28, 2017","68.58","68.55","68.98","68.29","1.94M","0.85"
"Nov 27, 2017","68.00","67.47","68.21","66.73","1.12M","0.73"
"Nov 24, 2017","67.51","67.22","67.58","67.20","589.62K","-0.12"
"Nov 22, 2017","67.59","66.84","67.78","66.62","1.20M","0.87"
"Nov 21, 2017","67.01","66.10","67.11","65.75","1.83M","0.87"
"Nov 20, 2017","66.43","67.36","67.55","65.92","2.00M","-1.66"
"Nov 17, 2017","67.55","67.06","67.67","66.97","1.39M","0.55"
"Nov 16, 2017","67.18","66.88","67.26","66.58","1.41M","0.87"
"Nov 15, 2017","66.60","65.78","66.99","65.56","2.56M","1.85"
"Nov 14, 2017","65.39","65.34","65.89","64.96","2.29M","-0.62"
"Nov 13, 2017","65.80","65.26","66.21","65.25","2.06M","0.34"
"Nov 10, 2017","65.58","65.21","65.60","64.65","1.94M","0.03"
"Nov 09, 2017","65.56","63.99","65.66","63.98","1.87M","1.63"
"Nov 08, 2017","64.51","64.44","64.55","63.98","1.72M","0.20"
"Nov 07, 2017","64.38","63.78","64.41","63.43","2.31M","0.80"
"Nov 06, 2017","63.87","65.72","67.95","63.09","2.84M","-1.44"
"Nov 03, 2017","64.80","62.16","66.00","61.94","4.67M","5.95"
"Nov 02, 2017","61.16","61.26","61.61","60.79","2.37M","0.00"
"Nov 01, 2017","61.16","61.37","61.74","61.06","1.82M","0.15"
"Oct 31, 2017","61.07","61.29","61.63","60.80","1.85M","-0.34"
"Oct 30, 2017","61.28","61.17","61.36","60.67","1.31M","-0.11"
"Oct 27, 2017","61.35","60.94","61.60","60.73","1.57M","-0.03"
"Oct 26, 2017","61.37","61.33","61.83","61.02","1.21M","0.61"
"Oct 25, 2017","61.00","60.91","61.28","60.66","1.69M","-0.15"
"Oct 24, 2017","61.09","61.75","61.77","60.98","2.85M","-1.18"
"Oct 23, 2017","61.82","62.05","62.18","61.40","2.31M","-0.03"
"Oct 20, 2017","61.84","60.87","62.23","60.29","2.22M","1.93"
"Oct 19, 2017","60.67","59.60","60.70","59.39","1.85M","1.97"
"Oct 18, 2017","59.50","59.20","59.57","59.11","2.44M","0.00"
"Oct 17, 2017","59.50","59.20","59.58","58.89","1.71M","0.52"
"Oct 16, 2017","59.19","58.26","59.22","58.25","1.98M","1.67"
"Oct 13, 2017","58.22","58.39","58.69","57.79","1.41M","-0.33"
"Oct 12, 2017","58.41","57.40","58.48","57.09","1.89M","1.90"
"Oct 11, 2017","57.32","57.45","57.56","56.99","1.40M","-0.43"
"Oct 10, 2017","57.57","58.16","58.24","56.89","2.29M","-0.90"
"Oct 09, 2017","58.09","58.40","58.46","58.02","1.03M","-0.72"
"Oct 06, 2017","58.51","58.93","59.14","58.22","3.21M","-0.80"
"Oct 05, 2017","58.98","57.22","59.55","57.00","3.24M","3.09"
"Oct 04, 2017","57.21","55.50","57.30","55.06","4.75M","2.80"
"Oct 03, 2017","55.65","56.50","56.89","55.37","3.42M","-1.21"
"Oct 02, 2017","56.33","58.00","58.31","54.91","6.47M","-5.82"
"Sep 29, 2017","59.81","59.04","59.88","58.72","1.10M","0.98"
"Sep 28, 2017","59.23","59.79","60.63","59.09","996.26K","-0.90"
"Sep 27, 2017","59.77","59.68","59.86","58.91","1.22M","0.37"
"Sep 26, 2017","59.55","59.15","59.88","59.02","1.38M","0.66"
"Sep 25, 2017","59.16","58.28","59.22","58.11","1.22M","1.08"
"Sep 22, 2017","58.53","57.75","58.59","57.65","970.33K","1.25"
"Sep 21, 2017","57.81","58.48","58.77","57.61","1.10M","-1.43"
"Sep 20, 2017","58.65","58.35","58.83","58.08","1.11M","1.38"
"Sep 19, 2017","57.85","58.71","58.76","57.75","1.57M","-1.46"
"Sep 18, 2017","58.71","59.22","59.38","58.31","2.00M","-1.06"
"Sep 15, 2017","59.34","58.84","59.57","58.51","2.67M","2.10"
"Sep 14, 2017","58.12","59.14","59.14","57.49","2.08M","-1.72"
"Sep 13, 2017","59.14","59.27","59.86","58.98","2.12M","-0.50"
"Sep 12, 2017","59.44","59.23","59.60","59.01","1.46M","0.34"
"Sep 11, 2017","59.24","58.77","59.42","58.43","2.01M","1.37"
"Sep 08, 2017","58.44","57.92","58.81","57.92","3.02M","1.05"
"Sep 07, 2017","57.83","56.93","58.18","56.68","2.59M","1.56"
"Sep 06, 2017","56.94","56.58","57.41","56.48","1.43M","0.80"
"Sep 05, 2017","56.49","56.65","56.73","55.89","1.23M","-0.30"
"Sep 01, 2017","56.66","56.67","56.82","56.24","1.68M","0.16"
"Aug 31, 2017","56.57","55.66","56.64","55.58","1.52M","1.62"
