Date,Price,Open,High,Low,Vol.,Change %,Stock,O-Change,W-Change,M-Change,Day,Month,Year
30-Nov-17,67.01,67.35,67.96,66.3,2.63M,-1.97,XRAY,-1.477472206,-0.355082113,10.12099411,30,11,2017
29-Nov-17,68.36,68.42,68.51,67.67,1.86M,-0.32,XRAY,-0.23330417,2.104163558,12.03536925,29,11,2017
28-Nov-17,68.58,68.55,68.98,68.29,1.94M,0.85,XRAY,0.808823529,3.191329219,11.86357702,28,11,2017
27-Nov-17,68,67.47,68.21,66.73,1.12M,0.73,XRAY,-0.059250481,-0.118430792,9.975550122,27,11,2017
24-Nov-17,67.51,67.22,67.58,67.2,589.62K,-0.12,XRAY,-0.547418257,0.05954153,9.532344794,24,11,2017
22-Nov-17,67.59,66.84,67.78,66.62,1.20M,0.87,XRAY,-0.253693479,0.36036036,9.573770492,22,11,2017
21-Nov-17,67.01,66.1,67.11,65.75,1.83M,0.87,XRAY,-0.49676351,1.085792935,8.201014896,21,11,2017
20-Nov-17,66.43,67.36,67.55,65.92,2.00M,-1.66,XRAY,-0.281273131,2.370820669,8.961501132,20,11,2017
17-Nov-17,67.55,67.06,67.67,66.97,1.39M,0.55,XRAY,-0.178624591,2.256785605,8.441138422,17,11,2017
16-Nov-17,67.18,66.88,67.26,66.58,1.41M,0.87,XRAY,0.42042042,2.013422819,10.23570134,16,11,2017
15-Nov-17,66.6,65.78,66.99,65.56,2.56M,1.85,XRAY,0.596421471,1.968687025,10.55462185,15,11,2017
14-Nov-17,65.39,65.34,65.89,64.96,2.29M,-0.62,XRAY,-0.699088146,1.491146319,9.81512605,14,11,2017
13-Nov-17,65.8,65.26,66.21,65.25,2.06M,0.34,XRAY,-0.487953644,2.1762956,10.25511066,13,11,2017
10-Nov-17,65.58,65.21,65.6,64.65,1.94M,0.03,XRAY,-0.533862111,0.632716049,12.00618344,10,11,2017
9-Nov-17,65.56,63.99,65.66,63.98,1.87M,1.63,XRAY,-0.806076577,4.627207325,9.553158706,9,11,2017
8-Nov-17,64.51,64.44,64.55,63.98,1.72M,0.2,XRAY,0.093196645,5.362982341,12.42149337,8,11,2017
7-Nov-17,64.38,63.78,64.41,63.43,2.31M,0.8,XRAY,-0.140911226,4.437530702,10.78686816,7,11,2017
6-Nov-17,63.87,65.72,67.95,63.09,2.84M,-1.44,XRAY,1.419753086,7.245430809,13.13479084,6,11,2017
3-Nov-17,64.8,62.16,66,61.94,4.67M,5.95,XRAY,1.635055592,1.320293399,6.238249872,3,11,2017
2-Nov-17,61.16,61.26,61.61,60.79,2.37M,0,XRAY,0.163505559,-0.179240671,3.865717192,2,11,2017
1-Nov-17,61.16,61.37,61.74,61.06,1.82M,0.15,XRAY,0.491239561,0.606557377,7.271456039,1,11,2017
31-Oct-17,61.07,61.29,61.63,60.8,1.85M,-0.34,XRAY,0.016318538,0.327385824,10.13477089,31,10,2017
30-Oct-17,61.28,61.17,61.36,60.67,1.31M,-0.11,XRAY,-0.293398533,-1.051439664,8.592224392,30,10,2017
27-Oct-17,61.35,60.94,61.6,60.73,1.57M,-0.03,XRAY,-0.700668079,-1.455368693,1.889316168,27,10,2017
26-Oct-17,61.37,61.33,61.83,61.02,1.21M,0.61,XRAY,0.540983607,1.087852316,3.545500591,26,10,2017
25-Oct-17,61,60.91,61.28,60.66,1.69M,-0.15,XRAY,-0.294647242,2.369747899,1.90731136,25,10,2017
24-Oct-17,61.09,61.75,61.77,60.98,2.85M,-1.18,XRAY,-0.113231964,3.781512605,3.694374475,24,10,2017
23-Oct-17,61.82,62.05,62.18,61.4,2.31M,-0.03,XRAY,0.339586028,4.83189728,4.885057471,23,10,2017
20-Oct-17,61.84,60.87,62.23,60.29,2.22M,1.93,XRAY,0.329652217,4.551700447,3.997949769,20,10,2017
19-Oct-17,60.67,59.6,60.7,59.39,1.85M,1.97,XRAY,0.168067227,2.037322376,3.096350112,19,10,2017
18-Oct-17,59.5,59.2,59.57,59.11,2.44M,0,XRAY,-0.504201681,3.279832519,0.937766411,18,10,2017
17-Oct-17,59.5,59.2,59.58,58.89,1.71M,0.52,XRAY,0.016894746,2.831335765,2.333621435,17,10,2017
16-Oct-17,59.19,58.26,59.22,58.25,1.98M,1.67,XRAY,0.068704912,0.292649337,-0.766479305,16,10,2017
13-Oct-17,58.22,58.39,58.69,57.79,1.41M,-0.33,XRAY,-0.034240712,-0.205093146,-1.600943714,13,10,2017
12-Oct-17,58.41,57.4,58.48,57.09,1.89M,1.9,XRAY,0.139567341,-2.678874195,-1.238816242,12,10,2017
11-Oct-17,57.32,57.45,57.56,56.99,1.40M,-0.43,XRAY,-0.208441897,0.419507079,-2.857625972,11,10,2017
10-Oct-17,57.57,58.16,58.24,56.89,2.29M,-0.9,XRAY,0.120502668,4.510332435,-2.153432032,10,10,2017
9-Oct-17,58.09,58.4,58.46,58.02,1.03M,-0.72,XRAY,-0.188002051,3.674773655,-1.417960837,9,10,2017
6-Oct-17,58.51,58.93,59.14,58.22,3.21M,-0.8,XRAY,-0.0847745,-1.471325865,0.838466804,6,10,2017
5-Oct-17,58.98,57.22,59.55,57,3.24M,3.09,XRAY,0.017479462,-3.393550566,-1.05481584,5,10,2017
4-Oct-17,57.21,55.5,57.3,55.06,4.75M,2.8,XRAY,-0.269541779,-7.1440522,-2.528977871,4,10,2017
3-Oct-17,55.65,56.5,56.89,55.37,3.42M,-1.21,XRAY,0.301793006,-5.121746432,0.017702248,3,10,2017
2-Oct-17,56.33,58,58.31,54.91,6.47M,-5.82,XRAY,-3.026249791,-1.960784314,2.364984116,2,10,2017
29-Sep-17,59.81,59.04,59.88,58.72,1.10M,0.98,XRAY,-0.320783387,0.871348027,4.366271876,29,9,2017
28-Sep-17,59.23,59.79,60.63,59.09,996.26K,-0.9,XRAY,0.033461603,3.425012974,7.400754446,28,9,2017
27-Sep-17,59.77,59.68,59.86,58.91,1.22M,0.37,XRAY,0.218303946,1.756180733,7.145421903,27,9,2017
26-Sep-17,59.55,59.15,59.88,59.02,1.38M,0.66,XRAY,-0.016903313,2.247191011,7.233502538,26,9,2017
25-Sep-17,59.16,58.28,59.22,58.11,1.22M,1.08,XRAY,-0.427131386,-0.732413558,6.350364964,25,9,2017
22-Sep-17,58.53,57.75,58.59,57.65,970.33K,1.25,XRAY,-0.103788272,-2.679474216,5.730501648,22,9,2017
21-Sep-17,57.81,58.48,58.77,57.61,1.10M,-1.43,XRAY,-0.289855072,0.619408121,9.883502443,21,9,2017
20-Sep-17,58.65,58.35,58.83,58.08,1.11M,1.38,XRAY,0.864304235,-1.335813324,8.679456137,20,9,2017
19-Sep-17,57.85,58.71,58.76,57.75,1.57M,-1.46,XRAY,0,-1.228129206,11.21424512,19,9,2017
18-Sep-17,58.71,59.22,59.38,58.31,2.00M,-1.06,XRAY,-0.202224469,-0.033760972,12.05298013,18,9,2017
15-Sep-17,59.34,58.84,59.57,58.51,2.67M,2.1,XRAY,1.238816242,0.684462697,10.66390822,15,9,2017
14-Sep-17,58.12,59.14,59.14,57.49,2.08M,-1.72,XRAY,0,2.265260246,10.58339566,14,9,2017
13-Sep-17,59.14,59.27,59.86,58.98,2.12M,-0.5,XRAY,-0.286002692,4.092026695,10.24925595,13,9,2017
12-Sep-17,59.44,59.23,59.6,59.01,1.46M,0.34,XRAY,-0.016880486,4.850416003,9.099281636,12,9,2017
11-Sep-17,59.24,58.77,59.42,58.43,2.01M,1.37,XRAY,0.564681725,3.723967526,6.217242003,11,9,2017
8-Sep-17,58.44,57.92,58.81,57.92,3.02M,1.05,XRAY,0.155628566,2.3864239,4.36036036,8,9,2017
7-Sep-17,57.83,56.93,58.18,56.68,2.59M,1.56,XRAY,-0.017562346,2.263337525,1.244887071,7,9,2017
6-Sep-17,56.94,56.58,57.41,56.48,1.43M,0.8,XRAY,0.159320234,1.57989228,-7.865168539,6,9,2017
5-Sep-17,56.49,56.65,56.73,55.89,1.23M,-0.3,XRAY,-0.017649135,2.701232777,-9.127366057,5,9,2017
1-Sep-17,56.66,56.67,56.82,56.24,1.68M,0.16,XRAY,0.176772141,3.412408759,-7.988309791,1,9,2017
31-Aug-17,56.57,55.66,56.64,55.58,1.52M,1.62,XRAY,-0.017962996,1.904064445,-9.274653627,31,8,2017
30-Aug-17,55.67,55.51,55.82,55.36,1.88M,-0.05,XRAY,-0.341113106,4.302893649,-9.238064094,30,8,2017
29-Aug-17,55.7,54.94,55.94,54.85,2.25M,0.98,XRAY,-0.398839739,2.328180294,-10.69570871,29,8,2017
28-Aug-17,55.16,54.91,55.29,54.71,1.75M,0.66,XRAY,0.200729927,4.015912105,-11.47831694,28,8,2017
25-Aug-17,54.8,54.7,55.04,54.33,1.86M,0.33,XRAY,0.146466496,3.500473037,-12.68954509,25,8,2017
24-Aug-17,54.62,53,54.81,53,3.17M,2.63,XRAY,-0.413378429,-0.319729171,-15.75266253,24,8,2017
23-Aug-17,53.22,53.37,53.42,52.93,1.20M,-0.88,XRAY,-0.596014155,-0.205684368,-15.51369321,23,8,2017
22-Aug-17,53.69,52.69,53.88,52.56,1.65M,1.7,XRAY,-0.189429816,-1.990327381,-16.43140365,22,8,2017
21-Aug-17,52.79,52.71,53.06,52.53,1.34M,-0.11,XRAY,-0.264900662,-2.910296556,-15.9196044,21,8,2017
18-Aug-17,52.85,53.14,53.56,52.82,1.57M,-0.6,XRAY,-0.056422795,-3.958069763,-15.54354736,18,8,2017
17-Aug-17,53.17,53.45,53.85,53.15,1.66M,-0.58,XRAY,-0.056095737,-3.693693694,-15.19911153,17,8,2017
16-Aug-17,53.48,54,54.11,52.73,2.17M,-0.52,XRAY,0.446428571,-3.965854526,-16.42160656,16,8,2017
15-Aug-17,53.76,54.14,54.14,53.21,2.87M,-0.98,XRAY,-0.276293977,-11.83846279,-16.70769231,15,8,2017
14-Aug-17,54.29,55.77,56.15,54.04,2.88M,-1.88,XRAY,0.795228628,-10.53897979,-14.27912696,14,8,2017
11-Aug-17,55.33,55.58,55.58,54.49,3.57M,-0.31,XRAY,0.144144144,-9.75807761,-14.63676855,11,8,2017
10-Aug-17,55.5,55.87,56.17,55.24,3.52M,-1.3,XRAY,-0.640227636,-8.932355338,-13.90044691,10,8,2017
9-Aug-17,56.23,58.77,58.9,55.85,6.05M,-8.44,XRAY,-4.298974108,-3.907782865,-8.742236025,9,8,2017
