"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","114.46","112.98","114.77","112.85","7.30M","1.00"
"Nov 29, 2017","113.33","111.14","114.48","110.82","3.92M","1.90"
"Nov 28, 2017","111.22","110.20","111.44","110.14","2.22M","0.98"
"Nov 27, 2017","110.14","110.41","110.64","109.83","1.47M","0.11"
"Nov 24, 2017","110.02","110.09","110.44","109.51","868.55K","-0.17"
"Nov 22, 2017","110.21","110.41","110.73","109.79","2.11M","-0.32"
"Nov 21, 2017","110.56","111.14","111.35","110.31","1.73M","0.03"
"Nov 20, 2017","110.53","111.18","111.38","110.40","1.40M","-0.48"
"Nov 17, 2017","111.06","110.98","111.22","110.27","1.97M","0.03"
"Nov 16, 2017","111.03","111.00","111.48","110.47","1.87M","0.33"
"Nov 15, 2017","110.66","112.20","112.23","110.38","1.56M","-1.27"
"Nov 14, 2017","112.08","111.31","112.23","110.94","1.99M","0.49"
"Nov 13, 2017","111.53","110.98","112.06","110.55","3.72M","0.40"
"Nov 10, 2017","111.09","111.71","112.13","110.95","2.11M","-0.79"
"Nov 09, 2017","111.97","112.04","113.15","110.77","1.51M","-0.55"
"Nov 08, 2017","112.59","112.93","113.42","112.52","1.46M","-0.14"
"Nov 07, 2017","112.75","110.33","112.90","109.44","4.41M","1.28"
"Nov 06, 2017","111.33","111.72","112.19","110.27","2.92M","-0.81"
"Nov 03, 2017","112.24","114.57","114.70","111.84","2.91M","-1.84"
"Nov 02, 2017","114.34","115.00","115.49","112.12","3.60M","-0.92"
"Nov 01, 2017","115.40","116.40","116.77","114.69","2.75M","-0.74"
"Oct 31, 2017","116.26","116.88","117.14","116.01","1.82M","-0.62"
"Oct 30, 2017","116.98","118.09","118.17","116.55","1.38M","-1.07"
"Oct 27, 2017","118.25","116.90","118.47","116.28","1.59M","0.81"
"Oct 26, 2017","117.30","117.26","117.85","116.71","1.61M","0.83"
"Oct 25, 2017","116.34","116.28","116.72","115.14","1.81M","-0.10"
"Oct 24, 2017","116.46","116.69","117.30","116.06","2.15M","-0.47"
"Oct 23, 2017","117.01","116.26","117.80","115.46","2.09M","0.93"
"Oct 20, 2017","115.93","114.99","116.08","114.56","1.71M","1.14"
"Oct 19, 2017","114.62","113.95","114.65","113.29","1.13M","0.61"
"Oct 18, 2017","113.93","113.69","114.47","113.55","1.41M","0.18"
"Oct 17, 2017","113.72","114.10","114.13","113.24","1.37M","-0.75"
"Oct 16, 2017","114.58","113.91","114.72","113.66","1.06M","0.63"
"Oct 13, 2017","113.86","114.18","114.40","112.24","1.24M","0.24"
"Oct 12, 2017","113.59","112.99","113.64","112.91","1.13M","0.44"
"Oct 11, 2017","113.09","114.26","114.39","112.41","1.66M","-0.89"
"Oct 10, 2017","114.11","113.62","114.14","113.19","1.01M","0.48"
"Oct 09, 2017","113.57","113.45","114.06","113.16","1.88M","0.08"
"Oct 06, 2017","113.48","113.51","113.73","112.59","1.67M","-0.08"
"Oct 05, 2017","113.57","111.92","113.63","111.48","1.91M","1.95"
"Oct 04, 2017","111.40","110.65","111.44","109.70","1.91M","0.62"
"Oct 03, 2017","110.71","109.66","110.98","109.35","1.84M","1.27"
"Oct 02, 2017","109.32","109.22","109.50","108.53","3.54M","0.00"
"Sep 29, 2017","109.32","109.11","109.74","109.00","1.23M","0.28"
"Sep 28, 2017","109.02","109.13","109.51","108.05","1.94M","-0.57"
"Sep 27, 2017","109.64","108.53","109.94","108.13","3.85M","1.27"
"Sep 26, 2017","108.27","109.15","109.52","108.23","1.54M","-0.51"
"Sep 25, 2017","108.82","107.91","108.90","107.42","5.07M","0.61"
"Sep 22, 2017","108.16","106.43","108.55","106.29","1.80M","1.28"
"Sep 21, 2017","106.79","107.08","107.37","106.71","1.51M","-0.04"
"Sep 20, 2017","106.83","107.63","107.94","106.32","2.47M","-0.60"
"Sep 19, 2017","107.48","106.95","107.71","106.70","1.80M","0.87"
"Sep 18, 2017","106.55","106.83","106.96","106.25","3.54M","-0.22"
"Sep 15, 2017","106.78","106.89","107.79","106.25","3.12M","-0.01"
"Sep 14, 2017","106.79","106.64","107.23","106.33","1.92M","-0.38"
"Sep 13, 2017","107.20","107.88","107.97","107.16","1.91M","-0.67"
"Sep 12, 2017","107.92","107.05","108.69","106.36","3.08M","0.39"
"Sep 11, 2017","107.50","108.83","109.00","106.85","5.67M","-0.84"
"Sep 08, 2017","108.41","108.77","109.44","107.91","3.12M","-0.47"
"Sep 07, 2017","108.92","108.41","109.49","108.12","3.92M","0.81"
"Sep 06, 2017","108.05","107.05","109.12","106.62","5.17M","1.52"
"Sep 05, 2017","106.43","106.64","107.56","105.94","5.48M","-0.86"
"Sep 01, 2017","107.35","106.53","107.58","106.36","2.20M","0.83"
"Aug 31, 2017","106.47","106.49","106.81","105.96","2.10M","0.51"
"Aug 30, 2017","105.93","105.28","106.31","104.66","8.83M","0.77"
"Aug 29, 2017","105.12","103.99","105.34","103.76","2.55M","0.34"
"Aug 28, 2017","104.76","104.88","105.24","104.53","1.66M","0.16"
"Aug 25, 2017","104.59","104.87","105.43","104.46","3.45M","0.00"
"Aug 24, 2017","104.59","103.60","105.21","103.36","3.04M","1.09"
"Aug 23, 2017","103.46","103.43","103.92","102.81","13.19M","-0.25"
"Aug 22, 2017","103.72","104.87","105.10","103.36","2.97M","0.81"
"Aug 21, 2017","102.89","104.52","104.84","102.84","4.32M","-1.46"
"Aug 18, 2017","104.41","104.20","104.96","103.43","5.30M","-0.26"
"Aug 17, 2017","104.68","110.69","110.95","104.62","12.98M","-5.78"
"Aug 16, 2017","111.10","111.82","111.89","110.54","2.52M","-0.43"
"Aug 15, 2017","111.58","110.02","111.78","109.43","5.80M","1.72"
"Aug 14, 2017","109.69","109.34","109.93","108.90","10.77M","0.81"
"Aug 11, 2017","108.81","108.77","109.68","108.22","4.64M","-0.08"
"Aug 10, 2017","108.90","108.80","109.84","107.90","4.88M","-0.69"
"Aug 09, 2017","109.66","108.84","110.11","108.06","8.39M","1.06"
"Aug 08, 2017","108.51","112.20","112.56","108.07","9.71M","-3.26"
"Aug 07, 2017","112.17","111.50","114.00","111.05","4.01M","0.70"
"Aug 04, 2017","111.39","113.50","113.92","110.10","8.11M","-0.34"
"Aug 03, 2017","111.77","113.69","113.85","111.00","9.00M","-3.02"
"Aug 02, 2017","115.25","115.65","116.44","114.12","9.97M","-1.31"
"Aug 01, 2017","116.78","118.79","119.38","116.33","5.61M","-1.79"
"Jul 31, 2017","118.91","118.00","121.77","117.87","8.19M","1.30"
"Jul 28, 2017","117.38","115.25","117.66","115.00","7.88M","1.51"
"Jul 27, 2017","115.63","103.50","120.00","103.50","29.84M","9.11"
