"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","55.78","55.03","56.20","55.03","2.26M","0.80"
"Nov 29, 2017","55.34","55.70","56.04","55.06","1.82M","-0.04"
"Nov 28, 2017","55.36","56.16","56.16","54.91","2.52M","0.02"
"Nov 27, 2017","55.35","55.25","55.72","54.39","4.30M","-0.79"
"Nov 24, 2017","55.79","56.00","56.00","55.59","435.11K","0.18"
"Nov 22, 2017","55.69","55.73","56.00","55.52","1.70M","0.02"
"Nov 21, 2017","55.68","55.61","55.70","55.35","1.14M","0.54"
"Nov 20, 2017","55.38","55.60","55.60","55.00","1.92M","-0.11"
"Nov 17, 2017","55.44","55.37","55.56","55.18","3.90M","0.33"
"Nov 16, 2017","55.26","54.21","55.30","53.92","2.76M","2.31"
"Nov 15, 2017","54.01","53.50","54.14","53.34","2.44M","0.48"
"Nov 14, 2017","53.75","53.43","53.87","53.08","1.68M","0.43"
"Nov 13, 2017","53.52","54.11","54.23","53.46","3.01M","-1.36"
"Nov 10, 2017","54.26","53.80","54.32","53.70","1.98M","0.76"
"Nov 09, 2017","53.85","53.66","53.87","53.01","1.79M","0.17"
"Nov 08, 2017","53.76","53.85","53.93","53.23","1.44M","0.00"
"Nov 07, 2017","53.76","54.00","54.02","53.50","1.66M","0.04"
"Nov 06, 2017","53.74","53.12","53.76","52.92","1.30M","1.38"
"Nov 03, 2017","53.01","52.26","53.10","52.02","1.61M","1.38"
"Nov 02, 2017","52.29","52.55","52.61","51.79","1.55M","-0.76"
"Nov 01, 2017","52.69","52.70","53.07","52.34","1.61M","0.84"
"Oct 31, 2017","52.25","52.40","52.60","52.20","1.75M","-0.40"
"Oct 30, 2017","52.46","53.11","53.13","52.15","2.07M","-1.02"
"Oct 27, 2017","53.00","53.96","54.01","52.29","2.81M","-0.64"
"Oct 26, 2017","53.34","54.02","54.65","52.88","3.69M","-1.22"
"Oct 25, 2017","54.00","55.65","56.85","53.84","10.27M","4.03"
"Oct 24, 2017","51.91","51.50","52.09","50.96","4.79M","0.87"
"Oct 23, 2017","51.46","51.89","52.09","51.41","2.70M","-0.79"
"Oct 20, 2017","51.87","51.86","52.10","51.63","1.90M","0.43"
"Oct 19, 2017","51.65","50.92","51.68","50.83","1.28M","1.27"
"Oct 18, 2017","51.00","50.70","51.19","50.56","1.32M","0.83"
"Oct 17, 2017","50.58","50.65","50.92","50.39","911.52K","-0.30"
"Oct 16, 2017","50.73","50.84","51.10","50.70","1.43M","-0.06"
"Oct 13, 2017","50.76","50.66","50.89","50.58","1.51M","0.48"
"Oct 12, 2017","50.52","50.41","50.93","50.22","1.17M","0.00"
"Oct 11, 2017","50.52","49.86","50.52","49.59","2.44M","-1.00"
"Oct 10, 2017","51.03","50.73","51.11","50.59","1.03M","1.43"
"Oct 09, 2017","50.31","50.59","50.59","50.10","1.19M","-0.63"
"Oct 06, 2017","50.63","50.70","50.87","50.21","1.35M","-0.30"
"Oct 05, 2017","50.78","50.60","50.86","50.34","1.41M","0.55"
"Oct 04, 2017","50.50","50.49","50.70","50.26","1.37M","0.00"
"Oct 03, 2017","50.50","50.14","50.63","49.91","1.80M","1.00"
"Oct 02, 2017","50.00","49.35","50.08","48.72","2.61M","2.63"
"Sep 29, 2017","48.72","47.59","48.82","47.58","1.82M","2.18"
"Sep 28, 2017","47.68","47.62","47.71","46.97","1.78M","-0.15"
"Sep 27, 2017","47.75","48.12","48.13","47.44","1.56M","-0.17"
"Sep 26, 2017","47.83","48.21","48.34","47.76","1.87M","-0.19"
"Sep 25, 2017","47.92","48.20","48.60","47.44","2.56M","-0.85"
"Sep 22, 2017","48.33","47.26","48.38","47.01","1.66M","1.70"
"Sep 21, 2017","47.52","47.59","47.89","47.50","1.11M","-0.31"
"Sep 20, 2017","47.67","47.69","47.90","47.34","1.41M","-0.04"
"Sep 19, 2017","47.69","47.77","47.82","47.29","1.70M","0.25"
"Sep 18, 2017","47.57","47.39","47.91","47.35","1.40M","0.49"
"Sep 15, 2017","47.34","46.56","47.36","46.49","2.70M","1.59"
"Sep 14, 2017","46.60","46.57","46.66","46.13","1.52M","-0.17"
"Sep 13, 2017","46.68","46.74","46.91","46.53","1.13M","-0.26"
"Sep 12, 2017","46.80","46.45","46.98","46.26","1.31M","0.71"
"Sep 11, 2017","46.47","46.29","46.62","46.22","1.36M","1.02"
"Sep 08, 2017","46.00","46.95","46.95","45.94","1.69M","-1.71"
"Sep 07, 2017","46.80","46.98","47.00","46.61","1.47M","-0.19"
"Sep 06, 2017","46.89","46.23","46.97","46.10","1.57M","1.56"
"Sep 05, 2017","46.17","46.86","47.00","45.81","1.65M","-1.93"
"Sep 01, 2017","47.08","47.28","47.65","47.05","1.15M","-0.15"
"Aug 31, 2017","47.15","46.63","47.35","46.53","1.72M","1.46"
"Aug 30, 2017","46.47","45.72","46.53","45.64","1.82M","1.66"
"Aug 29, 2017","45.71","44.81","45.86","44.71","1.99M","1.26"
"Aug 28, 2017","45.14","45.06","45.25","44.91","1.11M","0.36"
"Aug 25, 2017","44.98","45.49","45.49","44.95","1.76M","-0.55"
"Aug 24, 2017","45.23","45.51","45.67","45.10","1.20M","-0.42"
"Aug 23, 2017","45.42","45.55","45.76","45.32","1.14M","-0.85"
"Aug 22, 2017","45.81","45.04","45.89","45.04","1.29M","2.00"
"Aug 21, 2017","44.91","45.29","45.39","44.65","1.32M","-0.99"
"Aug 18, 2017","45.36","45.46","45.86","45.18","1.38M","-0.09"
"Aug 17, 2017","45.40","46.39","46.40","45.37","1.52M","-1.92"
"Aug 16, 2017","46.29","46.41","46.74","45.87","1.72M","-0.11"
"Aug 15, 2017","46.34","46.82","47.09","46.13","1.69M","-1.03"
"Aug 14, 2017","46.82","46.59","47.29","46.46","2.00M","0.97"
"Aug 11, 2017","46.37","46.38","46.62","46.18","1.42M","0.13"
"Aug 10, 2017","46.31","47.05","47.20","46.31","1.85M","-2.30"
"Aug 09, 2017","47.40","47.18","47.86","46.74","1.63M","0.28"
"Aug 08, 2017","47.27","47.17","47.68","46.90","1.44M","-0.08"
"Aug 07, 2017","47.31","47.96","47.98","47.22","1.58M","-1.17"
"Aug 04, 2017","47.87","48.09","48.42","47.81","1.39M","-0.35"
"Aug 03, 2017","48.04","47.56","48.19","47.46","1.87M","1.12"
"Aug 02, 2017","47.51","47.43","47.56","46.95","1.76M","-0.04"
"Aug 01, 2017","47.53","47.43","47.63","47.12","1.98M","0.83"
"Jul 31, 2017","47.14","46.97","47.28","46.25","2.58M","0.53"
"Jul 28, 2017","46.89","46.06","47.27","45.90","2.99M","1.91"
"Jul 27, 2017","46.01","45.67","46.99","45.41","4.63M","1.14"
"Jul 26, 2017","45.49","49.95","50.00","45.41","15.17M","-14.62"
"Jul 25, 2017","53.28","52.36","53.45","52.08","3.50M","1.74"
"Jul 24, 2017","52.37","52.15","52.45","52.04","1.62M","0.46"
"Jul 21, 2017","52.13","52.25","52.45","51.81","1.30M","-0.44"
"Jul 20, 2017","52.36","52.10","52.64","51.80","1.38M","0.50"
"Jul 19, 2017","52.10","51.63","52.24","51.58","1.20M","1.11"
"Jul 18, 2017","51.53","51.69","51.83","51.19","1.74M","-0.46"
"Jul 17, 2017","51.77","50.89","52.46","50.89","2.52M","2.27"
"Jul 14, 2017","50.62","50.20","50.68","50.10","1.19M","1.08"
"Jul 13, 2017","50.08","50.64","50.64","50.06","1.09M","-0.93"
"Jul 12, 2017","50.55","50.14","50.83","50.07","1.51M","1.44"
"Jul 11, 2017","49.83","49.63","50.27","49.50","1.01M","0.36"
"Jul 10, 2017","49.65","49.31","49.78","49.11","1.47M","0.83"
"Jul 07, 2017","49.24","49.55","50.13","49.18","2.02M","-0.24"
"Jul 06, 2017","49.36","50.63","50.63","49.27","2.52M","-3.12"
"Jul 05, 2017","50.95","50.27","51.02","50.01","1.77M","1.72"
"Jul 03, 2017","50.09","50.15","50.73","50.01","959.42K","0.56"
"Jun 30, 2017","49.81","50.53","50.53","49.64","1.55M","-0.86"
"Jun 29, 2017","50.24","50.28","50.45","49.13","2.71M","-0.77"
"Jun 28, 2017","50.63","50.26","50.80","50.06","1.17M","1.26"
"Jun 27, 2017","50.00","50.73","51.14","50.00","1.78M","-1.71"
"Jun 26, 2017","50.87","51.30","51.65","50.50","1.57M","-0.84"
"Jun 23, 2017","51.30","50.12","51.51","49.92","6.36M","2.56"
"Jun 22, 2017","50.02","49.19","50.61","48.97","2.65M","1.50"
"Jun 21, 2017","49.28","48.78","49.34","48.43","1.50M","1.32"
"Jun 20, 2017","48.64","49.47","49.68","48.61","1.32M","-1.72"
"Jun 19, 2017","49.49","49.86","50.24","49.34","1.93M","-0.02"
"Jun 16, 2017","49.50","48.92","49.57","48.50","5.04M","0.63"
