"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","260.88","259.96","262.79","254.24","1.09M","0.97"
"Nov 29, 2017","258.37","264.40","264.64","254.02","1.34M","-2.22"
"Nov 28, 2017","264.23","264.40","266.41","259.00","1.02M","0.69"
"Nov 27, 2017","262.42","255.78","263.90","255.54","1.05M","3.01"
"Nov 24, 2017","254.76","254.32","255.73","253.44","285.87K","0.15"
"Nov 22, 2017","254.38","255.41","257.35","251.57","804.95K","-0.80"
"Nov 21, 2017","256.43","257.67","258.88","252.03","1.30M","0.36"
"Nov 20, 2017","255.51","254.64","258.61","253.67","718.20K","0.64"
"Nov 17, 2017","253.89","254.74","255.77","251.50","666.79K","-0.40"
"Nov 16, 2017","254.92","251.76","255.98","249.18","1.05M","2.30"
"Nov 15, 2017","249.19","252.24","253.64","243.00","1.47M","-1.90"
"Nov 14, 2017","254.02","251.78","256.10","251.00","948.70K","0.11"
"Nov 13, 2017","253.73","249.29","257.60","248.29","952.44K","1.71"
"Nov 10, 2017","249.46","249.38","251.01","246.26","927.59K","-0.07"
"Nov 09, 2017","249.63","251.80","254.19","245.53","1.31M","-1.23"
"Nov 08, 2017","252.74","246.00","253.65","246.00","1.08M","2.55"
"Nov 07, 2017","246.46","245.00","246.84","243.66","613.53K","0.80"
"Nov 06, 2017","244.50","244.02","246.83","238.59","1.06M","1.31"
"Nov 03, 2017","241.35","233.85","242.55","233.85","1.04M","3.38"
"Nov 02, 2017","233.47","235.38","237.95","233.00","1.04M","-0.63"
"Nov 01, 2017","234.95","243.00","244.60","232.31","1.44M","-1.69"
"Oct 31, 2017","238.98","235.10","240.66","235.05","951.74K","1.45"
"Oct 30, 2017","235.57","234.35","243.27","233.36","1.41M","-0.16"
"Oct 27, 2017","235.94","225.64","239.83","223.56","3.30M","16.24"
"Oct 26, 2017","202.98","202.59","207.65","199.45","1.93M","0.61"
"Oct 25, 2017","201.75","203.00","203.89","200.27","1.11M","-0.97"
"Oct 24, 2017","203.72","202.76","205.07","198.44","1.11M","0.47"
"Oct 23, 2017","202.76","205.45","205.99","202.46","1.24M","0.94"
"Oct 20, 2017","200.88","196.67","201.70","196.67","2.88M","2.05"
"Oct 19, 2017","196.85","194.23","196.89","191.80","928.08K","1.35"
"Oct 18, 2017","194.23","194.72","196.00","193.62","775.76K","-0.02"
"Oct 17, 2017","194.27","193.46","196.04","192.65","805.64K","0.47"
"Oct 16, 2017","193.37","193.01","195.60","192.21","1.19M","0.29"
"Oct 13, 2017","192.81","192.58","193.94","191.35","699.79K","0.22"
"Oct 12, 2017","192.38","192.79","194.84","192.20","737.35K","-0.04"
"Oct 11, 2017","192.46","188.22","193.19","188.22","879.11K","2.01"
"Oct 10, 2017","188.67","188.53","189.92","188.13","665.15K","0.29"
"Oct 09, 2017","188.13","186.83","189.28","185.49","779.82K","0.58"
"Oct 06, 2017","187.04","186.99","191.78","186.15","1.10M","0.23"
"Oct 05, 2017","186.61","185.44","187.49","185.21","641.63K","0.34"
"Oct 04, 2017","185.98","186.41","186.87","184.67","599.86K","-0.25"
"Oct 03, 2017","186.45","187.75","188.38","185.20","558.90K","-0.41"
"Oct 02, 2017","187.22","187.16","187.98","185.05","705.77K","0.51"
"Sep 29, 2017","186.27","183.60","186.62","182.06","785.49K","1.76"
"Sep 28, 2017","183.04","184.50","184.77","180.31","890.34K","-0.94"
"Sep 27, 2017","184.78","184.49","186.81","183.21","676.11K","0.31"
"Sep 26, 2017","184.20","185.61","186.10","183.04","693.71K","-0.37"
"Sep 25, 2017","184.89","187.40","187.46","183.53","605.68K","-1.65"
