"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","52.77","53.71","53.76","52.33","14.55M","-0.26"
"Nov 29, 2017","52.91","56.86","57.06","51.59","25.32M","-7.71"
"Nov 28, 2017","57.33","57.00","57.63","56.76","7.88M","0.68"
"Nov 27, 2017","56.94","56.92","57.33","56.27","7.96M","-1.68"
"Nov 24, 2017","57.91","57.85","58.13","57.67","3.70M","0.40"
"Nov 22, 2017","57.68","58.94","59.00","57.50","8.30M","-1.90"
"Nov 21, 2017","58.80","58.00","58.86","58.00","10.20M","2.05"
"Nov 20, 2017","57.62","56.66","58.22","56.66","14.36M","2.00"
"Nov 17, 2017","56.49","60.46","60.89","56.09","27.44M","-2.33"
"Nov 16, 2017","57.84","56.36","58.00","56.26","16.71M","3.71"
"Nov 15, 2017","55.77","56.23","56.54","55.46","9.61M","-1.15"
"Nov 14, 2017","56.42","56.83","56.90","55.80","9.64M","-1.07"
"Nov 13, 2017","57.03","56.40","57.09","56.10","9.41M","1.19"
"Nov 10, 2017","56.36","55.65","56.51","55.31","7.37M","1.59"
"Nov 09, 2017","55.48","56.48","56.58","54.80","10.28M","-2.53"
"Nov 08, 2017","56.92","56.49","57.13","56.22","7.47M","0.80"
"Nov 07, 2017","56.47","56.38","57.21","56.31","8.18M","0.25"
"Nov 06, 2017","56.33","56.69","56.72","55.70","7.89M","-0.39"
"Nov 03, 2017","56.55","56.29","56.55","55.92","5.57M","0.52"
"Nov 02, 2017","56.26","55.72","56.38","55.11","6.55M","0.99"
"Nov 01, 2017","55.71","57.00","57.34","55.20","10.48M","-1.28"
"Oct 31, 2017","56.43","56.05","56.68","55.69","7.66M","0.95"
"Oct 30, 2017","55.90","56.50","56.60","55.58","7.34M","-1.39"
"Oct 27, 2017","56.69","56.26","56.82","55.50","10.52M","1.36"
"Oct 26, 2017","55.93","55.67","56.43","55.59","8.21M","1.14"
"Oct 25, 2017","55.30","56.29","56.38","54.57","13.69M","-1.92"
"Oct 24, 2017","56.38","56.61","56.66","55.86","7.76M","0.02"
"Oct 23, 2017","56.37","56.49","56.73","55.80","11.00M","0.50"
"Oct 20, 2017","56.09","55.84","56.23","55.73","10.58M","1.37"
"Oct 19, 2017","55.33","54.70","55.34","54.15","7.97M","-0.02"
"Oct 18, 2017","55.34","55.29","55.61","54.67","9.46M","0.38"
"Oct 17, 2017","55.13","54.97","55.28","54.28","10.24M","0.16"
"Oct 16, 2017","55.04","54.28","55.09","54.28","9.92M","2.04"
"Oct 13, 2017","53.94","53.60","54.05","53.24","10.21M","1.18"
"Oct 12, 2017","53.31","53.15","54.13","53.04","12.61M","0.15"
"Oct 11, 2017","53.23","52.39","53.38","52.30","7.75M","1.22"
"Oct 10, 2017","52.59","53.05","53.07","51.79","8.22M","-0.19"
"Oct 09, 2017","52.69","52.69","53.04","52.21","8.76M","0.55"
"Oct 06, 2017","52.40","51.20","52.41","51.15","8.51M","1.89"
"Oct 05, 2017","51.43","51.65","51.74","50.77","9.34M","-0.33"
"Oct 04, 2017","51.60","51.78","52.00","51.15","8.29M","-0.46"
"Oct 03, 2017","51.84","52.21","52.36","51.26","11.30M","-0.46"
"Oct 02, 2017","52.08","52.21","52.63","51.62","15.64M","-0.02"
