"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","175.66","172.63","176.06","172.63","3.82M","1.99"
"Nov 29, 2017","172.23","171.00","174.00","170.59","3.24M","1.16"
"Nov 28, 2017","170.26","170.57","170.66","169.43","2.66M","0.32"
"Nov 27, 2017","169.71","170.56","171.26","169.56","2.15M","-0.24"
"Nov 24, 2017","170.12","169.50","170.76","169.49","999.77K","0.09"
"Nov 22, 2017","169.96","169.86","170.73","169.33","1.53M","0.07"
"Nov 21, 2017","169.84","169.35","170.49","168.89","2.63M","0.62"
"Nov 20, 2017","168.79","169.90","170.22","168.15","2.01M","-0.71"
"Nov 17, 2017","170.00","170.67","171.09","169.54","2.04M","-0.45"
"Nov 16, 2017","170.77","168.91","171.15","168.75","3.13M","0.82"
"Nov 15, 2017","169.38","170.19","170.52","168.33","3.15M","-0.44"
"Nov 14, 2017","170.13","170.89","171.49","168.31","2.60M","-0.80"
"Nov 13, 2017","171.50","171.58","172.94","171.10","2.12M","-0.49"
"Nov 10, 2017","172.35","173.15","173.48","171.19","1.93M","-0.95"
"Nov 09, 2017","174.00","172.75","174.23","171.31","2.01M","0.24"
"Nov 08, 2017","173.58","174.00","174.65","173.18","2.00M","0.06"
"Nov 07, 2017","173.48","170.61","174.75","170.61","3.10M","1.57"
"Nov 06, 2017","170.80","172.86","173.32","170.69","2.69M","-1.52"
"Nov 03, 2017","173.44","172.10","174.03","171.60","2.43M","0.60"
"Nov 02, 2017","172.41","174.77","175.38","171.26","4.03M","-1.72"
"Nov 01, 2017","175.42","175.30","177.31","174.72","2.73M","0.11"
"Oct 31, 2017","175.22","174.15","176.19","174.15","2.91M","0.36"
"Oct 30, 2017","174.59","175.50","176.80","173.58","2.55M","-0.39"
"Oct 27, 2017","175.28","175.35","176.43","173.29","3.48M","-0.70"
"Oct 26, 2017","176.52","170.87","177.44","169.68","6.00M","-0.55"
"Oct 25, 2017","177.50","179.10","180.04","176.56","4.05M","-1.59"
"Oct 24, 2017","180.37","181.26","181.54","177.23","3.45M","-0.09"
"Oct 23, 2017","180.53","183.25","183.62","180.37","2.57M","-1.33"
"Oct 20, 2017","182.96","184.09","184.82","181.29","3.18M","-0.63"
"Oct 19, 2017","184.12","185.99","186.98","183.25","2.56M","-1.16"
"Oct 18, 2017","186.28","187.85","188.84","185.83","2.58M","0.05"
"Oct 17, 2017","186.19","182.03","187.06","181.12","3.75M","2.36"
"Oct 16, 2017","181.90","182.96","184.20","181.20","2.21M","-0.61"
"Oct 13, 2017","183.01","182.64","183.35","182.01","2.33M","0.14"
"Oct 12, 2017","182.76","183.39","184.39","182.04","2.22M","-0.75"
"Oct 11, 2017","184.15","185.28","185.50","182.68","3.27M","-0.88"
"Oct 10, 2017","185.79","185.46","186.58","184.46","2.04M","0.18"
"Oct 09, 2017","185.46","185.95","186.84","184.40","1.52M","-0.19"
