"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","238.58","237.38","239.19","235.19","3.13M","1.31"
"Nov 29, 2017","235.49","242.32","243.88","229.01","3.53M","-3.50"
"Nov 28, 2017","244.03","249.00","249.00","241.91","2.34M","-1.21"
"Nov 27, 2017","247.02","246.00","248.97","245.62","2.02M","-0.96"
"Nov 24, 2017","249.42","249.50","250.37","245.73","1.61M","-0.09"
"Nov 22, 2017","249.65","246.75","252.90","246.39","3.48M","2.19"
"Nov 21, 2017","244.30","242.00","246.90","240.20","2.59M","2.41"
"Nov 20, 2017","238.54","241.00","242.63","237.66","2.08M","-0.31"
"Nov 17, 2017","239.27","241.80","243.04","239.01","2.23M","-0.02"
"Nov 16, 2017","239.32","236.71","240.71","234.26","2.27M","2.18"
"Nov 15, 2017","234.21","232.01","234.84","226.01","2.66M","-0.30"
"Nov 14, 2017","234.92","236.60","237.00","232.92","1.56M","-1.03"
"Nov 13, 2017","237.37","234.69","238.46","232.02","1.71M","-0.01"
"Nov 10, 2017","237.40","239.58","239.58","236.50","1.72M","-1.11"
"Nov 09, 2017","240.06","237.99","240.55","236.29","2.57M","-0.46"
"Nov 08, 2017","241.18","243.63","244.53","238.80","2.09M","-0.94"
"Nov 07, 2017","243.47","246.62","247.92","242.41","1.63M","-0.43"
"Nov 06, 2017","244.53","242.71","246.70","240.80","1.84M","1.24"
"Nov 03, 2017","241.54","242.65","244.39","240.32","1.62M","-0.23"
"Nov 02, 2017","242.09","246.37","247.22","239.50","2.58M","-1.36"
"Nov 01, 2017","245.43","247.71","251.18","245.26","3.62M","0.61"
"Oct 31, 2017","243.94","238.00","244.41","235.03","3.76M","3.18"
"Oct 30, 2017","236.42","240.96","244.55","232.44","5.11M","-1.23"
"Oct 27, 2017","239.37","241.82","247.39","235.73","10.85M","-8.15"
"Oct 26, 2017","260.62","262.06","265.51","259.47","3.78M","-0.92"
"Oct 25, 2017","263.04","264.68","268.51","257.69","3.12M","-0.36"
"Oct 24, 2017","264.00","266.20","266.80","263.12","1.64M","-0.80"
"Oct 23, 2017","266.13","266.10","267.87","261.51","2.02M","0.46"
"Oct 20, 2017","264.90","268.40","269.80","264.35","2.12M","0.14"
"Oct 19, 2017","264.52","262.26","265.53","259.15","2.98M","-1.65"
"Oct 18, 2017","268.97","271.10","271.49","266.97","2.16M","-0.50"
"Oct 17, 2017","270.32","273.70","274.97","269.44","3.19M","-0.92"
"Oct 16, 2017","272.82","264.98","273.07","264.00","3.62M","3.86"
"Oct 13, 2017","262.68","260.11","264.66","259.61","2.11M","1.29"
"Oct 12, 2017","259.33","259.53","261.36","258.06","2.19M","-0.38"
"Oct 11, 2017","260.32","261.06","263.44","258.51","2.80M","-0.80"
"Oct 10, 2017","262.41","254.36","262.69","253.52","4.29M","4.04"
"Oct 09, 2017","252.22","248.16","254.28","247.43","2.41M","1.83"
"Oct 06, 2017","247.69","244.83","247.86","244.16","1.34M","0.99"
"Oct 05, 2017","245.27","246.49","247.50","242.22","2.16M","0.53"
"Oct 04, 2017","243.97","246.26","247.00","243.67","1.76M","-1.23"
"Oct 03, 2017","247.00","250.00","250.49","246.51","2.00M","-0.67"
"Oct 02, 2017","248.67","248.62","250.57","246.50","2.32M","0.40"
"Sep 29, 2017","247.69","242.03","248.00","242.03","3.40M","2.66"
"Sep 28, 2017","241.28","238.47","242.37","237.20","1.96M","0.61"
"Sep 27, 2017","239.82","240.02","240.75","237.36","2.16M","1.54"
"Sep 26, 2017","236.19","236.29","240.00","234.99","2.39M","0.72"
"Sep 25, 2017","234.49","239.87","239.90","230.58","3.49M","-2.53"
"Sep 22, 2017","240.57","237.82","242.70","237.19","1.92M","0.69"
"Sep 21, 2017","238.92","239.21","239.69","235.35","2.01M","0.40"
"Sep 20, 2017","237.96","238.50","240.40","235.51","2.01M","0.05"
"Sep 19, 2017","237.85","239.03","240.12","235.70","2.34M","-0.51"
"Sep 18, 2017","239.07","236.79","240.43","235.58","2.97M","1.64"
"Sep 15, 2017","235.21","237.87","239.16","235.21","5.23M","-0.89"
"Sep 14, 2017","237.33","235.00","238.46","234.80","2.51M","0.39"
"Sep 13, 2017","236.41","237.57","239.00","235.45","2.77M","-0.50"
"Sep 12, 2017","237.60","234.95","237.93","233.84","2.41M","1.76"
"Sep 11, 2017","233.50","232.39","234.62","232.21","2.24M","1.86"
"Sep 08, 2017","229.23","232.78","235.00","228.73","1.83M","-1.69"
"Sep 07, 2017","233.18","226.00","233.54","225.71","2.48M","2.74"
"Sep 06, 2017","226.97","226.00","228.96","223.54","2.00M","0.74"
"Sep 05, 2017","225.30","231.29","232.47","224.58","3.16M","-3.16"
"Sep 01, 2017","232.64","228.26","233.79","226.61","2.66M","2.01"
"Aug 31, 2017","228.05","224.00","228.68","222.61","2.42M","1.86"
"Aug 30, 2017","223.88","221.80","224.71","220.36","1.87M","1.45"
"Aug 29, 2017","220.69","216.00","221.70","213.53","2.03M","0.32"
"Aug 28, 2017","219.99","225.92","226.79","219.36","3.00M","-2.47"
"Aug 25, 2017","225.55","224.96","229.43","224.44","2.45M","0.31"
"Aug 24, 2017","224.86","226.12","226.75","224.11","2.15M","-0.06"
"Aug 23, 2017","224.99","224.85","225.71","223.63","1.84M","-0.50"
"Aug 22, 2017","226.11","224.49","226.49","222.78","2.46M","1.63"
"Aug 21, 2017","222.48","223.50","227.95","221.88","2.73M","0.81"
"Aug 18, 2017","220.69","220.77","221.19","218.50","3.06M","-0.16"
"Aug 17, 2017","221.05","226.42","227.02","220.36","2.65M","-2.25"
"Aug 16, 2017","226.14","228.00","228.98","225.71","2.21M","0.36"
"Aug 15, 2017","225.33","226.10","227.66","223.57","2.14M","0.73"
"Aug 14, 2017","223.69","223.51","224.77","221.00","2.45M","0.09"
"Aug 11, 2017","223.49","218.60","224.66","216.20","3.33M","0.41"
"Aug 10, 2017","222.57","227.50","228.99","220.47","4.17M","-3.36"
"Aug 09, 2017","230.30","227.19","230.49","225.36","2.51M","0.37"
"Aug 08, 2017","229.45","226.60","233.37","226.54","4.02M","1.01"
"Aug 07, 2017","227.16","225.60","228.99","224.77","3.00M","0.49"
"Aug 04, 2017","226.05","227.28","230.34","225.70","3.52M","-0.59"
"Aug 03, 2017","227.39","221.00","227.97","220.55","3.43M","2.45"
"Aug 02, 2017","221.96","224.12","224.64","218.58","3.69M","-1.61"
"Aug 01, 2017","225.60","227.14","227.98","222.17","4.34M","-0.33"
"Jul 31, 2017","226.35","223.59","230.00","223.05","8.57M","2.89"
"Jul 28, 2017","220.00","211.01","225.60","208.80","12.59M","9.45"
"Jul 27, 2017","201.00","204.01","205.60","197.11","5.33M","-0.08"
"Jul 26, 2017","201.17","196.85","201.23","196.75","3.49M","2.09"
"Jul 25, 2017","197.05","198.50","198.65","195.97","2.93M","-0.81"
"Jul 24, 2017","198.65","193.97","199.25","193.02","3.93M","2.83"
"Jul 21, 2017","193.18","190.96","193.20","190.56","1.86M","0.97"
"Jul 20, 2017","191.32","192.26","192.86","190.79","1.57M","0.21"
"Jul 19, 2017","190.91","190.80","192.35","189.56","2.14M","0.74"
"Jul 18, 2017","189.51","187.23","190.10","186.69","1.78M","0.68"
"Jul 17, 2017","188.23","189.12","191.78","186.89","2.80M","-0.17"
"Jul 14, 2017","188.55","187.99","189.00","187.53","1.67M","0.87"
