"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","37.54","36.97","37.64","36.48","42.86M","0.94"
"Nov 29, 2017","37.19","36.24","37.73","36.01","33.94M","2.59"
"Nov 28, 2017","36.25","35.56","36.25","35.26","34.51M","1.97"
"Nov 27, 2017","35.55","35.78","35.87","35.31","24.58M","-0.89"
"Nov 24, 2017","35.87","36.29","36.35","35.78","12.30M","-1.48"
"Nov 22, 2017","36.41","36.39","36.49","36.13","16.40M","-0.03"
"Nov 21, 2017","36.42","36.14","36.51","36.00","22.75M","1.65"
"Nov 20, 2017","35.83","36.10","36.35","35.75","19.41M","-0.91"
"Nov 17, 2017","36.16","37.00","37.00","36.12","38.14M","-2.45"
"Nov 16, 2017","37.07","36.90","37.57","36.90","21.60M","-0.30"
"Nov 15, 2017","37.18","36.90","37.28","36.67","20.45M","0.87"
"Nov 14, 2017","36.86","37.01","37.06","36.61","20.19M","-1.05"
"Nov 13, 2017","37.25","36.69","37.28","36.59","16.26M","1.09"
"Nov 10, 2017","36.85","36.50","37.31","36.50","18.01M","0.79"
"Nov 09, 2017","36.56","35.98","36.92","35.83","16.16M","0.97"
"Nov 08, 2017","36.21","36.51","36.63","36.07","23.91M","-0.49"
"Nov 07, 2017","36.39","35.57","36.91","35.57","38.11M","2.39"
"Nov 06, 2017","35.54","35.58","36.06","35.28","23.36M","-0.39"
"Nov 03, 2017","35.68","35.08","35.69","34.78","30.16M","1.51"
"Nov 02, 2017","35.15","36.09","36.09","34.92","40.32M","-2.58"
"Nov 01, 2017","36.08","36.25","36.42","35.94","18.20M","0.14"
"Oct 31, 2017","36.03","36.51","36.57","35.93","21.83M","-1.29"
"Oct 30, 2017","36.50","36.67","36.70","36.06","29.43M","-0.79"
"Oct 27, 2017","36.79","35.93","36.92","35.34","51.08M","1.43"
"Oct 26, 2017","36.27","35.89","37.20","35.52","58.63M","-1.52"
"Oct 25, 2017","36.83","36.22","36.85","36.20","26.23M","0.90"
"Oct 24, 2017","36.50","36.64","36.88","36.26","25.25M","-0.14"
"Oct 23, 2017","36.55","37.27","37.27","36.52","30.75M","-1.80"
"Oct 20, 2017","37.22","37.20","37.22","36.87","14.58M","0.87"
"Oct 19, 2017","36.90","36.15","37.01","36.05","25.33M","1.93"
"Oct 18, 2017","36.20","36.55","36.63","36.13","17.99M","-0.74"
"Oct 17, 2017","36.47","36.57","36.73","36.44","14.93M","-0.38"
"Oct 16, 2017","36.61","36.16","37.09","36.12","26.66M","1.67"
"Oct 13, 2017","36.01","35.92","36.16","35.26","43.67M","0.17"
"Oct 12, 2017","35.95","36.80","36.90","35.78","50.70M","-3.93"
