"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","37.30","37.62","37.80","37.30","30.75M","-0.48"
"Nov 29, 2017","37.48","37.75","38.02","37.23","36.79M","-0.66"
"Nov 28, 2017","37.73","37.00","37.80","36.98","30.97M","2.33"
"Nov 27, 2017","36.87","36.51","37.09","36.50","20.94M","1.04"
"Nov 24, 2017","36.49","36.41","36.57","36.32","6.16M","0.11"
"Nov 22, 2017","36.45","36.70","36.72","36.36","17.23M","-0.55"
"Nov 21, 2017","36.65","36.75","36.97","36.58","24.15M","0.41"
"Nov 20, 2017","36.50","35.93","36.54","35.93","26.90M","1.67"
"Nov 17, 2017","35.90","35.90","36.32","35.81","27.99M","0.06"
"Nov 16, 2017","35.88","36.04","36.67","35.83","61.18M","5.19"
"Nov 15, 2017","34.11","33.97","34.31","33.75","30.83M","0.21"
"Nov 14, 2017","34.04","33.86","34.16","33.80","17.47M","0.27"
"Nov 13, 2017","33.95","33.86","34.21","33.83","16.44M","-0.12"
"Nov 10, 2017","33.99","34.06","34.09","33.67","19.32M","-0.18"
"Nov 09, 2017","34.05","34.29","34.32","33.87","16.78M","-1.30"
"Nov 08, 2017","34.50","34.31","34.50","34.12","13.06M","0.29"
"Nov 07, 2017","34.40","34.32","34.48","34.21","11.33M","-0.03"
"Nov 06, 2017","34.41","34.37","34.56","34.26","12.79M","-0.17"
"Nov 03, 2017","34.47","34.28","34.49","34.03","13.41M","0.76"
"Nov 02, 2017","34.21","34.55","34.64","34.16","19.83M","-1.18"
"Nov 01, 2017","34.62","34.29","34.75","34.28","22.05M","1.38"
"Oct 31, 2017","34.15","33.98","34.24","33.96","13.94M","0.32"
"Oct 30, 2017","34.04","34.32","34.38","33.82","18.35M","-1.13"
"Oct 27, 2017","34.43","34.15","34.62","34.09","20.36M","0.47"
"Oct 26, 2017","34.27","34.41","34.51","34.07","14.62M","-0.09"
"Oct 25, 2017","34.30","34.73","34.73","34.16","17.40M","-0.81"
"Oct 24, 2017","34.58","34.40","34.67","34.25","16.28M","0.67"
"Oct 23, 2017","34.35","34.45","34.68","34.27","22.63M","0.29"
"Oct 20, 2017","34.25","34.02","34.39","34.01","24.36M","1.48"
"Oct 19, 2017","33.75","33.51","33.89","33.45","13.20M","0.60"
"Oct 18, 2017","33.55","33.72","33.75","33.44","9.97M","-0.15"
"Oct 17, 2017","33.60","33.59","33.67","33.46","9.30M","0.18"
"Oct 16, 2017","33.54","33.60","33.64","33.47","10.51M","0.21"
"Oct 13, 2017","33.47","33.40","33.57","33.32","13.58M","0.63"
"Oct 12, 2017","33.26","33.26","33.46","33.17","17.91M","-0.98"
"Oct 11, 2017","33.59","33.38","33.63","33.25","12.56M","0.12"
"Oct 10, 2017","33.55","33.88","33.91","33.47","18.01M","-0.62"
"Oct 09, 2017","33.76","33.77","33.89","33.61","8.73M","0.03"
"Oct 06, 2017","33.75","33.65","33.78","33.52","15.46M","0.48"
"Oct 05, 2017","33.59","33.58","33.67","33.41","14.52M","0.45"
"Oct 04, 2017","33.44","33.53","33.56","33.29","14.65M","-1.21"
"Oct 03, 2017","33.85","33.72","33.90","33.61","13.35M","0.30"
"Oct 02, 2017","33.75","33.61","33.77","33.52","16.56M","0.36"
"Sep 29, 2017","33.63","33.31","33.67","33.24","14.80M","0.84"
"Sep 28, 2017","33.35","33.22","33.46","33.22","15.50M","-0.39"
"Sep 27, 2017","33.48","33.78","33.92","33.30","22.59M","-0.83"
"Sep 26, 2017","33.76","33.76","34.10","33.67","26.14M","0.12"
"Sep 25, 2017","33.72","33.31","33.84","33.20","32.40M","1.05"
"Sep 22, 2017","33.37","32.66","33.53","32.64","28.23M","2.05"
"Sep 21, 2017","32.70","32.72","32.90","32.50","19.87M","0.31"
"Sep 20, 2017","32.60","32.55","32.75","32.39","19.87M","0.34"
"Sep 19, 2017","32.49","32.46","32.65","32.40","12.93M","-0.09"
"Sep 18, 2017","32.52","32.43","32.66","32.26","17.29M","0.25"
"Sep 15, 2017","32.44","32.20","32.50","32.12","29.34M","0.78"
"Sep 14, 2017","32.19","31.91","32.22","31.91","18.19M","0.03"
"Sep 13, 2017","32.18","32.34","32.39","31.96","22.71M","-0.71"
"Sep 12, 2017","32.41","32.30","32.47","32.19","18.92M","0.68"
"Sep 11, 2017","32.19","31.71","32.30","31.67","22.44M","2.26"
"Sep 08, 2017","31.48","31.68","31.78","31.46","15.34M","-0.88"
"Sep 07, 2017","31.76","31.96","31.97","31.74","14.75M","-0.35"
"Sep 06, 2017","31.87","31.75","31.91","31.63","16.96M","0.79"
"Sep 05, 2017","31.62","32.15","32.24","31.45","32.65M","-2.11"
"Sep 01, 2017","32.30","32.22","32.34","32.03","14.69M","0.28"
"Aug 31, 2017","32.21","32.10","32.34","31.99","27.80M","0.69"
"Aug 30, 2017","31.99","31.47","32.20","31.42","22.99M","1.62"
"Aug 29, 2017","31.48","31.26","31.63","31.19","16.36M","-0.19"
"Aug 28, 2017","31.54","31.60","31.66","31.41","12.96M","0.32"
"Aug 25, 2017","31.44","31.39","31.80","31.36","19.56M","0.64"
"Aug 24, 2017","31.24","30.95","31.40","30.90","22.58M","1.03"
"Aug 23, 2017","30.92","31.21","31.40","30.91","22.44M","-1.12"
"Aug 22, 2017","31.27","30.85","31.33","30.75","24.75M","1.92"
"Aug 21, 2017","30.68","30.37","30.80","30.36","24.20M","1.02"
"Aug 18, 2017","30.37","31.00","31.06","30.36","34.80M","-2.16"
"Aug 17, 2017","31.04","31.49","31.77","30.85","53.29M","-4.02"
"Aug 16, 2017","32.34","32.10","32.47","32.06","29.05M","0.78"
"Aug 15, 2017","32.09","31.85","32.21","31.84","25.25M","0.79"
"Aug 14, 2017","31.84","31.69","31.89","31.56","21.76M","1.18"
"Aug 11, 2017","31.47","31.23","31.55","31.04","20.76M","1.52"
"Aug 10, 2017","31.00","31.56","31.56","31.00","23.52M","-1.96"
"Aug 09, 2017","31.62","31.55","31.68","31.36","16.13M","-0.16"
"Aug 08, 2017","31.67","31.75","32.00","31.60","15.38M","-0.53"
"Aug 07, 2017","31.84","31.79","31.88","31.69","11.88M","0.13"
"Aug 04, 2017","31.80","31.67","31.91","31.58","16.93M","0.76"
"Aug 03, 2017","31.56","31.59","31.72","31.43","14.42M","0.13"
