"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","157.44","153.35","157.81","153.01","2.19M","2.41"
"Nov 29, 2017","153.73","151.98","153.87","151.54","706.19K","1.12"
"Nov 28, 2017","152.03","148.19","152.18","147.78","575.02K","2.75"
"Nov 27, 2017","147.96","147.91","149.10","147.61","524.67K","0.17"
"Nov 24, 2017","147.71","147.93","148.22","147.49","273.50K","0.24"
"Nov 22, 2017","147.36","147.56","147.71","146.56","427.60K","-0.15"
"Nov 21, 2017","147.58","148.77","148.86","147.21","584.97K","-0.45"
"Nov 20, 2017","148.25","148.74","149.16","148.05","480.28K","-0.45"
"Nov 17, 2017","148.92","149.78","150.08","148.33","380.80K","-0.79"
"Nov 16, 2017","150.11","149.53","150.62","149.25","524.01K","0.41"
"Nov 15, 2017","149.50","148.40","149.65","147.63","702.54K","0.20"
"Nov 14, 2017","149.20","146.57","149.46","146.57","603.16K","1.26"
"Nov 13, 2017","147.35","145.87","147.77","145.75","659.51K","0.86"
"Nov 10, 2017","146.10","144.82","146.14","144.82","415.18K","0.46"
"Nov 09, 2017","145.43","147.48","147.72","144.40","532.92K","-2.79"
"Nov 08, 2017","149.61","147.43","149.66","147.32","404.16K","1.18"
"Nov 07, 2017","147.87","148.06","148.44","147.32","335.91K","0.20"
"Nov 06, 2017","147.57","148.05","148.36","146.96","579.56K","-0.54"
"Nov 03, 2017","148.37","147.61","148.51","147.09","375.89K","0.56"
"Nov 02, 2017","147.55","147.06","148.34","146.13","510.44K","0.29"
"Nov 01, 2017","147.12","148.85","149.05","145.58","695.15K","-1.29"
"Oct 31, 2017","149.04","149.94","150.25","148.92","476.14K","-0.12"
"Oct 30, 2017","149.22","151.24","151.24","149.18","307.14K","-1.54"
"Oct 27, 2017","151.56","150.84","151.66","150.11","375.89K","0.01"
"Oct 26, 2017","151.55","150.87","151.70","150.64","384.78K","0.93"
"Oct 25, 2017","150.16","150.68","151.08","149.50","471.11K","-0.46"
"Oct 24, 2017","150.85","151.53","151.93","150.40","393.56K","-0.42"
"Oct 23, 2017","151.49","152.11","152.20","151.36","262.00K","-0.47"
"Oct 20, 2017","152.20","151.79","152.83","151.04","467.53K","0.83"
"Oct 19, 2017","150.95","150.50","150.97","149.44","704.51K","-0.14"
"Oct 18, 2017","151.16","151.40","151.82","151.07","430.73K","0.07"
"Oct 17, 2017","151.05","151.75","152.41","150.33","400.09K","-0.11"
"Oct 16, 2017","151.22","152.50","152.50","150.86","368.41K","-0.47"
"Oct 13, 2017","151.94","151.87","152.48","151.41","522.46K","0.28"
"Oct 12, 2017","151.51","150.50","151.75","150.49","597.79K","0.56"
"Oct 11, 2017","150.67","150.02","150.72","149.61","408.40K","0.29"
"Oct 10, 2017","150.24","149.53","150.43","149.53","576.14K","0.43"
"Oct 09, 2017","149.60","149.29","149.96","149.08","400.18K","0.35"
"Oct 06, 2017","149.08","148.00","149.48","147.46","614.73K","0.72"
"Oct 05, 2017","148.01","147.46","148.22","146.48","609.27K","0.55"
"Oct 04, 2017","147.20","146.87","147.64","146.20","770.71K","-0.12"
"Oct 03, 2017","147.38","145.48","147.44","145.32","788.47K","1.34"
"Oct 02, 2017","145.43","144.50","145.62","144.03","746.90K","0.80"
"Sep 29, 2017","144.28","142.50","144.66","142.28","938.18K","1.06"
"Sep 28, 2017","142.77","143.67","143.86","141.76","846.13K","-0.86"
"Sep 27, 2017","144.01","143.41","145.00","142.36","2.73M","5.81"
"Sep 26, 2017","136.10","136.94","137.13","136.07","759.16K","-0.56"
"Sep 25, 2017","136.87","136.85","137.47","136.30","819.22K","0.16"
"Sep 22, 2017","136.65","137.37","139.00","136.48","562.99K","-0.58"
"Sep 21, 2017","137.45","136.42","137.63","135.51","485.94K","0.68"
"Sep 20, 2017","136.52","135.00","136.73","134.83","619.39K","1.31"
"Sep 19, 2017","134.75","134.43","134.80","133.94","481.80K","0.34"
"Sep 18, 2017","134.30","134.22","134.51","133.70","432.79K","0.11"
"Sep 15, 2017","134.15","134.58","135.09","133.72","882.32K","-0.34"
"Sep 14, 2017","134.61","134.82","134.82","133.52","392.76K","-0.47"
"Sep 13, 2017","135.25","134.61","135.32","133.57","359.98K","0.42"
"Sep 12, 2017","134.68","134.92","135.61","134.41","422.73K","-0.24"
"Sep 11, 2017","135.00","133.95","135.25","133.52","319.78K","0.96"
"Sep 08, 2017","133.72","132.71","133.83","131.75","325.64K","0.44"
"Sep 07, 2017","133.14","133.56","133.56","132.15","399.10K","-0.19"
"Sep 06, 2017","133.40","133.74","134.16","132.83","524.27K","0.08"
"Sep 05, 2017","133.29","134.22","134.71","132.60","428.35K","-0.94"
"Sep 01, 2017","134.56","135.64","135.64","134.29","320.78K","-0.33"
"Aug 31, 2017","135.01","133.91","135.28","133.57","466.56K","0.93"
"Aug 30, 2017","133.77","132.88","134.00","132.49","301.75K","0.60"
"Aug 29, 2017","132.97","133.13","133.61","132.59","396.48K","-0.66"
"Aug 28, 2017","133.86","134.35","134.73","133.20","413.70K","0.03"
"Aug 25, 2017","133.82","133.90","135.10","133.34","454.40K","0.47"
"Aug 24, 2017","133.20","134.09","134.10","131.62","590.85K","-0.63"
"Aug 23, 2017","134.05","134.95","134.95","134.00","579.33K","-0.89"
"Aug 22, 2017","135.26","133.92","135.43","133.92","371.85K","1.04"
"Aug 21, 2017","133.87","132.60","134.87","132.06","880.58K","0.95"
"Aug 18, 2017","132.61","130.91","132.88","130.17","925.90K","1.08"
"Aug 17, 2017","131.19","133.17","133.17","130.92","434.90K","-1.61"
"Aug 16, 2017","133.34","133.31","134.14","133.17","327.69K","0.14"
"Aug 15, 2017","133.15","132.78","133.79","132.22","425.50K","0.15"
"Aug 14, 2017","132.95","131.40","133.34","131.20","400.56K","2.01"
"Aug 11, 2017","130.33","131.32","131.73","130.09","474.63K","-0.37"
"Aug 10, 2017","130.81","132.87","133.09","130.68","704.44K","-1.87"
"Aug 09, 2017","133.30","133.26","133.73","132.53","552.78K","-0.07"
"Aug 08, 2017","133.39","134.40","134.95","133.07","762.80K","-0.79"
"Aug 07, 2017","134.45","134.84","135.36","134.16","443.27K","-0.41"
"Aug 04, 2017","135.00","134.64","135.28","133.48","355.77K","0.64"
"Aug 03, 2017","134.14","135.03","135.59","133.66","484.71K","-0.64"
"Aug 02, 2017","135.00","135.11","135.59","133.77","660.38K","-0.38"
"Aug 01, 2017","135.52","137.70","139.74","134.35","592.01K","0.50"
"Jul 31, 2017","134.85","135.70","135.90","134.54","640.66K","-0.56"
"Jul 28, 2017","135.61","135.84","136.32","135.10","570.17K","-0.15"
"Jul 27, 2017","135.82","137.04","137.04","135.20","629.70K","-0.94"
"Jul 26, 2017","137.11","137.21","137.97","136.69","523.24K","-0.14"
"Jul 25, 2017","137.30","138.70","138.70","136.71","823.51K","-0.64"
"Jul 24, 2017","138.19","138.39","139.25","136.49","1.12M","-0.17"
"Jul 21, 2017","138.43","131.24","139.39","131.13","2.34M","9.19"
"Jul 20, 2017","126.78","126.55","126.95","125.36","496.48K","0.56"
"Jul 19, 2017","126.08","125.62","126.16","125.05","485.07K","0.53"
"Jul 18, 2017","125.42","126.17","126.31","125.34","339.19K","-0.61"
"Jul 17, 2017","126.19","126.38","126.59","125.60","390.18K","-0.19"
"Jul 14, 2017","126.43","126.74","126.93","126.27","430.60K","-0.03"
"Jul 13, 2017","126.47","127.35","127.88","125.79","284.49K","-0.54"
"Jul 12, 2017","127.16","126.95","127.44","126.40","309.06K","1.06"
"Jul 11, 2017","125.83","126.02","126.46","124.85","337.31K","-0.56"
"Jul 10, 2017","126.54","125.80","126.99","125.47","546.13K","0.33"
"Jul 07, 2017","126.13","124.04","126.63","124.04","511.57K","1.94"
"Jul 06, 2017","123.73","125.41","125.48","123.42","610.29K","-1.90"
"Jul 05, 2017","126.12","126.09","128.26","125.46","730.57K","0.10"
"Jul 03, 2017","125.99","126.77","127.11","125.94","276.15K","-0.04"
"Jun 30, 2017","126.04","125.30","126.53","125.08","468.39K","1.36"
"Jun 29, 2017","124.35","126.50","126.50","123.63","454.72K","-1.90"
"Jun 28, 2017","126.76","126.83","127.52","125.81","334.94K","0.75"
"Jun 27, 2017","125.82","128.00","128.86","125.74","629.87K","-2.84"
"Jun 26, 2017","129.50","130.01","130.48","129.13","190.03K","0.07"
"Jun 23, 2017","129.41","129.31","130.29","129.03","373.76K","0.19"
"Jun 22, 2017","129.16","129.73","129.73","129.07","306.92K","-0.35"
"Jun 21, 2017","129.61","129.99","130.19","128.90","298.71K","-0.35"
"Jun 20, 2017","130.07","131.38","131.38","129.81","319.26K","-0.97"
"Jun 19, 2017","131.35","130.81","131.41","129.61","516.27K","0.69"
"Jun 16, 2017","130.45","127.02","130.46","127.02","974.50K","2.08"
"Jun 15, 2017","127.79","127.41","128.05","126.44","326.76K","-0.13"
"Jun 14, 2017","127.96","127.88","128.67","126.86","445.20K","0.56"
"Jun 13, 2017","127.25","126.25","127.65","125.99","376.71K","0.75"
"Jun 12, 2017","126.30","123.51","126.37","123.51","470.95K","2.10"
"Jun 09, 2017","123.70","123.76","124.05","123.26","411.13K","0.02"
"Jun 08, 2017","123.67","124.35","124.44","123.00","513.79K","-0.66"
"Jun 07, 2017","124.49","125.05","125.36","124.01","334.53K","-0.11"
"Jun 06, 2017","124.63","126.50","126.79","124.57","358.77K","-1.56"
"Jun 05, 2017","126.61","128.50","128.54","126.50","360.22K","-1.30"
"Jun 02, 2017","128.28","127.21","128.72","127.00","319.21K","1.06"
