"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","19.02","19.00","19.16","18.50","10.49M","0.79"
"Nov 29, 2017","18.87","17.97","18.89","17.87","8.08M","5.01"
"Nov 28, 2017","17.97","17.44","17.98","17.23","4.29M","2.86"
"Nov 27, 2017","17.47","17.52","17.56","17.20","3.78M","-0.17"
"Nov 24, 2017","17.50","17.74","17.82","17.47","2.26M","-1.63"
"Nov 22, 2017","17.79","17.32","17.98","17.15","4.45M","3.13"
"Nov 21, 2017","17.25","17.39","17.49","16.98","4.86M","-0.63"
"Nov 20, 2017","17.36","17.55","17.57","17.09","6.62M","-1.08"
"Nov 17, 2017","17.55","17.39","17.73","16.82","6.90M","4.71"
"Nov 16, 2017","16.76","16.68","16.79","16.14","7.19M","0.24"
"Nov 15, 2017","16.72","16.27","16.79","15.99","3.88M","2.70"
"Nov 14, 2017","16.28","16.89","16.97","16.22","4.65M","-4.18"
"Nov 13, 2017","16.99","17.17","17.20","16.58","4.09M","-1.16"
"Nov 10, 2017","17.19","17.23","17.34","17.05","3.38M","0.12"
"Nov 09, 2017","17.17","17.04","17.71","16.96","5.46M","0.41"
"Nov 08, 2017","17.10","17.22","17.48","17.01","5.53M","-1.33"
"Nov 07, 2017","17.33","17.41","18.09","17.24","9.89M","1.35"
"Nov 06, 2017","17.10","16.47","17.27","16.42","10.55M","3.51"
"Nov 03, 2017","16.52","17.21","17.21","16.20","10.26M","-4.56"
"Nov 02, 2017","17.31","18.51","18.60","17.00","16.16M","-9.66"
"Nov 01, 2017","19.16","18.94","19.32","18.77","6.75M","1.48"
"Oct 31, 2017","18.88","18.99","19.11","18.60","6.10M","-0.53"
"Oct 30, 2017","18.98","19.02","19.30","18.91","3.89M","-0.52"
"Oct 27, 2017","19.08","19.20","19.32","18.75","5.01M","-1.34"
"Oct 26, 2017","19.34","19.24","19.48","19.11","2.57M","0.42"
"Oct 25, 2017","19.26","19.37","19.39","19.07","3.12M","-1.03"
"Oct 24, 2017","19.46","19.58","19.68","19.43","3.76M","-0.82"
"Oct 23, 2017","19.62","20.27","20.27","19.59","4.11M","-3.30"
"Oct 20, 2017","20.29","20.19","20.30","20.04","3.35M","1.00"
"Oct 19, 2017","20.09","19.55","20.11","19.50","5.21M","2.34"
"Oct 18, 2017","19.63","19.28","19.67","19.16","6.60M","2.45"
"Oct 17, 2017","19.16","18.97","19.21","18.61","7.85M","0.52"
"Oct 16, 2017","19.06","19.30","19.31","18.98","4.76M","-0.94"
"Oct 13, 2017","19.24","19.30","19.39","19.01","5.12M","-0.21"
"Oct 12, 2017","19.28","19.82","19.90","19.27","11.05M","-3.60"
"Oct 11, 2017","20.00","20.56","20.60","19.95","3.97M","-2.58"
"Oct 10, 2017","20.53","20.82","20.91","20.29","3.24M","-1.44"
"Oct 09, 2017","20.83","21.31","21.35","20.73","3.34M","-2.71"
"Oct 06, 2017","21.41","21.52","21.60","21.24","2.52M","-0.51"
"Oct 05, 2017","21.52","21.74","21.88","21.40","3.16M","-0.88"
"Oct 04, 2017","21.71","21.47","21.80","21.46","2.42M","0.84"
"Oct 03, 2017","21.53","21.51","21.55","21.34","1.82M","0.00"
"Oct 02, 2017","21.53","21.25","21.59","21.25","2.33M","1.13"
"Sep 29, 2017","21.29","21.36","21.57","21.27","2.48M","-0.47"
"Sep 28, 2017","21.39","21.41","21.42","21.20","2.00M","-0.37"
"Sep 27, 2017","21.47","21.34","21.54","21.07","2.29M","0.89"
"Sep 26, 2017","21.28","21.78","21.78","21.25","2.45M","-0.33"
"Sep 25, 2017","21.35","21.35","21.56","21.26","1.95M","-0.28"
"Sep 22, 2017","21.41","21.34","21.54","21.23","2.37M","0.28"
"Sep 21, 2017","21.35","21.37","21.42","21.20","2.20M","0.42"
"Sep 20, 2017","21.26","21.37","21.41","21.16","3.98M","-0.14"
"Sep 19, 2017","21.29","21.32","21.32","20.14","3.75M","-0.14"
"Sep 18, 2017","21.32","21.98","21.98","21.20","4.77M","-2.83"
"Sep 15, 2017","21.94","21.60","21.99","21.29","7.49M","2.14"
"Sep 14, 2017","21.48","21.13","21.53","21.09","5.66M","1.32"
"Sep 13, 2017","21.20","21.02","21.28","20.95","2.72M","0.95"
"Sep 12, 2017","21.00","20.87","21.23","20.53","6.40M","0.96"
"Sep 11, 2017","20.80","21.40","21.57","20.78","5.08M","-2.12"
"Sep 08, 2017","21.25","21.33","21.35","20.72","4.06M","-0.42"
"Sep 07, 2017","21.34","21.94","22.00","21.14","6.69M","-2.38"
"Sep 06, 2017","21.86","21.63","21.99","21.54","2.67M","1.11"
"Sep 05, 2017","21.62","22.17","22.36","21.49","2.56M","-2.44"
"Sep 01, 2017","22.16","22.27","22.49","22.13","1.77M","-0.23"
"Aug 31, 2017","22.21","22.13","22.26","22.11","2.61M","0.09"
"Aug 30, 2017","22.19","22.45","22.48","22.17","2.74M","-1.16"
"Aug 29, 2017","22.45","22.56","22.66","22.12","3.90M","-1.58"
"Aug 28, 2017","22.81","22.71","23.31","22.70","4.61M","0.66"
"Aug 25, 2017","22.66","22.57","22.78","22.50","2.42M","0.62"
"Aug 24, 2017","22.52","22.44","22.65","22.38","2.07M","0.13"
"Aug 23, 2017","22.49","22.43","22.66","22.41","2.35M","0.00"
"Aug 22, 2017","22.49","22.39","22.53","22.27","2.86M","0.67"
"Aug 21, 2017","22.34","22.49","22.61","22.19","2.60M","-0.67"
"Aug 18, 2017","22.49","22.27","22.73","22.23","4.18M","1.12"
"Aug 17, 2017","22.24","22.47","22.59","22.12","4.14M","-1.59"
"Aug 16, 2017","22.60","22.98","23.10","22.51","4.26M","-0.70"
"Aug 15, 2017","22.76","22.85","23.00","22.72","2.27M","-0.61"
"Aug 14, 2017","22.90","23.11","23.28","22.86","3.52M","-0.04"
"Aug 11, 2017","22.91","23.03","23.15","22.82","3.27M","-0.39"
"Aug 10, 2017","23.00","23.49","23.62","22.87","3.81M","-2.54"
"Aug 09, 2017","23.60","24.00","24.17","23.04","6.88M","-2.88"
"Aug 08, 2017","24.30","24.47","24.68","24.14","3.26M","0.21"
"Aug 07, 2017","24.25","23.79","24.31","23.77","4.76M","2.19"
"Aug 04, 2017","23.73","24.86","24.86","23.68","7.41M","-4.08"
"Aug 03, 2017","24.74","24.93","25.04","24.69","3.96M","-1.08"
"Aug 02, 2017","25.01","24.55","25.04","24.31","5.03M","2.58"
"Aug 01, 2017","24.38","24.77","24.95","24.14","8.11M","-0.89"
"Jul 31, 2017","24.60","26.40","26.42","24.19","25.69M","-8.21"
"Jul 28, 2017","26.80","26.34","26.87","26.12","6.78M","1.55"
"Jul 27, 2017","26.39","25.90","26.86","25.52","12.71M","-0.71"
"Jul 26, 2017","26.58","25.90","26.78","25.90","4.46M","2.51"
"Jul 25, 2017","25.93","26.49","26.64","25.62","7.50M","-2.11"
"Jul 24, 2017","26.49","26.49","26.60","26.29","2.25M","-0.23"
"Jul 21, 2017","26.55","26.65","26.75","26.33","3.50M","-0.19"
"Jul 20, 2017","26.60","27.18","27.59","26.58","5.86M","-2.13"
"Jul 19, 2017","27.18","27.79","27.92","26.66","12.39M","4.34"
"Jul 18, 2017","26.05","26.27","26.38","25.85","1.99M","-1.33"
"Jul 17, 2017","26.40","26.24","26.52","26.07","2.75M","0.69"
"Jul 14, 2017","26.22","26.25","26.44","26.20","1.63M","0.23"
"Jul 13, 2017","26.16","26.09","26.37","26.06","1.55M","-0.04"
"Jul 12, 2017","26.17","26.44","26.45","26.09","1.21M","-0.11"
"Jul 11, 2017","26.20","26.13","26.29","26.01","1.43M","-0.19"
