"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","31.15","31.00","31.46","30.54","3.60M","-0.48"
"Nov 29, 2017","31.30","30.22","31.59","30.22","3.98M","3.75"
"Nov 28, 2017","30.17","29.82","30.23","29.63","2.08M","1.58"
"Nov 27, 2017","29.70","29.72","29.89","29.67","2.92M","-0.27"
"Nov 24, 2017","29.78","29.68","30.09","29.68","732.23K","-0.53"
"Nov 22, 2017","29.94","30.02","30.16","29.83","2.72M","-0.53"
"Nov 21, 2017","30.10","29.93","30.28","29.64","2.65M","0.67"
"Nov 20, 2017","29.90","30.45","30.92","29.70","3.27M","-1.90"
"Nov 17, 2017","30.48","30.45","30.73","29.57","5.81M","6.57"
"Nov 16, 2017","28.60","27.56","28.74","27.56","3.40M","2.33"
"Nov 15, 2017","27.95","27.26","28.01","26.86","2.97M","2.34"
"Nov 14, 2017","27.31","27.66","27.77","27.09","2.40M","-1.83"
"Nov 13, 2017","27.82","27.84","28.04","27.48","1.49M","-0.89"
"Nov 10, 2017","28.07","28.19","29.17","27.98","4.56M","-0.21"
"Nov 09, 2017","28.13","26.76","28.96","26.57","5.28M","2.85"
"Nov 08, 2017","27.35","26.84","27.39","26.74","5.69M","1.15"
"Nov 07, 2017","27.04","26.70","27.77","26.70","6.64M","1.58"
"Nov 06, 2017","26.62","24.33","26.85","24.30","12.14M","8.96"
"Nov 03, 2017","24.43","25.05","25.20","24.39","3.30M","-2.86"
"Nov 02, 2017","25.15","25.38","25.53","24.91","2.96M","-0.91"
"Nov 01, 2017","25.38","25.61","25.83","25.35","1.45M","-0.28"
"Oct 31, 2017","25.45","25.78","25.78","25.35","1.67M","-1.17"
"Oct 30, 2017","25.75","25.65","26.03","25.52","2.16M","0.00"
"Oct 27, 2017","25.75","25.56","25.76","24.91","2.33M","0.19"
"Oct 26, 2017","25.70","25.76","26.00","25.42","1.80M","1.06"
"Oct 25, 2017","25.43","25.45","25.65","25.31","1.91M","-0.51"
"Oct 24, 2017","25.56","25.89","25.97","25.54","2.12M","-1.73"
"Oct 23, 2017","26.01","26.93","26.93","25.97","1.92M","-3.09"
"Oct 20, 2017","26.84","26.88","26.94","26.64","1.43M","0.52"
"Oct 19, 2017","26.70","26.59","26.73","26.31","1.46M","0.41"
"Oct 18, 2017","26.59","26.21","26.72","26.19","2.59M","1.41"
"Oct 17, 2017","26.22","26.00","26.25","25.93","1.31M","0.46"
"Oct 16, 2017","26.10","25.92","26.20","25.80","1.89M","1.05"
"Oct 13, 2017","25.83","25.61","25.91","25.45","4.76M","1.33"
"Oct 12, 2017","25.49","25.30","25.78","25.20","4.77M","0.04"
"Oct 11, 2017","25.48","26.05","26.05","25.24","3.02M","-2.56"
"Oct 10, 2017","26.15","26.03","26.54","25.99","1.59M","0.69"
"Oct 09, 2017","25.97","26.41","26.48","25.97","1.23M","-1.89"
"Oct 06, 2017","26.47","26.34","26.49","26.09","2.36M","0.57"
"Oct 05, 2017","26.32","26.58","26.65","26.24","1.59M","-0.53"
"Oct 04, 2017","26.46","25.96","26.63","25.92","3.66M","1.69"
"Oct 03, 2017","26.02","26.00","26.16","25.85","3.85M","-0.12"
"Oct 02, 2017","26.05","25.85","26.30","25.79","3.42M","1.01"
"Sep 29, 2017","25.79","26.05","26.10","25.70","5.00M","-0.85"
"Sep 28, 2017","26.01","26.61","26.68","25.95","2.81M","-2.84"
"Sep 27, 2017","26.77","26.47","26.81","26.13","2.86M","1.32"
"Sep 26, 2017","26.42","26.63","26.70","26.40","1.93M","-0.71"
"Sep 25, 2017","26.61","26.33","26.83","26.33","2.50M","0.68"
"Sep 22, 2017","26.43","26.24","26.47","26.21","1.37M","0.38"
"Sep 21, 2017","26.33","26.27","26.46","26.19","1.73M","-0.19"
"Sep 20, 2017","26.38","26.32","26.53","26.26","2.35M","0.42"
