"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","93.02","92.95","93.92","92.55","1.07M","0.19"
"Nov 29, 2017","92.84","93.72","93.92","92.81","979.25K","-1.00"
"Nov 28, 2017","93.78","93.78","94.19","93.31","741.53K","0.09"
"Nov 27, 2017","93.70","94.92","95.22","93.48","703.75K","-1.00"
"Nov 24, 2017","94.65","95.31","95.46","94.59","294.01K","-0.40"
"Nov 22, 2017","95.03","95.17","95.53","94.83","471.77K","-0.02"
"Nov 21, 2017","95.05","95.68","96.10","94.88","717.51K","0.03"
"Nov 20, 2017","95.02","95.54","95.97","94.46","966.87K","-0.91"
"Nov 17, 2017","95.89","96.07","96.90","95.70","1.08M","-0.01"
"Nov 16, 2017","95.90","93.91","96.33","93.50","967.25K","1.21"
"Nov 15, 2017","94.75","95.60","95.89","94.02","1.42M","-1.28"
"Nov 14, 2017","95.98","96.22","97.30","95.64","2.38M","-0.88"
"Nov 13, 2017","96.83","94.75","99.17","94.75","5.59M","5.88"
"Nov 10, 2017","91.45","88.83","91.59","88.76","1.42M","3.11"
"Nov 09, 2017","88.69","88.32","89.89","87.92","1.64M","-0.36"
"Nov 08, 2017","89.01","89.82","89.90","88.21","1.63M","-0.98"
"Nov 07, 2017","89.89","90.76","91.13","89.16","1.36M","-1.23"
"Nov 06, 2017","91.01","90.67","91.26","90.35","704.53K","0.35"
"Nov 03, 2017","90.69","89.15","91.01","89.10","1.07M","1.21"
"Nov 02, 2017","89.61","91.07","91.10","89.29","1.40M","-0.95"
"Nov 01, 2017","90.47","92.90","93.33","90.32","1.85M","-2.29"
"Oct 31, 2017","92.59","94.65","94.75","92.19","1.94M","-3.02"
"Oct 30, 2017","95.47","96.96","96.96","95.40","2.13M","-1.72"
"Oct 27, 2017","97.14","94.85","97.30","94.00","2.58M","2.33"
"Oct 26, 2017","94.93","94.94","95.46","94.23","2.01M","0.56"
"Oct 25, 2017","94.40","92.88","94.44","92.60","2.73M","1.55"
"Oct 24, 2017","92.96","91.67","93.99","91.50","4.44M","3.58"
"Oct 23, 2017","89.75","92.69","93.44","88.66","7.22M","-8.60"
"Oct 20, 2017","98.19","97.32","98.93","97.10","2.27M","1.57"
"Oct 19, 2017","96.67","96.67","97.04","96.13","876.53K","-0.05"
"Oct 18, 2017","96.72","96.51","96.93","96.30","821.68K","0.17"
"Oct 17, 2017","96.56","97.28","97.28","96.36","1.51M","-0.59"
"Oct 16, 2017","97.13","96.60","97.25","96.30","1.26M","0.53"
"Oct 13, 2017","96.62","97.17","97.77","96.52","967.88K","0.02"
"Oct 12, 2017","96.60","96.44","96.97","96.22","798.48K","-0.01"
"Oct 11, 2017","96.61","95.90","96.83","95.90","908.76K","0.44"
"Oct 10, 2017","96.19","96.53","96.89","96.08","644.16K","-0.45"
"Oct 09, 2017","96.62","96.50","97.26","96.12","628.01K","0.37"
"Oct 06, 2017","96.26","96.39","96.42","95.53","1.33M","-0.33"
"Oct 05, 2017","96.58","97.94","98.58","96.49","1.38M","-1.13"
"Oct 04, 2017","97.68","97.52","97.95","97.09","711.91K","0.11"
"Oct 03, 2017","97.57","97.72","98.07","96.88","1.05M","-0.08"
"Oct 02, 2017","97.65","97.35","97.74","96.75","1.02M","-0.02"
"Sep 29, 2017","97.67","97.00","97.87","96.82","934.14K","0.68"
