"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","41.72","42.16","42.56","41.67","5.54M","-1.30"
"Nov 29, 2017","42.27","40.56","42.68","40.55","4.86M","4.50"
"Nov 28, 2017","40.45","40.82","40.90","40.36","2.31M","-0.78"
"Nov 27, 2017","40.77","40.84","41.04","40.48","2.10M","-0.24"
"Nov 24, 2017","40.87","40.92","40.98","40.31","1.04M","-0.02"
"Nov 22, 2017","40.88","40.59","41.06","39.87","3.28M","0.69"
"Nov 21, 2017","40.60","40.32","40.95","40.03","2.69M","1.02"
"Nov 20, 2017","40.19","39.84","40.23","39.77","2.20M","0.58"
"Nov 17, 2017","39.96","39.62","40.20","39.17","2.09M","0.60"
"Nov 16, 2017","39.72","39.29","39.80","38.84","1.47M","1.20"
"Nov 15, 2017","39.25","39.60","39.78","39.22","2.60M","-0.93"
"Nov 14, 2017","39.62","40.34","40.55","39.32","4.08M","-2.51"
"Nov 13, 2017","40.64","38.80","40.70","38.80","4.26M","4.29"
"Nov 10, 2017","38.97","39.53","39.85","38.58","4.91M","-1.72"
"Nov 09, 2017","39.65","37.48","39.76","36.59","5.80M","0.28"
"Nov 08, 2017","39.54","39.29","39.75","38.96","4.00M","0.10"
"Nov 07, 2017","39.50","38.93","39.52","38.77","2.97M","1.13"
"Nov 06, 2017","39.06","39.40","39.47","38.81","2.69M","-1.26"
"Nov 03, 2017","39.56","38.75","39.89","38.72","5.26M","2.97"
"Nov 02, 2017","38.42","38.14","38.50","38.00","3.23M","0.58"
"Nov 01, 2017","38.20","37.99","38.52","37.87","3.51M","0.92"
"Oct 31, 2017","37.85","37.27","37.87","37.15","2.93M","1.72"
"Oct 30, 2017","37.21","37.05","37.27","36.70","2.67M","-0.08"
"Oct 27, 2017","37.24","37.13","37.43","36.89","2.95M","0.30"
"Oct 26, 2017","37.13","37.12","37.52","36.91","1.98M","0.27"
"Oct 25, 2017","37.03","36.84","37.11","36.75","1.74M","-0.03"
"Oct 24, 2017","37.04","37.16","37.23","36.85","1.81M","-0.43"
"Oct 23, 2017","37.20","37.16","37.61","37.04","1.65M","0.51"
"Oct 20, 2017","37.01","37.23","37.37","36.94","2.34M","-0.19"
"Oct 19, 2017","37.08","36.78","37.16","36.78","2.03M","0.52"
