"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","157.22","154.76","157.80","153.91","3.42M","1.95"
"Nov 29, 2017","154.22","155.87","155.96","153.18","2.27M","-1.01"
"Nov 28, 2017","155.79","154.92","155.89","154.33","1.36M","0.66"
"Nov 27, 2017","154.77","153.81","155.12","153.35","1.61M","0.56"
"Nov 24, 2017","153.91","151.10","153.98","151.02","1.06M","1.50"
"Nov 22, 2017","151.63","151.94","152.38","150.72","1.82M","-0.11"
"Nov 21, 2017","151.79","152.50","156.39","151.18","2.53M","-3.80"
"Nov 20, 2017","157.78","157.22","158.90","156.53","1.87M","0.79"
"Nov 17, 2017","156.55","155.99","156.71","155.27","1.25M","0.58"
"Nov 16, 2017","155.65","154.09","156.04","153.59","1.14M","1.16"
"Nov 15, 2017","153.86","155.22","156.46","153.36","1.66M","-0.87"
"Nov 14, 2017","155.21","154.05","155.78","153.52","946.53K","0.21"
"Nov 13, 2017","154.89","153.01","155.37","153.01","1.09M","1.04"
"Nov 10, 2017","153.30","151.66","153.45","151.56","712.02K","0.58"
"Nov 09, 2017","152.41","152.01","152.59","150.58","954.74K","-0.36"
"Nov 08, 2017","152.96","152.61","153.19","151.67","734.28K","0.30"
"Nov 07, 2017","152.51","153.25","153.33","151.58","662.90K","-0.11"
"Nov 06, 2017","152.68","153.86","154.19","152.04","671.20K","-0.62"
"Nov 03, 2017","153.64","151.89","154.04","151.04","962.44K","0.98"
"Nov 02, 2017","152.15","151.34","152.32","150.60","925.53K","0.52"
"Nov 01, 2017","151.36","151.85","152.22","150.55","892.38K","0.23"
"Oct 31, 2017","151.02","151.78","151.99","150.51","859.13K","-0.28"
"Oct 30, 2017","151.45","153.22","153.26","150.38","953.95K","-1.31"
"Oct 27, 2017","153.46","151.40","153.86","150.82","1.17M","1.41"
"Oct 26, 2017","151.33","150.05","151.95","149.43","1.12M","1.25"
"Oct 25, 2017","149.46","148.35","149.74","147.97","1.46M","0.57"
"Oct 24, 2017","148.62","147.09","148.62","145.83","1.14M","0.88"
"Oct 23, 2017","147.32","148.53","148.89","146.96","810.41K","-0.44"
"Oct 20, 2017","147.97","146.46","148.42","146.46","1.18M","0.92"
"Oct 19, 2017","146.62","145.40","146.65","145.38","874.09K","0.58"
"Oct 18, 2017","145.77","145.61","146.46","145.14","888.21K","0.19"
"Oct 17, 2017","145.50","144.78","145.64","144.53","1.14M","0.53"
"Oct 16, 2017","144.74","146.00","146.00","144.64","743.08K","-0.62"
"Oct 13, 2017","145.65","146.81","146.99","145.25","1.03M","-0.14"
"Oct 12, 2017","145.86","143.65","145.93","143.46","1.09M","1.53"
"Oct 11, 2017","143.66","144.17","144.68","143.18","1.22M","-0.36"
"Oct 10, 2017","144.18","143.95","144.72","143.46","778.20K","0.15"
"Oct 09, 2017","143.96","144.34","144.34","143.41","786.96K","-0.15"
"Oct 06, 2017","144.18","142.35","144.24","142.04","992.71K","0.92"
"Oct 05, 2017","142.86","142.99","143.13","142.02","1.07M","0.13"
"Oct 04, 2017","142.67","141.75","142.89","140.21","1.61M","0.58"
"Oct 03, 2017","141.85","141.77","142.30","141.31","1.24M","0.08"
"Oct 02, 2017","141.74","142.26","143.29","141.18","1.58M","-0.28"
"Sep 29, 2017","142.14","142.18","142.92","140.37","2.57M","-0.12"
"Sep 28, 2017","142.31","143.46","144.02","141.60","1.94M","-1.42"
"Sep 27, 2017","144.36","144.20","145.68","143.68","1.57M","-0.28"
"Sep 26, 2017","144.77","145.23","145.61","144.10","1.17M","0.02"
"Sep 25, 2017","144.74","145.53","145.99","143.76","1.32M","-1.08"
"Sep 22, 2017","146.32","144.07","146.72","144.07","1.31M","1.27"
"Sep 21, 2017","144.49","145.82","145.90","144.06","1.16M","-0.33"
"Sep 20, 2017","144.97","145.33","145.91","144.00","1.25M","-0.25"
"Sep 19, 2017","145.34","144.30","146.04","143.59","1.74M","1.07"
"Sep 18, 2017","143.80","142.07","144.06","141.61","1.41M","1.17"
"Sep 15, 2017","142.13","141.85","142.35","141.11","1.42M","0.04"
"Sep 14, 2017","142.08","141.34","142.09","140.58","1.26M","0.01"
"Sep 13, 2017","142.06","141.70","142.26","140.75","1.23M","-0.22"
"Sep 12, 2017","142.38","142.93","143.00","140.53","1.79M","-0.18"
"Sep 11, 2017","142.64","142.43","143.08","141.87","1.10M","0.76"
"Sep 08, 2017","141.56","141.17","141.70","140.94","953.28K","0.40"
"Sep 07, 2017","141.00","140.99","141.76","140.07","1.53M","-0.10"
"Sep 06, 2017","141.14","142.15","142.49","140.74","1.19M","-0.28"
"Sep 05, 2017","141.54","141.07","142.45","140.85","1.37M","-0.25"
"Sep 01, 2017","141.90","141.83","142.26","141.06","1.07M","0.32"
"Aug 31, 2017","141.45","140.07","141.69","139.76","2.34M","1.06"
"Aug 30, 2017","139.97","137.79","140.14","137.76","1.86M","1.42"
"Aug 29, 2017","138.01","136.76","138.60","136.75","1.02M","0.08"
"Aug 28, 2017","137.90","137.29","138.18","136.48","1.47M","0.40"
"Aug 25, 2017","137.35","135.66","137.79","135.66","1.53M","1.49"
"Aug 24, 2017","135.33","135.27","135.80","133.71","1.94M","-0.14"
"Aug 23, 2017","135.52","138.25","139.40","133.60","2.56M","-1.90"
"Aug 22, 2017","138.15","136.14","138.35","135.58","2.26M","1.65"
"Aug 21, 2017","135.91","134.48","136.08","133.98","1.78M","1.34"
"Aug 18, 2017","134.11","133.95","135.09","133.77","1.31M","-0.26"
"Aug 17, 2017","134.46","137.70","137.88","134.43","1.27M","-2.51"
"Aug 16, 2017","137.92","137.34","138.21","137.07","1.08M","0.33"
"Aug 15, 2017","137.47","138.40","139.09","135.81","1.55M","-1.02"
"Aug 14, 2017","138.89","137.40","139.58","137.40","1.15M","1.68"
"Aug 11, 2017","136.60","136.73","137.04","135.09","747.23K","1.07"
"Aug 10, 2017","135.16","135.99","136.48","134.80","928.32K","-1.21"
"Aug 09, 2017","136.82","136.00","136.97","135.26","761.66K","0.47"
"Aug 08, 2017","136.18","136.03","137.21","135.81","747.13K","-0.34"
"Aug 07, 2017","136.65","136.27","137.05","135.94","866.30K","-0.18"
"Aug 04, 2017","136.90","137.55","137.79","136.69","675.69K","-0.18"
"Aug 03, 2017","137.14","136.95","137.65","136.25","879.57K","0.45"
"Aug 02, 2017","136.53","137.49","137.59","135.83","1.24M","-0.65"
"Aug 01, 2017","137.43","137.64","138.71","135.71","1.01M","0.16"
"Jul 31, 2017","137.21","135.56","137.41","135.51","1.13M","1.16"
"Jul 28, 2017","135.64","136.48","137.01","135.40","979.63K","-0.90"
"Jul 27, 2017","136.87","136.90","137.71","135.14","1.26M","-0.20"
"Jul 26, 2017","137.14","137.00","137.40","136.37","980.68K","0.22"
"Jul 25, 2017","136.84","136.83","137.66","135.94","941.06K","0.43"
"Jul 24, 2017","136.25","134.98","136.26","134.72","910.63K","1.05"
"Jul 21, 2017","134.84","134.69","135.78","134.19","849.56K","-0.38"
"Jul 20, 2017","135.35","135.17","135.91","134.20","1.17M","0.12"
"Jul 19, 2017","135.19","133.43","135.26","133.29","1.08M","1.15"
"Jul 18, 2017","133.65","132.69","133.82","132.65","808.79K","0.44"
"Jul 17, 2017","133.07","132.96","133.76","132.62","1.01M","0.14"
"Jul 14, 2017","132.88","132.89","133.39","132.68","1.57M","0.36"
"Jul 13, 2017","132.40","133.45","134.00","131.79","1.60M","-0.81"
"Jul 12, 2017","133.48","133.49","133.79","133.03","1.33M","0.85"
"Jul 11, 2017","132.36","132.18","132.98","131.69","990.17K","0.37"
"Jul 10, 2017","131.87","131.54","132.43","131.00","1.18M","-0.02"
"Jul 07, 2017","131.90","132.00","133.00","131.71","1.23M","0.61"
"Jul 06, 2017","131.10","130.89","131.81","130.26","1.41M","-0.67"
"Jul 05, 2017","131.98","131.91","132.89","131.26","1.28M","0.23"
"Jul 03, 2017","131.68","133.82","133.83","131.64","759.27K","-0.85"
"Jun 30, 2017","132.81","133.75","134.78","132.78","2.29M","-0.22"
"Jun 29, 2017","133.10","134.98","135.13","132.35","1.79M","-1.68"
"Jun 28, 2017","135.37","135.45","137.62","134.49","1.53M","0.06"
"Jun 27, 2017","135.29","137.78","138.41","135.26","1.54M","-2.25"
"Jun 26, 2017","138.40","138.41","139.85","137.68","1.36M","-1.42"
"Jun 23, 2017","140.40","140.24","140.78","139.56","1.54M","0.29"
"Jun 22, 2017","139.99","139.90","140.64","139.60","1.11M","-0.19"
"Jun 21, 2017","140.25","140.78","141.52","139.98","1.27M","0.06"
"Jun 20, 2017","140.17","140.56","140.90","140.03","1.04M","-0.41"
"Jun 19, 2017","140.75","140.20","141.28","139.75","1.69M","0.90"
"Jun 16, 2017","139.49","138.65","140.46","138.65","1.92M","-0.36"
"Jun 15, 2017","140.00","138.96","140.48","138.13","1.35M","-0.14"
"Jun 14, 2017","140.19","140.50","141.03","138.86","906.92K","0.22"
"Jun 13, 2017","139.88","139.80","140.71","139.41","1.49M","0.10"
"Jun 12, 2017","139.74","138.96","140.14","138.01","1.78M","-0.34"
"Jun 09, 2017","140.21","143.00","143.81","139.10","1.89M","-1.75"
"Jun 08, 2017","142.71","142.23","142.99","141.61","1.42M","0.52"
"Jun 07, 2017","141.97","142.12","142.81","141.43","1.45M","0.24"
"Jun 06, 2017","141.63","142.18","142.94","141.60","1.99M","-0.72"
"Jun 05, 2017","142.65","142.62","143.46","142.19","1.47M","-0.11"
"Jun 02, 2017","142.81","141.22","142.89","141.12","1.52M","1.05"
"Jun 01, 2017","141.33","140.55","141.68","140.27","1.90M","0.49"
"May 31, 2017","140.64","140.20","141.08","139.52","2.39M","0.42"
"May 30, 2017","140.05","138.48","140.20","138.00","2.61M","1.08"
"May 26, 2017","138.56","138.03","139.86","136.83","2.32M","0.14"
"May 25, 2017","138.36","137.53","138.81","135.43","3.53M","0.38"
"May 24, 2017","137.83","139.71","140.25","136.41","5.28M","6.72"
