"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","37.45","37.87","38.00","37.12","16.36M","-1.00"
"Nov 29, 2017","37.83","38.40","38.61","37.10","18.26M","-1.92"
"Nov 28, 2017","38.57","38.76","38.96","38.30","8.24M","-0.23"
"Nov 27, 2017","38.66","39.00","39.13","38.52","9.58M","-1.40"
"Nov 24, 2017","39.21","39.72","39.73","39.05","7.26M","-1.46"
"Nov 22, 2017","39.79","40.20","40.46","39.45","9.32M","-0.23"
"Nov 21, 2017","39.88","39.49","40.37","39.49","13.82M","1.73"
"Nov 20, 2017","39.20","40.36","40.45","38.90","20.09M","-2.61"
"Nov 17, 2017","40.25","40.34","40.73","39.95","16.67M","0.07"
"Nov 16, 2017","40.22","39.64","40.58","39.34","18.08M","2.21"
"Nov 15, 2017","39.35","38.50","39.38","37.79","19.46M","1.16"
"Nov 14, 2017","38.90","41.00","41.05","38.25","38.89M","-5.90"
"Nov 13, 2017","41.34","41.97","42.77","40.85","43.67M","3.45"
"Nov 10, 2017","39.96","39.83","40.40","39.17","16.87M","0.40"
"Nov 09, 2017","39.80","40.19","40.22","38.89","16.91M","-1.31"
"Nov 08, 2017","40.33","39.91","40.83","39.85","17.11M","1.36"
"Nov 07, 2017","39.79","39.69","39.90","39.09","14.58M","2.00"
"Nov 06, 2017","39.01","39.01","39.18","38.60","14.49M","1.54"
"Nov 03, 2017","38.42","38.40","38.61","38.21","15.41M","1.43"
"Nov 02, 2017","37.88","38.24","38.67","37.67","17.73M","0.05"
"Nov 01, 2017","37.86","38.00","38.31","37.72","15.80M","0.91"
"Oct 31, 2017","37.52","37.84","38.03","37.27","13.58M","0.27"
"Oct 30, 2017","37.42","37.81","37.87","36.94","15.65M","0.16"
"Oct 27, 2017","37.36","37.01","37.47","35.79","23.63M","1.49"
"Oct 26, 2017","36.81","37.56","37.68","36.71","19.15M","-1.58"
"Oct 25, 2017","37.40","38.55","38.97","37.13","22.02M","-2.91"
"Oct 24, 2017","38.52","38.66","38.81","38.46","11.85M","0.23"
"Oct 23, 2017","38.43","39.15","39.20","38.33","13.58M","-1.46"
"Oct 20, 2017","39.00","39.70","39.75","38.69","20.23M","-0.96"
"Oct 19, 2017","39.38","39.80","40.18","39.21","16.38M","-2.33"
"Oct 18, 2017","40.32","40.00","40.77","39.57","19.06M","1.84"
"Oct 17, 2017","39.59","39.95","40.15","39.37","12.07M","-0.20"
"Oct 16, 2017","39.67","40.14","40.15","38.96","19.94M","2.45"
"Oct 13, 2017","38.72","38.71","38.97","38.44","13.05M","0.55"
"Oct 12, 2017","38.51","39.60","39.62","38.44","14.54M","-2.80"
"Oct 11, 2017","39.62","40.37","40.42","39.52","14.07M","-1.37"
"Oct 10, 2017","40.17","39.29","40.29","39.10","16.53M","3.24"
"Oct 09, 2017","38.91","39.40","39.47","38.69","9.51M","-0.84"
"Oct 06, 2017","39.24","38.98","39.72","38.93","9.69M","0.26"
"Oct 05, 2017","39.14","38.62","39.27","38.21","11.73M","2.09"
"Oct 04, 2017","38.34","39.21","39.21","37.61","21.46M","-2.22"
"Oct 03, 2017","39.21","39.93","40.23","39.10","15.96M","0.28"
"Oct 02, 2017","39.10","38.40","39.94","38.30","18.69M","2.36"
"Sep 29, 2017","38.20","38.38","38.83","37.82","23.32M","-1.16"
"Sep 28, 2017","38.65","39.48","39.50","38.21","24.88M","-2.67"
"Sep 27, 2017","39.71","40.71","40.84","39.33","20.02M","-1.51"
"Sep 26, 2017","40.32","41.56","41.78","40.11","15.07M","-1.49"
"Sep 25, 2017","40.93","42.04","42.09","40.47","17.09M","-3.40"
"Sep 22, 2017","42.37","42.48","42.68","42.16","11.62M","-1.42"
"Sep 21, 2017","42.98","43.90","43.96","42.41","14.57M","-3.29"
"Sep 20, 2017","44.44","44.39","44.55","43.72","8.01M","0.25"
"Sep 19, 2017","44.33","45.00","45.04","43.83","9.30M","-0.92"
"Sep 18, 2017","44.74","45.45","45.83","44.71","11.37M","-0.38"
"Sep 15, 2017","44.91","45.59","45.60","44.70","16.91M","-0.75"
"Sep 14, 2017","45.25","44.84","45.93","44.52","12.95M","-0.04"
"Sep 13, 2017","45.27","43.45","45.28","43.36","20.10M","4.57"
"Sep 12, 2017","43.29","42.36","43.50","41.81","14.17M","2.97"
"Sep 11, 2017","42.04","41.71","42.50","41.71","10.26M","2.16"
"Sep 08, 2017","41.15","41.76","41.96","41.07","7.01M","-1.63"
"Sep 07, 2017","41.83","41.73","42.13","41.57","5.67M","0.46"
