"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","102.24","101.50","104.33","100.97","3.57M","1.88"
"Nov 29, 2017","100.35","107.16","107.38","98.91","3.46M","-6.35"
"Nov 28, 2017","107.16","104.27","107.22","104.27","1.67M","2.65"
"Nov 27, 2017","104.39","103.64","105.10","102.30","1.32M","-0.62"
"Nov 24, 2017","105.04","104.73","105.42","104.08","891.44K","0.55"
"Nov 22, 2017","104.47","105.68","105.68","103.87","1.21M","-0.25"
"Nov 21, 2017","104.73","103.26","104.88","103.25","1.51M","2.17"
"Nov 20, 2017","102.51","101.99","103.25","101.72","1.62M","0.85"
"Nov 17, 2017","101.65","105.76","106.52","101.53","1.69M","-2.98"
"Nov 16, 2017","104.77","103.49","106.96","102.79","2.26M","1.77"
"Nov 15, 2017","102.95","102.04","103.31","100.51","2.11M","0.78"
"Nov 14, 2017","102.15","101.34","102.21","100.70","1.84M","0.22"
"Nov 13, 2017","101.93","101.52","103.03","101.23","2.26M","-0.50"
"Nov 10, 2017","102.44","102.20","103.10","101.61","2.18M","0.04"
"Nov 09, 2017","102.40","106.53","106.54","101.78","2.10M","-4.37"
"Nov 08, 2017","107.08","107.59","107.85","106.30","1.11M","-0.39"
"Nov 07, 2017","107.50","105.43","107.56","105.16","1.25M","1.89"
"Nov 06, 2017","105.51","106.33","106.99","105.06","1.13M","-0.74"
"Nov 03, 2017","106.30","106.08","106.65","105.57","1.16M","-0.08"
"Nov 02, 2017","106.38","105.22","106.44","104.50","1.74M","1.17"
"Nov 01, 2017","105.15","110.00","110.00","103.09","2.32M","-3.43"
"Oct 31, 2017","108.89","107.78","109.63","106.85","2.73M","1.43"
"Oct 30, 2017","107.35","108.17","108.63","106.45","1.90M","-0.67"
"Oct 27, 2017","108.07","108.19","109.50","103.60","2.48M","-0.72"
"Oct 26, 2017","108.85","107.04","109.78","107.00","2.35M","2.01"
"Oct 25, 2017","106.71","107.36","107.61","105.21","1.60M","-0.91"
"Oct 24, 2017","107.69","107.76","108.17","107.06","1.03M","-0.10"
"Oct 23, 2017","107.80","108.99","108.99","107.45","1.16M","-0.50"
"Oct 20, 2017","108.34","109.06","109.15","107.89","836.11K","0.27"
"Oct 19, 2017","108.05","106.72","108.06","105.77","709.02K","-0.04"
"Oct 18, 2017","108.09","108.19","108.23","106.12","863.22K","0.07"
"Oct 17, 2017","108.01","107.84","108.29","106.74","1.10M","0.63"
"Oct 16, 2017","107.33","106.01","107.39","105.11","2.08M","1.93"
"Oct 13, 2017","105.30","105.23","106.10","104.82","1.01M","0.46"
"Oct 12, 2017","104.82","104.89","105.76","104.50","937.12K","0.22"
"Oct 11, 2017","104.59","104.07","105.14","103.79","664.85K","0.13"
"Oct 10, 2017","104.45","104.94","104.94","103.37","859.85K","0.48"
"Oct 09, 2017","103.95","102.73","104.46","102.63","884.33K","1.44"
"Oct 06, 2017","102.47","101.74","102.66","101.27","965.21K","0.79"
"Oct 05, 2017","101.67","103.54","103.59","101.35","1.16M","-1.29"
"Oct 04, 2017","103.00","102.63","103.08","101.04","1.44M","0.16"
"Oct 03, 2017","102.84","105.03","105.17","102.35","1.73M","-2.01"
"Oct 02, 2017","104.95","105.54","105.99","103.87","1.16M","-0.99"
"Sep 29, 2017","106.00","105.13","106.09","104.15","1.08M","1.03"
"Sep 28, 2017","104.92","103.23","105.19","103.23","1.86M","0.72"
"Sep 27, 2017","104.17","100.28","105.05","99.66","2.23M","5.04"
"Sep 26, 2017","99.17","99.78","100.05","98.27","846.39K","0.16"
"Sep 25, 2017","99.01","100.09","100.51","98.39","1.44M","-1.57"
"Sep 22, 2017","100.59","99.37","101.02","99.37","1.21M","1.08"
