"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","20.80","21.65","21.80","20.69","551.09K","-4.24"
"Nov 29, 2017","21.72","21.37","22.02","21.37","355.50K","1.45"
"Nov 28, 2017","21.41","21.07","21.46","20.91","165.42K","1.57"
"Nov 27, 2017","21.08","21.64","21.64","20.97","119.92K","-2.63"
"Nov 24, 2017","21.65","21.56","21.75","21.49","88.94K","0.42"
"Nov 22, 2017","21.56","21.51","21.74","21.08","236.53K","0.05"
"Nov 21, 2017","21.55","21.83","21.90","21.33","155.59K","-1.19"
"Nov 20, 2017","21.81","21.46","21.86","21.44","162.79K","1.82"
"Nov 17, 2017","21.42","21.81","22.04","21.40","268.85K","-1.74"
"Nov 16, 2017","21.80","22.12","22.15","21.63","657.49K","-1.67"
"Nov 15, 2017","22.17","21.99","22.43","21.87","267.43K","0.59"
"Nov 14, 2017","22.04","22.05","22.65","21.88","375.45K","0.36"
"Nov 13, 2017","21.96","22.19","22.26","21.69","206.35K","-0.90"
"Nov 10, 2017","22.16","22.12","22.92","22.03","366.55K","-0.14"
"Nov 09, 2017","22.19","21.99","22.33","21.66","169.73K","0.14"
"Nov 08, 2017","22.16","21.93","22.34","21.78","255.10K","1.33"
"Nov 07, 2017","21.87","21.84","21.91","21.68","515.69K","-0.09"
"Nov 06, 2017","21.89","21.12","22.02","21.12","695.46K","-0.55"
"Nov 03, 2017","22.01","22.45","22.45","21.56","678.11K","-1.92"
"Nov 02, 2017","22.44","22.00","23.78","21.68","1.04M","-0.75"
"Nov 01, 2017","22.61","22.10","23.05","21.55","1.13M","4.10"
"Oct 31, 2017","21.72","21.30","21.73","21.17","352.51K","2.40"
"Oct 30, 2017","21.21","21.16","21.55","20.94","306.30K","0.05"
"Oct 27, 2017","21.20","21.33","21.50","20.93","622.68K","-0.14"
"Oct 26, 2017","21.23","21.71","21.75","21.08","256.32K","-2.30"
"Oct 25, 2017","21.73","21.50","21.84","21.18","223.77K","1.02"
"Oct 24, 2017","21.51","21.83","21.98","21.17","369.64K","-1.47"
"Oct 23, 2017","21.83","21.90","22.32","21.73","305.32K","-0.73"
"Oct 20, 2017","21.99","21.46","22.05","21.31","305.49K","3.29"
"Oct 19, 2017","21.29","21.74","21.91","21.03","514.86K","-2.29"
"Oct 18, 2017","21.79","22.01","22.09","21.55","430.22K","-0.55"
"Oct 17, 2017","21.91","22.75","22.85","21.74","470.71K","-3.78"
"Oct 16, 2017","22.77","23.34","23.49","22.71","509.98K","-2.40"
"Oct 13, 2017","23.33","23.23","23.41","22.93","371.17K","0.65"
"Oct 12, 2017","23.18","23.54","23.54","23.06","134.26K","-1.90"
"Oct 11, 2017","23.63","24.17","24.25","23.42","201.16K","-2.60"
"Oct 10, 2017","24.26","24.00","24.29","23.75","220.78K","1.34"
"Oct 09, 2017","23.94","24.31","24.59","23.89","365.08K","-2.92"
"Oct 06, 2017","24.66","25.15","25.15","24.45","303.43K","-2.76"
"Oct 05, 2017","25.36","25.52","25.77","25.26","298.14K","-0.67"
"Oct 04, 2017","25.53","25.61","25.77","25.42","254.32K","-0.35"
"Oct 03, 2017","25.62","24.98","25.76","24.98","373.59K","2.28"
"Oct 02, 2017","25.05","24.55","25.32","24.25","623.31K","5.43"
"Sep 29, 2017","23.76","23.47","23.92","23.15","237.87K","1.93"
"Sep 28, 2017","23.31","23.39","23.56","22.95","396.91K","-0.89"
"Sep 27, 2017","23.52","23.27","23.85","23.27","347.15K","-1.30"
"Sep 26, 2017","23.83","23.46","24.07","23.29","222.17K","1.58"
"Sep 25, 2017","23.46","23.61","23.61","23.17","216.67K","-1.22"
"Sep 22, 2017","23.75","23.47","23.76","23.45","199.44K","0.68"
"Sep 21, 2017","23.59","23.92","23.92","23.56","186.13K","-1.34"
"Sep 20, 2017","23.91","24.25","24.46","23.82","373.01K","-1.28"
"Sep 19, 2017","24.22","24.42","24.55","24.16","527.14K","-0.86"
"Sep 18, 2017","24.43","25.05","25.10","24.42","390.69K","-2.16"
"Sep 15, 2017","24.97","25.45","25.45","24.86","695.72K","-1.92"
"Sep 14, 2017","25.46","25.51","25.68","25.40","376.00K","-0.70"
"Sep 13, 2017","25.64","25.42","25.71","25.31","226.73K","0.83"
"Sep 12, 2017","25.43","25.67","25.69","25.03","279.93K","-0.74"
"Sep 11, 2017","25.62","25.63","26.09","25.59","395.29K","0.39"
"Sep 08, 2017","25.52","25.45","25.58","25.15","137.64K","0.24"
"Sep 07, 2017","25.46","25.50","25.74","25.30","195.04K","-0.16"
"Sep 06, 2017","25.50","25.28","25.61","25.16","326.30K","1.15"
"Sep 05, 2017","25.21","26.36","26.41","25.16","320.72K","-4.54"
"Sep 01, 2017","26.41","26.11","26.50","26.08","168.68K","1.54"
"Aug 31, 2017","26.01","26.14","26.27","25.95","153.63K","-0.54"
"Aug 30, 2017","26.15","25.93","26.27","25.76","103.44K","0.65"
"Aug 29, 2017","25.98","25.61","26.06","25.47","113.39K","1.05"
"Aug 28, 2017","25.71","25.93","26.04","25.57","129.96K","-1.08"
"Aug 25, 2017","25.99","25.92","26.05","25.67","104.66K","0.58"
"Aug 24, 2017","25.84","25.78","26.09","25.67","242.49K","0.16"
"Aug 23, 2017","25.80","25.81","26.06","25.75","105.36K","-0.46"
"Aug 22, 2017","25.92","25.93","26.20","25.86","81.59K","0.04"
"Aug 21, 2017","25.91","26.20","26.35","25.70","159.79K","-1.30"
"Aug 18, 2017","26.25","26.01","26.35","25.76","108.06K","0.88"
"Aug 17, 2017","26.02","26.18","26.41","25.93","384.80K","-0.76"
"Aug 16, 2017","26.22","26.22","26.32","25.80","152.31K","0.54"
"Aug 15, 2017","26.08","26.54","26.63","25.98","212.85K","-1.77"
"Aug 14, 2017","26.55","27.18","27.25","26.51","236.23K","-1.63"
"Aug 11, 2017","26.99","26.48","27.13","26.47","360.40K","1.66"
"Aug 10, 2017","26.55","26.25","26.76","26.15","480.56K","-0.56"
"Aug 09, 2017","26.70","26.54","26.89","26.20","528.22K","0.34"
"Aug 08, 2017","26.61","26.27","27.85","26.15","660.86K","1.22"
"Aug 07, 2017","26.29","26.37","26.61","26.14","295.82K","-0.19"
"Aug 04, 2017","26.34","26.32","26.49","26.07","316.21K","0.15"
"Aug 03, 2017","26.30","26.10","26.32","25.93","220.72K","1.04"
"Aug 02, 2017","26.03","25.88","26.25","25.57","191.52K","0.81"
"Aug 01, 2017","25.82","25.91","25.96","25.62","234.60K","0.39"
"Jul 31, 2017","25.72","25.53","25.83","25.05","209.11K","0.74"
"Jul 28, 2017","25.53","25.15","25.58","24.95","199.76K","1.07"
"Jul 27, 2017","25.26","25.31","25.80","25.01","166.28K","-0.71"
"Jul 26, 2017","25.44","24.99","25.58","24.58","341.89K","1.92"
"Jul 25, 2017","24.96","24.90","25.21","24.77","163.08K","0.44"
"Jul 24, 2017","24.85","25.27","25.61","24.83","437.45K","-1.97"
"Jul 21, 2017","25.35","25.26","25.56","24.86","356.65K","0.20"
"Jul 20, 2017","25.30","25.50","25.97","25.28","241.15K","-0.35"
"Jul 19, 2017","25.39","25.94","26.14","25.39","284.28K","-2.01"
"Jul 18, 2017","25.91","26.16","26.16","25.79","257.47K","-0.99"
"Jul 17, 2017","26.17","26.10","26.67","26.10","283.38K","0.23"
"Jul 14, 2017","26.11","25.92","26.16","25.66","300.58K","1.24"
"Jul 13, 2017","25.79","25.50","26.40","25.30","1.25M","4.41"
"Jul 12, 2017","24.70","25.23","25.40","24.58","533.71K","-1.12"
"Jul 11, 2017","24.98","24.48","25.02","24.11","413.76K","2.00"
"Jul 10, 2017","24.49","22.95","25.74","22.95","1.26M","9.82"
"Jul 07, 2017","22.30","22.10","22.39","22.01","223.94K","1.13"
"Jul 06, 2017","22.05","21.99","22.25","21.93","303.36K","-0.23"
"Jul 05, 2017","22.10","22.09","22.25","21.71","206.80K","0.00"
"Jul 03, 2017","22.10","21.86","22.24","21.77","261.03K","1.52"
"Jun 30, 2017","21.77","21.64","21.86","21.39","252.50K","1.35"
"Jun 29, 2017","21.48","21.47","21.83","21.20","210.32K","-0.14"
"Jun 28, 2017","21.51","21.36","21.56","21.03","219.09K","1.03"
"Jun 27, 2017","21.29","21.14","21.58","21.08","241.49K","0.33"
"Jun 26, 2017","21.22","20.79","21.40","20.61","488.86K","2.41"
"Jun 23, 2017","20.72","20.47","20.86","20.13","158.30K","0.88"
"Jun 22, 2017","20.54","20.77","20.94","20.50","140.08K","-0.82"
"Jun 21, 2017","20.71","20.28","20.77","20.19","158.38K","3.14"
"Jun 20, 2017","20.08","20.49","20.49","19.88","165.54K","-2.48"
"Jun 19, 2017","20.59","20.41","20.64","20.29","114.71K","1.43"
"Jun 16, 2017","20.30","19.89","20.52","19.79","371.64K","0.94"
"Jun 15, 2017","20.11","19.95","20.13","19.80","104.23K","0.15"
"Jun 14, 2017","20.08","20.62","20.68","19.91","492.94K","-1.95"
"Jun 13, 2017","20.48","20.42","20.77","20.26","190.92K","0.44"
"Jun 12, 2017","20.39","20.31","21.00","20.10","172.98K","-0.05"
"Jun 09, 2017","20.40","21.03","21.03","20.37","217.27K","-2.58"
"Jun 08, 2017","20.94","20.97","21.08","20.73","122.60K","-0.43"
"Jun 07, 2017","21.03","21.60","21.60","20.75","141.46K","-2.37"
"Jun 06, 2017","21.54","21.92","21.92","21.54","161.59K","-1.91"
"Jun 05, 2017","21.96","21.80","22.08","21.72","174.09K","-0.05"
"Jun 02, 2017","21.97","21.99","22.04","21.51","155.62K","-0.05"
"Jun 01, 2017","21.98","21.13","22.15","21.10","268.83K","4.12"
"May 31, 2017","21.11","21.04","21.31","20.78","739.26K","0.48"
"May 30, 2017","21.01","21.18","21.19","20.96","124.42K","-0.71"
"May 26, 2017","21.16","21.06","21.31","20.83","243.06K","0.76"
"May 25, 2017","21.00","21.17","21.43","20.90","256.39K","-0.71"
"May 24, 2017","21.15","21.34","21.46","20.99","147.96K","-0.89"
"May 23, 2017","21.34","21.33","21.85","21.23","261.85K","0.00"
"May 22, 2017","21.34","20.53","21.39","20.51","312.46K","4.05"
"May 19, 2017","20.51","20.20","20.82","20.07","514.13K","1.53"
"May 18, 2017","20.20","20.24","20.34","19.80","345.26K","-0.20"
"May 17, 2017","20.24","21.19","21.40","20.21","434.78K","-5.20"
"May 16, 2017","21.35","21.59","21.83","21.28","261.12K","-0.61"
"May 15, 2017","21.48","21.00","21.73","20.98","206.49K","2.14"
"May 12, 2017","21.03","21.34","21.41","20.32","360.49K","-1.22"
"May 11, 2017","21.29","21.50","21.64","20.82","599.88K","-0.98"
"May 10, 2017","21.50","21.56","21.72","21.12","603.15K","-0.74"
"May 09, 2017","21.66","22.09","22.10","21.27","630.95K","-1.86"
"May 08, 2017","22.07","20.68","22.25","19.65","912.74K","6.46"
"May 05, 2017","20.73","20.29","20.76","20.25","475.75K","2.42"
"May 04, 2017","20.24","21.38","21.41","20.14","743.38K","-5.42"
"May 03, 2017","21.40","21.35","21.49","21.16","504.33K","0.28"
"May 02, 2017","21.34","21.47","21.62","21.05","308.09K","-0.42"
"May 01, 2017","21.43","21.48","21.80","21.30","191.09K","-0.19"
"Apr 28, 2017","21.47","21.64","21.70","21.39","313.23K","-0.69"
"Apr 27, 2017","21.62","21.92","21.92","21.40","292.55K","-1.01"
"Apr 26, 2017","21.84","21.61","21.94","21.50","188.76K","1.44"
"Apr 25, 2017","21.53","21.67","21.90","21.46","262.25K","-0.60"
"Apr 24, 2017","21.66","22.10","22.17","21.56","178.10K","-0.60"
"Apr 21, 2017","21.79","22.02","22.02","21.68","182.00K","-0.77"
"Apr 20, 2017","21.96","22.00","22.18","21.77","139.75K","0.64"
"Apr 19, 2017","21.82","22.00","22.25","21.74","119.98K","-0.18"
"Apr 18, 2017","21.86","22.35","23.00","21.79","171.83K","-2.63"
"Apr 17, 2017","22.45","22.40","22.67","22.24","200.73K","0.49"
"Apr 13, 2017","22.34","22.59","22.59","22.24","111.41K","-1.24"
"Apr 12, 2017","22.62","22.64","22.76","22.27","233.24K","-0.09"
"Apr 11, 2017","22.64","22.83","22.89","22.44","152.57K","-0.70"
"Apr 10, 2017","22.80","22.52","22.94","22.52","84.10K","1.47"
"Apr 07, 2017","22.47","23.00","23.21","22.43","169.74K","-2.05"
"Apr 06, 2017","22.94","22.65","23.18","22.47","249.40K","1.28"
"Apr 05, 2017","22.65","22.45","22.83","22.45","226.28K","1.25"
"Apr 04, 2017","22.37","22.06","22.53","21.89","253.78K","1.27"
"Apr 03, 2017","22.09","22.24","22.29","21.70","289.49K","-0.67"
"Mar 31, 2017","22.24","22.49","22.49","21.77","353.73K","-1.51"
"Mar 30, 2017","22.58","22.77","22.88","22.32","233.86K","-0.96"
"Mar 29, 2017","22.80","21.97","22.88","21.82","443.32K","3.54"
"Mar 28, 2017","22.02","21.61","22.12","21.43","330.63K","1.90"
