"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","20.75","21.42","21.61","20.68","1.04M","-3.35"
"Nov 29, 2017","21.47","21.31","21.98","21.04","689.29K","0.80"
"Nov 28, 2017","21.30","21.20","21.42","20.92","469.20K","0.42"
"Nov 27, 2017","21.21","21.69","21.72","21.01","438.66K","-2.17"
"Nov 24, 2017","21.68","21.71","21.93","21.57","284.02K","-0.18"
"Nov 22, 2017","21.72","21.55","21.91","21.27","272.54K","0.70"
"Nov 21, 2017","21.57","21.78","21.81","21.35","539.69K","-0.83"
"Nov 20, 2017","21.75","21.58","21.96","21.50","611.40K","0.60"
"Nov 17, 2017","21.62","21.94","22.19","21.56","1.58M","-1.37"
"Nov 16, 2017","21.92","22.22","22.24","21.74","415.40K","-1.44"
"Nov 15, 2017","22.24","22.05","22.54","21.98","670.74K","0.82"
"Nov 14, 2017","22.06","21.80","22.56","21.73","661.70K","1.29"
"Nov 13, 2017","21.78","22.25","22.27","21.71","594.97K","-1.98"
"Nov 10, 2017","22.22","22.14","22.85","22.10","563.28K","0.23"
"Nov 09, 2017","22.17","21.79","22.30","21.72","514.27K","0.96"
"Nov 08, 2017","21.96","21.80","22.21","21.62","673.71K","0.92"
"Nov 07, 2017","21.76","21.97","21.98","21.66","725.95K","-0.96"
"Nov 06, 2017","21.97","21.71","22.12","21.57","744.44K","0.27"
"Nov 03, 2017","21.91","22.46","22.46","21.56","1.01M","-2.88"
"Nov 02, 2017","22.56","21.75","24.02","21.45","1.82M","-0.75"
"Nov 01, 2017","22.73","22.15","23.19","21.86","1.76M","3.32"
"Oct 31, 2017","22.00","21.56","22.02","21.20","778.17K","2.37"
"Oct 30, 2017","21.49","21.38","21.63","21.12","543.32K","0.66"
"Oct 27, 2017","21.35","21.17","21.42","21.04","710.04K","0.71"
"Oct 26, 2017","21.20","21.80","21.80","21.06","883.94K","-2.48"
"Oct 25, 2017","21.74","21.55","21.87","21.19","828.48K","0.37"
"Oct 24, 2017","21.66","21.84","22.00","21.26","1.07M","-0.91"
"Oct 23, 2017","21.86","22.03","22.52","21.73","777.37K","-0.82"
"Oct 20, 2017","22.04","21.44","22.14","21.32","562.29K","3.43"
"Oct 19, 2017","21.31","21.80","22.11","21.12","1.07M","-3.22"
"Oct 18, 2017","22.02","22.19","22.28","21.80","735.50K","-0.81"
"Oct 17, 2017","22.20","22.83","22.92","21.89","938.34K","-2.97"
"Oct 16, 2017","22.88","23.28","23.44","22.86","823.31K","-1.51"
"Oct 13, 2017","23.23","23.10","23.32","22.77","901.89K","1.31"
"Oct 12, 2017","22.93","23.40","23.54","22.81","1.85M","-2.13"
"Oct 11, 2017","23.43","23.96","24.10","23.15","899.01K","-2.25"
"Oct 10, 2017","23.97","23.50","24.01","23.35","1.36M","1.35"
"Oct 09, 2017","23.65","24.44","24.59","23.60","1.20M","-3.51"
"Oct 06, 2017","24.51","25.14","25.48","24.22","883.31K","-2.58"
"Oct 05, 2017","25.16","25.51","25.70","25.10","559.36K","-0.79"
"Oct 04, 2017","25.36","25.50","25.61","25.28","540.49K","-0.70"
"Oct 03, 2017","25.54","24.74","25.62","24.74","867.71K","3.44"
"Oct 02, 2017","24.69","24.50","25.14","23.88","2.09M","5.97"
"Sep 29, 2017","23.30","22.87","23.55","22.78","795.84K","1.79"
"Sep 28, 2017","22.89","23.14","23.43","22.63","895.41K","-1.80"
"Sep 27, 2017","23.31","23.59","23.74","23.16","840.47K","-1.23"
"Sep 26, 2017","23.60","23.12","23.83","23.04","547.68K","1.99"
"Sep 25, 2017","23.14","23.19","23.31","22.87","583.64K","-0.64"
"Sep 22, 2017","23.29","23.21","23.46","23.21","594.90K","0.17"
"Sep 21, 2017","23.25","23.64","23.65","23.22","816.23K","-1.69"
"Sep 20, 2017","23.65","24.06","24.36","23.59","612.88K","-1.95"
"Sep 19, 2017","24.12","23.97","24.31","23.82","1.15M","0.50"
"Sep 18, 2017","24.00","24.54","24.54","23.98","803.80K","-2.00"
"Sep 15, 2017","24.49","24.93","25.00","24.39","1.15M","-1.76"
"Sep 14, 2017","24.93","25.14","25.25","24.90","568.95K","-1.35"
"Sep 13, 2017","25.27","25.16","25.37","25.11","388.09K","0.56"
"Sep 12, 2017","25.13","25.36","25.38","24.83","375.81K","-0.36"
"Sep 11, 2017","25.22","25.41","25.75","25.17","317.72K","-0.36"
"Sep 08, 2017","25.31","25.20","25.36","24.84","339.93K","0.36"
"Sep 07, 2017","25.22","25.56","25.75","25.01","501.32K","-0.90"
"Sep 06, 2017","25.45","25.05","25.51","25.01","602.58K","1.64"
"Sep 05, 2017","25.04","25.97","26.00","24.99","550.05K","-3.47"
"Sep 01, 2017","25.94","25.74","26.24","25.74","403.70K","0.58"
"Aug 31, 2017","25.79","25.80","25.98","25.74","518.69K","0.04"
"Aug 30, 2017","25.78","25.53","25.93","25.35","491.37K","0.78"
"Aug 29, 2017","25.58","25.38","25.83","25.25","454.18K","0.39"
"Aug 28, 2017","25.48","25.72","25.72","25.25","355.18K","-0.66"
"Aug 25, 2017","25.65","25.65","25.66","25.26","373.47K","0.59"
"Aug 24, 2017","25.50","25.46","25.71","25.35","625.48K","0.00"
"Aug 23, 2017","25.50","25.56","25.82","25.45","436.90K","-0.66"
"Aug 22, 2017","25.67","25.89","26.00","25.56","404.64K","-0.35"
"Aug 21, 2017","25.76","25.98","26.16","25.56","409.18K","-0.96"
"Aug 18, 2017","26.01","25.72","26.06","25.51","437.53K","0.85"
"Aug 17, 2017","25.79","25.92","26.20","25.77","502.97K","-0.92"
"Aug 16, 2017","26.03","25.82","26.21","25.49","453.44K","0.81"
"Aug 15, 2017","25.82","26.35","26.58","25.77","639.17K","-2.05"
"Aug 14, 2017","26.36","26.93","27.12","26.33","661.46K","-1.72"
"Aug 11, 2017","26.82","26.61","26.99","26.52","680.10K","0.79"
"Aug 10, 2017","26.61","26.17","26.78","26.01","696.32K","0.30"
"Aug 09, 2017","26.53","26.31","26.70","25.86","690.27K","0.38"
"Aug 08, 2017","26.43","25.72","27.53","25.58","2.07M","2.64"
"Aug 07, 2017","25.75","25.92","26.23","25.68","1.11M","-0.16"
"Aug 04, 2017","25.79","25.87","25.94","25.54","576.08K","0.08"
"Aug 03, 2017","25.77","25.65","25.88","25.52","697.50K","0.27"
"Aug 02, 2017","25.70","25.67","25.89","25.23","576.92K","0.39"
"Aug 01, 2017","25.60","25.55","25.77","25.39","534.01K","0.31"
"Jul 31, 2017","25.52","25.48","25.79","25.20","624.43K","0.12"
"Jul 28, 2017","25.49","25.35","25.59","25.27","433.75K","0.08"
"Jul 27, 2017","25.47","25.72","25.77","25.09","398.20K","0.04"
"Jul 26, 2017","25.46","25.20","25.55","24.85","402.43K","1.31"
"Jul 25, 2017","25.13","25.13","25.39","25.02","511.18K","-0.04"
"Jul 24, 2017","25.14","25.50","25.81","25.07","851.80K","-1.41"
"Jul 21, 2017","25.50","25.51","25.71","24.97","695.24K","0.35"
"Jul 20, 2017","25.41","25.60","25.97","25.37","584.69K","-0.20"
"Jul 19, 2017","25.46","25.98","26.04","25.43","599.42K","-1.62"
"Jul 18, 2017","25.88","26.13","26.13","25.71","1.16M","-0.96"
"Jul 17, 2017","26.13","26.13","26.48","26.06","725.05K","0.38"
"Jul 14, 2017","26.03","26.03","26.07","25.46","538.00K","1.28"
"Jul 13, 2017","25.70","25.31","26.19","25.31","1.74M","4.26"
"Jul 12, 2017","24.65","25.06","25.19","24.33","1.40M","-0.72"
"Jul 11, 2017","24.83","24.20","24.84","23.84","884.32K","2.60"
"Jul 10, 2017","24.20","22.60","25.37","22.60","3.22M","11.21"
"Jul 07, 2017","21.76","21.59","21.85","21.48","798.53K","0.79"
"Jul 06, 2017","21.59","21.49","21.76","21.43","595.24K","-0.09"
"Jul 05, 2017","21.61","21.63","21.80","21.27","568.58K","-0.05"
"Jul 03, 2017","21.62","21.50","21.75","21.37","400.87K","0.98"
"Jun 30, 2017","21.41","21.09","21.49","20.91","864.92K","1.90"
"Jun 29, 2017","21.01","21.12","21.37","20.76","504.91K","-0.19"
"Jun 28, 2017","21.05","20.91","21.23","20.53","725.87K","0.77"
"Jun 27, 2017","20.89","20.67","21.08","20.55","429.06K","0.67"
"Jun 26, 2017","20.75","20.71","20.92","20.41","841.60K","0.97"
"Jun 23, 2017","20.55","20.34","20.67","19.85","584.49K","1.28"
"Jun 22, 2017","20.29","20.30","20.51","20.19","655.70K","0.20"
"Jun 21, 2017","20.25","19.87","20.34","19.87","594.69K","2.22"
"Jun 20, 2017","19.81","20.21","20.47","19.58","459.32K","-2.56"
"Jun 19, 2017","20.33","20.25","20.42","20.07","272.19K","0.89"
"Jun 16, 2017","20.15","19.80","20.26","19.74","881.55K","1.46"
"Jun 15, 2017","19.86","19.81","19.92","19.61","444.05K","-0.45"
"Jun 14, 2017","19.95","20.07","20.16","19.74","1.00M","-0.15"
"Jun 13, 2017","19.98","19.97","20.33","19.76","1.09M","0.30"
"Jun 12, 2017","19.92","20.02","20.58","19.66","1.31M","-0.90"
"Jun 09, 2017","20.10","20.57","20.80","20.07","1.05M","-2.43"
"Jun 08, 2017","20.60","20.86","20.97","20.28","1.37M","-1.34"
"Jun 07, 2017","20.88","21.31","21.40","20.59","531.58K","-2.29"
"Jun 06, 2017","21.37","21.65","21.65","21.35","744.60K","-1.48"
"Jun 05, 2017","21.69","21.35","21.93","21.26","1.09M","1.02"
"Jun 02, 2017","21.47","21.52","21.60","21.38","720.50K","-0.09"
"Jun 01, 2017","21.49","21.01","21.70","20.95","1.46M","2.53"
"May 31, 2017","20.96","20.55","21.03","20.35","6.79M","2.24"
"May 30, 2017","20.50","20.55","20.73","20.43","1.30M","-0.29"
"May 26, 2017","20.56","20.80","21.15","20.40","805.25K","-1.01"
"May 25, 2017","20.77","20.76","21.11","20.59","640.01K","0.19"
"May 24, 2017","20.73","20.99","21.11","20.59","694.18K","-1.10"
"May 23, 2017","20.96","20.89","21.31","20.70","1.34M","0.38"
"May 22, 2017","20.88","19.98","20.95","19.92","947.18K","4.77"
"May 19, 2017","19.93","19.87","20.67","19.82","1.32M","-0.50"
"May 18, 2017","20.03","20.31","20.42","19.87","818.59K","-1.48"
"May 17, 2017","20.33","20.98","21.23","20.16","1.31M","-3.88"
"May 16, 2017","21.15","21.15","21.50","21.06","918.29K","0.24"
"May 15, 2017","21.10","20.58","21.27","20.46","716.23K","2.93"
"May 12, 2017","20.50","20.67","20.72","19.66","2.11M","-0.44"
"May 11, 2017","20.59","20.97","21.16","20.41","1.29M","-2.28"
"May 10, 2017","21.07","21.43","21.45","21.02","907.11K","-2.09"
"May 09, 2017","21.52","22.38","22.42","21.41","1.00M","-3.93"
"May 08, 2017","22.40","21.20","22.66","19.97","1.86M","5.96"
"May 05, 2017","21.14","20.65","21.18","20.56","1.07M","3.12"
"May 04, 2017","20.50","21.48","21.66","20.39","2.16M","-4.87"
"May 03, 2017","21.55","21.72","21.79","21.43","862.48K","-0.74"
"May 02, 2017","21.71","21.84","22.06","21.48","1.22M","-0.60"
"May 01, 2017","21.84","21.92","22.20","21.69","868.75K","0.00"
"Apr 28, 2017","21.84","22.14","22.14","21.80","975.98K","-1.22"
"Apr 27, 2017","22.11","22.40","22.40","21.94","696.82K","-1.34"
"Apr 26, 2017","22.41","22.31","22.51","22.25","839.31K","0.18"
"Apr 25, 2017","22.37","22.50","22.62","22.35","584.79K","-0.22"
"Apr 24, 2017","22.42","22.55","22.73","22.31","704.11K","0.13"
"Apr 21, 2017","22.39","22.59","22.67","22.32","589.96K","-0.97"
"Apr 20, 2017","22.61","22.59","22.83","22.45","516.14K","0.40"
"Apr 19, 2017","22.52","22.71","22.93","22.45","490.66K","-0.09"
"Apr 18, 2017","22.54","23.06","23.15","22.46","512.85K","-2.84"
"Apr 17, 2017","23.20","23.29","23.47","22.99","756.75K","-0.22"
"Apr 13, 2017","23.25","23.59","23.59","23.09","507.93K","-1.23"
"Apr 12, 2017","23.54","23.39","23.75","23.11","1.30M","0.30"
"Apr 11, 2017","23.47","23.57","23.86","23.27","563.29K","-0.68"
