"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","55.810","56.650","56.650","55.220","386.96K","-0.85"
"Nov 29, 2017","56.290","55.900","56.440","55.710","521.84K","0.86"
"Nov 28, 2017","55.810","55.680","56.030","54.870","404.66K","0.56"
"Nov 27, 2017","55.500","57.670","57.670","55.500","493.35K","-3.75"
"Nov 24, 2017","57.660","57.980","58.770","57.270","265.11K","-0.40"
"Nov 22, 2017","57.890","58.470","58.740","57.690","294.63K","-0.96"
"Nov 21, 2017","58.450","57.790","58.750","57.550","645.95K","1.42"
"Nov 20, 2017","57.630","57.750","58.450","57.560","388.80K","-0.12"
"Nov 17, 2017","57.700","57.400","58.440","57.080","833.04K","1.09"
"Nov 16, 2017","57.080","56.210","57.420","55.930","492.70K","2.04"
"Nov 15, 2017","55.940","56.060","56.250","55.140","435.61K","-0.34"
"Nov 14, 2017","56.130","56.570","56.680","55.650","449.28K","-1.02"
"Nov 13, 2017","56.710","56.460","56.840","56.370","269.12K","0.25"
"Nov 10, 2017","56.570","56.190","56.760","55.950","310.17K","0.50"
"Nov 09, 2017","56.290","55.760","56.600","55.430","530.56K","-0.12"
"Nov 08, 2017","56.360","57.440","57.650","56.330","899.15K","-1.88"
"Nov 07, 2017","57.440","58.120","58.740","57.140","305.29K","-1.63"
"Nov 06, 2017","58.390","56.460","59.770","56.350","646.19K","3.22"
"Nov 03, 2017","56.570","57.250","57.250","56.130","393.00K","-1.14"
"Nov 02, 2017","57.220","56.920","57.300","56.320","368.44K","1.18"
"Nov 01, 2017","56.550","57.140","57.560","56.090","569.77K","-0.72"
"Oct 31, 2017","56.960","55.460","57.020","55.370","604.36K","2.82"
"Oct 30, 2017","55.400","54.390","55.500","54.060","714.09K","1.56"
"Oct 27, 2017","54.550","53.380","54.730","53.200","892.18K","1.09"
"Oct 26, 2017","53.960","55.320","55.330","52.430","2.31M","-4.44"
"Oct 25, 2017","56.470","56.110","56.620","55.660","536.92K","0.39"
"Oct 24, 2017","56.250","56.580","56.800","55.690","832.00K","-0.30"
"Oct 23, 2017","56.420","57.910","57.910","56.390","327.23K","-2.25"
"Oct 20, 2017","57.720","57.690","57.810","57.230","483.16K","0.91"
"Oct 19, 2017","57.200","57.250","57.250","56.640","674.74K","-0.78"
"Oct 18, 2017","57.650","57.850","58.000","57.590","340.17K","-0.40"
"Oct 17, 2017","57.880","58.490","58.490","57.630","369.19K","-0.81"
"Oct 16, 2017","58.350","58.040","58.370","57.820","409.63K","0.64"
"Oct 13, 2017","57.980","58.040","58.055","56.590","628.22K","0.59"
"Oct 12, 2017","57.640","59.010","59.010","57.141","771.66K","-2.14"
"Oct 11, 2017","58.900","58.740","59.210","58.630","630.42K","-0.17"
