"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","36.53","36.85","36.99","36.31","5.68M","-0.90"
"Nov 29, 2017","36.86","36.82","37.60","36.75","4.43M","-0.05"
"Nov 28, 2017","36.88","36.52","37.19","35.92","8.74M","1.15"
"Nov 27, 2017","36.46","37.26","37.28","36.12","5.69M","-2.44"
"Nov 24, 2017","37.37","37.17","37.57","36.89","4.94M","0.24"
"Nov 22, 2017","37.28","37.11","37.76","36.99","3.32M","0.13"
"Nov 21, 2017","37.23","36.17","37.49","36.17","8.03M","2.00"
"Nov 20, 2017","36.50","37.40","37.47","36.25","4.33M","-2.90"
"Nov 17, 2017","37.59","37.43","37.76","36.65","3.38M","0.24"
"Nov 16, 2017","37.50","37.28","37.60","36.81","4.74M","-0.79"
"Nov 15, 2017","37.80","37.78","37.95","37.24","2.45M","-0.13"
"Nov 14, 2017","37.85","37.29","38.05","37.13","3.73M","0.75"
"Nov 13, 2017","37.57","37.69","38.21","37.37","3.57M","-1.55"
"Nov 10, 2017","38.16","37.93","38.19","37.53","2.45M","0.21"
"Nov 09, 2017","38.08","36.63","38.18","36.57","4.66M","2.26"
"Nov 08, 2017","37.24","36.72","37.75","36.26","5.85M","1.55"
"Nov 07, 2017","36.67","38.39","38.44","36.56","5.19M","-1.93"
"Nov 06, 2017","37.39","36.11","38.33","35.70","8.42M","4.68"
"Nov 03, 2017","35.72","35.07","36.00","35.03","5.47M","1.08"
"Nov 02, 2017","35.34","36.08","36.37","34.96","7.33M","-4.10"
"Nov 01, 2017","36.85","35.63","37.25","35.30","5.70M","3.19"
"Oct 31, 2017","35.71","38.24","38.44","34.72","18.00M","-6.62"
"Oct 30, 2017","38.24","38.35","38.61","38.12","3.81M","-0.29"
"Oct 27, 2017","38.35","38.34","38.78","38.23","3.81M","-0.57"
"Oct 26, 2017","38.57","39.25","39.68","38.27","4.49M","-1.15"
"Oct 25, 2017","39.02","38.66","39.10","38.51","4.60M","0.26"
"Oct 24, 2017","38.92","38.50","39.27","38.21","5.91M","1.17"
"Oct 23, 2017","38.47","38.48","38.64","38.12","2.57M","-0.10"
"Oct 20, 2017","38.51","38.43","38.63","37.95","4.00M","0.57"
"Oct 19, 2017","38.29","37.30","38.33","37.26","3.00M","2.08"
"Oct 18, 2017","37.51","38.60","38.63","37.27","4.79M","-2.67"
"Oct 17, 2017","38.54","38.03","38.66","38.01","4.24M","0.94"
"Oct 16, 2017","38.18","38.03","38.54","37.82","6.49M","0.61"
"Oct 13, 2017","37.95","37.57","38.34","37.07","4.86M","0.50"
"Oct 12, 2017","37.76","38.25","38.26","37.60","3.95M","-1.38"
"Oct 11, 2017","38.29","38.27","38.70","38.15","2.77M","-0.42"
"Oct 10, 2017","38.45","38.10","38.59","37.72","4.54M","0.52"
"Oct 09, 2017","38.25","38.16","38.54","38.00","4.01M","-0.10"
"Oct 06, 2017","38.29","37.93","38.51","37.65","6.28M","0.98"
"Oct 05, 2017","37.92","38.00","38.48","36.39","11.21M","0.32"
"Oct 04, 2017","37.80","38.00","39.24","37.41","36.95M","16.20"
"Oct 03, 2017","32.53","32.47","32.64","31.84","4.17M","0.43"
"Oct 02, 2017","32.39","31.18","32.41","31.03","5.52M","3.25"
"Sep 29, 2017","31.37","31.45","32.27","31.22","8.83M","1.65"
"Sep 28, 2017","30.86","32.01","32.03","30.73","5.67M","-3.35"
"Sep 27, 2017","31.93","31.23","32.03","31.18","3.95M","2.57"
"Sep 26, 2017","31.13","31.37","31.87","31.09","4.58M","-1.11"
"Sep 25, 2017","31.48","31.19","31.94","31.13","4.42M","0.58"
"Sep 22, 2017","31.30","31.27","31.45","30.69","5.20M","0.19"
"Sep 21, 2017","31.24","31.27","31.52","30.94","4.84M","-0.48"
"Sep 20, 2017","31.39","31.12","31.69","30.95","6.28M","1.32"
"Sep 19, 2017","30.98","31.52","31.69","30.72","7.12M","-1.65"
"Sep 18, 2017","31.50","32.02","32.36","31.35","7.75M","-1.65"
"Sep 15, 2017","32.03","32.86","32.86","31.80","20.18M","-2.56"
"Sep 14, 2017","32.87","33.48","33.58","32.80","4.94M","-2.06"
"Sep 13, 2017","33.56","33.31","33.64","33.28","4.16M","-0.12"
"Sep 12, 2017","33.60","33.32","33.67","33.21","5.75M","1.69"
"Sep 11, 2017","33.04","32.54","33.26","32.46","5.57M","2.93"
"Sep 08, 2017","32.10","31.88","32.21","31.62","4.19M","0.60"
"Sep 07, 2017","31.91","32.50","32.97","31.78","6.36M","-1.02"
"Sep 06, 2017","32.24","31.95","32.52","31.82","6.24M","2.06"
"Sep 05, 2017","31.59","31.76","32.00","31.32","5.66M","0.06"
"Sep 01, 2017","31.57","31.51","31.88","31.16","4.18M","0.29"
"Aug 31, 2017","31.48","30.81","31.71","30.80","6.69M","2.91"
"Aug 30, 2017","30.59","30.40","30.73","29.53","7.09M","0.30"
"Aug 29, 2017","30.50","30.56","30.60","30.20","4.72M","-1.07"
"Aug 28, 2017","30.83","30.77","31.08","30.59","3.92M","0.98"
"Aug 25, 2017","30.53","30.27","30.78","30.21","3.86M","1.06"
"Aug 24, 2017","30.21","30.14","30.80","30.10","6.24M","-0.36"
"Aug 23, 2017","30.32","30.51","30.80","30.17","3.89M","-1.33"
"Aug 22, 2017","30.73","30.32","30.83","30.03","4.60M","0.95"
"Aug 21, 2017","30.44","30.71","31.05","30.34","5.72M","-0.91"
"Aug 18, 2017","30.72","30.50","31.23","30.50","7.19M","0.52"
"Aug 17, 2017","30.56","30.30","31.18","30.30","8.87M","0.30"
"Aug 16, 2017","30.47","31.28","31.33","30.14","8.99M","1.13"
"Aug 15, 2017","30.13","29.49","30.59","29.39","6.56M","1.69"
"Aug 14, 2017","29.63","31.42","31.50","29.55","11.95M","-4.05"
"Aug 11, 2017","30.88","32.29","32.40","30.40","11.08M","-4.37"
"Aug 10, 2017","32.29","32.04","33.48","31.99","12.33M","0.65"
"Aug 09, 2017","32.08","29.90","32.69","29.58","32.04M","0.91"
"Aug 08, 2017","31.79","32.36","32.68","31.28","11.39M","-0.66"
"Aug 07, 2017","32.00","31.48","32.71","31.47","19.74M","-2.79"
"Aug 04, 2017","32.92","34.33","34.34","32.77","12.67M","-5.13"
"Aug 03, 2017","34.70","35.49","36.53","34.31","11.84M","-6.01"
"Aug 02, 2017","36.92","38.42","38.43","36.71","7.52M","-4.33"
"Aug 01, 2017","38.59","39.05","39.05","38.48","2.77M","-1.03"
"Jul 31, 2017","38.99","38.98","39.39","38.91","4.04M","0.65"
"Jul 28, 2017","38.74","38.35","38.87","38.16","2.30M","0.65"
"Jul 27, 2017","38.49","39.27","39.35","38.22","3.40M","-1.79"
"Jul 26, 2017","39.19","38.85","39.46","38.64","2.61M","0.95"
"Jul 25, 2017","38.82","38.91","39.12","38.72","2.06M","0.15"
"Jul 24, 2017","38.76","39.04","39.13","38.63","3.40M","-1.05"
"Jul 21, 2017","39.17","39.80","39.80","39.03","2.99M","-0.81"
"Jul 20, 2017","39.49","38.69","39.58","38.62","5.35M","3.00"
"Jul 19, 2017","38.34","38.06","38.48","37.76","3.75M","0.60"
"Jul 18, 2017","38.11","38.59","38.59","37.59","4.66M","-1.65"
"Jul 17, 2017","38.75","39.20","39.41","38.65","4.50M","-1.17"
"Jul 14, 2017","39.21","39.37","39.58","39.04","3.40M","0.41"
"Jul 13, 2017","39.05","38.95","39.45","38.75","4.80M","1.22"
"Jul 12, 2017","38.58","37.91","38.61","37.89","3.25M","2.47"
"Jul 11, 2017","37.65","37.58","37.88","37.42","3.21M","-0.19"
"Jul 10, 2017","37.72","37.60","37.83","37.47","3.14M","0.29"
"Jul 07, 2017","37.61","37.70","37.89","37.28","2.81M","-0.11"
"Jul 06, 2017","37.65","38.22","38.35","37.55","3.20M","-2.13"
"Jul 05, 2017","38.47","39.04","39.07","38.05","3.80M","-0.88"
"Jul 03, 2017","38.81","38.93","39.23","38.78","1.85M","-0.03"
"Jun 30, 2017","38.82","38.86","38.93","38.37","2.42M","0.15"
"Jun 29, 2017","38.76","39.21","39.40","38.58","3.12M","-0.79"
"Jun 28, 2017","39.07","38.80","39.27","38.61","3.47M","1.67"
"Jun 27, 2017","38.43","39.18","39.22","38.41","4.77M","-1.54"
"Jun 26, 2017","39.03","39.11","39.31","38.87","5.32M","0.00"
"Jun 23, 2017","39.03","39.03","39.29","38.66","16.05M","0.05"
"Jun 22, 2017","39.01","38.46","39.20","38.35","6.32M","1.93"
"Jun 21, 2017","38.27","37.47","38.30","37.45","4.22M","2.27"
"Jun 20, 2017","37.42","37.15","37.79","36.82","3.74M","0.51"
"Jun 19, 2017","37.23","36.88","37.58","36.87","4.02M","1.39"
"Jun 16, 2017","36.72","36.91","37.06","36.56","8.78M","-0.70"
"Jun 15, 2017","36.98","37.41","37.53","36.50","8.42M","-2.38"
"Jun 14, 2017","37.88","37.82","38.05","37.44","5.77M","0.29"
"Jun 13, 2017","37.77","38.80","38.92","37.67","7.52M","-2.85"
"Jun 12, 2017","38.88","39.78","40.04","38.84","6.32M","-3.02"
"Jun 09, 2017","40.09","39.74","40.67","39.71","9.30M","0.96"
"Jun 08, 2017","39.71","39.74","39.96","39.44","7.98M","0.94"
"Jun 07, 2017","39.34","38.63","39.41","38.61","5.18M","2.05"
"Jun 06, 2017","38.55","38.59","38.85","38.38","2.28M","-0.23"
"Jun 05, 2017","38.64","38.91","39.10","38.22","4.25M","-1.13"
"Jun 02, 2017","39.08","39.42","39.48","39.00","6.07M","-1.21"
"Jun 01, 2017","39.56","39.08","39.58","39.05","5.10M","1.49"
"May 31, 2017","38.98","39.39","39.66","38.74","5.54M","-0.97"
"May 30, 2017","39.36","39.78","39.90","39.19","3.49M","-0.91"
"May 26, 2017","39.72","39.75","39.99","39.43","3.97M","-0.28"
"May 25, 2017","39.83","39.20","39.85","38.95","4.69M","1.66"
"May 24, 2017","39.18","39.82","39.83","39.13","3.47M","-1.04"
"May 23, 2017","39.59","38.93","40.10","38.79","7.41M","2.46"
"May 22, 2017","38.64","38.71","38.76","38.18","4.46M","1.85"
"May 19, 2017","37.94","38.13","38.47","37.92","3.43M","-0.55"
"May 18, 2017","38.15","38.76","38.80","37.96","4.89M","-1.29"
"May 17, 2017","38.65","38.78","39.22","38.60","4.54M","-1.28"
"May 16, 2017","39.15","39.01","39.34","38.67","4.94M","1.22"
"May 15, 2017","38.68","39.08","39.13","38.55","4.70M","-0.67"
"May 12, 2017","38.94","39.30","39.54","38.87","5.02M","-1.24"
"May 11, 2017","39.43","38.51","39.77","38.33","9.86M","3.19"
"May 10, 2017","38.21","38.65","38.94","36.79","12.11M","0.53"
"May 09, 2017","38.01","37.80","38.48","37.26","7.38M","1.69"
"May 08, 2017","37.38","37.66","37.72","37.14","3.88M","-1.37"
"May 05, 2017","37.90","38.10","38.20","37.32","5.57M","-0.29"
"May 04, 2017","38.01","37.22","38.24","37.16","4.81M","2.20"
"May 03, 2017","37.19","38.00","38.00","36.59","6.30M","-2.57"
"May 02, 2017","38.17","37.47","38.39","37.24","5.17M","2.06"
"May 01, 2017","37.40","37.64","37.83","37.39","2.46M","0.13"
"Apr 28, 2017","37.35","37.73","37.83","37.12","3.50M","-0.98"
"Apr 27, 2017","37.72","37.40","37.84","37.31","3.47M","0.75"
"Apr 26, 2017","37.44","36.92","38.02","36.83","6.16M","1.60"
"Apr 25, 2017","36.85","37.47","37.50","36.57","5.84M","-1.65"
"Apr 24, 2017","37.47","37.25","37.70","37.14","4.49M","1.74"
"Apr 21, 2017","36.83","37.11","37.45","36.54","3.88M","-0.67"
"Apr 20, 2017","37.08","37.18","37.22","36.60","3.60M","0.32"
"Apr 19, 2017","36.96","37.17","37.29","36.85","3.85M","-0.19"
"Apr 18, 2017","37.03","36.96","37.31","36.75","4.42M","-1.38"
