"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","54.160","54.000","54.690","52.360","3.50M","-2.04"
"Nov 29, 2017","55.290","55.480","56.210","55.120","1.64M","-0.04"
"Nov 28, 2017","55.310","55.620","55.830","54.920","1.77M","-0.54"
"Nov 27, 2017","55.610","55.550","56.030","55.470","1.23M","0.20"
"Nov 24, 2017","55.500","55.410","55.740","55.010","550.82K","0.34"
"Nov 22, 2017","55.310","55.420","56.000","55.110","1.28M","-0.31"
"Nov 21, 2017","55.480","54.930","55.880","54.800","2.03M","1.44"
"Nov 20, 2017","54.690","54.780","55.090","54.280","2.33M","-0.27"
"Nov 17, 2017","54.840","54.120","54.900","53.690","3.96M","1.61"
"Nov 16, 2017","53.970","53.850","54.300","53.500","6.23M","-2.00"
"Nov 15, 2017","55.070","55.090","55.190","54.580","1.36M","-0.05"
"Nov 14, 2017","55.100","55.080","55.220","54.100","1.31M","-0.31"
"Nov 13, 2017","55.270","54.910","55.340","54.650","1.72M","0.07"
"Nov 10, 2017","55.230","55.750","56.060","54.070","2.28M","-2.92"
"Nov 09, 2017","56.890","55.740","58.270","55.290","3.12M","2.39"
"Nov 08, 2017","55.560","55.370","55.630","54.810","1.42M","0.36"
"Nov 07, 2017","55.360","56.550","57.370","54.970","1.83M","0.18"
"Nov 06, 2017","55.260","55.000","56.120","54.905","1.52M","0.42"
"Nov 03, 2017","55.030","54.910","55.090","54.530","923.23K","0.22"
"Nov 02, 2017","54.910","54.270","55.170","54.205","2.14M","1.31"
"Nov 01, 2017","54.200","56.060","56.100","54.040","2.25M","-2.78"
"Oct 31, 2017","55.750","54.820","55.980","54.715","1.45M","1.73"
"Oct 30, 2017","54.800","55.290","55.670","54.670","974.30K","-1.51"
"Oct 27, 2017","55.640","54.800","56.280","54.490","2.32M","1.31"
"Oct 26, 2017","54.920","54.800","55.250","54.530","1.38M","0.24"
"Oct 25, 2017","54.790","54.670","55.190","54.380","2.43M","0.24"
"Oct 24, 2017","54.660","53.630","54.780","53.500","2.49M","1.75"
"Oct 23, 2017","53.720","53.760","54.101","53.531","1.99M","-0.02"
"Oct 20, 2017","53.730","54.870","54.940","53.450","3.47M","-0.81"
"Oct 19, 2017","54.170","56.400","56.520","53.800","7.96M","-5.74"
"Oct 18, 2017","57.470","58.450","58.450","57.130","4.22M","-1.95"
"Oct 17, 2017","58.610","58.690","59.000","58.440","2.38M","-0.53"
"Oct 16, 2017","58.920","58.830","59.150","58.400","2.09M","0.31"
"Oct 13, 2017","58.740","59.430","59.600","58.220","3.97M","-0.20"
"Oct 12, 2017","58.860","58.560","59.300","58.430","33.55M","0.10"
"Oct 11, 2017","58.800","59.150","59.420","58.580","2.73M","-0.61"
"Oct 10, 2017","59.160","59.190","59.535","58.985","2.67M","0.46"
"Oct 09, 2017","58.890","58.750","59.660","58.710","2.21M","0.08"
"Oct 06, 2017","58.840","58.250","59.400","58.250","3.03M","0.74"
"Oct 05, 2017","58.410","58.010","58.540","57.530","7.77M","4.34"
"Oct 04, 2017","55.980","54.580","56.200","54.530","1.58M","2.28"
"Oct 03, 2017","54.730","54.460","55.110","54.030","1.21M","0.57"
"Oct 02, 2017","54.420","53.940","54.530","53.600","1.11M","0.68"
"Sep 29, 2017","54.050","53.460","54.150","52.440","2.52M","0.75"
"Sep 28, 2017","53.650","52.520","53.930","51.990","2.53M","1.55"
"Sep 27, 2017","52.830","54.990","55.040","52.740","1.97M","-3.75"
"Sep 26, 2017","54.890","54.460","55.680","54.260","2.55M","2.41"
"Sep 25, 2017","53.600","53.740","54.110","53.230","1.42M","-0.78"
"Sep 22, 2017","54.020","54.090","54.810","53.750","1.39M","-0.70"
"Sep 21, 2017","54.400","54.540","54.830","53.950","1.23M","0.07"
"Sep 20, 2017","54.360","55.360","55.420","53.710","2.23M","-1.98"
"Sep 19, 2017","55.460","56.270","56.270","55.290","1.51M","-1.58"
"Sep 18, 2017","56.350","56.700","57.210","56.280","1.46M","-0.69"
"Sep 15, 2017","56.740","56.550","56.740","55.280","3.94M","-1.70"
"Sep 14, 2017","57.720","57.350","58.580","57.250","1.42M","-0.12"
"Sep 13, 2017","57.790","56.940","57.840","56.750","1.40M","1.03"
"Sep 12, 2017","57.200","56.920","57.220","56.410","1.02M","0.97"
"Sep 11, 2017","56.650","56.190","58.200","56.000","2.87M","2.78"
"Sep 08, 2017","55.120","55.840","56.980","55.010","1.54M","-1.32"
"Sep 07, 2017","55.860","57.000","57.430","55.770","1.64M","-2.21"
"Sep 06, 2017","57.120","56.530","57.170","55.910","1.96M","0.76"
"Sep 05, 2017","56.690","58.510","58.540","55.300","2.81M","-3.16"
"Sep 01, 2017","58.540","59.620","60.000","58.480","1.16M","-1.55"
"Aug 31, 2017","59.460","58.420","59.500","58.410","1.79M","2.13"
"Aug 30, 2017","58.220","57.530","58.800","57.250","1.43M","1.01"
"Aug 29, 2017","57.640","57.430","57.740","56.470","1.54M","-0.41"
"Aug 28, 2017","57.880","57.980","58.030","57.480","879.64K","0.28"
"Aug 25, 2017","57.720","57.990","58.000","57.580","1.94M","-0.02"
"Aug 24, 2017","57.730","57.330","57.905","57.290","1.56M","1.01"
"Aug 23, 2017","57.150","56.530","57.910","56.530","1.90M","0.44"
"Aug 22, 2017","56.900","56.010","57.030","56.010","1.07M","1.86"
"Aug 21, 2017","55.860","55.810","56.150","55.590","1.02M","0.14"
"Aug 18, 2017","55.780","56.330","56.330","55.260","1.43M","-0.71"
"Aug 17, 2017","56.180","57.980","58.070","56.010","2.09M","-2.97"
"Aug 16, 2017","57.900","57.800","58.410","57.440","1.43M","0.78"
"Aug 15, 2017","57.450","57.610","58.560","57.220","2.86M","-0.02"
"Aug 14, 2017","57.460","57.140","57.830","57.010","2.62M","1.22"
"Aug 11, 2017","56.770","54.750","57.170","54.150","12.88M","-0.53"
"Aug 10, 2017","57.070","58.040","58.160","56.900","1.67M","-2.21"
"Aug 09, 2017","58.360","58.880","58.990","58.050","2.08M","-1.78"
"Aug 08, 2017","59.420","59.050","61.480","58.850","5.34M","4.89"
"Aug 07, 2017","56.650","57.150","57.620","56.490","2.84M","-0.44"
"Aug 04, 2017","56.900","56.470","57.480","56.270","1.27M","1.16"
"Aug 03, 2017","56.250","55.770","56.960","55.770","1.16M","0.73"
"Aug 02, 2017","55.840","56.890","57.250","55.450","1.26M","-1.88"
"Aug 01, 2017","56.910","56.490","57.250","56.150","2.49M","3.34"
"Jul 31, 2017","55.070","55.450","55.730","54.975","895.65K","-0.25"
"Jul 28, 2017","55.210","54.710","55.260","54.390","984.90K","0.18"
"Jul 27, 2017","55.110","55.700","55.850","54.290","1.21M","-0.97"
"Jul 26, 2017","55.650","56.000","56.010","55.200","645.70K","-0.18"
"Jul 25, 2017","55.750","55.900","56.360","55.430","1.00M","0.04"
"Jul 24, 2017","55.730","55.300","55.770","55.040","1.09M","1.20"
"Jul 21, 2017","55.070","54.900","55.230","54.764","665.80K","0.04"
"Jul 20, 2017","55.050","54.530","55.330","54.330","988.97K","1.23"
"Jul 19, 2017","54.380","54.270","54.510","54.090","690.37K","0.37"
"Jul 18, 2017","54.180","54.220","54.440","53.710","623.19K","0.09"
"Jul 17, 2017","54.130","53.510","54.450","53.160","1.20M","1.23"
"Jul 14, 2017","53.470","54.430","54.480","53.400","961.30K","-1.42"
"Jul 13, 2017","54.240","54.120","54.490","53.650","1.06M","0.28"
"Jul 12, 2017","54.090","54.320","54.640","53.580","1.18M","0.24"
"Jul 11, 2017","53.960","53.790","54.300","53.400","790.79K","-0.13"
"Jul 10, 2017","54.030","54.530","55.090","53.663","1.26M","-1.19"
"Jul 07, 2017","54.680","54.200","55.040","54.200","950.24K","1.15"
"Jul 06, 2017","54.060","55.060","55.060","53.925","1.56M","-2.44"
"Jul 05, 2017","55.410","54.520","55.750","54.495","998.40K","1.58"
