"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","187.58","190.31","190.86","186.68","6.63M","-0.30"
"Nov 29, 2017","188.15","198.91","199.03","184.32","14.20M","-5.54"
"Nov 28, 2017","199.18","195.34","199.68","194.01","6.98M","2.12"
"Nov 27, 2017","195.05","195.56","195.85","194.00","3.21M","-0.36"
"Nov 24, 2017","195.75","196.65","196.90","195.33","2.16M","-0.29"
"Nov 22, 2017","196.32","196.58","196.75","193.63","5.90M","0.05"
"Nov 21, 2017","196.23","195.04","197.52","194.97","4.79M","1.10"
"Nov 20, 2017","194.10","193.30","194.32","191.90","3.83M","0.47"
"Nov 17, 2017","193.20","195.74","195.95","192.65","3.91M","-1.18"
"Nov 16, 2017","195.51","194.33","197.70","193.75","5.68M","1.76"
"Nov 15, 2017","192.12","194.54","195.42","191.53","4.20M","-1.83"
"Nov 14, 2017","195.71","193.64","195.88","193.00","3.45M","0.32"
"Nov 13, 2017","195.08","191.12","196.05","191.00","4.61M","1.59"
"Nov 10, 2017","192.02","191.61","192.59","189.50","6.62M","-0.97"
"Nov 09, 2017","193.90","194.46","194.49","190.81","5.98M","-1.29"
"Nov 08, 2017","196.44","196.00","197.09","194.74","4.24M","0.28"
"Nov 07, 2017","195.89","200.00","200.61","194.80","6.47M","-2.12"
"Nov 06, 2017","200.13","200.00","202.48","198.09","5.85M","0.06"
"Nov 03, 2017","200.01","199.80","200.55","197.99","3.68M","0.35"
"Nov 02, 2017","199.32","197.45","199.44","197.09","3.61M","0.67"
"Nov 01, 2017","198.00","197.24","199.20","196.00","5.02M","0.80"
"Oct 31, 2017","196.43","198.21","198.59","195.22","5.52M","-0.98"
"Oct 30, 2017","198.37","199.62","201.10","197.07","5.44M","-0.59"
"Oct 27, 2017","199.54","197.20","200.65","196.22","8.13M","2.22"
"Oct 26, 2017","195.21","194.66","197.61","194.08","5.19M","0.74"
"Oct 25, 2017","193.77","195.38","197.06","193.01","5.32M","-1.15"
"Oct 24, 2017","196.02","192.75","196.74","191.40","7.07M","1.84"
"Oct 23, 2017","192.47","194.17","194.90","191.03","6.98M","-0.87"
"Oct 20, 2017","194.16","195.90","196.38","193.77","6.00M","-0.50"
"Oct 19, 2017","195.13","193.01","195.25","191.16","7.03M","-0.21"
"Oct 18, 2017","195.54","199.99","200.01","194.25","11.20M","-1.98"
"Oct 17, 2017","199.48","200.11","204.38","197.77","23.90M","-1.58"
"Oct 16, 2017","202.68","201.95","202.83","197.86","22.11M","1.60"
"Oct 13, 2017","199.49","199.70","200.82","197.19","12.08M","1.85"
"Oct 12, 2017","195.86","196.75","198.62","194.71","7.75M","0.47"
"Oct 11, 2017","194.95","195.57","196.22","193.81","6.45M","-0.07"
"Oct 10, 2017","195.08","197.85","198.30","192.10","6.23M","-0.91"
"Oct 09, 2017","196.87","199.10","199.40","196.56","6.97M","-0.58"
"Oct 06, 2017","198.02","194.30","198.92","192.05","15.35M","1.87"
"Oct 05, 2017","194.39","185.65","194.49","184.49","19.41M","5.39"
"Oct 04, 2017","184.45","181.41","186.70","181.25","9.24M","2.94"
"Oct 03, 2017","179.19","177.65","179.70","177.55","3.96M","1.23"
"Oct 02, 2017","177.01","182.11","182.80","176.58","7.34M","-2.39"
"Sep 29, 2017","181.35","180.73","182.90","180.65","4.23M","0.36"
"Sep 28, 2017","180.70","181.25","181.95","179.36","4.08M","-0.70"
"Sep 27, 2017","181.97","181.01","183.34","180.70","5.71M","1.44"
"Sep 26, 2017","179.38","180.70","180.95","176.55","5.60M","0.46"
"Sep 25, 2017","178.55","186.46","186.55","177.70","9.37M","-4.70"
"Sep 22, 2017","187.35","188.40","189.85","186.39","5.46M","-0.76"
"Sep 21, 2017","188.78","185.82","189.95","184.51","7.15M","1.76"
"Sep 20, 2017","185.51","186.10","186.50","183.20","4.62M","-0.09"
