"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","328.71","323.06","330.81","318.20","1.52M","1.32"
"Nov 29, 2017","324.42","330.63","331.21","318.19","1.72M","-2.28"
"Nov 28, 2017","331.99","332.40","336.58","326.50","1.46M","-0.46"
"Nov 27, 2017","333.53","341.00","343.08","332.57","984.99K","-3.10"
"Nov 24, 2017","344.21","342.00","347.00","340.75","705.82K","-1.00"
"Nov 22, 2017","347.70","344.06","355.39","344.06","2.01M","0.78"
"Nov 21, 2017","345.00","348.50","355.90","343.89","2.19M","0.27"
"Nov 20, 2017","344.07","362.00","363.00","338.52","3.48M","-6.38"
"Nov 17, 2017","367.50","340.00","375.10","340.00","6.05M","12.65"
"Nov 16, 2017","326.24","310.81","332.19","305.10","3.65M","7.86"
"Nov 15, 2017","302.47","297.01","304.29","296.00","1.54M","1.31"
"Nov 14, 2017","298.56","300.61","301.87","294.20","1.07M","-1.19"
"Nov 13, 2017","302.16","301.15","308.49","301.00","1.14M","-0.23"
"Nov 10, 2017","302.87","309.61","310.92","302.32","1.96M","-3.19"
"Nov 09, 2017","312.86","312.53","316.49","307.02","1.11M","-0.42"
"Nov 08, 2017","314.18","306.00","320.67","305.01","1.43M","2.48"
"Nov 07, 2017","306.59","308.50","311.72","305.83","1.43M","-1.00"
"Nov 06, 2017","309.69","300.00","310.00","298.00","3.17M","10.40"
"Nov 03, 2017","280.52","275.01","285.44","275.01","1.40M","1.60"
"Nov 02, 2017","276.10","275.63","282.10","272.14","882.87K","0.05"
"Nov 01, 2017","275.97","284.08","284.61","275.56","1.54M","-2.11"
"Oct 31, 2017","281.92","275.00","283.00","274.63","837.59K","1.96"
"Oct 30, 2017","276.51","280.84","282.37","275.10","1.27M","-2.48"
"Oct 27, 2017","283.53","276.60","284.37","274.02","1.50M","2.71"
"Oct 26, 2017","276.06","277.00","278.31","271.18","1.17M","0.31"
"Oct 25, 2017","275.21","279.99","284.13","271.93","1.42M","-1.90"
"Oct 24, 2017","280.54","276.00","283.78","273.58","1.15M","1.98"
"Oct 23, 2017","275.09","275.43","278.51","273.01","838.87K","-0.56"
"Oct 20, 2017","276.63","279.00","281.96","276.28","624.27K","-0.03"
"Oct 19, 2017","276.71","275.00","279.78","273.18","736.35K","-0.37"
"Oct 18, 2017","277.73","281.00","281.01","276.41","1.06M","-0.76"
"Oct 17, 2017","279.85","283.20","283.39","277.12","1.10M","-0.97"
"Oct 16, 2017","282.58","282.00","283.40","279.66","1.33M","1.05"
"Oct 13, 2017","279.65","273.27","279.79","272.82","971.17K","2.90"
"Oct 12, 2017","271.76","269.08","274.56","269.08","899.96K","1.10"
"Oct 11, 2017","268.80","267.80","269.21","265.42","1.06M","-0.20"
"Oct 10, 2017","269.33","277.84","277.88","266.28","1.53M","-2.29"
"Oct 09, 2017","275.63","276.98","277.00","272.52","964.33K","-0.38"
"Oct 06, 2017","276.69","271.49","276.83","271.49","948.06K","1.31"
"Oct 05, 2017","273.10","270.93","273.83","268.39","977.26K","0.80"
"Oct 04, 2017","270.93","271.10","271.70","268.45","1.67M","-0.46"
"Oct 03, 2017","272.17","267.95","274.74","266.71","1.79M","2.09"
"Oct 02, 2017","266.59","265.14","267.19","261.50","882.03K","1.05"
"Sep 29, 2017","263.81","257.15","265.40","256.32","1.45M","2.51"
"Sep 28, 2017","257.35","256.16","258.55","253.20","970.86K","-0.16"
"Sep 27, 2017","257.76","262.55","262.55","255.14","1.28M","-0.17"
"Sep 26, 2017","258.19","265.00","265.79","258.00","1.89M","-2.09"
"Sep 25, 2017","263.69","268.95","270.00","259.00","2.00M","-2.92"
"Sep 22, 2017","271.61","275.86","277.99","268.02","1.66M","-2.16"
"Sep 21, 2017","277.62","284.34","284.81","275.22","1.50M","-2.09"
"Sep 20, 2017","283.56","288.27","288.89","280.50","1.31M","-1.29"
"Sep 19, 2017","287.28","293.82","295.55","286.00","1.79M","-2.05"
"Sep 18, 2017","293.30","277.50","293.60","276.90","3.29M","8.20"
"Sep 15, 2017","271.07","267.05","275.31","262.69","2.14M","0.96"
"Sep 14, 2017","268.50","269.44","270.99","266.05","1.01M","-0.65"
"Sep 13, 2017","270.27","270.80","273.00","269.52","1.13M","-0.40"
"Sep 12, 2017","271.35","272.00","272.27","269.76","999.18K","-0.17"
"Sep 11, 2017","271.81","275.99","276.79","270.62","1.11M","-0.45"
"Sep 08, 2017","273.04","273.60","277.13","272.77","840.08K","-0.75"
"Sep 07, 2017","275.10","273.00","275.59","270.13","805.32K","1.49"
"Sep 06, 2017","271.07","270.95","272.64","269.31","778.49K","0.74"
"Sep 05, 2017","269.08","268.76","271.86","265.31","1.10M","-0.30"
"Sep 01, 2017","269.89","276.35","276.39","268.27","926.00K","-2.16"
"Aug 31, 2017","275.84","275.86","277.98","274.06","1.26M","0.10"
"Aug 30, 2017","275.57","266.99","276.42","266.69","1.55M","3.93"
"Aug 29, 2017","265.15","260.91","265.95","259.44","1.18M","-0.63"
"Aug 28, 2017","266.83","267.11","267.50","262.62","1.03M","-0.19"
"Aug 25, 2017","267.35","272.23","272.30","266.33","1.40M","-1.19"
"Aug 24, 2017","270.58","278.63","278.71","267.15","1.60M","-1.99"
"Aug 23, 2017","276.06","274.25","278.00","273.27","756.80K","-0.34"
"Aug 22, 2017","277.00","277.24","279.47","273.17","1.02M","0.82"
"Aug 21, 2017","274.74","272.13","276.34","270.00","1.16M","1.63"
"Aug 18, 2017","270.34","273.80","273.92","270.00","1.13M","-1.19"
"Aug 17, 2017","273.60","279.93","282.82","272.82","1.42M","-1.78"
"Aug 16, 2017","278.56","278.32","283.50","277.66","1.28M","0.90"
"Aug 15, 2017","276.07","278.85","279.62","274.25","1.47M","-0.92"
"Aug 14, 2017","278.62","285.37","287.96","278.00","1.47M","-0.83"
"Aug 11, 2017","280.96","281.40","282.48","273.19","2.91M","-1.16"
"Aug 10, 2017","284.25","298.98","301.00","283.30","6.15M","-9.78"
"Aug 09, 2017","315.05","305.95","316.39","302.46","1.70M","1.89"
"Aug 08, 2017","309.22","310.00","313.15","305.37","1.25M","0.46"
"Aug 07, 2017","307.81","305.01","308.74","302.51","1.27M","1.10"
"Aug 04, 2017","304.47","304.00","307.44","302.20","681.05K","0.76"
"Aug 03, 2017","302.17","300.90","304.69","297.90","765.05K","0.95"
"Aug 02, 2017","299.33","306.51","307.54","293.75","1.54M","-2.94"
"Aug 01, 2017","308.40","314.00","314.97","306.80","809.55K","-0.93"
"Jul 31, 2017","311.28","316.13","316.80","307.00","1.09M","-0.80"
"Jul 28, 2017","313.79","308.31","316.25","306.50","768.45K","1.18"
"Jul 27, 2017","310.14","316.00","320.92","305.55","1.64M","-0.64"
"Jul 26, 2017","312.15","310.09","315.50","308.36","923.09K","1.06"
"Jul 25, 2017","308.89","311.89","312.46","305.34","853.02K","-0.84"
"Jul 24, 2017","311.50","309.23","313.79","307.59","674.51K","1.40"
"Jul 21, 2017","307.20","307.08","310.99","306.45","768.81K","-0.47"
"Jul 20, 2017","308.65","307.00","310.74","305.86","847.79K","0.55"
"Jul 19, 2017","306.96","314.00","317.75","305.68","1.04M","-0.73"
"Jul 18, 2017","309.21","302.00","309.43","300.15","1.01M","2.39"
"Jul 17, 2017","301.99","310.00","310.42","300.30","1.25M","-2.69"
"Jul 14, 2017","310.35","307.47","313.00","305.26","854.15K","0.98"
"Jul 13, 2017","307.35","315.30","317.50","306.30","1.17M","-2.26"
"Jul 12, 2017","314.46","310.91","315.55","310.00","1.07M","1.89"
"Jul 11, 2017","308.64","302.56","308.93","301.00","1.29M","2.54"
"Jul 10, 2017","301.00","297.51","301.49","295.35","948.98K","1.76"
"Jul 07, 2017","295.79","298.01","299.47","293.74","740.02K","-0.34"
"Jul 06, 2017","296.80","293.01","300.57","292.28","1.22M","0.90"
"Jul 05, 2017","294.15","294.25","297.73","290.10","1.56M","-0.90"
"Jul 03, 2017","296.83","302.58","304.32","294.87","759.95K","-1.26"
"Jun 30, 2017","300.63","305.03","307.59","298.04","978.53K","-0.49"
"Jun 29, 2017","302.10","314.49","316.49","299.16","1.44M","-4.83"
"Jun 28, 2017","317.43","312.61","317.76","308.17","1.20M","1.90"
"Jun 27, 2017","311.50","321.64","321.64","310.00","1.23M","-2.85"
"Jun 26, 2017","320.64","333.68","337.55","319.21","1.50M","-3.87"
"Jun 23, 2017","333.56","320.00","333.78","319.00","1.36M","2.55"
"Jun 22, 2017","325.28","321.80","326.62","318.01","1.08M","0.48"
"Jun 21, 2017","323.73","316.60","327.26","314.52","1.04M","2.28"
"Jun 20, 2017","316.50","311.18","318.00","311.07","1.47M","1.14"
"Jun 19, 2017","312.93","299.81","313.43","298.60","1.50M","5.37"
"Jun 16, 2017","296.97","294.00","297.08","291.25","1.02M","1.47"
"Jun 15, 2017","292.67","292.19","294.50","285.43","1.11M","-0.71"
"Jun 14, 2017","294.77","305.00","305.96","291.68","1.06M","-2.29"
"Jun 13, 2017","301.69","309.87","310.53","300.51","1.30M","-1.56"
"Jun 12, 2017","306.46","301.53","309.37","296.50","1.39M","0.94"
"Jun 09, 2017","303.62","315.09","320.40","297.26","2.17M","-3.19"
"Jun 08, 2017","313.64","320.35","323.10","308.26","2.62M","-0.32"
"Jun 07, 2017","314.66","303.00","314.99","301.01","1.94M","3.89"
"Jun 06, 2017","302.88","293.73","305.00","293.53","1.82M","3.19"
"Jun 05, 2017","293.53","292.56","299.46","292.01","1.00M","0.64"
"Jun 02, 2017","291.67","287.45","291.77","286.15","602.51K","1.07"
"Jun 01, 2017","288.57","285.19","288.61","283.79","787.26K","1.33"
"May 31, 2017","284.78","288.52","289.64","282.25","1.21M","-1.28"
"May 30, 2017","288.46","292.02","294.25","286.03","921.61K","-1.33"
"May 26, 2017","292.35","293.46","297.52","291.92","718.36K","-0.36"
"May 25, 2017","293.40","291.80","296.61","290.00","1.48M","1.66"
"May 24, 2017","288.61","291.82","293.64","283.61","1.40M","-1.26"
"May 23, 2017","292.28","296.69","301.82","291.03","1.42M","-0.48"
"May 22, 2017","293.68","289.61","296.88","287.92","1.76M","2.42"
"May 19, 2017","286.75","285.00","290.96","283.57","1.34M","1.42"
"May 18, 2017","282.74","280.97","289.13","276.20","1.65M","-0.10"
"May 17, 2017","283.02","285.80","286.80","278.50","2.33M","-2.31"
"May 16, 2017","289.70","284.99","295.33","284.00","1.85M","1.92"
"May 15, 2017","284.25","272.47","286.67","271.29","1.73M","4.78"
"May 12, 2017","271.29","277.25","279.47","270.31","1.62M","-1.98"
"May 11, 2017","276.76","287.88","289.70","271.34","3.55M","-0.82"
"May 10, 2017","279.05","275.27","281.87","274.32","2.26M","2.63"
"May 09, 2017","271.90","270.00","275.51","270.00","1.37M","1.10"
"May 08, 2017","268.95","263.50","269.78","262.00","909.10K","1.68"
