"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","200.71","199.20","202.68","196.65","20.59M","2.18"
"Nov 29, 2017","196.42","210.01","210.12","191.23","34.92M","-6.78"
"Nov 28, 2017","210.71","214.35","214.73","208.24","12.82M","-1.60"
"Nov 27, 2017","214.14","217.31","217.36","214.01","10.57M","-1.30"
"Nov 24, 2017","216.96","215.59","217.00","214.60","4.52M","0.94"
"Nov 22, 2017","214.93","217.00","217.00","213.61","8.92M","-0.52"
"Nov 21, 2017","216.05","215.69","216.52","214.40","9.98M","0.92"
"Nov 20, 2017","214.08","211.99","214.57","210.50","9.90M","1.29"
"Nov 17, 2017","211.36","213.92","215.35","210.75","12.89M","-0.12"
"Nov 16, 2017","211.61","212.98","214.20","211.25","11.04M","0.78"
"Nov 15, 2017","209.98","211.95","212.00","207.80","12.55M","-1.96"
"Nov 14, 2017","214.18","213.00","214.80","211.23","13.23M","0.73"
"Nov 13, 2017","212.63","216.14","217.17","212.01","14.56M","-1.62"
"Nov 10, 2017","216.14","213.08","218.67","211.63","31.33M","5.27"
"Nov 09, 2017","205.32","205.27","206.33","200.37","24.46M","-1.84"
"Nov 08, 2017","209.16","211.85","212.00","207.24","13.07M","-1.35"
"Nov 07, 2017","212.03","210.55","212.90","210.06","10.69M","1.14"
"Nov 06, 2017","209.63","207.20","209.98","206.70","9.75M","0.45"
"Nov 03, 2017","208.69","207.20","208.69","205.34","8.84M","1.34"
"Nov 02, 2017","205.94","206.00","207.81","203.65","8.56M","-0.61"
"Nov 01, 2017","207.20","209.35","209.97","204.60","12.56M","0.19"
"Oct 31, 2017","206.81","205.13","207.89","204.90","10.30M","1.46"
"Oct 30, 2017","203.84","201.86","206.09","201.22","12.60M","0.98"
"Oct 27, 2017","201.86","197.80","201.87","196.75","14.30M","3.15"
"Oct 26, 2017","195.69","194.78","196.16","193.81","8.07M","1.05"
"Oct 25, 2017","193.66","197.08","199.22","191.17","20.70M","-2.53"
"Oct 24, 2017","198.68","196.99","198.75","195.94","10.18M","1.05"
"Oct 23, 2017","196.62","197.78","198.85","195.80","10.72M","-0.14"
"Oct 20, 2017","196.90","198.49","199.59","196.54","11.29M","-0.46"
"Oct 19, 2017","197.80","194.44","198.00","192.45","14.27M","0.11"
"Oct 18, 2017","197.58","198.11","198.14","193.32","14.18M","-0.09"
"Oct 17, 2017","197.75","197.09","198.90","196.35","11.96M","-0.09"
"Oct 16, 2017","197.93","195.80","198.05","193.24","14.42M","1.72"
"Oct 13, 2017","194.59","193.55","195.00","191.65","15.72M","1.86"
"Oct 12, 2017","191.03","191.08","193.09","189.93","13.21M","0.05"
"Oct 11, 2017","190.94","189.60","191.00","187.74","13.24M","1.06"
"Oct 10, 2017","188.93","191.43","192.95","187.26","24.37M","1.91"
"Oct 09, 2017","185.39","182.79","186.73","182.03","14.09M","2.26"
"Oct 06, 2017","181.30","179.65","181.84","179.00","7.97M","0.29"
"Oct 05, 2017","180.77","181.86","182.00","179.56","10.93M","-0.06"
"Oct 04, 2017","180.87","179.62","181.77","178.14","10.70M","0.84"
"Oct 03, 2017","179.37","179.25","180.58","177.58","9.76M","0.21"
"Oct 02, 2017","179.00","180.80","181.98","177.00","12.59M","0.13"
"Sep 29, 2017","178.77","179.08","179.73","177.25","15.48M","1.76"
"Sep 28, 2017","175.68","176.02","176.18","173.76","10.88M","-0.03"
"Sep 27, 2017","175.73","175.62","176.27","172.75","17.84M","2.19"
"Sep 26, 2017","171.96","176.45","178.68","170.35","28.14M","0.56"
"Sep 25, 2017","171.00","177.75","177.80","170.16","21.86M","-4.47"
"Sep 22, 2017","179.00","180.30","182.31","178.60","12.28M","-0.97"
"Sep 21, 2017","180.76","181.64","182.70","177.61","26.89M","-2.73"
"Sep 20, 2017","185.84","187.50","189.42","184.21","18.12M","-0.81"
"Sep 19, 2017","187.35","185.51","189.85","184.62","21.86M","-0.11"
"Sep 18, 2017","187.55","185.14","191.20","184.86","42.11M","4.13"
"Sep 15, 2017","180.11","172.86","180.11","172.65","34.12M","6.32"
"Sep 14, 2017","169.40","168.79","172.56","167.80","12.84M","-0.57"
"Sep 13, 2017","170.37","168.59","171.54","167.28","14.52M","0.45"
"Sep 12, 2017","169.61","170.00","170.00","166.97","10.29M","0.36"
"Sep 11, 2017","169.00","165.54","169.43","165.32","14.19M","3.24"
"Sep 08, 2017","163.69","166.11","166.71","162.71","12.47M","-1.73"
"Sep 07, 2017","166.58","166.49","167.89","164.95","8.82M","0.46"
"Sep 06, 2017","165.81","167.24","167.80","164.40","9.94M","-0.06"
"Sep 05, 2017","165.91","168.38","168.58","163.56","17.42M","-2.67"
"Sep 01, 2017","170.46","169.95","171.90","169.60","11.14M","0.60"
"Aug 31, 2017","169.44","166.50","169.60","166.20","15.32M","2.27"
"Aug 30, 2017","165.68","165.50","166.13","164.27","9.61M","0.60"
"Aug 29, 2017","164.70","162.59","165.58","162.26","8.10M","-0.16"
"Aug 28, 2017","164.97","164.58","165.10","162.33","9.74M","0.71"
"Aug 25, 2017","163.81","166.17","166.58","163.55","8.93M","-0.84"
"Aug 24, 2017","165.19","167.10","167.28","164.12","11.74M","-0.37"
