"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","236.21","236.59","241.63","235.64","1.37M","-0.05"
"Nov 29, 2017","236.32","227.49","241.49","226.25","2.04M","3.44"
"Nov 28, 2017","228.47","217.08","228.88","215.86","1.22M","5.61"
"Nov 27, 2017","216.34","217.13","218.81","214.87","789.44K","0.04"
"Nov 24, 2017","216.26","217.19","219.00","215.43","388.60K","-1.09"
"Nov 22, 2017","218.65","216.15","220.89","215.10","580.49K","1.37"
"Nov 21, 2017","215.69","220.40","220.47","215.09","822.07K","-2.13"
"Nov 20, 2017","220.38","219.91","222.35","218.56","710.06K","-0.05"
"Nov 17, 2017","220.49","219.83","221.31","216.10","756.45K","0.38"
"Nov 16, 2017","219.66","215.89","219.94","215.02","675.28K","1.80"
"Nov 15, 2017","215.77","215.21","216.67","213.72","588.46K","-0.06"
"Nov 14, 2017","215.89","220.00","223.38","215.10","1.12M","0.80"
"Nov 13, 2017","214.17","214.16","216.99","212.28","734.62K","-0.12"
"Nov 10, 2017","214.43","210.57","215.48","210.04","851.07K","1.58"
"Nov 09, 2017","211.09","209.11","211.95","207.31","618.61K","0.69"
"Nov 08, 2017","209.65","208.36","212.00","207.84","740.50K","0.74"
"Nov 07, 2017","208.11","208.62","209.97","206.54","618.51K","-0.36"
"Nov 06, 2017","208.86","211.57","212.22","208.45","705.57K","-1.71"
"Nov 03, 2017","212.50","211.69","213.64","210.52","1.20M","-0.94"
"Nov 02, 2017","214.52","207.50","214.79","207.50","1.08M","3.35"
"Nov 01, 2017","207.56","211.24","212.72","205.65","972.14K","-1.61"
"Oct 31, 2017","210.95","213.91","215.02","210.53","864.48K","-1.33"
"Oct 30, 2017","213.79","216.88","216.88","212.92","831.78K","-1.50"
"Oct 27, 2017","217.04","212.29","217.91","209.37","1.51M","1.42"
"Oct 26, 2017","214.00","192.00","215.82","190.00","4.26M","5.56"
"Oct 25, 2017","202.72","201.58","204.72","201.08","1.65M","-0.30"
"Oct 24, 2017","203.33","204.48","207.38","201.10","1.25M","-1.13"
"Oct 23, 2017","205.65","205.80","208.92","205.06","979.17K","-0.12"
"Oct 20, 2017","205.90","209.65","210.42","205.47","1.29M","-1.62"
"Oct 19, 2017","209.30","209.80","209.99","205.90","1.73M","-1.73"
"Oct 18, 2017","212.99","212.35","214.00","210.95","1.04M","0.46"
"Oct 17, 2017","212.01","208.60","213.23","208.21","776.27K","1.43"
"Oct 16, 2017","209.02","209.55","211.09","208.40","656.49K","-0.33"
"Oct 13, 2017","209.72","207.76","210.25","206.89","915.48K","1.31"
"Oct 12, 2017","207.01","208.99","208.99","205.47","707.09K","-0.68"
"Oct 11, 2017","208.42","209.32","210.58","207.34","500.34K","-0.69"
"Oct 10, 2017","209.87","207.82","212.25","207.82","731.35K","0.99"
"Oct 09, 2017","207.82","212.41","213.01","207.71","637.68K","-2.40"
"Oct 06, 2017","212.94","211.32","214.27","208.64","730.34K","0.83"
"Oct 05, 2017","211.18","212.79","212.95","209.93","813.79K","-0.46"
"Oct 04, 2017","212.16","213.94","215.65","209.89","681.08K","-0.84"
"Oct 03, 2017","213.95","215.23","216.26","213.34","592.57K","-0.67"
"Oct 02, 2017","215.40","215.98","215.98","214.14","587.64K","0.01"
"Sep 29, 2017","215.37","215.09","216.58","214.22","730.68K","0.04"
"Sep 28, 2017","215.28","213.60","215.63","212.49","575.25K","0.36"
"Sep 27, 2017","214.51","213.02","214.99","211.92","804.60K","0.73"
"Sep 26, 2017","212.95","216.58","216.58","212.46","851.86K","-1.02"
"Sep 25, 2017","215.15","209.71","219.98","209.46","1.81M","2.65"
"Sep 22, 2017","209.59","202.67","209.82","202.58","1.03M","3.62"
"Sep 21, 2017","202.26","204.17","205.67","200.27","1.17M","-0.49"
"Sep 20, 2017","203.26","202.25","206.84","201.65","1.13M","0.17"
"Sep 19, 2017","202.91","213.13","216.61","201.05","2.61M","-3.41"
"Sep 18, 2017","210.08","210.21","211.35","208.34","1.37M","0.10"
"Sep 15, 2017","209.86","207.34","212.09","206.10","1.97M","1.32"
"Sep 14, 2017","207.13","207.11","209.24","206.43","1.17M","-0.42"
"Sep 13, 2017","208.01","199.31","209.79","199.25","1.49M","4.39"
"Sep 12, 2017","199.27","196.06","201.00","194.06","1.62M","1.46"
"Sep 11, 2017","196.41","199.16","200.74","196.20","939.99K","-1.35"
"Sep 08, 2017","199.10","200.42","201.42","198.26","683.96K","-0.64"
"Sep 07, 2017","200.38","202.63","203.42","198.50","887.67K","-0.94"
"Sep 06, 2017","202.28","201.03","202.50","199.96","837.09K","0.95"
"Sep 05, 2017","200.38","197.72","202.39","197.72","1.04M","1.72"
"Sep 01, 2017","196.99","197.19","199.44","196.64","1.46M","0.44"
"Aug 31, 2017","196.13","198.00","199.03","195.10","1.33M","-0.99"
"Aug 30, 2017","198.09","197.07","199.54","196.22","1.03M","0.54"
"Aug 29, 2017","197.02","197.39","198.76","195.61","878.43K","-0.53"
"Aug 28, 2017","198.06","202.49","202.96","197.86","1.04M","-2.09"
"Aug 25, 2017","202.28","196.59","205.41","196.26","1.38M","2.97"
"Aug 24, 2017","196.44","194.72","197.67","194.72","1.32M","0.60"
"Aug 23, 2017","195.26","197.07","198.83","194.92","1.15M","-1.38"
"Aug 22, 2017","197.99","198.66","199.41","196.90","856.34K","0.10"
"Aug 21, 2017","197.80","198.85","199.21","194.73","1.08M","-0.06"
"Aug 18, 2017","197.92","200.07","203.74","196.85","1.37M","-1.35"
"Aug 17, 2017","200.63","201.89","205.49","199.72","1.53M","-0.47"
"Aug 16, 2017","201.58","198.99","202.37","196.51","1.66M","2.85"
