"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","67.31","66.65","67.88","66.43","3.75M","1.10"
"Nov 29, 2017","66.58","65.78","66.93","65.39","3.21M","1.19"
"Nov 28, 2017","65.80","64.85","65.80","64.80","1.57M","1.73"
"Nov 27, 2017","64.68","64.64","64.86","64.28","1.24M","-0.02"
"Nov 24, 2017","64.69","64.60","64.89","64.42","538.86K","0.02"
"Nov 22, 2017","64.68","65.21","65.31","64.63","927.43K","-0.68"
"Nov 21, 2017","65.12","65.28","65.39","65.00","1.53M","-0.09"
"Nov 20, 2017","65.18","64.98","65.28","64.75","1.33M","0.40"
"Nov 17, 2017","64.92","65.43","65.49","64.65","1.74M","-1.10"
"Nov 16, 2017","65.64","64.87","66.31","64.78","1.76M","1.64"
"Nov 15, 2017","64.58","65.34","65.81","64.46","1.84M","-1.21"
"Nov 14, 2017","65.37","64.71","65.54","64.42","1.58M","0.41"
"Nov 13, 2017","65.10","64.54","65.25","64.34","1.78M","0.82"
"Nov 10, 2017","64.57","64.61","64.67","64.35","1.33M","-0.29"
"Nov 09, 2017","64.76","64.12","64.90","64.12","1.77M","0.33"
"Nov 08, 2017","64.55","64.15","64.60","64.09","1.10M","0.44"
"Nov 07, 2017","64.27","64.13","64.38","63.82","1.70M","0.42"
"Nov 06, 2017","64.00","63.70","64.07","63.48","1.40M","0.02"
"Nov 03, 2017","63.99","64.42","64.43","63.93","1.57M","-0.85"
"Nov 02, 2017","64.54","64.32","64.67","63.54","2.00M","0.62"
"Nov 01, 2017","64.14","63.87","64.28","63.56","1.64M","0.55"
"Oct 31, 2017","63.79","64.01","64.11","63.51","1.46M","-1.05"
"Oct 30, 2017","64.47","65.40","65.54","64.36","2.54M","-1.42"
"Oct 27, 2017","65.40","64.55","65.62","64.23","3.00M","1.25"
"Oct 26, 2017","64.59","64.42","64.84","64.23","1.37M","0.80"
"Oct 25, 2017","64.08","63.73","64.11","63.32","2.33M","0.31"
"Oct 24, 2017","63.88","64.60","64.66","63.78","1.82M","-0.71"
"Oct 23, 2017","64.34","64.09","64.58","64.06","1.68M","0.47"
"Oct 20, 2017","64.04","63.54","64.11","63.48","1.40M","0.83"
"Oct 19, 2017","63.51","62.85","63.60","62.79","1.49M","0.76"
"Oct 18, 2017","63.03","62.95","63.37","62.94","1.03M","0.21"
"Oct 17, 2017","62.90","63.54","63.63","62.86","1.59M","-0.87"
"Oct 16, 2017","63.45","63.71","63.89","63.22","1.14M","-0.47"
