"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","1,739.71","1,740.95","1,750.22","1,729.51","443.70K","0.30"
"Nov 29, 2017","1,734.45","1,753.13","1,753.13","1,717.97","540.41K","-1.00"
"Nov 28, 2017","1,752.02","1,763.32","1,767.36","1,750.11","352.52K","-0.65"
"Nov 27, 2017","1,763.40","1,760.15","1,777.08","1,746.39","443.25K","0.28"
"Nov 24, 2017","1,758.42","1,758.17","1,765.74","1,754.38","186.65K","-0.04"
"Nov 22, 2017","1,759.19","1,771.59","1,774.85","1,756.03","369.36K","-0.42"
"Nov 21, 2017","1,766.67","1,766.51","1,771.41","1,758.00","539.93K","0.72"
"Nov 20, 2017","1,754.02","1,750.99","1,773.08","1,747.88","513.27K","0.39"
"Nov 17, 2017","1,747.22","1,731.00","1,749.60","1,727.34","504.36K","0.90"
"Nov 16, 2017","1,731.65","1,735.54","1,741.92","1,727.45","522.37K","0.28"
"Nov 15, 2017","1,726.78","1,715.78","1,730.03","1,706.03","525.45K","0.42"
"Nov 14, 2017","1,719.50","1,710.02","1,728.26","1,709.98","525.37K","-0.15"
"Nov 13, 2017","1,722.15","1,688.40","1,722.35","1,683.28","507.33K","1.47"
"Nov 10, 2017","1,697.25","1,700.00","1,709.52","1,682.69","725.53K","-0.35"
"Nov 09, 2017","1,703.14","1,656.93","1,707.22","1,640.17","1.24M","2.53"
"Nov 08, 2017","1,661.11","1,650.00","1,669.98","1,630.56","1.33M","0.94"
"Nov 07, 2017","1,645.72","1,746.70","1,748.00","1,638.10","3.33M","-13.52"
"Nov 06, 2017","1,903.00","1,885.55","1,904.98","1,875.56","1.02M","0.45"
"Nov 03, 2017","1,894.49","1,914.01","1,916.80","1,893.57","484.99K","-0.87"
"Nov 02, 2017","1,911.14","1,910.83","1,917.52","1,903.69","294.59K","-0.10"
"Nov 01, 2017","1,913.06","1,918.47","1,927.73","1,910.94","379.67K","0.06"
"Oct 31, 2017","1,911.96","1,884.94","1,913.52","1,870.00","419.98K","1.71"
"Oct 30, 2017","1,879.73","1,885.15","1,891.82","1,863.73","477.00K","-0.59"
"Oct 27, 2017","1,890.92","1,885.00","1,902.52","1,869.00","903.36K","-2.49"
"Oct 26, 2017","1,939.29","1,937.35","1,945.00","1,931.01","378.06K","0.54"
"Oct 25, 2017","1,928.81","1,927.58","1,935.71","1,913.01","248.22K","-0.18"
"Oct 24, 2017","1,932.29","1,938.39","1,946.68","1,927.59","342.51K","-0.12"
