"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","75.73","73.77","75.87","73.54","15.96M","3.39"
"Nov 29, 2017","73.25","77.95","77.98","71.67","25.20M","-5.84"
"Nov 28, 2017","77.79","77.95","78.23","77.24","8.74M","-0.06"
"Nov 27, 2017","77.84","78.63","79.39","77.71","6.78M","-0.93"
"Nov 24, 2017","78.57","77.81","78.90","77.70","4.31M","1.29"
"Nov 22, 2017","77.57","77.90","77.99","76.62","8.07M","-0.26"
"Nov 21, 2017","77.77","77.09","78.43","76.85","10.60M","2.32"
"Nov 20, 2017","76.01","76.60","77.32","75.88","6.84M","-0.48"
"Nov 17, 2017","76.38","78.01","78.01","75.80","11.89M","-1.70"
"Nov 16, 2017","77.70","75.50","77.94","75.28","12.86M","5.82"
"Nov 15, 2017","73.43","74.30","74.40","73.19","6.23M","-1.42"
"Nov 14, 2017","74.49","74.10","74.82","73.62","6.28M","0.62"
"Nov 13, 2017","74.03","73.61","74.29","73.34","6.19M","0.05"
"Nov 10, 2017","73.99","73.77","74.14","73.56","5.71M","-0.15"
"Nov 09, 2017","74.10","74.02","74.20","72.41","8.88M","-0.90"
"Nov 08, 2017","74.77","74.00","75.00","73.31","7.59M","0.48"
"Nov 07, 2017","74.41","75.17","75.45","74.19","7.03M","-0.44"
"Nov 06, 2017","74.74","73.72","74.76","73.42","10.16M","1.84"
"Nov 03, 2017","73.39","72.37","73.41","71.94","6.73M","1.58"
"Nov 02, 2017","72.25","72.46","72.78","72.01","4.54M","-0.18"
"Nov 01, 2017","72.38","72.78","72.99","71.69","6.66M","-0.25"
"Oct 31, 2017","72.56","71.34","72.74","71.11","7.56M","1.98"
"Oct 30, 2017","71.15","71.45","71.54","70.53","7.22M","0.13"
"Oct 27, 2017","71.06","71.72","71.79","70.58","9.26M","-0.39"
"Oct 26, 2017","71.34","71.46","72.07","71.04","8.02M","0.45"
"Oct 25, 2017","71.02","69.94","71.42","69.85","12.76M","1.15"
"Oct 24, 2017","70.21","69.73","70.56","69.67","12.28M","0.59"
"Oct 23, 2017","69.80","71.02","71.33","69.55","12.23M","-1.65"
"Oct 20, 2017","70.97","71.33","71.73","69.69","34.28M","5.53"
"Oct 19, 2017","67.25","67.30","67.45","66.16","14.55M","-0.01"
"Oct 18, 2017","67.26","67.40","67.50","67.00","8.08M","0.88"
"Oct 17, 2017","66.67","67.65","67.67","66.35","10.84M","-0.95"
"Oct 16, 2017","67.31","69.04","69.20","67.28","9.58M","-1.97"
"Oct 13, 2017","68.66","69.49","69.61","68.00","8.64M","-0.29"
"Oct 12, 2017","68.86","68.02","68.98","67.80","8.89M","1.59"
"Oct 11, 2017","67.78","67.25","68.42","66.98","12.01M","2.63"
"Oct 10, 2017","66.04","66.60","66.67","65.79","5.83M","-0.29"
"Oct 09, 2017","66.23","66.20","66.55","65.90","5.52M","0.27"
"Oct 06, 2017","66.05","66.00","66.41","65.79","6.12M","0.35"
"Oct 05, 2017","65.82","64.38","66.00","64.22","7.45M","2.83"
"Oct 04, 2017","64.01","64.30","64.30","63.69","4.44M","-0.33"
"Oct 03, 2017","64.22","64.51","64.51","63.76","5.63M","0.06"
"Oct 02, 2017","64.18","64.50","65.12","64.10","5.16M","0.23"
"Sep 29, 2017","64.03","63.86","64.17","63.50","6.89M","0.16"
"Sep 28, 2017","63.93","63.62","64.06","63.11","4.15M","0.95"
"Sep 27, 2017","63.33","63.41","63.75","63.16","7.38M","0.62"
"Sep 26, 2017","62.94","63.71","63.76","62.84","8.55M","-0.88"
"Sep 25, 2017","63.50","65.00","65.00","62.37","13.16M","-2.43"
"Sep 22, 2017","65.08","64.33","65.24","64.11","6.74M","0.70"
"Sep 21, 2017","64.63","64.67","64.95","63.91","6.73M","-0.17"
"Sep 20, 2017","64.74","63.99","64.87","63.83","11.90M","1.43"
"Sep 19, 2017","63.83","63.01","63.92","62.96","7.77M","1.45"
"Sep 18, 2017","62.92","62.62","63.53","62.52","7.69M","0.67"
"Sep 15, 2017","62.50","62.27","62.80","61.96","9.94M","0.42"
"Sep 14, 2017","62.24","62.04","62.37","61.71","5.70M","0.32"
"Sep 13, 2017","62.04","62.47","62.75","61.58","6.38M","-0.83"
"Sep 12, 2017","62.56","62.95","63.12","62.15","6.28M","-0.13"
"Sep 11, 2017","62.64","61.73","63.26","61.62","8.27M","2.47"
"Sep 08, 2017","61.13","61.94","62.00","61.10","4.94M","-1.40"
"Sep 07, 2017","62.00","61.33","62.13","61.28","5.02M","1.24"
"Sep 06, 2017","61.24","61.74","61.99","60.90","5.35M","-0.05"
"Sep 05, 2017","61.27","61.26","61.75","60.58","5.72M","-0.31"
"Sep 01, 2017","61.46","61.98","62.23","61.38","3.44M","-0.36"
"Aug 31, 2017","61.68","62.00","62.03","61.17","6.15M","-0.15"
"Aug 30, 2017","61.77","61.05","61.86","60.89","5.70M","1.25"
"Aug 29, 2017","61.01","59.82","61.16","59.63","4.36M","0.79"
"Aug 28, 2017","60.53","60.31","60.53","59.81","4.66M","0.93"
"Aug 25, 2017","59.97","60.33","60.58","59.61","4.09M","-0.05"
"Aug 24, 2017","60.00","60.22","60.43","59.11","4.05M","-0.08"
"Aug 23, 2017","60.05","60.30","60.51","59.82","4.53M","-1.30"
"Aug 22, 2017","60.84","59.72","61.00","59.44","5.84M","2.42"
"Aug 21, 2017","59.40","59.33","59.65","58.76","4.24M","-0.07"
"Aug 18, 2017","59.44","59.36","59.82","58.94","4.65M","0.25"
"Aug 17, 2017","59.29","60.15","60.28","59.29","6.74M","-1.66"
"Aug 16, 2017","60.29","59.95","60.70","59.60","5.75M","1.01"
"Aug 15, 2017","59.69","59.30","59.98","59.23","6.48M","1.07"
"Aug 14, 2017","59.06","58.61","59.28","58.27","7.56M","1.76"
"Aug 11, 2017","58.04","57.85","58.25","57.58","6.96M","0.03"
"Aug 10, 2017","58.02","59.24","59.37","57.81","9.57M","-2.77"
"Aug 09, 2017","59.67","58.97","59.73","58.59","6.02M","0.32"
"Aug 08, 2017","59.48","59.61","59.88","59.25","6.00M","-0.23"
"Aug 07, 2017","59.62","59.18","59.64","58.84","5.89M","1.29"
"Aug 04, 2017","58.86","58.62","58.93","58.32","6.17M","0.75"
"Aug 03, 2017","58.42","59.16","59.28","58.36","6.26M","-1.18"
"Aug 02, 2017","59.12","59.67","59.71","58.44","6.52M","-0.37"
"Aug 01, 2017","59.34","59.00","59.39","58.79","9.08M","1.35"
"Jul 31, 2017","58.55","59.37","59.64","58.52","7.40M","-1.10"
"Jul 28, 2017","59.20","59.80","60.71","59.04","10.80M","-1.58"
"Jul 27, 2017","60.15","61.00","61.30","57.69","22.71M","2.31"
"Jul 26, 2017","58.79","58.48","58.94","57.90","13.62M","0.91"
"Jul 25, 2017","58.26","58.73","58.83","58.19","8.51M","-0.55"
"Jul 24, 2017","58.58","58.90","59.07","58.34","6.43M","-0.15"
"Jul 21, 2017","58.67","59.00","59.33","58.59","7.55M","-0.71"
"Jul 20, 2017","59.09","58.75","59.38","58.43","8.06M","1.27"
"Jul 19, 2017","58.35","58.31","58.62","57.55","9.71M","-1.03"
"Jul 18, 2017","58.96","57.50","58.96","57.31","9.48M","2.40"
"Jul 17, 2017","57.58","57.53","57.60","57.02","5.80M","0.73"
"Jul 14, 2017","57.16","58.14","58.63","56.91","11.78M","-1.28"
"Jul 13, 2017","57.90","57.30","57.91","56.80","14.80M","2.39"
"Jul 12, 2017","56.55","56.60","57.45","55.55","17.49M","3.27"
"Jul 11, 2017","54.76","54.92","55.20","54.33","9.01M","-0.33"
"Jul 10, 2017","54.94","54.91","55.42","54.70","10.47M","1.80"
"Jul 07, 2017","53.97","53.70","54.48","53.52","4.95M","0.94"
"Jul 06, 2017","53.47","54.22","54.35","53.15","7.45M","-2.09"
"Jul 05, 2017","54.61","53.00","54.75","52.94","9.80M","3.29"
"Jul 03, 2017","52.87","54.14","54.33","52.83","4.83M","-1.49"
"Jun 30, 2017","53.67","53.60","54.25","53.29","8.23M","0.47"
"Jun 29, 2017","53.42","53.81","54.10","52.52","11.62M","-1.78"
"Jun 28, 2017","54.39","52.75","54.44","52.65","7.93M","3.15"
"Jun 27, 2017","52.73","53.60","53.79","52.64","7.71M","-1.88"
"Jun 26, 2017","53.74","54.44","55.10","53.65","4.89M","-1.09"
"Jun 23, 2017","54.33","53.82","54.53","53.69","6.26M","0.85"
"Jun 22, 2017","53.87","53.71","53.95","52.86","9.67M","0.62"
"Jun 21, 2017","53.54","52.99","53.58","52.61","8.02M","1.94"
"Jun 20, 2017","52.52","52.84","53.23","52.43","4.58M","-0.77"
"Jun 19, 2017","52.93","52.28","53.00","52.11","5.64M","2.10"
"Jun 16, 2017","51.84","52.04","52.16","51.58","10.93M","-0.86"
"Jun 15, 2017","52.29","51.44","52.38","50.83","12.40M","0.75"
"Jun 14, 2017","51.90","52.00","52.51","51.53","7.13M","-0.31"
"Jun 13, 2017","52.06","52.29","52.48","51.70","10.41M","-0.19"
"Jun 12, 2017","52.16","52.81","52.90","51.43","15.77M","-2.32"
"Jun 09, 2017","53.40","54.65","55.14","52.85","11.17M","-1.82"
"Jun 08, 2017","54.39","54.03","54.43","53.45","6.37M","1.00"
"Jun 07, 2017","53.85","53.30","53.94","53.26","6.37M","0.84"
"Jun 06, 2017","53.40","53.75","53.80","53.16","6.31M","-0.74"
"Jun 05, 2017","53.80","53.77","54.07","53.59","9.66M","0.52"
"Jun 02, 2017","53.52","53.44","53.64","53.08","9.12M","0.68"
"Jun 01, 2017","53.16","52.48","53.39","52.48","13.90M","1.82"
"May 31, 2017","52.21","51.13","52.24","50.88","11.11M","2.25"
"May 30, 2017","51.06","50.96","51.28","50.86","5.55M","-0.25"
"May 26, 2017","51.19","51.04","51.39","50.89","4.78M","0.51"
"May 25, 2017","50.93","50.77","51.13","50.64","4.95M","-0.24"
"May 24, 2017","51.05","50.23","51.08","50.14","6.31M","1.84"
"May 23, 2017","50.13","49.90","50.18","49.77","7.13M","0.72"
"May 22, 2017","49.77","49.45","49.88","49.35","13.14M","0.77"
"May 19, 2017","49.39","49.15","49.71","49.06","7.81M","0.57"
"May 18, 2017","49.11","49.03","49.58","48.89","9.93M","0.12"
"May 17, 2017","49.05","49.87","50.10","49.02","6.60M","-2.56"
"May 16, 2017","50.34","49.63","50.35","49.57","5.35M","1.15"
"May 15, 2017","49.77","49.31","50.00","49.25","4.71M","0.81"
"May 12, 2017","49.37","49.58","49.75","49.24","4.93M","-0.66"
"May 11, 2017","49.70","49.63","49.71","49.11","5.55M","-0.18"
"May 10, 2017","49.79","49.18","49.80","49.02","6.51M","1.16"
"May 09, 2017","49.22","49.06","49.37","48.90","4.77M","0.10"
"May 08, 2017","49.17","49.43","49.45","48.81","6.64M","-0.26"
"May 05, 2017","49.30","48.62","49.44","48.40","4.88M","0.80"
"May 04, 2017","48.91","48.93","49.38","48.82","7.15M","-0.22"
"May 03, 2017","49.02","49.16","49.29","48.62","11.61M","-0.06"
"May 02, 2017","49.05","47.41","49.07","47.40","16.82M","3.18"
