"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","57.82","57.64","58.14","57.47","11.51M","0.54"
"Nov 29, 2017","57.51","56.71","57.68","56.70","10.02M","1.50"
"Nov 28, 2017","56.66","56.03","56.72","55.91","9.73M","1.34"
"Nov 27, 2017","55.91","56.83","56.92","55.75","10.58M","-1.57"
"Nov 24, 2017","56.80","57.19","57.19","56.71","3.48M","-0.60"
"Nov 22, 2017","57.14","57.07","57.18","56.80","7.31M","-0.21"
"Nov 21, 2017","57.26","56.96","57.56","56.88","6.28M","0.79"
"Nov 20, 2017","56.81","56.67","57.05","56.58","6.36M","-0.21"
"Nov 17, 2017","56.93","57.24","57.43","56.84","6.31M","-0.54"
"Nov 16, 2017","57.24","56.92","57.42","56.75","8.31M","0.95"
"Nov 15, 2017","56.70","56.82","57.06","56.51","8.88M","-0.40"
"Nov 14, 2017","56.93","56.47","57.00","56.41","7.76M","0.51"
"Nov 13, 2017","56.64","56.81","57.14","56.55","7.65M","-0.70"
"Nov 10, 2017","57.04","57.36","57.39","56.54","7.93M","-0.56"
"Nov 09, 2017","57.36","57.20","57.66","56.78","14.78M","-0.95"
"Nov 08, 2017","57.91","57.03","58.01","57.00","13.53M","1.21"
"Nov 07, 2017","57.22","56.33","57.29","56.33","11.17M","1.15"
"Nov 06, 2017","56.57","55.99","56.69","55.63","10.84M","0.96"
"Nov 03, 2017","56.03","54.16","56.94","54.05","28.77M","2.11"
"Nov 02, 2017","54.87","55.15","55.39","54.77","16.88M","-0.47"
"Nov 01, 2017","55.13","55.10","55.59","54.94","7.19M","0.53"
"Oct 31, 2017","54.84","55.16","55.30","54.70","8.86M","-0.60"
"Oct 30, 2017","55.17","54.79","55.23","54.40","6.43M","0.53"
"Oct 27, 2017","54.88","54.83","55.12","54.68","9.92M","-0.05"
"Oct 26, 2017","54.91","54.50","55.75","54.50","12.21M","1.38"
"Oct 25, 2017","54.16","54.24","54.39","53.66","8.28M","-0.22"
"Oct 24, 2017","54.28","54.37","54.56","54.02","7.82M","0.02"
"Oct 23, 2017","54.27","54.77","54.94","54.18","10.11M","-0.55"
"Oct 20, 2017","54.57","55.31","55.40","54.17","11.74M","-1.50"
"Oct 19, 2017","55.40","55.08","55.54","54.90","5.72M","0.34"
"Oct 18, 2017","55.21","54.46","55.43","54.22","8.30M","1.28"
"Oct 17, 2017","54.51","54.86","55.23","54.29","11.23M","-0.73"
"Oct 16, 2017","54.91","55.67","55.80","54.89","7.26M","-1.45"
"Oct 13, 2017","55.72","56.00","56.43","55.61","6.23M","-0.45"
"Oct 12, 2017","55.97","55.67","56.27","55.31","7.23M","0.59"
"Oct 11, 2017","55.64","55.46","55.80","55.26","8.88M","0.40"
"Oct 10, 2017","55.42","55.10","55.85","55.08","6.57M","0.73"
"Oct 09, 2017","55.02","55.37","55.49","54.96","5.82M","-0.27"
"Oct 06, 2017","55.17","54.51","55.45","54.24","10.58M","1.04"
"Oct 05, 2017","54.60","54.06","54.97","53.92","7.99M","1.24"
"Oct 04, 2017","53.93","54.12","54.20","53.69","5.57M","-0.11"
"Oct 03, 2017","53.99","54.00","54.34","53.90","6.14M","0.33"
"Oct 02, 2017","53.81","53.86","54.04","53.75","5.96M","0.19"
"Sep 29, 2017","53.71","54.31","54.47","53.36","11.94M","-1.45"
"Sep 28, 2017","54.50","54.81","55.08","54.45","7.61M","-0.89"
"Sep 27, 2017","54.99","55.25","55.60","54.96","8.67M","-0.25"
"Sep 26, 2017","55.13","55.06","55.22","54.80","8.02M","0.33"
"Sep 25, 2017","54.95","54.98","55.22","54.70","10.24M","-0.25"
"Sep 22, 2017","55.09","55.05","55.20","54.86","6.95M","0.15"
"Sep 21, 2017","55.01","55.05","55.17","54.86","7.18M","-0.25"
"Sep 20, 2017","55.15","54.58","55.18","54.58","7.08M","0.97"
"Sep 19, 2017","54.62","54.84","54.88","54.56","5.19M","-0.13"
"Sep 18, 2017","54.69","54.80","54.97","54.57","6.35M","0.04"
"Sep 15, 2017","54.67","54.44","54.79","54.16","10.74M","0.26"
"Sep 14, 2017","54.53","54.38","54.71","54.10","8.26M","0.44"
"Sep 13, 2017","54.29","53.55","54.72","53.49","12.79M","1.40"
"Sep 12, 2017","53.54","53.98","54.05","53.33","10.34M","-0.89"
"Sep 11, 2017","54.02","53.79","54.13","53.61","9.31M","0.99"
"Sep 08, 2017","53.49","53.39","53.78","53.05","11.77M","0.04"
"Sep 07, 2017","53.47","54.42","54.67","53.25","13.80M","-1.55"
"Sep 06, 2017","54.31","55.12","55.27","54.13","11.37M","-1.49"
"Sep 05, 2017","55.13","54.95","55.20","54.60","9.18M","0.36"
"Sep 01, 2017","54.93","54.90","55.16","54.88","7.70M","0.13"
"Aug 31, 2017","54.86","54.68","54.99","54.57","8.25M","0.62"
"Aug 30, 2017","54.52","54.04","54.62","54.04","5.60M","0.78"
"Aug 29, 2017","54.10","54.04","54.29","54.00","6.21M","-0.55"
"Aug 28, 2017","54.40","54.54","54.58","54.02","6.64M","0.07"
"Aug 25, 2017","54.36","54.62","54.69","54.19","8.60M","0.78"
"Aug 24, 2017","53.94","54.26","54.45","53.77","8.72M","-0.26"
"Aug 23, 2017","54.08","53.96","54.10","53.65","11.84M","-0.68"
"Aug 22, 2017","54.45","53.49","54.74","53.39","14.55M","2.45"
"Aug 21, 2017","53.15","53.14","53.52","52.80","12.75M","0.85"
"Aug 18, 2017","52.70","52.92","53.09","52.58","10.37M","-0.64"
"Aug 17, 2017","53.04","53.32","53.78","52.99","7.45M","-0.86"
"Aug 16, 2017","53.50","53.26","53.92","53.25","7.67M","0.66"
"Aug 15, 2017","53.15","53.41","53.42","52.89","6.67M","-0.13"
"Aug 14, 2017","53.22","53.60","53.60","53.18","7.43M","0.08"
"Aug 11, 2017","53.18","53.05","53.40","53.05","9.24M","0.21"
"Aug 10, 2017","53.07","53.52","53.75","52.99","13.24M","-1.25"
"Aug 09, 2017","53.74","54.43","54.43","53.30","16.72M","-1.43"
"Aug 08, 2017","54.52","55.55","55.58","54.36","11.10M","-2.00"
"Aug 07, 2017","55.63","55.60","55.93","55.42","7.25M","0.34"
"Aug 04, 2017","55.44","55.97","56.05","55.09","9.18M","-0.43"
"Aug 03, 2017","55.68","55.64","56.12","55.50","13.33M","0.45"
"Aug 02, 2017","55.43","54.75","55.45","54.67","14.76M","1.28"
"Aug 01, 2017","54.73","54.57","54.79","53.97","18.12M","1.39"
"Jul 31, 2017","53.98","54.48","54.68","53.95","20.30M","-0.04"
"Jul 28, 2017","54.00","55.23","55.96","53.41","53.45M","-9.24"
"Jul 27, 2017","59.50","58.25","59.66","57.93","23.29M","2.69"
"Jul 26, 2017","57.94","58.80","58.84","57.78","8.78M","-1.04"
"Jul 25, 2017","58.55","58.22","58.84","57.98","7.93M","0.91"
"Jul 24, 2017","58.02","58.00","58.25","57.93","7.44M","0.07"
"Jul 21, 2017","57.98","57.92","58.26","57.83","6.72M","-0.09"
"Jul 20, 2017","58.03","58.41","58.84","58.00","10.55M","-0.14"
"Jul 19, 2017","58.11","58.15","58.41","57.90","8.20M","-0.17"
"Jul 18, 2017","58.21","58.12","58.58","57.69","7.86M","-0.21"
"Jul 17, 2017","58.33","58.73","58.87","58.28","6.77M","-0.73"
"Jul 14, 2017","58.76","58.40","58.92","58.28","5.44M","0.65"
"Jul 13, 2017","58.38","58.80","58.87","58.12","8.46M","-0.27"
"Jul 12, 2017","58.54","58.21","58.71","58.02","7.14M","1.11"
"Jul 11, 2017","57.90","57.91","58.08","57.53","5.42M","0.16"
"Jul 10, 2017","57.81","58.18","58.35","57.75","4.83M","-0.40"
"Jul 07, 2017","58.04","57.79","58.36","57.54","7.28M","0.76"
"Jul 06, 2017","57.60","57.80","57.92","57.40","8.89M","-0.59"
"Jul 05, 2017","57.94","58.43","58.50","57.80","7.77M","-0.53"
"Jul 03, 2017","58.25","58.90","58.99","58.25","4.58M","-0.10"
"Jun 30, 2017","58.31","58.68","58.95","58.29","8.12M","-0.09"
"Jun 29, 2017","58.36","59.17","59.18","57.95","7.42M","-1.39"
"Jun 28, 2017","59.18","59.06","59.25","58.80","5.42M","0.37"
"Jun 27, 2017","58.96","59.54","59.69","58.81","5.65M","-1.14"
"Jun 26, 2017","59.64","60.02","60.15","59.33","5.67M","-0.28"
"Jun 23, 2017","59.81","59.76","60.17","59.58","6.47M","0.50"
"Jun 22, 2017","59.51","60.09","60.10","59.40","5.60M","-0.75"
"Jun 21, 2017","59.96","60.00","60.31","59.71","6.03M","0.17"
"Jun 20, 2017","59.86","60.98","61.00","59.70","6.99M","-1.71"
"Jun 19, 2017","60.90","60.35","61.00","60.11","6.78M","1.26"
"Jun 16, 2017","60.14","59.89","60.16","59.47","11.52M","0.08"
"Jun 15, 2017","60.09","59.92","60.28","59.51","7.52M","-0.30"
"Jun 14, 2017","60.27","60.67","60.82","59.86","9.70M","-1.07"
"Jun 13, 2017","60.92","61.12","61.26","60.59","9.38M","-0.60"
"Jun 12, 2017","61.29","61.80","61.99","60.63","11.07M","-1.45"
"Jun 09, 2017","62.19","62.37","62.48","61.87","11.24M","-0.08"
"Jun 08, 2017","62.24","63.44","63.58","62.02","11.29M","-1.98"
"Jun 07, 2017","63.50","64.13","64.30","63.34","8.36M","-1.03"
"Jun 06, 2017","64.16","64.22","64.35","64.05","5.45M","-0.17"
"Jun 05, 2017","64.27","64.85","64.87","64.18","6.81M","-0.46"
"Jun 02, 2017","64.57","63.88","64.68","63.70","7.84M","1.29"
"Jun 01, 2017","63.75","63.51","63.82","63.35","6.06M","0.22"
"May 31, 2017","63.61","63.27","63.61","63.08","7.31M","0.55"
"May 30, 2017","63.26","63.07","63.41","63.01","7.09M","-0.06"
"May 26, 2017","63.30","63.01","63.42","62.97","6.10M","0.64"
"May 25, 2017","62.90","62.01","63.11","61.90","8.93M","1.63"
"May 24, 2017","61.89","61.40","62.00","60.94","7.28M","1.21"
"May 23, 2017","61.15","61.40","61.50","60.86","5.62M","-0.13"
"May 22, 2017","61.23","61.03","61.72","61.03","6.39M","-0.21"
"May 19, 2017","61.36","59.94","61.92","59.94","12.53M","2.57"
"May 18, 2017","59.82","59.73","59.94","58.87","8.60M","0.15"
"May 17, 2017","59.73","59.97","60.32","59.55","7.58M","-0.42"
"May 16, 2017","59.98","60.68","60.70","59.88","6.30M","-0.78"
"May 15, 2017","60.45","60.42","60.49","60.12","5.90M","0.87"
"May 12, 2017","59.93","60.28","60.34","59.83","5.65M","-0.56"
"May 11, 2017","60.27","60.45","60.51","60.03","5.52M","-0.64"
"May 10, 2017","60.66","60.88","60.98","60.21","7.20M","-0.52"
"May 09, 2017","60.98","60.58","61.08","60.57","5.81M","0.07"
"May 08, 2017","60.94","61.07","61.07","60.70","5.59M","-0.02"
"May 05, 2017","60.95","60.86","60.99","60.58","6.44M","0.20"
"May 04, 2017","60.83","60.65","60.85","60.39","6.87M","0.40"
"May 03, 2017","60.59","60.52","60.66","60.26","7.71M","0.15"
"May 02, 2017","60.50","60.15","60.52","60.04","9.15M","0.53"
"May 01, 2017","60.18","60.00","60.60","59.76","10.91M","0.20"
"Apr 28, 2017","60.06","59.41","60.18","58.99","25.05M","-2.02"
"Apr 27, 2017","61.30","61.63","61.94","61.19","15.29M","-0.42"
"Apr 26, 2017","61.56","61.23","61.75","60.98","8.53M","0.98"
"Apr 25, 2017","60.96","60.65","61.21","59.92","11.03M","-0.25"
"Apr 24, 2017","61.11","61.00","61.38","60.89","10.72M","0.82"
"Apr 21, 2017","60.61","60.20","60.69","60.15","8.80M","0.88"
"Apr 20, 2017","60.08","59.71","60.34","59.56","12.45M","1.76"
"Apr 19, 2017","59.04","58.60","59.49","58.50","12.00M","1.18"
"Apr 18, 2017","58.35","57.59","58.48","57.59","5.45M","0.46"
"Apr 17, 2017","58.08","57.68","58.25","57.68","5.63M","0.99"
"Apr 13, 2017","57.51","57.61","57.79","57.45","4.87M","-0.12"
"Apr 12, 2017","57.58","57.88","57.90","57.48","5.45M","-0.52"
"Apr 11, 2017","57.88","57.84","58.16","57.38","5.86M","-0.12"
"Apr 10, 2017","57.95","58.00","58.21","57.73","5.27M","-0.12"
"Apr 07, 2017","58.02","57.80","58.25","57.55","6.77M","0.17"
"Apr 06, 2017","57.92","58.13","58.36","57.73","9.11M","-0.52"
"Apr 05, 2017","58.22","57.96","59.27","57.81","13.66M","-0.17"
"Apr 04, 2017","58.32","58.37","58.41","58.01","6.47M","-0.21"
"Apr 03, 2017","58.44","58.28","58.47","57.89","8.99M","0.09"
"Mar 31, 2017","58.39","58.10","58.66","58.06","9.16M","0.40"
"Mar 30, 2017","58.16","57.45","58.30","57.42","8.68M","1.08"
"Mar 29, 2017","57.54","57.17","57.85","57.13","7.00M","0.33"
"Mar 28, 2017","57.35","57.10","57.52","57.02","8.33M","0.21"
"Mar 27, 2017","57.23","56.66","57.45","56.46","8.86M","0.74"
"Mar 24, 2017","56.81","56.11","57.38","55.90","15.76M","1.72"
"Mar 23, 2017","55.85","56.15","56.42","55.78","7.36M","-0.07"
"Mar 22, 2017","55.89","55.68","56.04","55.51","8.45M","0.63"
"Mar 21, 2017","55.54","56.05","56.45","55.48","8.03M","-0.48"
"Mar 20, 2017","55.81","55.87","56.05","55.51","7.95M","0.05"
"Mar 17, 2017","55.78","55.04","56.13","54.95","15.82M","1.79"
"Mar 16, 2017","54.80","54.85","54.98","54.66","8.07M","0.48"
"Mar 15, 2017","54.54","54.39","54.65","54.09","8.71M","0.50"
"Mar 14, 2017","54.27","54.62","54.74","54.19","7.89M","-0.66"
"Mar 13, 2017","54.63","54.57","54.88","54.40","9.09M","0.18"
"Mar 10, 2017","54.53","55.39","55.40","54.41","13.89M","-1.20"
"Mar 09, 2017","55.19","55.75","55.80","54.81","17.84M","-0.99"
"Mar 08, 2017","55.74","56.15","56.35","55.54","13.06M","-0.82"
"Mar 07, 2017","56.20","56.58","56.75","56.02","10.89M","-0.85"
"Mar 06, 2017","56.68","56.78","56.81","56.33","9.16M","-0.74"
"Mar 03, 2017","57.10","56.70","57.26","56.70","7.74M","-0.04"
"Mar 02, 2017","57.12","57.07","57.19","56.85","6.60M","-0.04"
"Mar 01, 2017","57.14","57.27","57.40","56.94","7.20M","0.47"
"Feb 28, 2017","56.87","56.71","57.06","56.55","8.75M","0.16"
"Feb 27, 2017","56.78","57.24","57.30","56.66","7.70M","-1.22"
"Feb 24, 2017","57.48","57.61","57.71","57.15","7.81M","-0.28"
"Feb 23, 2017","57.64","57.60","57.79","57.39","7.18M","0.12"
"Feb 22, 2017","57.57","57.52","57.85","57.35","7.88M","0.05"
"Feb 21, 2017","57.54","57.41","57.81","57.40","8.29M","0.33"
"Feb 17, 2017","57.35","56.80","57.57","56.71","11.01M","1.09"
