"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","148.75","148.72","149.71","147.96","629.13K","-0.53"
"Nov 29, 2017","149.54","150.69","151.57","148.62","736.03K","0.02"
"Nov 28, 2017","149.51","148.75","149.93","146.60","930.33K","2.26"
"Nov 27, 2017","146.21","147.78","148.21","146.07","703.26K","-1.12"
"Nov 24, 2017","147.86","149.40","150.07","147.78","418.60K","-1.28"
"Nov 22, 2017","149.78","149.61","151.47","148.80","837.08K","3.42"
"Nov 21, 2017","144.83","141.99","145.21","141.90","953.53K","2.45"
"Nov 20, 2017","141.37","143.47","143.82","140.67","2.36M","-4.07"
"Nov 17, 2017","147.37","145.76","147.87","145.16","1.64M","1.89"
"Nov 16, 2017","144.63","144.40","150.44","143.28","4.58M","3.29"
"Nov 15, 2017","140.03","139.64","140.42","138.71","825.39K","0.55"
"Nov 14, 2017","139.27","139.82","140.85","138.35","1.07M","0.69"
"Nov 13, 2017","138.32","138.06","138.54","137.17","632.80K","-1.45"
"Nov 10, 2017","140.36","141.03","141.03","139.80","701.04K","0.21"
"Nov 09, 2017","140.07","140.48","140.59","139.15","727.62K","-0.88"
"Nov 08, 2017","141.31","143.71","143.77","140.60","1.28M","-2.34"
"Nov 07, 2017","144.69","146.16","146.39","144.43","780.13K","-1.67"
"Nov 06, 2017","147.14","147.46","148.11","146.81","1.03M","0.65"
"Nov 03, 2017","146.19","145.65","146.56","145.11","625.05K","0.52"
"Nov 02, 2017","145.44","145.96","147.59","145.24","939.17K","-0.21"
"Nov 01, 2017","145.75","148.57","148.75","145.19","1.15M","-1.27"
"Oct 31, 2017","147.63","147.95","148.48","147.10","2.01M","1.28"
"Oct 30, 2017","145.76","144.59","147.12","144.41","1.90M","2.53"
"Oct 27, 2017","142.17","140.45","143.00","139.15","2.09M","2.84"
"Oct 26, 2017","138.24","139.84","140.52","137.80","1.74M","-3.79"
"Oct 25, 2017","143.69","145.45","145.50","141.96","1.04M","-0.56"
"Oct 24, 2017","144.50","143.58","144.82","142.93","1.04M","-0.19"
"Oct 23, 2017","144.78","145.99","146.32","144.60","624.20K","-0.32"
"Oct 20, 2017","145.25","146.84","146.96","145.03","1.08M","-1.74"
"Oct 19, 2017","147.82","147.64","149.37","147.40","1.38M","1.05"
"Oct 18, 2017","146.29","149.76","150.27","145.95","2.22M","-3.79"
"Oct 17, 2017","152.05","153.31","153.44","151.18","1.20M","-2.08"
"Oct 16, 2017","155.28","157.71","157.85","153.03","1.12M","0.79"
"Oct 13, 2017","154.07","153.31","154.39","153.14","586.90K","1.18"
"Oct 12, 2017","152.28","151.93","152.80","151.24","635.61K","0.18"
