"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","5.500","5.450","5.550","5.440","15.93M","0.36"
"Nov 29, 2017","5.480","5.430","5.550","5.430","19.20M","0.92"
"Nov 28, 2017","5.430","5.430","5.450","5.400","15.12M","-0.18"
"Nov 27, 2017","5.440","5.410","5.470","5.400","15.89M","0.00"
"Nov 24, 2017","5.440","5.430","5.470","5.415","7.84M","0.00"
"Nov 22, 2017","5.440","5.460","5.490","5.420","14.09M","-0.37"
"Nov 21, 2017","5.460","5.460","5.510","5.445","13.27M","0.55"
"Nov 20, 2017","5.430","5.470","5.490","5.415","11.54M","-0.55"
"Nov 17, 2017","5.460","5.420","5.490","5.380","11.92M","1.11"
"Nov 16, 2017","5.400","5.360","5.440","5.350","17.05M","0.37"
"Nov 15, 2017","5.380","5.350","5.390","5.300","14.50M","0.56"
"Nov 14, 2017","5.350","5.480","5.490","5.300","23.93M","-2.73"
"Nov 13, 2017","5.500","5.320","5.500","5.320","24.65M","3.00"
"Nov 10, 2017","5.340","5.280","5.410","5.280","18.67M","0.56"
"Nov 09, 2017","5.310","5.340","5.400","5.280","15.19M","-0.93"
"Nov 08, 2017","5.360","5.310","5.380","5.310","15.84M","0.37"
"Nov 07, 2017","5.340","5.350","5.400","5.310","12.81M","-0.19"
"Nov 06, 2017","5.350","5.290","5.400","5.290","12.43M","0.94"
"Nov 03, 2017","5.300","5.300","5.340","5.260","16.73M","-0.75"
"Nov 02, 2017","5.340","5.410","5.430","5.300","20.64M","-1.84"
"Nov 01, 2017","5.440","5.470","5.520","5.380","23.14M","0.00"
"Oct 31, 2017","5.440","5.520","5.521","5.430","19.51M","-1.27"
"Oct 30, 2017","5.510","5.530","5.560","5.460","19.66M","-0.54"
"Oct 27, 2017","5.540","5.550","5.560","5.440","30.52M","-0.72"
"Oct 26, 2017","5.580","5.620","5.620","5.540","12.88M","0.36"
"Oct 25, 2017","5.560","5.660","5.700","5.460","29.25M","-2.80"
"Oct 24, 2017","5.720","5.690","5.780","5.690","27.16M","0.35"
"Oct 23, 2017","5.700","5.770","5.780","5.680","20.15M","-0.96"
"Oct 20, 2017","5.755","5.780","5.780","5.730","8.29M","0.26"
"Oct 19, 2017","5.740","5.720","5.760","5.700","8.77M","-0.17"
"Oct 18, 2017","5.750","5.700","5.770","5.690","11.46M","0.70"
"Oct 17, 2017","5.710","5.680","5.730","5.670","8.79M","0.18"
"Oct 16, 2017","5.700","5.710","5.720","5.690","7.87M","-0.18"
"Oct 13, 2017","5.710","5.750","5.750","5.690","8.68M","0.00"
"Oct 12, 2017","5.710","5.730","5.780","5.640","20.33M","-0.17"
"Oct 11, 2017","5.720","5.670","5.750","5.640","14.16M","1.24"
"Oct 10, 2017","5.650","5.720","5.730","5.650","10.08M","-1.22"
"Oct 09, 2017","5.720","5.740","5.780","5.710","7.20M","-0.17"
"Oct 06, 2017","5.730","5.750","5.770","5.670","10.78M","-0.17"
"Oct 05, 2017","5.740","5.710","5.790","5.700","17.10M","0.17"
"Oct 04, 2017","5.730","5.630","5.740","5.600","22.48M","2.32"
"Oct 03, 2017","5.600","5.500","5.600","5.500","17.33M","1.82"
"Oct 02, 2017","5.500","5.520","5.550","5.480","16.04M","-0.36"
"Sep 29, 2017","5.520","5.460","5.570","5.450","15.78M","1.47"
"Sep 28, 2017","5.440","5.500","5.530","5.440","11.71M","-1.63"
"Sep 27, 2017","5.530","5.470","5.540","5.450","16.05M","1.65"
"Sep 26, 2017","5.440","5.500","5.530","5.420","14.12M","-1.09"
"Sep 25, 2017","5.500","5.530","5.550","5.490","12.81M","-0.72"
"Sep 22, 2017","5.540","5.470","5.540","5.470","8.29M","0.91"
"Sep 21, 2017","5.490","5.490","5.530","5.470","7.36M","-0.18"
"Sep 20, 2017","5.500","5.460","5.520","5.450","20.28M","0.55"
"Sep 19, 2017","5.470","5.470","5.510","5.460","10.61M","-0.18"
"Sep 18, 2017","5.480","5.490","5.530","5.450","18.03M","-0.54"
"Sep 15, 2017","5.510","5.430","5.510","5.420","30.14M","1.29"
"Sep 14, 2017","5.440","5.420","5.460","5.390","16.79M","0.37"
"Sep 13, 2017","5.420","5.570","5.580","5.370","26.90M","-3.04"
"Sep 12, 2017","5.590","5.520","5.590","5.490","19.14M","1.08"
"Sep 11, 2017","5.530","5.520","5.540","5.460","19.59M","0.91"
"Sep 08, 2017","5.480","5.540","5.540","5.400","24.81M","-1.26"
"Sep 07, 2017","5.550","5.600","5.630","5.510","15.57M","-0.89"
"Sep 06, 2017","5.600","5.580","5.630","5.550","14.72M","0.18"
"Sep 05, 2017","5.590","5.680","5.700","5.565","19.91M","-1.76"
"Sep 01, 2017","5.690","5.740","5.750","5.675","13.01M","-1.04"
"Aug 31, 2017","5.750","5.710","5.750","5.680","13.92M","0.88"
"Aug 30, 2017","5.700","5.610","5.750","5.610","16.59M","1.24"
"Aug 29, 2017","5.630","5.540","5.630","5.520","10.80M","0.90"
"Aug 28, 2017","5.580","5.590","5.610","5.550","10.29M","0.00"
"Aug 25, 2017","5.580","5.590","5.620","5.560","10.27M","0.00"
"Aug 24, 2017","5.580","5.570","5.600","5.520","11.34M","0.36"
"Aug 23, 2017","5.560","5.630","5.660","5.560","17.52M","-1.94"
