"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","38.56","38.99","39.16","38.21","6.78M","-0.49"
"Nov 29, 2017","38.75","39.95","40.50","38.66","6.07M","-3.08"
"Nov 28, 2017","39.98","39.38","40.05","38.96","3.81M","2.30"
"Nov 27, 2017","39.08","39.47","39.70","38.56","5.63M","-3.00"
"Nov 24, 2017","40.29","40.36","40.55","39.97","1.34M","-0.10"
"Nov 22, 2017","40.33","40.02","40.47","39.82","2.36M","0.47"
"Nov 21, 2017","40.14","40.05","40.64","39.96","3.85M","0.73"
"Nov 20, 2017","39.85","39.34","40.07","39.08","3.99M","1.09"
"Nov 17, 2017","39.42","39.24","39.60","38.78","3.15M","0.77"
"Nov 16, 2017","39.12","37.96","39.27","37.93","5.26M","3.46"
"Nov 15, 2017","37.81","37.34","37.85","37.24","3.50M","0.85"
"Nov 14, 2017","37.49","37.62","37.93","37.33","2.60M","-0.45"
"Nov 13, 2017","37.66","37.90","37.94","37.32","2.31M","-0.87"
"Nov 10, 2017","37.99","37.20","38.08","37.20","3.01M","1.55"
"Nov 09, 2017","37.41","37.13","38.13","37.13","4.35M","-0.80"
"Nov 08, 2017","37.71","37.04","38.20","36.73","4.24M","1.59"
"Nov 07, 2017","37.12","37.43","37.49","36.84","2.84M","-0.91"
"Nov 06, 2017","37.46","36.28","37.53","36.07","3.19M","3.11"
"Nov 03, 2017","36.33","36.60","36.98","36.16","2.28M","-1.20"
"Nov 02, 2017","36.77","36.97","37.00","36.38","2.75M","-0.51"
"Nov 01, 2017","36.96","37.38","37.63","36.66","2.78M","-0.03"
"Oct 31, 2017","36.97","36.82","37.73","36.57","4.43M","0.79"
"Oct 30, 2017","36.68","36.95","36.98","36.12","5.87M","-0.60"
"Oct 27, 2017","36.90","38.26","38.26","36.84","5.30M","-3.35"
"Oct 26, 2017","38.18","38.31","38.62","37.57","4.28M","0.08"
"Oct 25, 2017","38.15","38.47","38.68","37.50","7.43M","-1.78"
"Oct 24, 2017","38.84","39.50","40.34","38.51","12.14M","-1.30"
"Oct 23, 2017","39.35","39.65","40.90","37.64","33.60M","12.62"
"Oct 20, 2017","34.94","34.55","35.28","34.41","8.32M","1.75"
"Oct 19, 2017","34.34","33.92","34.35","33.85","4.36M","0.23"
"Oct 18, 2017","34.26","34.11","34.33","34.02","3.73M","0.88"
"Oct 17, 2017","33.96","34.04","34.19","33.15","5.94M","-1.54"
"Oct 16, 2017","34.49","34.46","34.55","34.09","4.04M","0.26"
"Oct 13, 2017","34.40","33.86","34.56","33.66","4.18M","2.32"
"Oct 12, 2017","33.62","33.40","33.77","33.22","5.11M","0.36"
"Oct 11, 2017","33.50","33.58","34.10","33.40","3.61M","-0.74"
"Oct 10, 2017","33.75","34.24","34.34","33.36","5.24M","-0.30"
"Oct 09, 2017","33.85","34.03","34.82","33.84","3.68M","0.18"
"Oct 06, 2017","33.79","33.86","34.13","33.51","3.56M","-0.91"
"Oct 05, 2017","34.10","34.08","34.28","33.76","3.21M","0.35"
"Oct 04, 2017","33.98","34.04","34.26","33.86","3.07M","-0.21"
"Oct 03, 2017","34.05","34.20","34.25","33.53","3.76M","-0.44"
"Oct 02, 2017","34.20","33.64","34.48","33.54","7.40M","3.11"
"Sep 29, 2017","33.17","32.99","33.23","32.75","2.52M","0.58"
"Sep 28, 2017","32.98","33.25","33.37","32.41","4.59M","-0.60"
"Sep 27, 2017","33.18","33.02","33.47","32.59","3.79M","0.94"
"Sep 26, 2017","32.87","33.18","33.50","32.80","3.42M","-0.87"
"Sep 25, 2017","33.16","33.42","33.70","32.97","3.63M","-1.22"
