"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","104.74","105.47","106.27","104.28","2.82M","-0.56"
"Nov 29, 2017","105.33","107.20","107.42","103.38","2.88M","-2.06"
"Nov 28, 2017","107.55","107.43","107.88","106.23","2.07M","0.31"
"Nov 27, 2017","107.22","109.20","109.21","107.14","1.73M","-2.31"
"Nov 24, 2017","109.75","108.67","109.85","108.42","617.13K","1.11"
"Nov 22, 2017","108.54","110.19","110.25","108.48","1.54M","-1.55"
"Nov 21, 2017","110.25","110.28","111.08","109.81","1.64M","0.42"
"Nov 20, 2017","109.79","109.63","110.54","109.40","1.16M","-0.19"
"Nov 17, 2017","110.00","110.35","110.62","108.89","1.38M","-0.05"
"Nov 16, 2017","110.06","109.86","110.67","109.54","1.46M","1.07"
"Nov 15, 2017","108.89","110.57","110.57","107.14","2.10M","-2.09"
"Nov 14, 2017","111.21","109.92","111.74","109.74","1.45M","0.83"
"Nov 13, 2017","110.30","109.29","110.90","108.57","1.20M","-0.10"
"Nov 10, 2017","110.41","110.69","111.48","109.95","1.92M","-0.64"
"Nov 09, 2017","111.12","111.71","112.60","109.53","2.16M","-1.79"
"Nov 08, 2017","113.15","111.33","113.25","110.87","2.77M","1.76"
"Nov 07, 2017","111.19","109.87","113.24","107.75","8.18M","-4.42"
"Nov 06, 2017","116.33","115.24","117.65","114.30","6.24M","2.77"
"Nov 03, 2017","113.19","113.64","114.44","111.15","2.76M","1.28"
"Nov 02, 2017","111.76","111.21","111.90","108.60","2.40M","0.40"
"Nov 01, 2017","111.32","114.52","114.60","110.59","2.61M","-2.23"
"Oct 31, 2017","113.86","112.40","114.80","111.44","2.81M","1.66"
"Oct 30, 2017","112.00","108.40","112.30","108.13","2.82M","3.79"
"Oct 27, 2017","107.91","106.29","108.37","105.75","2.28M","2.26"
"Oct 26, 2017","105.52","104.99","105.74","104.75","1.02M","0.91"
"Oct 25, 2017","104.57","104.91","105.99","103.38","1.35M","-0.61"
"Oct 24, 2017","105.21","104.73","106.04","104.25","1.55M","0.42"
"Oct 23, 2017","104.77","105.66","106.10","104.47","1.51M","-0.36"
"Oct 20, 2017","105.15","104.47","105.31","103.85","1.82M","1.77"
"Oct 19, 2017","103.32","105.40","105.44","101.67","3.14M","-3.75"
"Oct 18, 2017","107.34","107.56","107.82","105.72","1.04M","-0.01"
"Oct 17, 2017","107.35","106.58","107.45","106.15","997.50K","0.35"
"Oct 16, 2017","106.98","107.16","107.30","106.11","1.10M","0.30"
"Oct 13, 2017","106.66","105.53","107.13","105.15","1.25M","1.54"
"Oct 12, 2017","105.04","105.23","106.03","104.92","1.10M","-0.41"
"Oct 11, 2017","105.47","104.06","105.68","104.06","1.15M","1.07"
"Oct 10, 2017","104.35","105.00","105.15","103.33","1.03M","-0.37"
"Oct 09, 2017","104.74","105.17","105.25","104.43","1.03M","-0.21"
"Oct 06, 2017","104.96","103.37","105.07","103.18","1.45M","1.08"
"Oct 05, 2017","103.84","103.77","104.20","102.96","1.12M","0.50"
"Oct 04, 2017","103.32","102.20","103.38","101.80","1.36M","0.69"
"Oct 03, 2017","102.61","102.28","103.05","101.70","796.40K","0.32"
"Oct 02, 2017","102.28","102.16","102.86","101.25","1.26M","0.37"
"Sep 29, 2017","101.90","101.34","102.00","100.82","1.21M","0.65"
"Sep 28, 2017","101.24","101.31","101.94","100.52","1.30M","-0.35"
"Sep 27, 2017","101.60","100.49","101.97","99.88","1.54M","2.26"
"Sep 26, 2017","99.35","100.36","100.75","98.97","2.12M","-0.24"
"Sep 25, 2017","99.59","102.17","102.17","98.70","2.49M","-3.39"
"Sep 22, 2017","103.08","101.71","103.52","101.50","1.38M","0.93"
"Sep 21, 2017","102.13","103.28","103.85","101.23","2.13M","-1.33"
"Sep 20, 2017","103.51","108.24","108.28","101.76","3.56M","-4.10"
"Sep 19, 2017","107.93","107.89","108.66","107.22","1.09M","0.41"
"Sep 18, 2017","107.49","109.80","110.61","107.38","2.27M","-1.88"
"Sep 15, 2017","109.55","107.06","109.73","106.71","2.37M","2.31"
"Sep 14, 2017","107.08","105.78","108.11","105.77","1.64M","0.26"
"Sep 13, 2017","106.80","106.45","106.86","105.58","899.31K","-0.07"
"Sep 12, 2017","106.87","107.60","107.75","106.65","1.03M","-0.30"
"Sep 11, 2017","107.19","105.70","107.43","105.25","1.27M","2.44"
"Sep 08, 2017","104.64","106.05","106.35","104.31","969.55K","-1.68"
"Sep 07, 2017","106.43","106.43","107.30","105.94","1.39M","0.24"
"Sep 06, 2017","106.17","107.63","107.99","105.80","1.47M","-0.71"
"Sep 05, 2017","106.93","106.92","108.94","105.33","2.20M","1.29"
"Sep 01, 2017","105.57","105.56","106.38","105.43","1.11M","0.20"
"Aug 31, 2017","105.36","104.01","105.60","103.67","1.41M","1.37"
"Aug 30, 2017","103.94","101.80","104.08","101.24","1.60M","2.38"
"Aug 29, 2017","101.52","99.98","101.97","99.11","1.14M","0.81"
"Aug 28, 2017","100.70","102.09","102.29","99.77","1.95M","-1.26"
"Aug 25, 2017","101.98","102.74","103.13","101.55","1.11M","-0.51"
"Aug 24, 2017","102.50","102.93","103.31","101.94","1.13M","-0.20"
"Aug 23, 2017","102.71","102.53","103.03","102.21","861.10K","-0.29"
"Aug 22, 2017","103.01","101.64","103.38","101.39","981.18K","1.98"
"Aug 21, 2017","101.01","102.58","102.62","100.06","1.37M","-1.17"
"Aug 18, 2017","102.21","102.57","102.93","101.17","1.14M","0.00"
"Aug 17, 2017","102.21","105.48","105.56","102.11","1.62M","-3.51"
"Aug 16, 2017","105.93","106.10","106.10","105.09","1.02M","0.12"
"Aug 15, 2017","105.80","105.73","106.11","104.83","2.06M","0.31"
"Aug 14, 2017","105.47","104.04","105.66","103.81","1.25M","2.22"
"Aug 11, 2017","103.18","101.71","103.59","101.45","1.05M","1.56"
"Aug 10, 2017","101.60","103.60","103.99","101.49","1.65M","-3.00"
"Aug 09, 2017","104.74","103.70","105.07","103.51","1.01M","0.01"
"Aug 08, 2017","104.73","104.50","105.98","104.25","1.32M","0.22"
"Aug 07, 2017","104.50","102.29","104.70","102.29","1.26M","1.90"
"Aug 04, 2017","102.55","101.67","103.65","101.00","1.71M","0.75"
"Aug 03, 2017","101.79","104.43","104.53","101.29","2.15M","-2.53"
"Aug 02, 2017","104.43","106.82","106.98","103.35","2.03M","0.14"
"Aug 01, 2017","104.28","105.11","105.38","103.50","2.06M","-0.56"
"Jul 31, 2017","104.87","106.37","106.51","104.39","1.25M","-0.84"
"Jul 28, 2017","105.76","106.64","107.15","105.42","1.60M","-1.16"
"Jul 27, 2017","107.00","107.61","108.56","105.55","3.05M","-0.31"
"Jul 26, 2017","107.33","107.00","107.94","106.30","1.32M","0.88"
"Jul 25, 2017","106.39","106.39","106.74","104.71","1.70M","0.50"
"Jul 24, 2017","105.86","107.65","107.73","105.37","3.09M","-1.50"
"Jul 21, 2017","107.47","106.73","107.98","105.23","3.84M","-0.16"
"Jul 20, 2017","107.64","106.18","108.21","105.50","4.14M","2.12"
"Jul 19, 2017","105.41","104.50","105.50","104.06","1.81M","1.52"
"Jul 18, 2017","103.83","103.05","103.87","101.87","1.28M","0.51"
"Jul 17, 2017","103.30","104.02","104.42","103.18","1.69M","-0.66"
"Jul 14, 2017","103.99","103.42","104.03","103.17","1.35M","1.21"
"Jul 13, 2017","102.75","102.00","103.18","101.48","1.68M","1.00"
"Jul 12, 2017","101.73","101.45","102.29","101.14","1.61M","0.99"
"Jul 11, 2017","100.73","100.05","101.07","99.69","1.38M","0.68"
"Jul 10, 2017","100.05","99.93","100.30","98.42","1.30M","0.35"
