"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","97.29","97.38","98.47","96.70","7.53M","0.42"
"Nov 29, 2017","96.88","99.73","99.79","96.45","5.56M","-2.61"
"Nov 28, 2017","99.48","99.09","99.73","98.62","3.04M","0.86"
"Nov 27, 2017","98.63","98.95","99.25","98.61","3.17M","-0.67"
"Nov 24, 2017","99.30","98.20","99.33","98.19","1.29M","1.24"
"Nov 22, 2017","98.08","99.15","99.35","98.07","2.14M","-1.12"
"Nov 21, 2017","99.19","98.75","99.65","98.65","4.00M","0.93"
"Nov 20, 2017","98.28","97.81","98.92","97.80","2.95M","0.55"
"Nov 17, 2017","97.74","98.56","98.56","97.61","3.79M","-0.59"
"Nov 16, 2017","98.32","97.07","98.63","97.05","3.56M","1.60"
"Nov 15, 2017","96.77","96.62","98.03","96.28","3.36M","-0.20"
"Nov 14, 2017","96.96","96.70","97.23","96.35","3.25M","-0.07"
"Nov 13, 2017","97.03","96.40","97.29","96.35","2.28M","0.09"
"Nov 10, 2017","96.94","96.67","97.05","96.40","3.42M","-0.11"
"Nov 09, 2017","97.05","97.60","98.03","95.63","4.24M","-1.41"
"Nov 08, 2017","98.44","98.31","98.76","97.89","3.27M","0.04"
"Nov 07, 2017","98.40","98.55","99.05","98.28","4.32M","-0.14"
"Nov 06, 2017","98.54","97.82","98.67","97.67","4.39M","0.57"
"Nov 03, 2017","97.98","97.00","98.00","96.34","3.35M","1.23"
"Nov 02, 2017","96.79","96.25","96.88","95.60","3.29M","0.46"
"Nov 01, 2017","96.35","96.97","97.25","95.77","3.87M","-0.35"
"Oct 31, 2017","96.69","96.28","97.04","96.18","3.77M","0.66"
"Oct 30, 2017","96.06","96.68","97.13","95.92","4.92M","-1.48"
"Oct 27, 2017","97.50","95.94","97.56","95.71","5.73M","1.40"
"Oct 26, 2017","96.15","96.44","96.94","95.84","5.56M","0.34"
"Oct 25, 2017","95.82","95.00","96.70","94.16","6.97M","-0.64"
"Oct 24, 2017","96.44","96.30","96.62","95.46","8.06M","0.24"
"Oct 23, 2017","96.21","96.00","96.74","95.44","7.29M","1.08"
"Oct 20, 2017","95.18","94.05","95.40","94.00","5.27M","1.85"
"Oct 19, 2017","93.45","92.97","93.64","92.57","4.16M","0.02"
"Oct 18, 2017","93.43","94.26","94.29","93.20","3.53M","-0.89"
"Oct 17, 2017","94.27","94.17","94.31","93.54","3.25M","0.04"
"Oct 16, 2017","94.23","94.21","94.41","93.67","3.11M","0.68"
"Oct 13, 2017","93.59","93.09","93.73","92.80","2.67M","1.05"
"Oct 12, 2017","92.62","92.88","93.31","92.59","3.54M","-0.27"
"Oct 11, 2017","92.87","91.99","92.92","91.72","3.16M","0.53"
"Oct 10, 2017","92.38","91.97","92.41","91.47","2.81M","0.87"
"Oct 09, 2017","91.58","91.61","91.86","91.31","1.75M","0.25"
"Oct 06, 2017","91.35","90.74","91.54","90.74","2.34M","0.23"
"Oct 05, 2017","91.14","90.55","91.30","90.11","3.24M","0.72"
"Oct 04, 2017","90.49","89.90","90.56","89.58","3.93M","0.61"
"Oct 03, 2017","89.94","89.65","90.24","89.50","2.37M","0.32"
"Oct 02, 2017","89.65","89.88","90.24","89.31","3.28M","0.01"
"Sep 29, 2017","89.64","89.77","89.89","89.09","3.28M","-0.01"
"Sep 28, 2017","89.65","88.44","89.66","88.35","5.33M","0.95"
