"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","28.32","28.41","28.94","27.52","8.30M","-0.35"
"Nov 29, 2017","28.42","27.11","28.56","27.00","7.19M","5.14"
"Nov 28, 2017","27.03","26.54","27.10","26.09","5.90M","1.85"
"Nov 27, 2017","26.54","26.26","26.58","26.19","4.63M","0.95"
"Nov 24, 2017","26.29","26.72","26.94","26.24","2.14M","-1.46"
"Nov 22, 2017","26.68","27.29","27.55","26.22","4.81M","-2.13"
"Nov 21, 2017","27.26","25.93","27.46","25.91","9.16M","4.17"
"Nov 20, 2017","26.17","26.41","27.65","25.93","11.59M","0.08"
"Nov 17, 2017","26.15","23.94","26.35","23.91","14.76M","10.38"
"Nov 16, 2017","23.69","22.22","24.10","22.13","17.80M","-3.74"
"Nov 15, 2017","24.61","25.15","25.15","23.79","6.55M","0.29"
"Nov 14, 2017","24.54","24.62","24.63","24.05","3.85M","-0.73"
"Nov 13, 2017","24.72","24.88","24.90","24.04","6.05M","-0.68"
"Nov 10, 2017","24.89","25.06","25.44","24.68","5.25M","0.44"
"Nov 09, 2017","24.78","24.23","25.20","24.10","4.66M","1.98"
"Nov 08, 2017","24.30","24.61","24.96","24.18","4.64M","-1.94"
"Nov 07, 2017","24.78","24.41","25.08","24.05","6.32M","2.48"
"Nov 06, 2017","24.18","23.20","24.70","23.15","6.26M","3.91"
"Nov 03, 2017","23.27","23.51","23.70","22.88","5.89M","-0.56"
"Nov 02, 2017","23.40","24.54","24.64","23.39","6.75M","-5.57"
"Nov 01, 2017","24.78","24.27","24.95","24.17","5.22M","3.12"
"Oct 31, 2017","24.03","24.27","24.39","23.58","7.03M","-0.83"
"Oct 30, 2017","24.23","24.53","24.97","24.15","4.18M","-1.74"
"Oct 27, 2017","24.66","25.15","25.18","24.08","8.99M","-2.53"
"Oct 26, 2017","25.30","25.47","26.09","25.30","5.71M","-0.71"
"Oct 25, 2017","25.48","25.40","25.65","25.20","2.66M","-0.66"
"Oct 24, 2017","25.65","26.13","26.29","25.61","3.62M","-2.51"
"Oct 23, 2017","26.31","26.60","26.69","26.09","4.18M","-1.46"
"Oct 20, 2017","26.70","26.64","26.88","26.36","3.81M","0.64"
"Oct 19, 2017","26.53","25.83","26.56","25.80","4.57M","2.75"
"Oct 18, 2017","25.82","26.68","26.99","25.74","9.56M","-2.82"
"Oct 17, 2017","26.57","26.13","26.65","25.92","5.18M","1.18"
"Oct 16, 2017","26.26","26.09","26.68","25.81","7.62M","1.00"
"Oct 13, 2017","26.00","24.74","26.32","24.58","9.49M","5.82"
"Oct 12, 2017","24.57","24.44","24.67","23.45","17.93M","-2.54"
"Oct 11, 2017","25.21","25.54","25.57","25.13","6.36M","-1.37"
"Oct 10, 2017","25.56","25.41","25.64","25.34","5.65M","0.55"
"Oct 09, 2017","25.42","26.39","26.62","25.37","10.45M","-6.37"
"Oct 06, 2017","27.15","27.28","27.48","27.04","3.63M","-0.55"
"Oct 05, 2017","27.30","28.15","28.33","27.27","5.12M","-2.99"
"Oct 04, 2017","28.14","27.60","28.39","27.55","5.37M","2.14"
"Oct 03, 2017","27.55","27.51","27.59","27.29","5.13M","0.51"
"Oct 02, 2017","27.41","27.92","28.00","27.08","5.31M","-1.54"
"Sep 29, 2017","27.84","27.85","28.11","27.77","3.17M","-0.04"
"Sep 28, 2017","27.85","27.81","28.02","27.64","3.56M","-0.29"
"Sep 27, 2017","27.93","27.66","28.04","27.51","2.10M","1.23"
"Sep 26, 2017","27.59","27.93","28.16","27.55","2.62M","-1.11"
"Sep 25, 2017","27.90","27.57","28.30","27.54","3.04M","0.94"
"Sep 22, 2017","27.64","27.42","27.83","27.40","2.22M","0.88"
"Sep 21, 2017","27.40","27.72","27.90","27.32","2.42M","-1.15"
"Sep 20, 2017","27.72","27.15","27.88","27.10","3.98M","2.14"
"Sep 19, 2017","27.14","27.29","27.36","26.94","4.88M","-0.66"
"Sep 18, 2017","27.32","27.69","27.86","27.30","4.27M","-1.26"
"Sep 15, 2017","27.67","27.36","27.81","27.25","5.56M","1.13"
"Sep 14, 2017","27.36","27.73","27.95","27.29","4.77M","-1.97"
"Sep 13, 2017","27.91","27.12","27.97","27.08","6.30M","2.95"
"Sep 12, 2017","27.11","27.28","27.43","26.86","5.32M","-0.29"
"Sep 11, 2017","27.19","27.43","27.82","27.13","4.08M","-0.29"
"Sep 08, 2017","27.27","27.09","27.41","26.65","6.27M","0.26"
"Sep 07, 2017","27.20","28.26","28.36","26.96","6.94M","-3.61"
"Sep 06, 2017","28.22","27.45","28.43","27.44","5.07M","2.88"
"Sep 05, 2017","27.43","28.24","28.38","27.21","7.93M","-3.82"
"Sep 01, 2017","28.52","28.80","28.86","28.50","4.81M","-0.28"
"Aug 31, 2017","28.60","29.20","29.40","28.57","6.51M","-1.82"
"Aug 30, 2017","29.13","29.25","29.48","28.98","3.57M","-0.51"
"Aug 29, 2017","29.28","29.31","29.46","29.00","3.36M","-0.51"
"Aug 28, 2017","29.43","29.16","29.54","29.04","3.88M","0.82"
"Aug 25, 2017","29.19","28.75","29.40","28.61","4.20M","1.88"
"Aug 24, 2017","28.65","28.54","28.89","28.41","3.45M","0.14"
"Aug 23, 2017","28.61","28.45","28.89","28.31","3.65M","0.53"
"Aug 22, 2017","28.46","28.28","28.51","27.86","5.01M","1.25"
"Aug 21, 2017","28.11","28.63","28.69","28.00","4.94M","-1.68"
"Aug 18, 2017","28.59","29.09","29.39","28.48","6.91M","-2.12"
"Aug 17, 2017","29.21","29.78","29.98","29.18","3.96M","-2.05"
"Aug 16, 2017","29.82","30.13","30.46","29.70","4.28M","-0.86"
"Aug 15, 2017","30.08","30.27","30.56","30.02","2.99M","-0.50"
"Aug 14, 2017","30.23","30.74","31.06","30.17","5.16M","-1.40"
"Aug 11, 2017","30.66","29.88","30.75","29.88","3.68M","1.96"
"Aug 10, 2017","30.07","30.11","30.43","29.86","4.78M","-0.33"
"Aug 09, 2017","30.17","30.29","30.34","29.64","7.19M","-1.95"
"Aug 08, 2017","30.77","30.75","31.25","30.68","5.20M","0.62"
"Aug 07, 2017","30.58","30.44","31.28","30.27","8.59M","1.19"
"Aug 04, 2017","30.22","32.15","32.45","30.21","24.23M","-13.83"
"Aug 03, 2017","35.07","34.08","35.47","34.06","5.56M","2.87"
"Aug 02, 2017","34.09","35.24","35.24","33.80","6.48M","-4.05"
"Aug 01, 2017","35.53","35.04","35.55","34.94","3.74M","1.75"
"Jul 31, 2017","34.92","35.72","35.76","34.26","5.91M","-2.08"
"Jul 28, 2017","35.66","35.43","35.78","35.14","3.38M","0.42"
"Jul 27, 2017","35.51","35.19","35.98","35.00","8.28M","3.32"
"Jul 26, 2017","34.37","34.86","34.97","34.15","8.94M","-1.83"
"Jul 25, 2017","35.01","36.50","36.50","35.00","4.86M","-3.34"
"Jul 24, 2017","36.22","36.14","36.65","36.00","3.23M","0.50"
"Jul 21, 2017","36.04","35.81","36.10","35.56","2.29M","0.42"
"Jul 20, 2017","35.89","36.42","36.77","35.86","4.10M","-0.86"
"Jul 19, 2017","36.20","36.00","36.36","35.82","6.06M","2.09"
"Jul 18, 2017","35.46","35.24","35.63","34.72","4.00M","0.40"
"Jul 17, 2017","35.32","34.96","35.44","34.80","4.03M","1.12"
"Jul 14, 2017","34.93","34.59","35.20","34.51","3.28M","1.25"
"Jul 13, 2017","34.50","34.50","34.96","34.29","4.42M","0.00"
"Jul 12, 2017","34.50","34.42","34.60","34.16","3.44M","1.05"
"Jul 11, 2017","34.14","34.02","34.38","33.73","3.04M","0.41"
"Jul 10, 2017","34.00","33.20","34.26","33.12","3.89M","2.41"
"Jul 07, 2017","33.20","33.13","33.34","32.81","2.96M","0.39"
"Jul 06, 2017","33.07","32.96","33.20","32.68","7.56M","0.21"
"Jul 05, 2017","33.00","34.14","34.15","32.77","5.60M","-3.28"
"Jul 03, 2017","34.12","33.68","34.35","33.66","2.40M","1.64"
"Jun 30, 2017","33.57","34.28","34.28","33.30","8.52M","-2.27"
"Jun 29, 2017","34.35","35.04","35.36","33.83","4.90M","-2.05"
"Jun 28, 2017","35.07","35.50","35.87","35.04","3.78M","-0.96"
"Jun 27, 2017","35.41","35.10","35.63","35.00","3.78M","0.91"
"Jun 26, 2017","35.09","34.22","35.39","34.11","5.17M","2.87"
"Jun 23, 2017","34.11","34.09","34.42","33.75","11.45M","-0.03"
"Jun 22, 2017","34.12","34.63","34.74","34.09","2.69M","-1.30"
"Jun 21, 2017","34.57","34.26","34.76","33.80","4.37M","1.05"
"Jun 20, 2017","34.21","35.35","35.80","34.08","4.06M","-3.44"
"Jun 19, 2017","35.43","35.29","35.55","34.88","4.19M","1.03"
