"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2017","158.08","155.68","158.82","153.01","1.47M","1.29"
"Nov 29, 2017","156.07","158.02","158.25","153.67","1.63M","-0.91"
"Nov 28, 2017","157.50","158.62","159.70","157.03","1.41M","-0.62"
"Nov 27, 2017","158.49","158.63","160.00","158.12","945.02K","-0.58"
"Nov 24, 2017","159.42","158.58","159.99","158.40","436.99K","0.46"
"Nov 22, 2017","158.69","158.53","159.55","157.72","962.29K","0.08"
"Nov 21, 2017","158.57","156.96","158.73","156.69","916.92K","1.03"
"Nov 20, 2017","156.96","153.75","157.81","153.59","1.77M","3.07"
"Nov 17, 2017","152.28","152.90","153.69","151.98","849.58K","-0.60"
"Nov 16, 2017","153.20","152.00","154.30","151.81","1.27M","1.04"
"Nov 15, 2017","151.62","152.50","152.50","150.01","1.19M","-1.29"
"Nov 14, 2017","153.60","154.54","155.27","152.28","1.10M","-1.06"
"Nov 13, 2017","155.24","153.75","156.40","153.52","1.28M","0.79"
"Nov 10, 2017","154.03","153.19","154.67","153.01","903.89K","0.29"
"Nov 09, 2017","153.59","151.95","154.09","151.24","1.46M","0.52"
"Nov 08, 2017","152.79","152.25","153.00","151.09","2.15M","0.39"
"Nov 07, 2017","152.19","152.85","153.42","150.74","1.29M","0.53"
"Nov 06, 2017","151.39","150.05","154.28","149.55","1.77M","0.87"
"Nov 03, 2017","150.09","149.50","151.02","149.10","1.21M","0.03"
"Nov 02, 2017","150.05","151.55","152.13","149.88","1.36M","-0.99"
"Nov 01, 2017","151.55","152.38","153.56","149.87","3.46M","2.75"
"Oct 31, 2017","147.49","143.88","149.65","143.88","3.94M","4.45"
"Oct 30, 2017","141.21","142.55","142.76","140.38","1.64M","-1.36"
"Oct 27, 2017","143.15","142.66","146.00","141.05","3.04M","-1.51"
"Oct 26, 2017","145.34","145.53","146.10","142.73","2.75M","1.28"
"Oct 25, 2017","143.51","144.60","146.55","143.00","1.71M","-0.97"
"Oct 24, 2017","144.91","145.01","145.65","144.28","735.43K","0.10"
"Oct 23, 2017","144.76","144.40","146.73","144.40","1.21M","0.22"
"Oct 20, 2017","144.44","146.80","146.82","144.22","1.06M","-0.75"
"Oct 19, 2017","145.53","144.00","145.63","143.39","785.18K","0.14"
"Oct 18, 2017","145.33","146.12","146.83","144.51","1.17M","-0.73"
"Oct 17, 2017","146.40","146.56","147.32","145.80","1.01M","-0.28"
"Oct 16, 2017","146.81","143.93","148.14","143.79","2.83M","3.15"
"Oct 13, 2017","142.33","141.29","143.21","140.23","1.45M","1.12"
"Oct 12, 2017","140.76","143.56","145.90","140.11","2.44M","-1.75"
"Oct 11, 2017","143.27","142.03","144.19","142.01","870.21K","0.51"
"Oct 10, 2017","142.54","144.28","145.28","141.95","1.50M","-0.58"
"Oct 09, 2017","143.37","142.40","144.21","139.20","2.59M","-0.40"
"Oct 06, 2017","143.94","144.68","145.83","142.32","3.34M","-2.05"
"Oct 05, 2017","146.96","147.54","150.40","146.81","1.72M","-0.01"
"Oct 04, 2017","146.97","146.64","147.58","145.95","1.52M","-0.08"
"Oct 03, 2017","147.09","147.67","148.23","146.36","1.71M","0.01"
"Oct 02, 2017","147.07","147.11","148.87","145.40","3.01M","-1.24"
"Sep 29, 2017","148.92","147.11","150.15","146.47","3.21M","3.14"
"Sep 28, 2017","144.38","145.40","146.13","144.17","1.13M","-0.62"
"Sep 27, 2017","145.28","145.00","147.02","144.58","1.35M","0.46"
"Sep 26, 2017","144.62","142.38","145.00","141.79","1.09M","2.47"
"Sep 25, 2017","141.13","143.46","143.96","140.20","2.19M","-2.61"
"Sep 22, 2017","144.91","144.91","146.09","144.59","1.02M","-0.34"
